date,open,high,low,close,volume
2015-01-02,91.9384,92.3098,90.4337,91.3194,930728
2015-01-05,90.5194,91.167,89.1671,89.529,928227
2015-01-06,89.9099,90.2433,88.0053,88.5862,960525
2015-01-07,89.51,89.9671,88.9195,89.9385,699674
2015-01-08,90.3956,91.3861,90.3956,90.8147,1187549
2015-01-09,90.7289,90.8432,89.1671,89.3481,774269
2015-01-12,89.6528,90.0052,88.3672,88.5767,908774
2015-01-13,89.2719,91.097,89.11,89.9861,1325549
2015-01-14,89.1005,89.4242,88.1576,89.2719,1272765
2015-01-15,89.4433,89.8718,88.2338,88.2529,1461486
2015-01-16,87.9672,89.6909,87.6148,89.6433,1187387
2015-01-20,90.2147,90.7287,88.6148,89.6909,1018351
2015-01-21,89.2147,89.529,87.8767,88.3005,1035298
2015-01-22,88.8052,89.9861,87.5672,89.8623,1604294
2015-01-23,89.329,89.8909,88.9481,89.31,1036359
2015-01-26,89.0052,89.8147,87.8338,89.7385,711698
2015-01-27,88.7005,89.8242,88.2814,89.1005,961591
2015-01-28,89.748,89.9099,86.2054,86.3006,1558347
2015-01-29,86.1958,88.1767,86.0244,87.9481,1193035
2015-01-30,87.0625,88.5291,86.8529,86.9767,1254404
2015-02-02,86.4149,86.4149,81.4246,85.0626,5025059
2015-02-03,85.9101,88.3672,85.6149,88.2719,1903743
2015-02-04,88.0148,88.5957,87.272,87.8243,1358521
2015-02-05,88.0719,88.91,87.6339,88.8243,957474
2015-02-06,91.4241,94.024,91.4241,93.3669,2490768
2015-02-09,93.1098,94.2716,92.7955,93.2241,1023134
2015-02-10,93.605,94.2907,92.5669,94.1383,924869
2015-02-11,93.6812,94.2145,92.4527,92.6622,1117631
2015-02-12,93.1193,93.8526,93.1003,93.5288,1328128
2015-02-13,93.4145,93.7478,92.8336,93.5383,917142
2015-02-17,93.3002,93.8336,93.1288,93.405,1036712
2015-02-18,93.3477,94.418,93.0419,93.8733,988645
2015-02-19,93.405,93.7873,92.717,92.7934,781190
2015-02-20,92.5927,93.0801,91.8282,92.8317,1235691
2015-02-23,92.5736,92.9177,92.1627,92.4781,753155
2015-02-24,92.5163,92.9559,92.2105,92.8699,1378228
2015-02-25,93.1279,93.5293,92.6883,93.233,738921
2015-02-26,92.9941,93.1279,92.1149,92.5736,780459
2015-02-27,92.6979,93.2808,92.2487,92.6405,1137820
2015-03-02,92.5163,92.6788,92.1723,92.4781,1181951
2015-03-03,91.9047,92.22,90.605,91.876,1134241
2015-03-04,91.3122,91.7518,90.8057,90.8535,1415302
2015-03-05,90.8248,92.048,90.7866,91.8569,1091939
2015-03-06,91.5702,91.9811,90.1654,90.3661,851573
2015-03-09,90.2514,92.3252,90.0698,92.1531,1122034
2015-03-10,91.2931,91.9716,90.8296,90.9968,1444273
2015-03-11,91.0733,92.134,90.7579,91.7422,892578
2015-03-12,91.9907,93.9689,91.9238,93.9402,1073735
2015-03-13,93.9307,94.2938,92.4494,92.8125,1258256
2015-03-16,93.1184,93.8351,92.8603,93.3955,1191087
2015-03-17,93.73,96.3293,93.73,96.2242,1676960
