date,open,high,low,close,volume
2015-01-02,34.0077,34.4837,33.8583,34.3437,7707652
2015-01-05,34.269,34.3234,33.7211,33.8303,9621133
2015-01-06,33.9516,34.213,33.4102,33.5969,7669483
2015-01-07,33.7836,34.7265,33.5782,34.6518,10418772
2015-01-08,34.6238,35.3566,34.6238,35.0905,8122101
2015-01-09,34.8291,35.2305,34.5958,34.7451,5642526
2015-01-12,34.5117,34.7647,34.255,34.4184,8106457
2015-01-13,34.5864,34.8992,33.9236,34.1897,7869922
2015-01-14,33.7836,34.213,33.6716,34.115,7061882
2015-01-15,34.3344,34.5304,33.9516,34.1103,10607011
2015-01-16,34.0823,34.5024,33.8583,34.4837,7882415
2015-01-20,34.8198,34.9598,34.2597,34.5584,6189972
2015-01-21,34.4184,34.7171,34.2504,34.6798,9350823
2015-01-22,34.9505,35.0999,34.4931,35.0905,6091699
2015-01-23,35.1092,35.1092,34.4651,34.4837,7501916
2015-01-26,34.3531,34.5211,33.9516,34.1477,7362573
2015-01-27,33.7836,33.8844,33.5876,33.6809,8421845
2015-01-28,33.6809,34.045,33.2889,33.2935,8297314
2015-01-29,33.1022,33.4195,32.8221,33.3635,12999700
2015-01-30,33.1022,33.3883,32.8688,32.8968,11748564
2015-02-02,32.8968,33.4009,32.5701,33.3822,7538535
2015-02-03,33.4476,33.7463,33.3729,33.6623,5381137
2015-02-04,33.5222,33.9983,33.5222,33.6202,7244788
2015-02-05,33.6156,33.8583,33.5316,33.8443,7104538
2015-02-06,33.849,33.8676,33.4289,33.5222,7486785
2015-02-09,33.0648,33.7556,33.0648,33.3355,7487712
2015-02-10,33.1675,33.6156,33.1488,33.4289,10507223
2015-02-11,33.9983,34.9598,33.8396,34.297,18260846
2015-02-12,34.5211,34.7545,34.0637,34.5211,11406849
2015-02-13,34.6704,34.6891,34.129,34.3344,7604059
2015-02-17,34.3531,34.6891,34.1757,34.6798,11537008
2015-02-18,34.5024,34.7731,34.3904,34.4837,17922025
2015-02-19,34.4931,34.6704,34.2737,34.5351,7370277
2015-02-20,34.5771,34.6051,34.269,34.5117,9729390
2015-02-23,34.3064,34.6331,34.3064,34.5351,7011872
2015-02-24,34.5304,34.6424,34.3997,34.5444,13505115
2015-02-25,34.4557,34.6331,34.2224,34.2224,8248535
2015-02-26,34.2877,34.4651,34.129,34.2784,8768952
2015-02-27,34.4371,34.5491,34.213,34.4791,16403640
2015-03-02,34.4837,34.5491,34.3437,34.4371,7019044
2015-03-03,34.3531,34.4277,34.1664,34.2037,6212023
2015-03-04,34.073,34.1197,33.8676,34.017,7404748
2015-03-05,34.1477,34.157,33.961,34.0823,6417301
2015-03-06,33.905,33.961,32.6821,32.8781,13454538
2015-03-09,32.8874,33.2702,32.8781,33.0648,8080435
2015-03-10,32.7287,33.0181,32.1967,32.206,12835906
2015-03-11,32.0753,32.2713,31.9259,32.0566,11490000
2015-03-12,32.2527,32.8221,32.1967,32.6727,9737575
2015-03-13,32.4674,32.7194,31.9913,32.2153,9939965
2015-03-16,32.4207,32.6307,32.234,32.402,11929029
2015-03-17,32.206,32.3367,32.0006,32.0753,9022568
2015-03-18,32.1033,32.8174,31.7112,32.6914,12694850
2015-03-19,32.6634,32.7381,32.262,32.3553,7751453
2015-03-20,32.5514,32.9248,32.4114,32.43,19649865
2015-03-23,32.5327,33.2328,32.3273,32.9481,13589941
2015-03-24,33.1115,33.2608,32.6261,32.6821,8390749
2015-03-25,33.2328,34.0403,33.1395,33.4242,23701293
2015-03-26,33.4849,33.6343,32.6121,32.7474,18564009
2015-03-27,32.8693,33.4599,32.588,33.3287,16697932
2015-03-30,33.6099,34.2662,33.4787,34.2193,14393102
2015-03-31,34.1256,34.2099,33.7834,33.8349,10292174
2015-04-01,33.9568,34.0412,33.6849,34.0271,11030705
2015-04-02,34.0318,34.3787,33.8443,34.3412,11212685
2015-04-06,34.1162,34.81,34.0928,34.6881,7198193
2015-04-07,34.5756,34.8287,34.5193,34.6881,6642274
2015-04-08,34.735,35.0912,34.6413,35.0537,10971341
2015-04-09,34.9412,35.0865,34.81,35.0396,8107122
2015-04-10,35.0818,35.2881,34.8475,35.0631,7331546
2015-04-13,35.0443,35.0818,34.899,34.9225,8947270
2015-04-14,34.7818,35.2037,34.735,35.1287,6829892
2015-04-15,35.11,35.3818,35.0162,35.2037,6645037
2015-04-16,35.0725,35.1615,34.9412,34.9787,6393934
2015-04-17,34.6412,34.735,34.3881,34.6553,7962747
2015-04-20,34.735,34.8287,34.6131,34.6787,8322997
