date,open,high,low,close,volume
2015-01-02,66.6457,67.4403,65.9805,66.4147,6030518
2015-01-05,66.0636,66.3777,65.6847,66.1375,11258672
2015-01-06,66.5256,66.9598,65.4815,65.8049,12838806
2015-01-07,66.2668,67.541,66.0728,67.4495,8104070
2015-01-08,68.1055,69.0942,68.1055,69.0665,7608395
2015-01-09,68.9556,69.1496,68.5028,68.7431,8790582
2015-01-12,68.7985,69.0572,68.4659,68.8077,7293961
2015-01-13,69.1866,69.6578,67.0199,67.2555,9508287
2015-01-14,66.3315,66.9506,65.9804,66.313,8702313
2015-01-15,66.7935,66.9044,66.0451,66.4332,13290230
2015-01-16,66.2391,67.3109,65.8326,67.2278,8832005
2015-01-20,67.3941,67.6805,66.1653,66.7103,10528372
2015-01-21,66.4147,67.6713,66.0451,67.505,10793799
2015-01-22,67.4218,69.7502,67.4218,69.741,17866642
2015-01-23,70.0828,71.5057,69.7317,71.0992,23255346
2015-01-26,71.0253,71.0807,69.279,69.8426,34907425
2015-01-27,69.3159,69.8611,68.9463,69.5377,9927213
2015-01-28,69.1589,69.7687,67.8283,67.8283,12731818
2015-01-29,67.5604,67.8006,66.6272,67.4588,11889863
2015-01-30,67.3017,67.3756,65.7956,65.9712,15810859
2015-02-02,65.5831,67.2462,65.5184,67.2278,9912258
2015-02-03,67.893,69.1219,67.5789,69.1034,9746421
2015-02-04,68.9741,69.3806,68.355,68.4936,7378251
2015-02-05,69.4176,69.7225,69.0295,69.5931,5737695
2015-02-06,69.5931,69.9026,68.6507,68.8077,5421045
2015-02-09,68.6137,68.8909,67.8838,68.0224,5470845
2015-02-10,68.3365,69.3529,68.1333,69.1773,5663339
2015-02-11,69.2051,69.4638,68.4058,68.7338,7457746
2015-02-12,69.1219,69.3344,68.6507,69.2328,5542758
2015-02-13,68.7985,69.5562,68.124,69.5377,9009406
2015-02-17,70.7204,72.3465,70.5263,72.134,13477485
2015-02-18,72.0693,72.6237,72.0416,72.5313,7801355
2015-02-19,72.6145,72.6145,71.9308,72.1895,6900528
2015-02-20,72.0324,72.8085,71.5612,72.7993,6665183
2015-02-23,72.6884,73.4091,72.6884,73.2243,6051519
2015-02-24,73.095,73.1873,72.7438,73.0118,4855868
2015-02-25,73.0118,73.3629,72.4805,72.6514,4598767
2015-02-26,72.7531,72.9841,72.4163,72.8178,5413486
2015-02-27,72.5591,72.7716,71.6628,71.6905,8848172
2015-03-02,72.0139,72.9194,71.7737,72.8362,5240285
2015-03-03,72.8085,72.9748,71.4873,72.0971,4662494
2015-03-04,71.6628,72.5036,71.1916,72.2449,5382885
2015-03-05,72.4205,72.9564,72.1064,72.5313,5780484
2015-03-06,72.0693,72.365,70.6187,70.6649,7052352
2015-03-09,70.7481,71.2563,70.397,71.053,6134437
2015-03-10,70.6926,70.8312,70.0736,70.1013,5252717
2015-03-11,70.2214,71.1454,70.0736,70.2676,6954560
2015-03-12,70.1198,70.9883,70.0366,70.9236,4014435
2015-03-13,70.822,70.8497,70.1105,70.6557,5289004
2015-03-16,71.0437,71.9492,71.0253,71.7644,6497315
2015-03-17,71.5335,71.6074,70.6021,70.8867,4497408
2015-03-18,70.6095,72.2541,70.3138,71.709,5859156
2015-03-19,72.3188,72.3188,71.3949,71.7552,4793989
2015-03-20,72.4205,72.485,71.7899,72.0878,9159478
2015-03-23,72.0693,72.8732,72.0047,72.6884,6150784
2015-03-24,72.7623,73.2151,72.6976,72.7346,5854912
2015-03-25,72.8455,73.4553,71.6536,71.6998,8133633
2015-03-26,71.3704,71.8621,70.9716,71.0643,5591779
2015-03-27,70.9994,71.9827,70.9623,71.7786,4510282
2015-03-30,72.0754,72.7711,72.0754,72.7433,3765886
2015-03-31,72.8082,73.1329,72.2331,72.3444,5773412
2015-04-01,72.9288,73.0309,70.466,70.6283,8383932
2015-04-02,70.5078,71.5374,70.3408,71.3055,5113560
2015-04-06,70.786,71.9363,70.7489,71.76,4371983
2015-04-07,71.9548,72.1431,71.5652,71.5931,3529602
2015-04-08,71.76,71.8435,70.7768,70.8602,6279630
2015-04-09,70.8139,71.6116,70.5728,71.5467,4888867
2015-04-10,71.5189,72.3166,71.4632,72.2888,4521264
2015-04-13,71.9827,72.9659,71.7693,72.4279,5781953
2015-04-14,72.3537,72.4094,71.8342,72.2517,3989246
2015-04-15,72.3537,72.6181,72.093,72.2702,3388771
2015-04-16,72.1496,72.3351,71.3797,71.4446,4201189
