date,open,high,low,close,volume
2015-01-02,69.4364,69.865,68.2997,68.9053,466798
2015-01-05,68.6723,68.8867,67.6474,67.7406,677451
2015-01-06,67.9921,68.2158,67.1349,67.4331,1131353
2015-01-07,67.8151,69.5296,67.5915,69.2314,1096069
2015-01-08,69.4923,70.48,69.3991,70.3682,402874
2015-01-09,70.4148,70.5545,69.5016,69.5389,380915
2015-01-12,68.9146,69.7438,68.4487,68.6351,425012
2015-01-13,69.0078,69.4457,68.1412,68.8121,707846
2015-01-14,68.6164,68.882,68.0574,68.8214,695947
2015-01-15,69.1848,69.5109,68.7003,68.8773,726175
2015-01-16,68.9612,69.4923,68.5987,69.2873,746777
2015-01-20,69.4737,70.5266,69.2221,70.5079,775668
2015-01-21,70.2377,70.4614,69.5035,69.865,933748
2015-01-22,70.2657,70.3775,69.455,70.0514,796490
2015-01-23,69.8743,69.9116,69.0264,69.1196,704860
2015-01-26,69.0078,69.5575,68.6723,69.25,648097
2015-01-27,68.5792,68.8214,67.8356,67.9456,1477765
2015-01-28,66.0074,69.2687,65.9059,66.9579,1752449
2015-01-29,66.9579,67.7033,65.8863,67.6474,1070995
2015-01-30,67.1163,67.284,66.3242,66.5199,1104030
2015-02-02,66.5572,67.7126,65.877,67.666,868187
2015-02-03,68.0015,68.4208,67.7965,68.4114,554709
2015-02-04,68.3183,69.101,68.1785,68.663,687231
2015-02-05,68.7655,68.9603,68.4114,68.8773,467102
2015-02-06,68.8587,69.6554,68.5233,69.2687,813396
2015-02-09,69.073,69.2407,68.4487,68.7376,512089
2015-02-10,68.868,69.5762,68.663,69.2407,291453
2015-02-11,69.278,69.5762,68.3928,68.9239,419005
2015-02-12,68.691,69.2687,68.5792,69.2407,460533
2015-02-13,68.9146,69.66,68.7003,69.5482,456063
2015-02-17,69.5296,69.8184,68.9239,69.483,572303
2015-02-18,69.2128,70.7875,69.0404,70.6011,573329
2015-02-19,70.4707,70.5769,69.9675,70.1539,372079
2015-02-20,70.0886,70.7129,69.5669,70.6664,528999
2015-02-23,70.657,70.8061,69.9955,70.2377,313819
2015-02-24,70.1073,70.4334,69.5669,70.2657,479458
2015-02-25,70.1446,70.6291,69.9582,70.3123,343808
2015-02-26,70.3216,70.4986,69.9116,70.2377,316838
2015-02-27,70.3216,70.5173,70.0886,70.2377,346280
2015-03-02,70.4334,70.4427,69.7812,70.2564,515202
2015-03-03,70.0048,70.2843,69.6414,70.1166,291484
2015-03-04,69.865,70.0514,69.1476,69.7346,393490
2015-03-05,70.0234,70.0234,69.0637,69.6321,426621
2015-03-06,69.1941,69.3153,68.2065,68.4394,451621
2015-03-09,68.4767,68.9426,68.3145,68.7935,273821
2015-03-10,68.486,68.7935,67.5542,67.5728,482902
2015-03-11,67.5635,67.5728,66.874,67.256,473866
2015-03-12,66.5851,68.0015,66.4827,67.9642,926494
2015-03-13,67.9828,68.1319,66.8367,67.0697,624554
2015-03-16,67.2001,67.7312,67.0697,67.666,598976
2015-03-17,67.3026,67.5169,66.5386,67.1069,667241
2015-03-18,67.0604,67.9362,66.1658,67.5449,1053160
2015-03-19,67.489,67.7033,66.9672,67.461,480249
2015-03-20,67.5728,68.1319,67.5449,67.9083,1062754
2015-03-23,67.9921,68.6071,67.9083,68.2065,1097547
2015-03-24,70.3775,72.4833,69.8837,69.9955,2779589
2015-03-25,70.685,72.1945,70.3961,70.8061,1841229
2015-03-26,70.9738,71.9569,70.7409,71.6075,1186815
2015-03-27,71.7379,72.1106,71.4397,72.0547,846344
2015-03-30,72.1758,72.7815,71.7752,72.6976,919326
2015-03-31,72.5206,72.9026,71.8497,71.8497,998642
2015-04-01,71.8029,71.8497,70.913,71.4469,966366
2015-04-02,71.5125,72.4304,71.5125,71.9902,856266
2015-04-06,71.8965,73.4794,71.8965,73.3108,1528255
2015-04-07,73.264,73.7136,72.9175,72.9456,527899
2015-04-08,72.9456,73.2172,72.5428,72.9643,477403
2015-04-09,72.9081,73.1891,72.4304,72.9456,623421
2015-04-10,72.9924,73.367,72.6833,72.8238,427506
2015-04-13,72.88,73.2359,72.5625,72.6271,539031
2015-04-14,72.5896,73.1516,72.1962,72.8613,635366
2015-04-15,73.0673,73.7042,72.5522,72.6458,596368
2015-04-16,72.6084,72.777,72.2712,72.5709,687609
2015-04-17,72.1213,72.4023,71.2034,71.6249,567730
2015-04-20,71.7841,72.5428,71.7186,71.8122,553513
2015-04-21,71.8216,72.0932,71.3272,71.3814,463564
2015-04-22,71.6249,72.0838,71.269,72.0183,592134
2015-04-23,71.6998,72.0838,71.3767,71.3907,507889
2015-04-24,71.5406,71.5687,70.9599,71.0348,373714
2015-04-27,71.1378,71.194,70.5571,70.9318,534321
2015-04-28,70.8475,71.2409,70.529,71.1566,426143
2015-04-29,71.1472,71.3814,70.6227,70.6789,479961
2015-04-30,70.7164,71.2221,70.3511,70.529,881330
2015-05-01,70.81,71.5438,70.7445,71.3345,398598
2015-05-04,71.1753,71.8968,71.1004,71.6811,368229
2015-05-05,71.475,71.8684,70.7913,71.0161,460608
2015-05-06,71.2409,71.4469,70.426,70.9786,435833
2015-05-07,70.9037,71.9153,70.6695,71.7373,549501
2015-05-08,72.2524,72.6739,71.9059,72.1962,426520
2015-05-11,71.9902,72.4772,71.9059,72.037,481693
2015-05-12,71.6998,72.6646,71.4942,72.5615,688846
2015-05-13,72.6177,73.0111,72.2056,72.3086,445135
2015-05-14,72.7489,73.9852,72.7208,73.9478,616231
2015-05-15,73.9852,74.3224,73.9009,74.3037,456427
2015-05-18,74.107,74.21,73.6949,73.9946,337720
2015-05-19,73.9571,74.7064,73.7979,74.5659,475535
2015-05-20,74.5566,74.5566,74.0789,74.1913,365537
2015-05-21,74.2756,74.4301,73.9759,74.3505,432732
2015-05-22,74.1445,74.2662,73.7511,73.7885,318184
2015-05-26,73.7979,73.9712,73.0673,73.3951,320772
2015-05-27,73.4326,73.9665,73.2359,73.8354,543457
2015-05-28,73.9009,74.004,73.4139,73.8728,304240
2015-05-29,73.9009,73.9009,73.4794,73.5263,446224
2015-06-01,73.7042,73.9009,73.0673,73.3483,324339
2015-06-02,73.1985,73.264,72.599,73.0673,378028
2015-06-03,73.264,73.3764,72.6084,73.058,448430
2015-06-04,73.0486,73.0954,72.2431,72.318,453457
2015-06-05,72.2524,72.5522,71.3345,71.8591,765132
2015-06-08,71.7467,72.0838,71.3345,71.8403,407840
2015-06-09,71.9434,72.14,71.6717,71.6811,324225
2015-06-10,71.8029,72.3555,71.8029,72.2243,296327
2015-06-11,72.3086,72.4819,72.1307,72.2524,313570
2015-06-12,72.0276,72.318,71.8216,72.0932,253402
2015-06-15,71.7186,72.4023,71.4001,71.9527,538912
2015-06-16,72.1213,73.2734,72.0464,73.2453,389734
2015-06-17,73.3202,73.5918,72.9362,73.3108,308494
2015-06-18,73.5356,74.491,73.3015,74.0976,484752
2015-06-19,73.9946,74.5285,73.9759,74.2194,492422
2015-06-22,74.4536,75.5307,74.3974,75.1279,454686
2015-06-23,75.1748,75.3434,74.9406,75.1748,697208
2015-06-24,75.9896,77.048,75.9896,76.2613,1380016
2015-06-25,77.1698,77.1698,76.1863,76.383,581888
2015-06-26,76.6078,76.7202,76.0927,76.2987,667141
2015-06-29,75.8304,76.0365,75.053,75.0811,686168
2015-06-30,75.3996,76.2051,75.3059,75.821,1182322
2015-07-01,73.2734,74.6128,72.9221,74.5285,2136122
2015-07-02,74.5378,75.3153,74.2007,74.8938,1245022
2015-07-06,74.669,75.0343,73.9852,74.3599,986963
2015-07-07,74.3505,75.5026,73.7698,75.4745,770499
2015-07-08,75.0998,75.437,74.4723,74.5847,951845
2015-07-09,75.3848,75.526,74.6788,74.7353,987478
2015-07-10,74.7823,75.7331,74.7823,75.3095,680229
2015-07-13,75.8273,75.912,75.5731,75.8743,377064
2015-07-14,75.8932,76.2415,75.799,75.9873,399715
2015-07-15,76.0344,76.0344,75.2719,75.3378,354313
2015-07-16,75.7896,76.0438,75.526,75.8743,464362
2015-07-17,75.5731,75.8649,74.9989,75.3189,447838
2015-07-20,75.3189,75.5354,75.0271,75.3189,403415
2015-07-21,75.4225,75.7425,75.2342,75.479,781331
2015-07-22,75.4507,75.9496,75.3105,75.7425,602011
2015-07-23,75.7425,75.9402,75.3095,75.4037,451995
2015-07-24,75.2248,75.5919,74.8577,75.206,602258
2015-07-27,75.0177,75.3284,74.8106,75.1401,796289
2015-07-28,75.3754,76.4109,75.0648,76.3733,789639
2015-07-29,76.3074,76.6933,76.2132,76.6274,608979
2015-07-30,76.3262,77.2487,76.1003,77.2017,620481
2015-07-31,77.4464,77.4558,76.9475,77.2017,1115139
2015-08-03,77.0134,77.4841,77.0134,77.2299,847585
2015-08-04,77.0793,78.0677,76.9616,77.7665,623162
2015-08-05,78.0677,78.7173,77.9218,78.642,506851
2015-08-06,78.7832,78.7832,78.1157,78.5384,469352
2015-08-07,78.2183,78.7079,78.1431,78.6796,571553
2015-08-10,79.075,79.9787,78.915,79.7057,825473
2015-08-11,79.1691,79.8093,78.9055,79.6492,947075
2015-08-12,79.1974,79.7622,78.1525,79.7057,947649
2015-08-13,79.7057,80.0069,79.4139,79.5551,518996
2015-08-14,79.6022,80.2329,79.4139,80.2046,406608
2015-08-17,79.9881,80.2329,79.5739,80.0164,542634
2015-08-18,80.0069,80.2988,79.6304,79.781,509663
2015-08-19,79.5268,79.5268,78.4537,78.6137,777306
2015-08-20,78.2842,78.4819,77.1264,77.1828,656491
2015-08-21,76.8439,76.9475,75.2248,75.253,835319
2015-08-24,72.2971,74.354,71.2428,72.7866,1334836
2015-08-25,74.0104,74.1233,71.5629,71.5629,950059
2015-08-26,72.6172,73.6762,71.6476,73.5209,903509
2015-08-27,73.9539,74.5008,73.3515,74.434,761611
2015-08-28,74.434,75.253,74.1799,75.2342,1145843
2015-08-31,74.6788,74.98,74.2175,74.6317,1041973
2015-09-01,73.9257,74.3493,72.749,73.0596,992547
2015-09-02,73.728,74.5376,73.4644,74.5376,746355
2015-09-03,74.7635,75.959,74.5564,75.3848,768891
2015-09-04,74.5752,74.6987,73.6339,74.1516,663374
2015-09-08,75.1212,76.1567,74.4811,76.1473,872268
2015-09-09,76.5992,76.9569,74.9989,75.1966,943441
2015-09-10,75.2342,76.0438,75.0459,75.366,550501
2015-09-11,75.253,76.1473,74.8624,76.1097,598827
2015-09-14,76.1567,76.6745,75.6296,76.345,817727
2015-09-15,76.4297,77.1734,75.7143,77.0228,598112
2015-09-16,77.2299,78.4254,76.7404,78.3219,1002313
2015-09-17,78.1807,79.235,77.9736,78.3313,874809
2015-09-18,77.6159,78.4443,77.2958,77.7947,3035808
2015-09-21,77.8889,78.6043,77.4841,78.3031,870830
2015-09-22,77.4747,78.1148,76.9475,77.6347,841919
2015-09-23,77.6629,77.8606,77.3146,77.71,665744
2015-09-24,77.437,78.369,76.9663,78.2748,656839
2015-09-25,78.5761,79.4892,78.1901,78.5384,699544
2015-09-28,78.3407,78.7079,76.6839,76.7216,764683
2015-09-29,76.9475,77.1358,75.6955,76.4297,1075478
2015-09-30,77.0322,77.5217,74.9612,77.3617,1295067
2015-10-01,75.2907,76.185,73.0973,74.0669,2436028
2015-10-02,73.1632,74.9518,73.1632,74.9518,1252815
2015-10-05,75.2719,77.0322,75.2719,76.8816,1256497
2015-10-06,76.7969,76.9946,76.0155,76.6651,1055026
2015-10-07,76.8722,77.4747,76.5521,77.0228,798350
2015-10-08,77.0039,78.7729,76.9282,78.281,707919
2015-10-09,78.3283,79.0851,78.3283,78.5364,658946
2015-10-12,78.5459,79.227,78.3851,78.8486,498018
2015-10-13,78.6499,78.9527,77.9688,78.1013,589651
2015-10-14,78.1296,78.3851,77.2073,77.3445,537438
2015-10-15,77.8931,78.0822,77.0985,77.3918,716564
