date,open,high,low,close,volume
2015-01-02,107.9171,108.9225,105.9836,107.163,478556
2015-01-05,106.2543,106.612,102.252,102.7934,671629
2015-01-06,102.803,104.3498,100.6859,101.8073,799928
2015-01-07,102.4647,105.1619,101.7976,104.1855,743422
2015-01-08,105.2489,108.6131,105.0749,108.1878,755221
2015-01-09,108.3424,108.7891,105.6066,106.1286,709635
2015-01-12,106.5926,106.728,103.8278,106.4283,533735
2015-01-13,107.54,108.5164,103.5571,105.1329,655369
2015-01-14,103.4411,103.9244,101.8556,103.1124,789235
2015-01-15,103.8084,104.1951,101.0532,101.1016,577879
2015-01-16,101.1402,104.4658,101.1402,104.3498,675537
2015-01-20,105.1135,105.3939,103.6199,104.9202,520279
2015-01-21,104.4465,107.221,104.4465,106.6796,644172
2015-01-22,106.9213,107.656,105.2489,107.2694,903051
2015-01-23,106.96,107.5497,105.2585,106.1769,375008
2015-01-26,106.4766,108.8548,104.6398,108.6905,584640
2015-01-27,107.2597,108.4923,105.5292,107.8591,505525
2015-01-28,108.0717,108.4768,103.8278,103.9728,600733
2015-01-29,103.7698,107.1147,101.8169,106.3606,928958
2015-01-30,105.5582,106.2833,103.18,104.1565,622884
2015-02-02,104.3885,110.0246,104.3885,109.5702,898771
2015-02-03,109.8699,111.8855,109.2995,111.3683,636316
2015-02-04,110.3919,112.9151,110.2082,111.1556,758613
2015-02-05,111.7937,115.2353,111.0783,113.6885,1138010
2015-02-06,113.6015,115.0999,113.4565,114.0462,881015
2015-02-09,114.1429,116.434,113.3211,115.1966,1070091
2015-02-10,124.2356,133.497,124.1003,132.6753,3942387
2015-02-11,133.0329,139.8485,132.9459,135.4305,2847994
2015-02-12,135.4691,137.9536,133.874,137.3543,1957377
2015-02-13,138.205,141.3469,137.77,140.3995,1559343
2015-02-17,139.9741,140.7474,138.2437,138.8914,1198250
2015-02-18,138.727,141.2116,138.437,140.1288,985509
2015-02-19,139.2104,140.8539,139.0267,140.1771,826714
2015-02-20,140.1191,140.1191,137.4219,138.4757,634415
2015-02-23,138.4757,139.7808,137.4219,138.6594,702148
2015-02-24,138.93,139.8581,137.799,138.524,508115
2015-02-25,138.8237,139.4424,137.0836,137.7506,545436
2015-02-26,139.5247,140.1161,136.5654,137.3046,703382
2015-02-27,137.6537,139.0012,137.4501,137.9833,492389
2015-03-02,138.7104,139.1078,137.0623,138.9721,542054
2015-03-03,137.6633,139.4569,137.6633,138.6328,572039
2015-03-04,137.8572,139.1466,137.1108,138.468,641623
2015-03-05,139.0691,139.3308,137.6633,138.1093,449324
2015-03-06,137.1786,138.4622,135.3657,136.3934,527997
2015-03-09,136.2576,137.1398,135.2213,135.5984,449741
2015-03-10,134.4932,135.3754,132.7385,133.4171,672068
2015-03-11,133.9503,135.4336,132.6513,134.6483,518462
2015-03-12,136.025,139.2823,135.8311,139.1078,864948
2015-03-13,138.8267,139.0691,135.8408,137.4791,687605
2015-03-16,137.9057,139.2145,137.2271,138.022,572335
2015-03-17,137.3143,138.7782,136.3741,138.0027,452496
2015-03-18,137.547,138.8752,134.7744,138.1384,704580
2015-03-19,136.9363,137.993,133.5916,134.4447,790490
2015-03-20,135.6663,137.2853,134.1733,134.2702,812807
2015-03-23,134.2702,137.0332,134.2702,135.356,566814
2015-03-24,135.6469,137.3143,135.5596,136.3934,375800
2015-03-25,136.9169,137.5664,134.4447,135.6856,701463
2015-03-26,135.6663,138.9236,135.0652,137.7797,826117
2015-03-27,137.4888,138.6328,136.3158,137.4016,618749
2015-03-30,138.3807,138.5456,137.4782,138.4777,585019
2015-03-31,137.5179,138.0899,135.4918,135.5305,661812
2015-04-01,135.7632,135.9086,132.3313,133.8825,847097
2015-04-02,133.7661,135.5015,132.6997,133.1651,573771
2015-04-06,132.9421,135.2203,132.2441,135.0846,737884
2015-04-07,134.5417,134.6968,131.6624,131.6624,703062
2015-04-08,131.7109,132.6609,130.0046,132.0308,995964
2015-04-09,132.0502,133.0778,131.2455,132.8257,346577
2015-04-10,132.5834,134.3769,132.5834,134.309,381997
2015-04-13,134.1151,134.9489,133.4947,133.7855,448421
2015-04-14,133.9503,134.7744,132.5834,133.9697,583949
2015-04-15,134.5708,138.9236,134.2993,137.8379,683502
2015-04-16,137.6052,137.8185,136.4127,137.673,612766
2015-04-17,136.2964,136.4321,134.532,135.9571,579598
2015-04-20,136.2673,136.6842,135.1331,135.6953,662344
2015-04-21,135.9862,136.1995,134.0667,134.1442,408209
2015-04-22,134.435,135.4433,131.7787,133.0487,595451
2015-04-23,133.1747,135.0033,132.5834,134.0182,767552
2015-04-24,134.5902,134.5902,132.8064,134.2993,367167
2015-04-27,134.2702,134.4254,131.5848,131.769,637200
2015-04-28,131.3425,132.6028,130.848,131.9435,645319
2015-04-29,131.168,133.7952,130.8674,132.1374,799131
2015-04-30,133.3977,141.8708,133.3977,138.2935,1888377
2015-05-01,139.3308,144.7113,137.9445,143.3153,1692439
2015-05-04,143.5771,145.7971,143.4995,143.8582,890210
2015-05-05,143.5964,144.5465,142.0841,142.3943,769746
2015-05-06,142.7336,146.0201,140.9401,144.5368,1072500
2015-05-07,144.1006,146.3788,143.1311,145.9813,1046381
2015-05-08,148.3274,151.0419,147.2223,150.1597,1181883
2015-05-11,149.6071,150.4117,148.1626,149.0836,833381
2015-05-12,148.1917,148.6667,145.768,146.1461,1406403
2015-05-13,147.5712,150.8674,147.5712,149.2678,1173158
2015-05-14,149.9658,150.3827,147.7263,149.9464,822555
2015-05-15,149.7913,150.6444,148.2983,150.5766,1066057
2015-05-18,150.2566,151.2164,148.3468,150.5669,606659
2015-05-19,150.5281,151.1388,148.3468,149.5489,403383
2015-05-20,149.9755,149.9755,147.5131,148.8121,608245
2015-05-21,148.5116,150.7608,148.3613,149.8592,688406
2015-05-22,149.4229,149.8068,146.7472,147.6488,1018212
2015-05-26,146.8344,147.6294,144.8955,146.5339,1384116
2015-05-27,146.7763,148.5213,146.1946,148.2208,1078841
2015-05-28,147.3848,148.6193,145.2464,146.8405,749642
2015-05-29,146.8405,147.064,144.4785,144.8382,1217825
2015-06-01,144.7312,145.8004,142.2526,142.9428,1501847
2015-06-02,142.8747,146.3913,142.5637,145.1978,1827062
2015-06-03,144.9354,145.9462,142.0874,143.7204,1351068
2015-06-04,142.7872,144.3424,141.5139,143.8564,1261834
2015-06-05,143.2052,145.8004,142.1506,143.9536,1097786
2015-06-08,143.9536,145.0714,142.8942,144.5077,641306
2015-06-09,144.4494,145.7021,143.526,144.4494,666481
2015-06-10,145.538,149.0955,145.538,147.414,903020
2015-06-11,147.6181,148.8623,146.6169,147.6958,846648
2015-06-12,147.2682,147.2682,143.0205,143.7495,830265
2015-06-15,142.4179,143.4385,140.7752,142.0194,683434
2015-06-16,141.8736,142.8553,140.989,141.6792,453602
2015-06-17,141.9513,142.8164,139.2394,140.9307,674512
2015-06-18,141.7083,143.837,140.7752,143.2344,622921
