date,open,high,low,close,volume
2015-01-02,53.0807,53.2653,52.2042,52.564,1529001
2015-01-05,52.3149,52.5825,52.0658,52.195,2526415
2015-01-06,52.1673,52.564,51.2446,51.4938,2226285
2015-01-07,51.909,52.3057,51.6598,52.1765,1529988
2015-01-08,52.6379,53.1915,52.6194,53.0531,1264479
2015-01-09,52.9885,53.0531,52.3149,52.3241,2038950
2015-01-12,52.3334,52.6102,51.7336,51.7613,1533826
2015-01-13,52.1488,52.8408,51.4753,51.8628,2171919
2015-01-14,51.3184,51.7613,51.1893,51.6414,1730239
2015-01-15,51.6598,52.0104,51.2631,51.4015,1641284
2015-01-16,51.383,52.3795,51.3554,52.3426,1645836
2015-01-20,52.6379,52.7117,52.2042,52.4256,2448665
2015-01-21,52.3795,52.5733,51.8813,52.2134,1916054
2015-01-22,52.436,53.0572,51.9538,52.9923,1688379
2015-01-23,53.0943,53.0943,52.4823,52.5287,1611406
2015-01-26,52.3433,52.5751,52.1763,52.4731,1584001
2015-01-27,51.9909,52.3433,51.6942,51.8796,1523228
2015-01-28,52.0929,52.2134,50.4053,50.4424,3959556
2015-01-29,50.4424,50.7298,50.1503,50.6835,2423529
2015-01-30,50.1271,50.4238,49.7933,49.8582,3442375
2015-02-02,49.9324,50.6464,49.6079,50.6278,3204349
2015-02-03,50.9246,51.1842,50.6557,51.1007,2924683
2015-02-04,51.0266,51.6246,51.0266,51.3047,2289369
2015-02-05,51.2491,51.773,50.9106,51.7591,2416062
2015-02-06,51.2862,52.0094,50.9987,51.3975,4509239
2015-02-09,50.5258,51.4716,50.5258,51.2769,4971761
2015-02-10,51.6293,51.7684,51.3047,51.4531,2130065
2015-02-11,51.3789,52.0651,51.3789,52.0094,2220576
2015-02-12,52.0836,52.4452,52.0651,52.4174,1881303
2015-02-13,52.2876,52.4082,52.1022,52.2134,2237688
2015-02-17,52.2227,52.5472,52.1114,52.3989,2862782
2015-02-18,52.4082,52.8532,52.2691,52.8347,2100262
2015-02-19,52.7512,52.9738,52.6585,52.9367,1739072
2015-02-20,52.6956,53.0758,52.334,52.9738,2105053
2015-02-23,52.844,52.9274,52.6678,52.8625,1322315
2015-02-24,52.8532,53.3864,52.7605,53.289,2258332
2015-02-25,53.1963,53.3818,52.9089,53.1036,2390645
2015-02-26,52.9831,53.1407,52.6771,52.8625,2047254
2015-02-27,52.7234,53.0758,52.6122,52.7512,1648751
2015-03-02,52.6863,53.1963,52.64,53.0758,1757091
2015-03-03,52.7976,53.0943,52.6678,52.8625,1562872
2015-03-04,52.6029,52.844,52.2783,52.3433,2140303
2015-03-05,52.3711,52.8811,52.3525,52.844,1640263
2015-03-06,52.7049,53.1129,52.1763,52.2505,2254479
2015-03-09,52.1856,52.5565,52.1671,52.4174,1488721
2015-03-10,51.9631,52.0558,51.5736,51.5829,2450028
2015-03-11,51.6293,51.8704,51.314,51.6664,1761960
2015-03-12,51.9074,52.4545,51.8425,52.3618,2880376
2015-03-13,52.3711,52.4267,51.7962,52.028,1847514
2015-03-16,52.2598,53.0433,52.2413,53.0201,1348721
2015-03-17,52.7605,53.1314,52.64,52.9645,1632601
2015-03-18,52.9367,53.8825,52.64,53.5487,2103312
2015-03-19,53.5394,53.5765,52.9831,53.3261,1736133
2015-03-20,53.6692,53.8454,53.3354,53.6507,2824329
2015-03-23,53.7619,53.8454,53.493,53.493,1740724
2015-03-24,53.5116,53.6878,53.0109,53.0109,1560176
2015-03-25,53.0109,53.0943,51.8518,51.8518,1916081
2015-03-26,51.5736,51.9074,51.4345,51.5551,1453604
2015-03-27,51.5829,51.7313,51.4067,51.5736,1759170
2015-03-30,51.8796,52.5472,51.8611,52.436,1449063
2015-03-31,52.0744,52.2505,51.8611,52.0094,1599829
2015-04-01,52.1207,52.3711,51.7313,52.0836,1843346
2015-04-02,51.9724,52.5194,51.8889,52.4452,1373384
2015-04-06,52.0094,53.1314,52.0094,52.844,1884651
2015-04-07,52.9181,52.9831,52.5936,52.6122,1245422
2015-04-08,52.6028,53.2272,52.5469,53.1154,1692239
2015-04-09,52.929,53.162,52.6681,52.9663,1906844
2015-04-10,52.9197,53.5161,52.8917,53.2272,1790011
2015-04-13,53.162,53.5813,53.0781,53.2645,1226672
2015-04-14,53.1526,53.544,52.9383,53.5161,1156517
2015-04-15,53.6279,53.8049,53.4695,53.5254,1262464
2015-04-16,53.367,53.572,53.0781,53.3111,2318654
2015-04-17,52.9476,53.0035,52.2301,52.3606,4353358
2015-04-20,52.4631,52.9569,52.4631,52.7799,2828972
2015-04-21,52.8265,52.9663,52.5842,52.724,1602836
