date,open,high,low,close,volume
2015-01-02,26.165,26.855,25.9692,26.6685,5282315
2015-01-05,26.1464,26.1464,25.0927,25.4284,7905134
2015-01-06,25.2978,25.9878,24.6824,25.0461,11319995
2015-01-07,25.4657,25.8107,25.0834,25.3538,7213727
2015-01-08,25.7641,25.8806,25.2885,25.8666,11658155
2015-01-09,25.8853,26.0112,25.517,25.7827,9600672
2015-01-12,25.3071,25.3538,24.3374,24.4679,8148149
2015-01-13,24.5145,24.9062,23.9364,24.1416,10820389
2015-01-14,23.8059,24.2628,23.1345,24.2068,10407592
2015-01-15,24.7477,24.8129,23.7266,23.7499,6164984
2015-01-16,23.9737,24.8875,23.9084,24.8036,7354182
2015-01-20,24.4679,24.5891,23.9304,24.1882,7265754
2015-01-21,24.4866,24.9761,24.3281,24.7943,6111928
2015-01-22,25.0927,25.1207,24.4306,25.0181,6521339
2015-01-23,24.9621,25.3957,24.7197,24.729,6296591
2015-01-26,24.7383,25.5309,24.5145,25.4284,5068004
2015-01-27,24.9901,25.2419,24.6264,25.1486,6458451
2015-01-28,24.9901,25.074,23.7453,23.8245,7137674
2015-01-29,24.067,24.1882,23.1718,23.8432,7761757
2015-01-30,23.638,25.0274,23.4515,24.8036,9581106
2015-02-02,25.2325,26.0811,25.0461,26.0158,11663232
2015-02-03,26.4821,26.9921,26.0997,26.8457,12666462
2015-02-04,26.2583,26.8084,25.8853,26.0904,11043632
2015-02-05,26.5567,26.7338,26.2023,26.4634,7309666
2015-02-06,26.7338,26.8364,25.9835,26.0718,8563999
2015-02-09,26.2769,26.7804,26.2023,26.3981,6373702
2015-02-10,26.3422,26.538,25.4936,26.4634,7840153
2015-02-11,26.0158,26.3844,25.5776,26.1837,6472699
2015-02-12,26.6592,27.1068,26.4914,26.8364,6066446
2015-02-13,27.2403,27.7194,27.1511,27.7006,6615016
2015-02-17,27.5972,27.8697,27.2591,27.8321,8148928
2015-02-18,27.3436,27.7522,27.0994,27.2591,8283433
2015-02-19,26.7425,27.4963,26.1225,27.2497,10128358
2015-02-20,27.2591,27.3436,26.4795,26.7425,9721418
2015-02-23,26.3292,26.9726,26.2634,26.8082,6024597
2015-02-24,27.2309,27.2309,26.6673,27.0806,6053522
2015-02-25,27.1464,27.3718,26.7425,27.2967,5724517
2015-02-26,26.9773,26.9961,26.1507,26.301,7463173
2015-02-27,26.4513,26.4513,26.0192,26.1695,5419343
2015-03-02,26.0286,26.1695,25.5307,25.991,5838527
2015-03-03,25.9628,26.3339,25.8313,26.0568,4665407
2015-03-04,26.0755,26.1037,25.4462,25.9347,5752958
2015-03-05,25.9159,25.9159,25.5683,25.681,4662835
2015-03-06,25.5026,25.6857,25.0705,25.155,5235027
2015-03-09,25.0423,25.3053,24.6854,24.7041,6099562
2015-03-10,24.4223,24.8638,24.2533,24.2533,6198909
2015-03-11,24.4036,24.582,24.1593,24.2251,7315215
2015-03-12,24.4317,24.4975,24.0184,24.056,6936281
2015-03-13,23.8306,24.2439,23.5957,24.2157,6916434
2015-03-16,23.9996,24.4599,23.7554,24.4317,5028376
2015-03-17,24.2908,24.366,23.8588,24.009,5121565
2015-03-18,23.793,24.9014,23.5488,24.7417,7257217
2015-03-19,24.1875,24.4599,24.0889,24.1312,5958918
2015-03-20,24.4129,24.8544,24.3284,24.5914,12289916
2015-03-23,24.676,24.9108,24.3284,24.3378,6559244
2015-03-24,24.2814,24.4975,24.1922,24.3284,5937272
