date,open,high,low,close,volume
2015-01-02,62.3106,62.4859,61.2266,61.3604,1083371
2015-01-05,61.1113,61.3281,59.9304,60.0226,1638285
2015-01-06,59.9673,60.1702,59.1462,59.5152,1739863
2015-01-07,59.9673,59.9673,58.9801,59.4414,1567628
2015-01-08,59.8842,60.5485,59.8566,60.364,1237316
2015-01-09,60.5854,60.7699,60.0595,60.0688,908542
2015-01-12,60.0688,60.1979,57.9561,59.3676,5705671
2015-01-13,59.9765,60.5946,58.8602,59.1462,3212931
2015-01-14,58.7772,59.1093,58.279,58.8233,1554517
2015-01-15,59.0263,59.3584,58.445,58.5004,1471584
2015-01-16,58.2697,59.1185,58.1959,59.0908,1668142
2015-01-20,59.4322,59.6352,58.731,59.0632,1640106
2015-01-21,58.8233,59.4276,58.6572,59.3307,1171577
2015-01-22,59.5613,60.4839,59.22,60.2994,970439
2015-01-23,60.3363,60.9729,60.3363,60.4101,771781
2015-01-26,60.2625,60.8345,60.0872,60.6223,816038
2015-01-27,59.9765,60.3179,59.4968,59.9119,974596
2015-01-28,60.3917,60.5024,58.8879,58.8971,1003534
2015-01-29,58.8141,59.0355,58.0668,58.8879,1459563
2015-01-30,58.6111,58.7495,57.4948,57.5778,2298581
2015-02-02,57.8823,57.9468,57.0981,57.9468,2802091
2015-02-03,58.2513,59.1093,58.2513,59.0539,2474913
2015-02-04,59.1831,60.6039,58.0391,58.9893,3794239
2015-02-05,58.9063,59.137,58.2697,59.0447,2375790
2015-02-06,59.0539,60.0503,58.9248,59.6536,1587090
2015-02-09,64.6816,64.82,61.8216,62.532,7314820
2015-02-10,62.3844,63.0856,62.0154,62.938,2444831
2015-02-11,62.9011,63.4546,62.9011,63.2609,1592275
2015-02-12,63.5376,64.5986,63.5376,64.5801,2193812
2015-02-13,64.5709,64.6355,64.1742,64.4971,2294483
2015-02-17,64.2757,64.7185,63.9343,64.3864,1880528
2015-02-18,64.248,64.3772,63.6618,63.7683,1587619
2015-02-19,64.0082,64.2665,63.6114,63.6852,1893841
2015-02-20,63.6022,64.4602,63.4638,64.4233,2353877
2015-02-23,64.4418,64.4418,63.1778,63.3162,1415395
2015-02-24,63.2332,63.4731,62.9287,63.224,1138324
2015-02-25,63.1778,63.1778,62.6704,62.7535,1416129
2015-02-26,62.8365,63.2609,62.5044,63.1686,1555504
2015-02-27,63.0025,63.1963,62.3752,62.6796,5007195
2015-03-02,62.735,63.8006,62.735,63.5561,1490886
2015-03-03,63.3439,63.6576,62.8273,62.8642,1197556
2015-03-04,62.5413,62.652,61.7847,62.4029,1351368
2015-03-05,62.652,62.8595,62.4767,62.6704,1053188
2015-03-06,62.3383,62.5505,61.4895,61.6464,1313497
2015-03-09,61.6464,61.8678,61.305,61.4157,1295752
2015-03-10,61.1113,61.2128,59.9857,60.2717,1971415
2015-03-11,60.587,61.0229,60.4757,60.5685,1330902
2015-03-12,60.0167,60.5963,59.9749,60.2439,1657436
2015-03-13,60.2903,60.6334,59.5205,60.0955,1557723
2015-03-16,60.2439,61.2084,60.179,61.0785,1032903
2015-03-17,60.6983,60.7632,60.1882,60.5777,1226887
2015-03-18,60.3552,62.2007,60.3459,61.8112,1437518
2015-03-19,61.6257,62.1451,61.2547,61.5237,1383468
2015-03-20,61.7092,62.4047,61.6257,61.9781,2748716
2015-03-23,61.9132,62.1358,61.6906,61.6906,904864
2015-03-24,61.7741,62.0245,61.4124,61.4217,843464
2015-03-25,61.4031,61.4124,60.5128,60.6056,1218967
2015-03-26,60.2161,60.8003,59.8451,60.6705,957142
2015-03-27,60.6427,60.8652,59.8915,60.6334,1213005
2015-03-30,61.0693,61.635,60.9487,61.5701,968977
2015-03-31,61.4402,62.043,61.3382,61.8297,1722850
2015-04-01,61.8205,61.9039,61.2733,61.8297,1110427
2015-04-02,61.8297,62.5624,56.7105,57.9718,8069887
2015-04-06,57.5822,57.7214,56.998,57.0165,3462844
2015-04-07,57.0165,57.8605,56.8311,57.4895,1357982
2015-04-08,57.406,57.9254,57.0304,57.8883,1488314
2015-04-09,57.7492,57.9068,57.3087,57.7955,923864
2015-04-10,57.7306,58.0459,57.6008,57.9903,900428
2015-04-13,57.9903,58.4169,57.4014,57.471,1257002
2015-04-14,57.5081,57.6286,57.1742,57.4153,1286058
