date,open,high,low,close,volume
2015-01-02,116.7697,117.1115,114.4329,115.8183,438510
2015-01-05,114.8947,114.9871,111.8189,112.0867,671218
2015-01-06,112.253,112.3638,108.9186,109.5744,889613
2015-01-07,110.692,110.9506,108.6045,109.8053,748156
2015-01-08,110.9229,112.3361,110.4612,112.0313,753072
2015-01-09,111.939,111.939,109.7776,109.7776,582646
2015-01-12,109.7776,109.7776,107.9672,109.0571,1159751
2015-01-13,109.7499,110.6828,109.2234,109.7776,1703567
2015-01-14,108.0965,108.9001,104.328,106.5078,1355872
2015-01-15,106.1014,107.54,105.0022,105.6488,1020664
2015-01-16,105.2978,106.9973,105.0299,106.2492,1232841
2015-01-20,106.4524,107.9857,104.0416,104.2448,1013513
2015-01-21,103.9123,105.0669,103.2473,103.7091,1093213
2015-01-22,104.1709,108.5583,104.0887,108.1889,968724
2015-01-23,107.6901,108.272,106.397,106.4247,442218
2015-01-26,106.2215,107.9857,105.5287,107.9764,602519
2015-01-27,106.7203,107.9764,106.3415,107.2837,828553
2015-01-28,107.607,107.9995,105.0392,105.0392,1108016
2015-01-29,104.9468,106.6741,104.6235,106.5909,680583
2015-01-30,104.9561,106.2307,104.4296,104.5219,1035216
2015-02-02,105.307,106.905,104.5681,106.7295,974033
2015-02-03,107.1451,109.3157,107.1451,109.2603,706067
2015-02-04,108.8632,110.4241,108.7431,109.5374,866456
2015-02-05,109.8884,110.4888,109.7499,110.341,770025
2015-02-06,112.0498,114.4421,111.0799,112.3638,841791
2015-02-09,111.4587,112.1514,110.7567,111.394,467739
2015-02-10,112.1422,112.1699,110.9506,111.902,412135
2015-02-11,111.4771,111.7912,110.6316,111.3293,419735
2015-02-12,111.7173,113.9895,111.6064,113.9618,793499
2015-02-13,114.1465,114.8938,113.4722,114.4421,747216
2015-02-17,114.4329,115.2734,113.6016,114.5622,631555
2015-02-18,114.2574,114.4421,112.1699,112.41,775133
2015-02-19,112.3454,112.6779,111.1538,111.9574,709682
2015-02-20,111.5141,112.3224,110.3411,112.0775,1243000
2015-02-23,111.8096,112.1052,111.2139,111.9482,468106
2015-02-24,111.8466,112.9642,111.7542,112.2992,872743
2015-02-25,112.41,112.4285,111.6803,112.2807,659616
2015-02-26,112.2807,112.8381,112.002,112.7359,951495
2015-02-27,112.6708,113.0517,111.9927,112.4107,600364
2015-03-02,112.7359,114.278,112.2481,114.0551,751419
2015-03-03,113.6184,114.2316,113.1539,114.0179,641072
2015-03-04,113.2933,113.8321,112.8985,113.7578,593335
2015-03-05,113.9343,114.5196,112.9217,114.4731,724811
2015-03-06,114.5475,117.0186,114.4453,115.5972,1126918
2015-03-09,115.2349,115.9596,114.7333,115.6344,623510
2015-03-10,114.7425,114.7425,112.6801,112.6801,656648
2015-03-11,112.9403,113.3769,112.5594,113.0239,826143
2015-03-12,113.6277,116.8328,113.6277,116.7213,947974
2015-03-13,116.6935,116.7585,115.3836,116.3312,533071
2015-03-16,116.9722,117.0744,116.1361,117.0558,758756
2015-03-17,116.3869,117.7061,116.0896,117.7061,901284
2015-03-18,117.576,118.7187,117.0465,118.0498,1077544
2015-03-19,117.4646,117.9569,116.3497,117.4831,662546
2015-03-20,118.1242,119.1832,117.7897,118.9138,901457
2015-03-23,118.9138,120.3817,118.2078,118.2914,1713745
2015-03-24,118.2356,118.3285,116.6284,117.0837,1552638
2015-03-25,117.0558,117.0744,114.566,114.566,946647
2015-03-26,114.5753,115.7087,113.7392,115.3,689560
2015-03-27,115.2628,116.2197,114.5312,116.0989,970271
2015-03-30,116.6192,118.4772,116.4241,117.8733,657433
2015-03-31,117.2695,118.2171,116.87,117.9848,902582
2015-04-01,117.9012,117.9384,116.359,117.2973,591972
2015-04-02,117.1951,118.4679,116.4705,118.1799,604812
2015-04-06,115.2071,115.7923,112.643,114.9748,3864938
2015-04-07,114.7611,116.9072,114.7611,115.6994,2271128
2015-04-08,116.0525,116.1082,114.6868,115.43,1206495
2015-04-09,115.3836,116.0246,115.0027,115.8481,1698796
2015-04-10,115.7552,116.1175,115.1234,115.5601,1065737
2015-04-13,114.278,115.9967,114.2688,115.3929,913656
2015-04-14,114.5939,115.4672,113.7671,114.5103,1070365
2015-04-15,115.0398,116.2568,114.5382,115.1792,1565402
2015-04-16,115.012,115.1643,114.2316,114.4638,807758
2015-04-17,113.8228,114.4917,112.0066,112.2342,1403819
2015-04-20,112.1041,112.7916,110.5062,110.7478,1714921
2015-04-21,110.915,111.6025,110.0603,111.0079,1108565
2015-04-22,110.9057,112.0562,110.274,111.9462,867858
2015-04-23,111.6396,112.067,111.1194,111.6582,570001
2015-04-24,111.4167,111.8858,110.5118,111.1194,591547
2015-04-27,111.1937,111.9741,109.4936,109.9674,1074398
2015-04-28,109.9767,112.0856,109.7073,111.8812,926105
2015-04-29,111.4353,112.5872,111.2587,111.6396,1025364
2015-04-30,111.491,112.2992,110.7199,111.1751,846605
2015-05-01,111.8998,112.1682,110.3669,110.8221,497263
2015-05-04,111.2123,113.1539,110.9615,113.0796,1176442
2015-05-05,112.3643,113.1168,111.6768,111.7604,1243308
2015-05-06,112.2435,112.6894,111.4074,112.2435,672173
2015-05-07,112.3457,112.4572,111.1101,111.6489,704686
2015-05-08,112.4479,113.1539,111.8069,112.8752,606845
2015-05-11,112.6151,113.1818,112.3736,112.643,486783
2015-05-12,112.0205,113.061,111.426,112.6894,795643
2015-05-13,112.5129,113.507,111.9183,113.3583,919830
2015-05-14,114.213,114.2502,113.2375,114.0829,737452
2015-05-15,114.213,114.2409,112.0577,112.5965,1241181
2015-05-18,112.5965,113.99,112.4014,113.8135,528032
2015-05-19,114.2223,115.2442,113.8786,115.2442,1150651
2015-05-20,114.9748,115.5229,114.1851,114.8076,507907
2015-05-21,114.3895,115.1327,114.2037,114.8354,493637
2015-05-22,114.6218,115.1327,114.2502,114.4174,636284
2015-05-26,114.0458,114.4137,112.8845,113.4233,574075
2015-05-27,113.86,114.1851,113.219,113.5906,753485
2015-05-28,113.5625,113.9737,113.058,113.7961,667416
2015-05-29,113.9082,113.9718,112.7964,112.9459,808252
2015-06-01,113.5158,113.9363,111.8433,111.9835,616454
2015-06-02,111.8527,113.1981,111.7125,113.0767,568909
2015-06-03,113.2542,115.0949,112.6487,114.5903,641481
2015-06-04,113.9176,114.8893,113.6395,113.9923,978113
2015-06-05,115.1229,115.9358,114.609,115.7303,618182
2015-06-08,115.4313,116.5618,115.0762,115.833,710686
2015-06-09,115.7209,117.2393,115.5013,116.6459,545898
2015-06-10,117.0103,118.7856,116.9076,118.1316,544915
2015-06-11,118.1783,118.6642,117.599,117.926,498254
2015-06-12,117.6831,117.9354,117.1879,117.8513,321018
2015-06-15,117.0664,118.1503,116.5525,117.4962,482609
2015-06-16,117.3934,118.2717,117.0898,118.0381,346585
2015-06-17,118.5147,118.552,116.9169,117.0757,748893
2015-06-18,117.5149,118.6268,116.7347,118.2624,814027
2015-06-19,117.926,118.3278,117.3,117.3841,1069742
2015-06-22,118.4306,118.8791,118.2811,118.6828,565702
2015-06-23,119.2248,120.1778,118.9164,119.748,642435
2015-06-24,119.449,120.2526,119.122,119.1407,516291
2015-06-25,119.7106,120.019,118.6735,118.9445,562258
2015-06-26,119.5892,120.047,119.2622,119.5611,349288
2015-06-29,118.2624,118.7015,116.4404,116.4777,512518
2015-06-30,117.8326,118.5614,116.403,116.73,750056
