date,open,high,low,close,volume
2015-01-02,44.6579,45.1608,43.6048,44.4777,2962394
2015-01-05,43.6807,43.842,40.028,40.2177,7058559
2015-01-06,40.1134,40.6826,39.1931,39.7529,3831904
2015-01-07,40.3221,40.7396,39.3639,39.6011,3108522
2015-01-08,39.9806,41.195,39.4303,40.9673,3824767
2015-01-09,40.9957,41.6314,40.4075,41.3373,2997982
2015-01-12,40.3126,40.6257,38.9085,39.3923,3513397
2015-01-13,39.639,40.6257,39.2026,40.3601,5025671
2015-01-14,39.8857,40.7585,39.269,40.6542,3661791
2015-01-15,41.5365,41.954,40.749,40.7775,4062217
2015-01-16,41.1191,43.1968,41.0242,43.1589,3466671
2015-01-20,42.5801,43.6902,41.897,43.5574,4098455
2015-01-21,43.9843,45.009,43.9274,44.5251,3183949
2015-01-22,44.7338,44.9331,43.453,44.3448,2552628
2015-01-23,43.9179,44.582,43.6807,43.8989,2820480
2015-01-26,44.0412,45.1323,43.3392,45.0849,3087762
2015-01-27,44.8382,45.6446,44.231,45.1418,3009298
2015-01-28,44.6484,44.8761,43.1684,43.6997,4142967
2015-01-29,44.1551,45.1418,42.7794,45.0754,3649706
2015-01-30,44.5156,45.6731,43.8894,45.2936,3959474
2015-02-02,46.2518,47.2101,45.8628,47.1816,3691764
2015-02-03,48.1114,49.7309,47.1161,47.637,5787422
2015-02-04,46.6693,46.727,45.1892,45.4359,4475803
2015-02-05,46.1406,46.7597,45.7035,46.1787,2973433
2015-02-06,46.7787,46.8549,44.5979,45.4454,3898990
2015-02-09,45.7978,46.2645,44.6312,44.7407,3236335
2015-02-10,44.7693,45.7121,43.5884,45.5978,3327190
2015-02-11,44.5883,46.1243,44.3883,45.655,3110193
2015-02-12,46.6168,47.112,46.0264,46.5216,2392737
2015-02-13,47.312,48.4548,47.1692,48.3691,3158588
2015-02-17,48.0167,48.8548,47.6644,48.3882,3032771
2015-02-18,47.7691,49.3024,47.5215,48.2739,4653791
2015-02-19,46.0645,47.3977,45.0836,47.3311,5125481
2015-02-20,47.2454,47.7501,46.2645,46.7406,2955139
2015-02-23,46.1502,46.9216,45.8264,46.1883,2338902
2015-02-24,46.7978,47.3406,46.1883,47.3025,2632894
2015-02-25,46.9977,47.6549,46.8244,47.4358,2207236
2015-02-26,45.2074,45.874,44.7883,45.0645,19819890
2015-02-27,45.5692,45.8549,44.5217,44.9788,6800558
2015-03-02,44.8264,44.9693,43.9788,44.1979,6016025
2015-03-03,44.5502,45.3121,44.2169,44.7407,4292301
2015-03-04,44.8169,45.1883,43.9122,44.9598,4021817
2015-03-05,44.7312,45.2359,43.8169,43.8741,5837891
2015-03-06,43.2836,44.3598,43.036,43.2265,5692576
2015-03-09,43.2265,43.7122,42.8551,42.8741,3258694
2015-03-10,42.217,43.1694,42.1599,42.1599,2520793
2015-03-11,42.1885,42.5599,41.8694,42.2646,3101906
2015-03-12,42.598,42.6646,42.0266,42.1408,2309936
2015-03-13,41.6075,42.1599,41.2456,41.9313,3543480
2015-03-16,41.579,43.4741,41.5409,43.436,4153553
2015-03-17,43.1598,43.8741,42.7694,43.436,3563757
2015-03-18,43.0932,46.3787,43.017,45.8264,5033686
2015-03-19,44.855,45.6169,44.5788,45.3121,3170991
2015-03-20,45.7121,46.493,45.3693,45.5597,5140253
2015-03-23,45.7311,46.1692,44.1693,44.1884,3238683
2015-03-24,44.3407,44.4169,43.4074,43.7027,3505584
2015-03-25,44.1122,44.9502,43.3027,44.5407,3905483
2015-03-26,45.5026,45.8549,44.6836,45.655,3267158
2015-03-27,45.2074,46.2978,44.9502,45.7121,3383400
2015-03-30,46.1978,46.8168,45.4455,46.712,3237444
2015-03-31,45.9597,47.3501,45.9311,46.5692,4132257
2015-04-01,46.9216,47.4834,46.4454,46.5406,3238529
2015-04-02,46.1978,47.6072,45.9407,47.5406,3100204
2015-04-06,48.112,48.5024,47.5025,48.2358,2592108
2015-04-07,48.2453,48.9691,47.7453,47.9025,2802217
2015-04-08,48.2358,48.6167,47.4834,47.5501,2454824
2015-04-09,47.8168,48.5501,47.5025,48.4929,3063033
2015-04-10,48.6262,48.8453,48.2834,48.4929,1560408
2015-04-13,48.9215,49.15,47.9406,48.1596,1896752
2015-04-14,48.5786,49.2738,48.4072,49.2643,2734294
2015-04-15,49.6738,51.1166,49.3214,50.9214,3495422
2015-04-16,50.5309,50.8833,50.0262,50.0833,3608365
2015-04-17,49.7405,50.3881,49.3595,49.6167,3880314
2015-04-20,49.8071,50.6928,49.6833,50.2452,2301027
2015-04-21,49.8357,50.1214,48.5881,48.6929,2703779
2015-04-22,49.2072,49.4167,48.4929,48.7405,2424362
2015-04-23,48.8453,49.8071,48.8453,49.0548,2314818
2015-04-24,48.8072,48.931,47.6263,48.0834,2979652
2015-04-27,48.512,48.7072,47.2263,47.3977,3872308
2015-04-28,47.312,47.7596,46.7978,47.7025,4144764
2015-04-29,47.5501,48.6929,47.3787,48.2072,3198826
2015-04-30,48.4643,48.9119,47.6644,48.3024,3113867
2015-05-01,48.3405,48.5691,47.7061,47.8453,2429396
2015-05-04,47.9596,48.7596,47.7215,48.5596,3722241
2015-05-05,49.8452,50.1786,47.4073,47.4168,7426727
2015-05-06,47.9977,48.7043,46.3311,46.8359,3697587
2015-05-07,46.7594,46.7594,45.3925,45.9947,3640604
2015-05-08,46.4631,47.1991,45.6411,46.9506,4166803
2015-05-11,44.6566,45.2587,43.3088,44.0353,20886865
2015-05-12,43.8441,44.2742,43.6147,43.9684,6719328
2015-05-13,44.3794,44.5705,43.1368,43.2801,6508430
2015-05-14,43.4331,43.5096,42.267,42.5346,6765072
2015-05-15,42.5155,43.2515,42.1618,42.8978,4237946
2015-05-18,42.9456,43.2706,42.6302,43.1177,3486772
2015-05-19,42.6302,42.7353,41.9324,42.2765,3482919
2015-05-20,42.2861,42.4103,41.5405,42.0662,3468098
2015-05-21,42.4773,42.525,41.8082,41.8655,4967113
2015-05-22,41.5119,42.2478,41.2538,41.8655,3883262
2015-05-26,41.9993,42.8022,41.7986,42.2001,6190398
2015-05-27,42.1427,42.3863,41.0817,41.4067,4745310
2015-05-28,41.2729,41.9802,40.9097,41.7221,5195967
2015-05-29,41.8464,42.3052,41.3494,41.8464,4578430
2015-06-01,41.6552,41.8368,41.0865,41.4163,4065994
2015-06-02,41.7413,42.4868,41.1869,42.0854,2709912
2015-06-03,42.0185,42.4677,41.7221,42.353,3965878
2015-06-04,41.8846,42.0567,41.4832,41.7699,5211168
2015-06-05,41.4736,42.9743,41.4641,42.6206,5337775
2015-06-08,42.3817,42.7831,42.1618,42.7162,5231535
2015-06-09,43.4235,44.5036,43.4044,43.7294,6903868
2015-06-10,44.5514,44.8286,44.1691,44.5705,4937134
2015-06-11,44.6088,44.8606,44.1308,44.5801,3634343
2015-06-12,44.3602,44.6948,44.04,44.322,3494070
2015-06-15,43.9206,44.2838,43.3423,43.3757,3411395
2015-06-16,43.2801,43.6625,43.0173,43.4904,3532062
2015-06-17,43.9014,44.2455,42.764,42.9265,3652244
2015-06-18,43.1559,43.3853,42.4295,42.4964,3456219
2015-06-19,42.2287,42.5728,41.4067,41.6074,4021404
2015-06-22,41.8082,42.6302,41.292,42.3625,2786612
2015-06-23,42.3912,43.046,42.1809,42.8214,3566956
2015-06-24,42.5728,42.9265,42.1618,42.7544,3339658
2015-06-25,42.936,43.2993,42.6875,42.9456,3962037
2015-06-26,42.8405,42.9934,42.4868,42.8309,8807277
2015-06-29,42.1714,42.5442,40.5608,40.7759,5670321
2015-06-30,41.3016,41.3589,40.2657,40.795,5329420
2015-07-01,41.1295,41.1295,39.2537,39.4759,4585568
2015-07-02,39.323,39.8965,39.1223,39.2083,3578945
2015-07-06,38.4723,38.9311,37.9562,38.415,4776179
2015-07-07,38.5488,39.1701,37.0672,38.9693,5919856
2015-07-08,38.5679,38.8164,37.0099,37.3349,5533477
2015-07-09,38.1091,38.348,37.5738,37.5738,4453301
2015-07-10,37.9179,38.1856,37.1724,37.3349,3640101
2015-07-13,37.4974,37.4974,36.8856,37.1819,4769628
2015-07-14,37.5069,37.9562,37.0194,37.851,5447471
2015-07-15,37.5738,38.1569,36.8761,37.0386,4132088
2015-07-16,37.3444,37.3444,36.5176,36.6849,3425388
2015-07-17,36.6849,37.1628,35.882,36.6467,5592599
2015-07-20,36.4077,36.4077,35.2798,35.3372,9410628
2015-07-21,35.3945,35.882,35.1938,35.2225,7612126
2015-07-22,35.3085,35.6335,34.8019,35.2703,7017150
2015-07-23,35.3085,35.5475,34.606,35.0791,3994304
2015-07-24,35.2034,35.2129,33.76,33.8078,4751471
2015-07-27,33.2152,33.8986,32.7373,33.1961,4661768
2015-07-28,33.7983,35.4328,33.1961,33.9321,8547322
2015-07-29,33.7792,34.8401,33.6836,34.5629,6516346
2015-07-30,34.563,35.2018,34.1403,34.7263,4844875
2015-07-31,34.4861,34.859,33.6119,33.8425,5629138
2015-08-03,33.5927,33.5927,32.3391,32.4208,6915339
2015-08-04,32.7186,33.3814,32.3777,32.6705,5022014
2015-08-05,33.1797,33.6888,32.0557,32.0942,4921387
2015-08-06,31.758,32.6513,31.1143,32.5745,6189267
2015-08-07,32.4208,32.8915,31.1624,31.4121,4168363
2015-08-10,31.5082,32.9683,31.3257,32.8915,4565661
2015-08-11,31.9789,32.8627,31.6811,32.8242,4045778
2015-08-12,32.6129,34.1979,32.5457,33.9193,5097544
2015-08-13,34.4573,34.8896,33.4775,34.8703,12258610
2015-08-14,34.7839,35.6388,34.4044,34.5822,6692360
2015-08-17,33.9578,34.6734,33.8041,34.0442,4279375
2015-08-18,34.1691,34.2459,33.4678,33.7176,5064583
2015-08-19,33.4678,33.7176,32.392,32.8723,4984953
2015-08-20,32.7666,33.122,31.8156,31.8156,4246998
2015-08-21,31.6139,32.0365,31.1047,31.5562,5688185
2015-08-24,28.05,31.0951,28.0212,29.9424,9179560
2015-08-25,31.3257,31.3449,29.3948,29.4909,6645272
2015-08-26,30.2498,30.5188,29.6254,30.4995,5143875
2015-08-27,31.1816,32.8915,30.9895,32.3439,7281678
2015-08-28,32.1038,33.8809,32.0077,33.1701,5596716
2015-08-31,31.22,32.7474,30.317,32.0942,13431674
2015-09-01,31.0951,31.2392,29.4669,29.8848,10712879
2015-09-02,30.4035,30.5092,28.3189,29.1451,14311979
2015-09-03,29.5485,30.4419,28.7224,29.0202,13545909
2015-09-04,28.7128,29.8944,28.3958,29.5197,15210728
2015-09-08,30.0865,30.317,29.1643,30.1825,9292334
