date,open,high,low,close,volume
2015-01-02,18.1393,18.8542,18.0907,18.8105,6535481
2015-01-05,18.9758,19.0633,18.3436,18.9272,7508108
2015-01-06,19.112,20.0943,19.0828,19.715,13198107
2015-01-07,19.4913,19.9581,19.1995,19.5399,8172062
2015-01-08,19.5496,19.822,19.3454,19.4329,7803436
2015-01-09,19.6566,20.1624,19.6178,20.1527,7538177
2015-01-12,20.2888,20.814,20.1138,20.6098,9234064
2015-01-13,20.9113,20.9405,19.6664,19.8025,12074606
2015-01-14,19.9679,20.1721,18.8883,19.219,13542033
2015-01-15,20.1818,21.3004,20.0846,20.921,16723985
2015-01-16,21.1253,21.6797,20.9016,21.6797,17596208
2015-01-20,22.2243,23.0705,22.0979,22.9246,17819246
2015-01-21,23.1192,23.7708,22.7885,23.6541,16960627
2015-01-22,23.6444,24.014,23.3234,23.6249,13132673
2015-01-23,23.479,23.7611,23.0219,23.4887,12056762
2015-01-26,23.1678,23.9556,22.7107,23.8194,11189193
2015-01-27,23.9945,24.5586,23.8582,24.4516,10774534
2015-01-28,24.2085,24.3641,23.3672,23.5957,11251272
2015-01-29,22.9635,23.6735,22.7787,23.5082,8849962
2015-01-30,23.5277,24.5295,23.265,24.4614,11594449
2015-02-02,24.0626,24.51,23.8875,24.4225,7496977
2015-02-03,24.1599,24.3787,23.479,23.9459,9038078
2015-02-04,24.1404,24.3447,23.8292,24.1404,7071111
2015-02-05,23.8778,24.1793,23.7027,24.1404,6029502
2015-02-06,23.3429,23.6346,22.9441,23.3915,8316619
2015-02-09,23.5666,24.0626,23.5033,23.9362,5873551
2015-02-10,23.6249,23.8972,23.304,23.7416,6217377
2015-02-11,23.7611,23.9264,23.4304,23.479,5087339
2015-02-12,23.7416,24.0237,23.4498,23.8389,4488646
2015-02-13,24.0723,24.3738,23.9848,24.1015,5186788
2015-02-17,23.6735,23.9264,23.5082,23.5277,6205214
2015-02-18,23.4887,24.1696,23.197,24.0626,8069882
2015-02-19,24.1307,24.3349,23.7173,23.7903,8870899
2015-02-20,24.4905,25.6577,24.3836,24.8796,13558308
2015-02-23,24.8212,25.4145,24.5586,25.2492,7609649
2015-02-24,24.5197,25.2006,24.51,25.1033,5847896
2015-02-25,25.2881,25.4145,25.113,25.3367,7922965
2015-02-26,25.6188,25.823,25.4048,25.5896,6210645
2015-02-27,25.6771,25.9689,25.541,25.6091,5931795
2015-03-02,25.6771,25.7841,24.899,25.1811,7679297
2015-03-03,25.22,25.6139,24.8212,24.9185,7914920
2015-03-04,24.8115,25.0012,24.403,24.5003,7142054
2015-03-05,24.617,24.9477,24.51,24.6073,3450516
2015-03-06,23.6346,23.7416,22.5064,22.662,11443728
