date,open,high,low,close,volume
2015-01-02,26.84,27.43,26.12,26.6,4059488
2015-01-05,25.94,26.13,24.53,24.9,4016121
2015-01-06,24.67,25.13,23.83,24.6,3993140
2015-01-07,24.94,25.18,23.39,23.61,4913239
2015-01-08,23.64,24.39,23.18,23.98,7448172
2015-01-09,24.25,24.71,23.59,24.5,4499535
2015-01-12,23.94,24.05,22.48,22.73,3784579
2015-01-13,22.77,23.31,22.5,22.9,3228549
2015-01-14,22.62,24.235,22.31,24.19,4849829
2015-01-15,24.75,24.96,23.48,23.5,4249042
2015-01-16,23.69,25.97,23.69,25.88,4604055
2015-01-20,25.69,26.51,24.82,26.28,4659551
2015-01-21,26.67,28.14,26.55,28.09,5337595
2015-01-22,28.31,28.58,27.44,28.53,4997648
2015-01-23,28.76,29.57,28.27,28.49,5077583
2015-01-26,28.71,28.76,27.64,28.29,3507931
2015-01-27,28.12,29.12,28.01,28.77,2695662
2015-01-28,28.43,28.43,27.25,27.43,3576171
2015-01-29,27.82,28.635,27.15,28.51,4304631
2015-01-30,28.05,30.255,27.78,29.78,4538937
2015-02-02,30.13,30.94,29.56,30.93,5025322
2015-02-03,31.1,32.54,31.02,32.18,6199636
2015-02-04,31.37,31.97,30.42,30.99,4398118
2015-02-05,31.66,32.05,30.595,30.89,5097562
2015-02-06,31.24,31.48,30.32,30.79,3550344
2015-02-09,31.02,31.68,30.38,30.56,3287329
2015-02-10,30.2,30.33,28.96,30.18,4403049
2015-02-11,29.34,30.18,28.68,29.91,3085979
2015-02-12,30.62,31.11,30.28,30.89,2584002
2015-02-13,31.38,32.465,31.25,32.24,4031659
2015-02-17,32.0,33.46,31.95,33.09,3995035
2015-02-18,32.63,33.21,32.08,32.85,3674729
2015-02-19,31.81,33.025,31.23,32.78,2470834
2015-02-20,32.83,33.13,31.69,32.09,2768912
2015-02-23,31.59,32.36,31.48,31.71,3206351
2015-02-24,32.1,32.4,31.37,31.67,3360193
2015-02-25,31.92,36.26,31.92,36.0,9043127
2015-02-26,33.88,33.99,32.91,33.6,22585890
2015-02-27,33.81,34.07,32.99,33.03,6640433
2015-03-02,32.91,33.08,31.6,32.43,5177241
2015-03-03,32.64,33.55,32.48,32.94,3609225
2015-03-04,33.11,33.5,31.96,33.18,4726714
2015-03-05,33.15,33.15,32.26,32.77,2915592
2015-03-06,32.31,32.94,31.81,32.0,2248834
2015-03-09,31.99,32.38,31.47,31.69,1920484
2015-03-10,31.09,31.73,30.86,30.96,2113100
2015-03-11,31.02,31.56,30.91,31.28,1871653
2015-03-12,31.34,31.69,31.03,31.1,2117848
2015-03-13,30.7,31.4,30.15,31.36,3598692
2015-03-16,31.09,31.8,30.66,31.73,2310909
2015-03-17,31.49,32.1,31.4,31.57,1889096
2015-03-18,31.12,33.74,31.07,33.37,4436554
2015-03-19,32.46,33.06,32.17,32.47,2440952
2015-03-20,33.04,34.36,32.89,33.29,4875972
2015-03-23,33.26,33.75,32.65,32.65,2117912
2015-03-24,32.57,33.04,32.12,32.94,2006812
2015-03-25,33.33,34.28,33.02,33.77,2644612
2015-03-26,34.48,35.19,33.95,34.24,3234172
2015-03-27,33.94,34.765,33.62,34.28,2800458
2015-03-30,34.82,35.43,34.73,35.18,2686263
2015-03-31,34.69,35.58,34.37,35.09,4294215
2015-04-01,35.4,36.93,35.4,36.09,3474336
2015-04-02,35.81,37.5,35.73,36.28,3551289
2015-04-06,36.75,38.19,36.56,37.73,3998597
2015-04-07,37.6,38.31,36.95,37.01,2723194
2015-04-08,37.19,37.57,35.97,36.1,2657449
2015-04-09,36.11,37.34,36.11,37.1,2184425
2015-04-10,37.45,37.63,36.9,37.19,2260244
2015-04-13,37.6,37.7,36.39,36.56,1919093
2015-04-14,36.93,37.485,36.71,37.44,1922033
2015-04-15,37.7,39.14,37.26,38.78,3707979
2015-04-16,38.43,39.26,37.99,38.75,2937850
2015-04-17,38.5,38.75,37.92,38.48,1965884
2015-04-20,38.53,39.37,38.0,38.16,2050431
2015-04-21,38.08,38.32,36.7903,36.98,2696984
2015-04-22,37.52,38.51,36.93,37.77,1753287
2015-04-23,37.61,38.83,37.61,38.04,1889908
2015-04-24,37.9,38.96,37.68,38.76,2928868
2015-04-27,39.02,39.46,38.16,38.18,1528474
2015-04-28,38.14,39.13,37.84,39.09,2614592
2015-04-29,39.04,40.27,38.84,39.69,2263315
2015-04-30,39.78,40.18,38.52,39.24,3214058
2015-05-01,39.15,39.46,38.59,38.99,1789261
2015-05-04,39.09,39.6,38.42,38.99,1984706
2015-05-05,39.98,39.98,36.71,36.99,5522879
2015-05-06,37.48,37.53,34.78,36.05,5941397
2015-05-07,36.06,36.29,34.89,35.24,4086310
2015-05-08,35.64,36.51,35.01,36.44,3418314
2015-05-11,36.9,36.9,35.52,35.93,2645043
2015-05-12,36.02,36.54,35.62,35.95,2544730
2015-05-13,36.23,36.32,35.0,35.34,1835202
2015-05-14,35.45,35.79,34.47,34.54,3157542
2015-05-15,34.42,35.77,33.96,35.54,2517900
2015-05-18,35.96,36.845,35.48,36.74,3430078
2015-05-19,36.25,37.075,35.86,36.97,3448440
2015-05-20,37.11,38.09,36.76,37.4,3647083
2015-05-21,37.7,38.45,37.7,38.29,2516239
2015-05-22,37.83,38.48,37.66,38.04,1781033
2015-05-26,37.56,38.0598,37.13,37.29,1333768
2015-05-27,37.0,37.75,36.65,37.38,1627621
2015-05-28,37.24,37.27,36.11,36.79,1836556
2015-05-29,36.9,38.17,36.63,37.81,2616883
2015-06-01,37.88,37.88,37.035,37.33,3453595
