date,open,high,low,close,volume
2015-01-02,38.3507,38.4509,37.7434,38.1482,2059663
2015-01-05,37.909,38.0654,36.7174,36.8509,2802177
2015-01-06,36.8509,37.1085,36.3632,36.515,3367733
2015-01-07,36.7553,36.8384,36.4319,36.7091,1716439
2015-01-08,36.8846,37.7809,36.8476,37.4667,1959947
2015-01-09,37.3743,37.7809,37.0417,37.5545,1543577
2015-01-12,37.67,37.7531,36.6259,36.8384,2332756
2015-01-13,36.3857,37.3466,35.9052,36.3256,4010292
2015-01-14,35.9791,36.1639,35.5911,35.9329,2960072
2015-01-15,35.9422,35.9422,35.3231,35.531,3159078
2015-01-16,35.4987,35.8313,35.3693,35.8036,1944265
2015-01-20,35.9329,36.1223,35.3416,35.6003,1860569
2015-01-21,35.3878,35.7666,35.24,35.5818,1911838
2015-01-22,35.4155,36.6629,35.3878,36.6444,2378746
2015-01-23,36.6813,36.7183,36.2471,36.4781,1990737
2015-01-26,36.1824,36.2101,35.4894,35.9422,2353216
2015-01-27,35.397,35.822,35.0644,35.1753,2203653
2015-01-28,35.5264,35.822,35.0136,35.1152,3044812
2015-01-29,34.9535,35.5449,34.8242,35.166,3773758
2015-01-30,34.9258,35.4432,34.6856,34.9258,3105505
2015-02-02,34.9258,35.434,34.6117,35.3785,2208338
2015-02-03,35.4617,36.3025,35.3231,36.2748,2279103
2015-02-04,36.09,36.3487,35.8314,35.9606,2634445
2015-02-05,36.0253,36.1639,35.5726,35.8405,2028247
2015-02-06,35.9514,36.3764,35.5264,35.9144,1959817
2015-02-09,35.9052,36.1177,35.7574,35.896,1606299
2015-02-10,36.1824,36.4596,35.6557,36.4365,1953038
2015-02-11,36.2378,36.8661,36.1454,36.7645,3255021
2015-02-12,33.4752,34.4453,33.1518,34.0896,14347329
2015-02-13,34.2975,35.4894,34.1774,35.3139,5255608
2015-02-17,35.166,35.2862,34.3529,34.9166,4573256
2015-02-18,34.9997,35.3231,34.778,34.9258,3111365
2015-02-19,34.9073,35.166,34.8519,34.9674,2765573
2015-02-20,35.0182,35.4063,34.7687,35.2954,4000926
2015-02-23,35.2862,35.5818,34.9259,35.5818,2575504
2015-02-24,35.6557,35.7943,35.2122,35.6373,3157172
2015-02-25,35.7204,35.8313,35.5911,35.6835,2136761
2015-02-26,35.7112,36.1639,35.5643,35.7112,2912952
2015-02-27,35.7759,35.9699,35.4709,35.7112,2851830
2015-03-02,35.3785,35.9699,35.3416,35.6465,2182035
2015-03-03,35.4432,35.628,35.0274,35.1383,2883837
2015-03-04,35.0552,35.24,34.6948,34.9258,3993925
