date,open,high,low,close,volume
2015-01-02,63.0279,63.2794,62.1991,62.9069,676063
2015-01-05,62.404,62.5344,60.5228,60.5973,1421353
2015-01-06,60.737,60.8562,58.6743,58.8931,1524089
2015-01-07,59.396,59.992,58.9769,59.843,798628
2015-01-08,60.2993,60.9978,60.2951,60.7743,801321
2015-01-09,60.7184,60.8953,59.694,59.7033,1045322
2015-01-12,59.7313,59.992,58.7302,58.9862,1101971
2015-01-13,59.5729,60.1131,58.6184,59.098,1121984
2015-01-14,58.2971,58.8372,57.1144,57.9712,1339178
2015-01-15,57.9991,58.3064,57.2541,57.5428,1219763
2015-01-16,57.4031,58.0364,56.9002,58.0177,1224088
2015-01-20,58.1574,58.4927,57.4683,58.1481,1423808
2015-01-21,62.7579,63.4563,61.2213,61.7614,3360333
2015-01-22,61.9104,63.9033,61.6869,63.3259,2236768
2015-01-23,63.0093,63.596,62.227,62.2829,1863303
2015-01-26,62.2457,62.9721,61.8173,62.9627,947390
2015-01-27,62.3574,62.8044,61.6869,61.7474,1286237
2015-01-28,62.0594,62.1432,60.3831,60.3831,1524870
2015-01-29,60.2807,61.8825,60.0572,61.8406,1399200
2015-01-30,61.0164,62.0874,59.8989,60.886,1570908
2015-02-02,61.4168,62.0827,60.9605,62.0361,1249084
2015-02-03,62.227,63.5587,62.227,63.4563,1325586
2015-02-04,63.1956,64.0244,62.9162,63.0931,1255859
2015-02-05,63.1769,64.1454,63.0372,63.7962,981572
2015-02-06,64.1175,65.5796,63.8009,64.8299,1499009
2015-02-09,64.3969,64.8066,64.0896,64.2013,709870
2015-02-10,64.5086,65.1978,64.3503,65.0953,1338001
2015-02-11,65.0674,66.0452,64.8346,65.7286,1321581
2015-02-12,65.7472,66.129,65.3188,65.7379,1490317
2015-02-13,65.6727,66.0173,64.937,65.263,1370290
2015-02-17,65.0488,65.4492,64.9836,65.384,927124
2015-02-18,65.2816,65.4772,64.1548,64.4248,996258
2015-02-19,64.3596,64.8532,64.192,64.8439,1452786
2015-02-20,64.5459,65.384,64.1361,65.263,1393019
2015-02-23,65.086,65.3282,64.6297,65.3188,1099714
2015-02-24,65.3561,66.9019,65.2816,66.2035,1523259
2015-02-25,66.0639,66.3758,65.7565,66.2268,886537
2015-02-26,66.2687,66.4643,65.1,65.3561,1488357
2015-02-27,65.1512,65.5423,65.0208,65.0302,1086440
2015-03-02,65.263,65.7379,64.8905,65.6634,654765
2015-03-03,65.5982,65.838,64.9277,65.3468,835983
2015-03-04,64.9538,65.2532,64.5421,64.907,746538
2015-03-05,64.8883,65.2345,64.5703,65.0099,546495
2015-03-06,64.7012,67.1339,64.3082,65.8333,1776533
2015-03-09,65.9269,66.1889,65.3721,65.9737,970772
2015-03-10,65.1129,65.5059,64.8041,64.9164,1254307
2015-03-11,64.9538,65.5713,64.879,65.3281,844856
2015-03-12,65.955,66.769,65.5433,66.3386,1089223
2015-03-13,66.1889,66.4041,65.5152,66.3105,795697
2015-03-16,66.5538,67.2743,66.2918,67.2462,705074
2015-03-17,67.0684,67.5269,66.6099,67.452,1073383
2015-03-18,67.4614,68.0415,66.2544,66.7222,1906677
2015-03-19,66.4602,66.9187,65.7866,66.3667,1094697
2015-03-20,66.5444,67.0123,66.1608,66.7596,1396726
2015-03-23,66.8719,67.0684,66.086,66.1702,844178
2015-03-24,66.0111,66.1421,65.1316,65.1503,1113926
2015-03-25,65.1784,65.1784,64.093,64.4205,1271467
2015-03-26,64.2146,65.4404,63.7842,65.1409,1569842
2015-03-27,65.0006,65.0848,64.4392,64.8696,689173
2015-03-30,65.4216,65.8146,65.0754,65.431,739759
2015-03-31,65.1597,65.6462,64.6057,65.169,1036307
2015-04-01,64.8977,65.7211,64.4485,65.5433,1315228
2015-04-02,65.3842,66.245,65.2251,66.1515,987009
2015-04-06,65.6275,66.1608,65.0661,65.9035,921761
2015-04-07,65.9456,66.5959,65.562,66.4322,941347
2015-04-08,66.4041,66.8251,66.1608,66.6006,766847
2015-04-09,66.7222,66.7222,65.983,66.624,891999
2015-04-10,66.6661,66.7503,66.114,66.3012,1147565
2015-04-13,66.3012,67.0965,66.0673,66.8579,1245234
2015-04-14,66.7035,66.9187,66.217,66.7503,726091
2015-04-15,66.7409,66.9374,66.5257,66.5725,1370012
2015-04-16,66.3854,66.5351,65.8848,66.4368,867700
2015-04-17,65.8708,66.2076,65.1409,65.3374,1362907
2015-04-20,65.9643,66.0766,65.5526,65.7117,1133291
2015-04-21,67.7514,67.8731,66.5444,67.2649,2139983
2015-04-22,67.6111,69.1175,67.2976,69.0941,2139257
2015-04-23,69.0427,69.4918,68.3035,69.0427,1735867
2015-04-24,68.9585,69.2436,67.7047,68.3971,1426526
2015-04-27,68.3503,68.9491,68.1982,68.3128,1624070
2015-04-28,68.2567,68.9491,68.0789,68.8087,857818
2015-04-29,68.4064,69.4544,68.2099,68.9959,1155000
2015-04-30,68.3971,69.1924,68.2099,68.4438,1194607
2015-05-01,68.9023,69.1737,68.5842,68.9585,989349
2015-05-04,68.9585,69.8567,68.9397,69.7538,715429
2015-05-05,69.3234,70.4228,69.0894,69.7631,2111206
2015-05-06,69.7163,69.9596,68.9678,69.4544,1019425
2015-05-07,69.5666,70.0064,69.3514,69.838,993497
2015-05-08,70.1748,70.5117,69.969,70.4087,1091169
2015-05-11,70.4181,70.9701,70.1514,70.2216,906766
2015-05-12,69.8099,70.231,69.5011,69.838,1043879
2015-05-13,69.6883,70.1935,69.6415,69.9222,1434323
2015-05-14,70.0158,70.3339,69.5947,70.1842,1169932
2015-05-15,70.39,70.3994,69.3982,69.9128,1069370
2015-05-18,70.1,70.9,69.9596,70.8298,853185
2015-05-19,71.1105,71.6999,70.9233,71.2508,1251015
2015-05-20,71.1853,71.597,70.9327,71.2555,708129
2015-05-21,71.0169,71.4286,70.8906,71.1385,947482
2015-05-22,71.1666,71.2602,70.6707,70.6988,814587
2015-05-26,70.5397,70.6426,69.7351,69.9783,992942
2015-05-27,69.997,70.8017,69.8754,70.652,1112282
2015-05-28,70.5397,70.8672,70.3152,70.783,810921
2015-05-29,70.783,70.783,69.7444,69.7538,1103095
2015-06-01,69.9783,70.3526,69.2204,69.4731,1226533
2015-06-02,69.3982,69.7444,69.0239,69.6134,1535144
2015-06-03,69.9707,70.9015,69.9613,70.6101,768165
2015-06-04,70.2716,70.5913,69.4442,69.825,833549
2015-06-05,70.2528,71.2212,70.2246,70.7511,1133348
2015-06-08,70.6477,71.4186,70.6007,71.1366,1512162
2015-06-09,70.9955,71.5117,70.7135,71.3434,977024
2015-06-10,71.7383,72.876,71.5879,72.6409,1245417
2015-06-11,72.7255,72.9888,72.5093,72.8666,865640
2015-06-12,72.8384,73.064,72.3683,72.9512,1451338
2015-06-15,72.3495,72.9606,72.0486,72.6221,1195676
2015-06-16,72.3307,72.9606,72.3307,72.7067,685009
2015-06-17,72.9136,73.1204,72.2366,72.2836,1152606
2015-06-18,72.7443,73.1674,71.9076,73.0546,1442804
2015-06-19,72.7161,73.2051,72.5564,72.923,1727966
2015-06-22,73.3367,73.882,73.158,73.5341,979783
2015-06-23,73.7598,74.1641,73.3367,73.7128,856828
2015-06-24,73.6564,73.9102,72.9418,73.064,964313
2015-06-25,73.4307,73.7128,72.7443,73.0452,900126
2015-06-26,73.3931,74.1359,73.0828,73.9384,2107445
2015-06-29,73.0358,73.3273,71.5879,71.7148,1419279
2015-06-30,72.3965,72.8102,71.5315,71.8888,1265051
2015-07-01,72.7349,72.9324,71.9452,72.3495,909220
2015-07-02,72.4623,73.0922,71.1648,72.0956,1145016
2015-07-06,71.4469,71.6255,70.9767,71.4469,742567
2015-07-07,71.6443,71.7947,69.9707,71.334,803081
2015-07-08,70.8075,71.005,69.5006,69.6228,1398940
2015-07-09,70.3374,71.0708,70.0083,70.2716,989149
2015-07-10,71.1178,72.1332,70.8226,71.8135,1989688
2015-07-13,72.0486,72.6785,71.8568,72.5469,922671
2015-07-14,72.2742,72.7537,72.0298,72.6221,1108178
2015-07-15,72.9418,73.3038,72.4811,73.064,845526
2015-07-16,73.5623,74.0418,73.2615,73.9572,882947
2015-07-17,73.7504,74.07,72.8901,73.2615,946960
2015-07-20,73.5341,73.9666,73.2615,73.6564,867585
