date,open,high,low,close,volume
2015-01-02,44.1522,44.3316,43.4975,43.9549,1359768
2015-01-05,43.5065,43.5423,42.1284,42.2778,2794876
2015-01-06,42.3316,42.3764,41.0939,41.6679,3926898
2015-01-07,42.0894,42.3854,41.8832,42.0536,1906103
2015-01-08,42.2419,43.1567,41.9012,43.076,2660434
2015-01-09,43.076,43.1477,42.4392,42.8518,1527073
2015-01-12,42.6006,42.6006,40.9594,41.2554,3323463
2015-01-13,41.1477,41.6814,40.5917,40.9504,2126850
2015-01-14,40.3137,40.3137,39.1208,39.8294,3225975
2015-01-15,40.215,40.5558,39.5872,39.65,2190212
2015-01-16,39.7128,39.9639,39.2912,39.8383,2555669
2015-01-20,39.7128,39.9639,39.2374,39.5424,2443960
2015-01-21,39.3809,39.8383,39.2675,39.4706,2637320
2015-01-22,39.7038,40.3585,39.354,40.224,2495703
2015-01-23,40.5468,40.5558,39.2733,39.2823,2614017
2015-01-26,39.2643,40.0894,39.067,39.7576,2584531
2015-01-27,39.5424,40.6634,38.6186,40.1971,4369578
2015-01-28,40.4572,40.5648,39.4616,39.4975,3137243
2015-01-29,39.372,39.4303,38.502,39.2195,3108767
2015-01-30,38.8159,39.6859,38.7262,39.1477,5037846
2015-02-02,39.3451,39.7845,39.0222,39.65,3550967
2015-02-03,40.0087,41.1119,39.659,41.0132,4619068
2015-02-04,40.4841,41.0939,40.4841,40.8069,3462565
2015-02-05,40.9953,42.8159,40.9325,42.7172,3850208
2015-02-06,42.2778,43.8204,42.2509,43.2912,5791981
2015-02-09,43.2195,43.9011,43.0087,43.0939,3335724
2015-02-10,42.8876,42.9773,42.0805,42.8787,1966517
2015-02-11,42.6903,42.9594,42.2419,42.789,2294208
2015-02-12,43.3002,43.5603,43.0132,43.363,2191267
2015-02-13,43.7486,44.0984,43.5872,43.8562,1902585
2015-02-17,43.8742,43.9011,43.2464,43.6589,1427389
2015-02-18,43.4437,43.6858,43.1657,43.2733,1394600
2015-02-19,42.9953,43.4168,42.7172,43.1746,1189497
2015-02-20,43.1298,43.5513,42.9467,43.4796,1308867
2015-02-23,43.058,43.2733,42.7352,43.0491,1526104
2015-02-24,43.0491,43.7531,43.0222,43.632,1883094
2015-02-25,43.6231,43.6495,42.5379,42.789,1732267
2015-02-26,42.9414,43.0491,42.2598,42.3854,1330674
2015-02-27,42.3585,42.6634,41.928,42.1791,2135940
2015-03-02,42.2329,42.2957,41.8778,42.2688,1680628
2015-03-03,42.1791,42.6275,41.9926,42.2867,1881579
2015-03-04,41.8652,42.6814,41.8024,42.5199,2660836
2015-03-05,42.502,42.7531,41.9935,42.7262,1989772
2015-03-06,42.5379,42.8697,42.1343,42.1791,3017098
2015-03-09,42.1343,42.3854,42.0446,42.3226,2085479
2015-03-10,41.7845,42.0087,41.1971,41.4078,3252202
2015-03-11,41.3002,41.8293,41.2015,41.6858,1887061
2015-03-12,42.0625,42.3406,41.8114,42.3136,1944184
2015-03-13,42.3047,42.3047,41.5693,41.9639,2147329
2015-03-16,42.0087,42.4527,41.5244,42.4213,1731599
2015-03-17,42.2688,42.6634,42.0356,42.5199,1450096
2015-03-18,42.1612,44.3764,42.0177,44.1881,3547251
2015-03-19,42.9235,43.2015,40.7621,41.345,7759288
2015-03-20,41.1746,42.5468,41.1746,42.2778,7469334
2015-03-23,42.4213,42.9953,42.4033,42.7262,1944016
2015-03-24,42.6634,42.8159,42.1163,42.1701,2194602
2015-03-25,42.7083,42.7083,41.928,41.937,2955205
2015-03-26,42.1432,42.5558,41.9728,42.2509,2408509
2015-03-27,41.9006,42.1266,41.4847,42.0362,1840597
2015-03-30,42.443,43.0125,42.2712,42.7865,1719403
2015-03-31,42.6509,43.121,42.0814,42.9673,2508086
2015-04-01,42.3435,42.443,41.2135,41.8644,3773067
2015-04-02,41.9638,42.8136,41.5028,42.7232,2166941
