date,open,high,low,close,volume
2015-01-02,19.5029,19.6483,19.1939,19.5029,2842012
2015-01-05,19.5029,19.5611,19.0863,19.1735,4948799
2015-01-06,19.2026,19.222,18.5728,18.5922,4944121
2015-01-07,18.7279,18.8926,18.4856,18.5389,8045186
2015-01-08,18.7569,19.3576,18.7472,19.2413,7094534
2015-01-09,19.3092,19.4642,19.0427,19.3189,5238601
2015-01-12,19.3673,19.3721,18.9023,19.0766,4768307
2015-01-13,19.222,19.6095,18.9168,19.0427,5917960
2015-01-14,18.8441,19.1832,18.7957,19.1251,3881531
2015-01-15,19.2607,19.377,18.9798,18.9894,4723757
2015-01-16,18.9604,19.3576,18.9023,19.3382,4537800
2015-01-20,19.4739,19.5804,19.1542,19.3964,3507719
2015-01-21,19.2898,19.7161,19.1542,19.6676,3619494
2015-01-22,19.7064,20.06,19.5029,20.0067,3992810
2015-01-23,20.0261,20.0988,19.8614,20.0649,3010389
2015-01-26,19.9777,20.0746,19.8517,19.9728,3331008
2015-01-27,19.6676,19.687,18.9798,19.0185,8948721
2015-01-28,19.251,19.3285,18.6988,18.7085,6818214
2015-01-29,18.7182,19.2704,18.631,19.1638,5883531
2015-01-30,19.0282,19.2501,18.5728,18.6068,7454968
2015-02-02,18.7182,19.0863,18.35,19.0088,6490149
2015-02-03,19.1445,19.5029,19.0476,19.4836,4586670
2015-02-04,19.4254,19.75,19.3625,19.532,4537872
2015-02-05,19.5514,19.8614,19.532,19.8469,3511195
2015-02-06,19.8323,20.0649,19.6773,19.7645,5263073
2015-02-09,19.6483,19.8033,19.5223,19.7451,6849193
2015-02-10,19.7645,20.3071,19.6773,20.2974,5655113
2015-02-11,20.3458,20.3458,20.0261,20.1618,8020778
2015-02-12,21.3147,21.7991,21.1887,21.6053,16922588
2015-02-13,21.5569,21.6441,21.2275,21.615,7752149
2015-02-17,21.5763,21.7894,21.4406,21.678,5083466
2015-02-18,21.6538,21.6925,21.3922,21.4309,4273997
2015-02-19,21.7022,21.741,21.3922,21.4842,4235760
2015-02-20,21.4697,21.6538,21.3147,21.6393,3943820
2015-02-23,21.6344,21.6344,21.3631,21.4697,3125918
2015-02-24,21.5524,21.6983,21.3579,21.6983,3733318
2015-02-25,21.6107,21.708,21.4308,21.5329,3095526
2015-02-26,21.5524,21.7129,21.4162,21.5913,3821597
2015-02-27,21.5329,21.5816,21.3783,21.4551,3937273
2015-03-02,21.3968,22.097,21.3686,21.9754,7537781
2015-03-03,21.815,21.922,21.5037,21.5718,4008638
2015-03-04,21.494,21.8636,21.4065,21.815,5670997
2015-03-05,21.815,22.2721,21.7566,22.2332,8076425
2015-03-06,22.1068,22.2137,21.9074,21.9317,6434807
2015-03-09,21.9414,22.1554,21.8928,21.99,5559693
2015-03-10,22.0873,22.5143,22.0484,22.3645,13180267
2015-03-11,22.3693,22.6611,22.1894,22.2526,6552965
2015-03-12,22.0387,22.204,21.6302,22.0484,10174260
2015-03-13,21.9414,22.1359,21.6399,22.0776,8982188
2015-03-16,22.2526,22.4763,22.1068,22.3402,5923864
2015-03-17,22.2915,22.6222,22.1359,22.6125,7498556
2015-03-18,22.6125,22.7292,22.0387,22.2429,10346084
2015-03-19,22.3207,22.6611,22.1554,22.5784,7768859
2015-03-20,22.7681,22.9578,22.5541,22.8265,11552119
2015-03-23,22.1457,22.4374,22.0776,22.0873,10650277
2015-03-24,22.0192,22.1748,21.6885,21.7858,8262025
2015-03-25,21.7761,21.7761,20.395,20.4631,13563840
2015-03-26,20.0449,20.4777,19.899,20.3901,7797997
2015-03-27,20.5117,20.8716,20.181,20.7938,7957152
2015-03-30,20.891,20.9883,20.6187,20.8813,6331256
2015-03-31,20.8229,20.8424,20.3367,20.3512,8931942
2015-04-01,20.4339,20.502,20.0838,20.4339,8269223
2015-04-02,20.5506,20.609,20.3075,20.4825,4805086
2015-04-06,20.395,21.1439,20.181,21.071,12896584
2015-04-07,21.0758,21.494,20.9591,21.2606,10349069
2015-04-08,21.2801,21.494,21.0758,21.4162,9160786
2015-04-09,21.2509,21.9803,21.2412,21.9074,9485827
2015-04-10,21.9317,22.1457,21.8539,22.1359,6468219
2015-04-13,22.0873,22.2137,21.8344,21.9317,5918106
2015-04-14,21.8442,21.9317,21.5366,21.7469,5506852
2015-04-15,21.8053,22.17,21.6983,22.0095,6088960
2015-04-16,21.8831,22.0678,21.7177,21.8733,3882058
2015-04-17,21.4162,21.8053,21.4065,21.5913,7340917
2015-04-20,21.6885,21.8247,21.4454,21.4843,5790646
2015-04-21,21.7469,21.7469,21.3481,21.4503,5761365
2015-04-22,21.5816,21.7274,21.2509,21.6983,5185481
2015-04-23,21.2995,21.815,21.0564,21.6107,6484469
2015-04-24,21.601,21.6107,21.1828,21.4259,6023972
2015-04-27,21.494,21.9706,21.3092,21.5913,6211356
2015-04-28,21.5524,21.7712,21.3481,21.6934,5862106
2015-04-29,21.5427,21.7566,21.4454,21.5329,4878919
2015-04-30,21.4259,21.6934,21.3773,21.5864,5471083
2015-05-01,21.7663,22.1943,21.6691,22.1262,6424185
2015-05-04,22.1068,22.2526,21.922,21.99,5018024
2015-05-05,21.9122,21.9414,21.3287,21.4259,7323195
2015-05-06,21.5427,21.7469,21.212,21.494,7912111
2015-05-07,21.4065,21.9414,21.3385,21.8733,13364077
2015-05-08,20.4339,21.2412,19.9282,20.254,28663778
2015-05-11,19.9768,20.2686,19.8212,20.0643,13603644
2015-05-12,19.9184,20.4242,19.9087,20.2588,9719994
2015-05-13,20.4047,20.5603,20.181,20.3756,7713070
2015-05-14,20.4339,20.8132,20.3853,20.7062,7326280
2015-05-15,20.7938,20.891,20.5895,20.716,5395619
2015-05-18,20.6673,20.8132,20.5701,20.6868,8124292
2015-05-19,20.7137,20.782,20.5182,20.5573,6345222
2015-05-20,20.5671,20.8114,20.5378,20.5573,4920581
2015-05-21,20.5671,20.655,20.3912,20.4108,5992250
2015-05-22,20.4596,20.5329,20.3326,20.3815,5315282
2015-05-26,20.2837,20.4205,20.102,20.2544,6493277
2015-05-27,20.3912,21.4318,20.3228,21.339,10808271
2015-05-28,21.339,21.7043,21.2999,21.6321,8191431
2015-05-29,21.6321,21.7689,21.593,21.6223,8379244
2015-06-01,21.7591,22.0816,21.6223,21.8666,9316504
2015-06-02,21.7298,21.847,21.4171,21.4318,5607582
2015-06-03,21.4953,21.6614,21.1631,21.2022,6269692
2015-06-04,21.0752,21.6516,21.0752,21.5832,8092765
2015-06-05,21.5148,21.847,21.2901,21.7493,7833001
2015-06-08,21.6809,21.8275,21.0068,21.251,8570301
2015-06-09,21.2706,21.5148,21.2315,21.3585,6422222
2015-06-10,21.1045,21.2413,20.8602,20.9775,13236526
2015-06-11,20.9775,21.3487,20.9775,21.2022,7076296
2015-06-12,21.0654,21.1924,20.5769,20.6257,8093164
