date,open,high,low,close,volume
2015-01-02,14.3584,14.5008,14.0453,14.2161,904989
2015-01-05,14.1497,14.1497,13.789,13.8934,1018524
2015-01-06,13.9029,13.9219,13.5898,13.7321,1197103
2015-01-07,13.827,13.827,13.5233,13.6752,1074456
2015-01-08,13.7796,14.0832,13.6941,13.9883,886990
2015-01-09,14.0168,14.1734,13.9314,14.1212,905539
2015-01-12,14.1117,14.1117,13.8839,13.9694,537072
2015-01-13,14.0453,14.1307,13.808,13.9504,664454
2015-01-14,13.827,13.9124,13.5518,13.8839,1410700
2015-01-15,13.9504,13.9504,13.7321,13.7985,991911
2015-01-16,13.8175,13.8745,13.7416,13.7985,316631
2015-01-20,13.827,13.8365,13.5233,13.7036,753044
2015-01-21,13.6941,13.7796,13.5518,13.7131,456963
2015-01-22,13.7511,14.0168,13.6372,13.9504,711120
2015-01-23,13.9124,14.0832,13.8555,13.9124,720041
2015-01-26,14.1307,14.2256,13.8175,14.2161,413414
2015-01-27,14.0453,14.2825,13.9931,14.1497,1151160
2015-01-28,14.1971,14.2066,13.9646,13.9978,1621876
2015-01-29,13.9978,14.0453,13.5423,13.7226,734879
2015-01-30,13.6562,13.9124,13.5518,13.7036,1946628
2015-02-02,13.7985,13.7985,13.5518,13.7416,874613
2015-02-03,13.7985,14.4249,13.7985,14.3584,1184964
2015-02-04,14.2825,14.4344,14.2635,14.3395,801760
2015-02-05,14.4059,14.5008,14.2161,14.4439,883248
2015-02-06,14.5862,15.0322,14.5862,14.9658,1517938
2015-02-09,14.9563,15.4118,14.9563,15.3454,1105902
2015-02-10,15.3834,15.5162,15.018,15.4688,1920935
2015-02-11,15.4213,15.5732,15.3929,15.4688,1645762
2015-02-12,15.5637,15.6491,15.4403,15.5257,437944
2015-02-13,15.5732,15.706,15.5352,15.5732,456096
2015-02-17,15.5067,15.725,15.4783,15.7155,719499
2015-02-18,15.744,15.7653,15.5638,15.6681,633017
2015-02-19,15.6681,15.725,15.5637,15.706,360050
2015-02-20,15.725,15.9053,15.5162,15.8199,712947
2015-02-23,15.744,16.0477,15.744,16.0382,1342967
2015-02-24,16.0097,16.1141,15.8674,16.0477,1172617
2015-02-25,16.0856,16.2375,16.0477,16.1426,896317
2015-02-26,16.0761,16.1995,15.9338,16.0002,773467
2015-02-27,15.9528,16.0761,15.9338,15.9623,1153706
2015-03-02,15.9623,16.1995,15.9623,16.1331,637188
2015-03-03,16.1426,16.1426,15.8389,15.8674,713072
2015-03-04,15.8294,15.8863,15.6206,15.7725,1188679
2015-03-05,15.8199,15.8958,15.744,15.8009,1211730
2015-03-06,15.782,15.9243,15.5067,15.5732,705493
2015-03-09,15.6111,15.7155,15.4071,15.4593,756157
2015-03-10,15.3834,15.4688,15.0892,15.1177,1872183
2015-03-11,15.1936,15.298,15.0702,15.241,993306
2015-03-12,15.3264,15.6349,15.3264,15.6016,537538
2015-03-13,15.6016,15.6206,15.3075,15.5542,1472815
2015-03-16,15.6491,15.763,15.5542,15.7345,769407
2015-03-17,15.6491,15.6491,15.4878,15.6206,677851
2015-03-18,15.5447,15.8152,15.4593,15.744,922236
2015-03-19,15.6776,15.6776,15.4118,15.5637,1075455
2015-03-20,15.6206,15.8199,15.6206,15.6965,602966
2015-03-23,15.7345,15.8341,15.7155,15.763,1044423
2015-03-24,15.725,15.8009,15.6206,15.7155,1275439
2015-03-25,15.6965,15.7535,15.4024,15.4118,1304148
2015-03-26,15.3075,15.353,15.1366,15.2031,977372
2015-03-27,15.1461,15.2695,15.1129,15.1366,641863
2015-03-30,15.241,15.4118,15.1936,15.222,469257
2015-03-31,15.1177,15.2315,15.0038,15.0607,952703
2015-04-01,15.0512,15.1556,14.9373,15.1177,1564646
2015-04-02,15.1366,15.241,15.0512,15.1698,596133
2015-04-06,15.1177,15.3739,15.0607,15.2695,282395
2015-04-07,15.241,15.3359,15.1366,15.1366,325244
2015-04-08,15.1841,15.3454,15.0275,15.0797,1189557
2015-04-09,15.0417,15.1366,14.8804,14.9184,738152
2015-04-10,14.9373,15.0133,14.8804,14.9279,451530
2015-04-13,14.9468,15.1366,14.9468,15.1271,603380
2015-04-14,15.1556,15.2126,15.0322,15.0417,878925
2015-04-15,15.0797,15.1461,15.0038,15.0322,634295
2015-04-16,15.0038,15.0038,14.776,14.8994,1388057
2015-04-17,14.833,14.833,14.6147,14.7001,1129837
2015-04-20,14.7665,14.814,14.6669,14.6906,899262
2015-04-21,14.7665,14.814,14.5672,14.5672,699456
2015-04-22,14.5577,14.7191,14.4818,14.6242,2791382
2015-04-23,14.6337,14.7143,14.515,14.6716,1023115
2015-04-24,14.6526,14.7523,14.5482,14.6432,464018
2015-04-27,14.6621,14.9373,14.6621,14.6811,1765728
2015-04-28,14.6432,15.0702,14.6147,15.0512,1510909
2015-04-29,14.9943,15.0702,14.8519,14.8614,1637433
2015-04-30,14.7855,14.9373,14.738,14.776,1835986
2015-05-01,14.8899,15.1224,14.8709,15.1129,1244078
2015-05-04,15.0892,15.26,15.0322,15.2505,855231
2015-05-05,15.298,15.3454,14.999,15.1082,1543906
2015-05-06,14.4344,14.4439,14.0263,14.1497,3899127
2015-05-07,14.1781,14.1876,14.0737,14.1497,1733053
2015-05-08,14.2541,14.3395,14.1971,14.3205,470050
2015-05-11,14.3015,14.8994,14.2541,14.7902,2150401
2015-05-12,14.7286,14.7475,14.3205,14.4059,1409886
2015-05-13,14.4249,14.4581,14.311,14.33,1496886
2015-05-14,14.3679,14.4249,14.2446,14.3632,1001602
2015-05-15,14.3869,14.5672,14.3395,14.5198,808074
2015-05-18,14.4628,14.6004,14.3442,14.5672,1189374
2015-05-19,14.6052,14.6337,14.4771,14.6052,454913
2015-05-20,14.5957,14.6432,14.5293,14.5482,790384
2015-05-21,14.5008,14.6052,14.4676,14.5767,404752
2015-05-22,14.5388,14.5672,14.4249,14.4676,528152
2015-05-26,14.4439,14.5293,14.1971,14.273,848671
2015-05-27,14.3205,14.4818,14.2351,14.3584,766683
2015-05-28,14.311,14.33,14.2256,14.3252,760574
2015-05-29,14.292,14.3584,14.1497,14.1876,887371
2015-06-01,14.2066,14.292,14.1022,14.2351,601168
2015-06-02,14.1781,14.273,14.1022,14.1497,706253
2015-06-03,14.1781,14.2635,14.1022,14.1781,495705
2015-06-04,14.1307,14.1781,13.9361,13.9694,605931
2015-06-05,13.9788,13.9788,13.8175,13.8934,781056
2015-06-08,13.846,13.9314,13.808,13.827,613551
2015-06-09,13.8555,13.8555,13.5613,13.5708,866835
2015-06-10,13.5992,13.7226,13.5233,13.5613,1272356
2015-06-11,13.6372,13.6372,13.4901,13.5328,859055
2015-06-12,13.5138,13.5518,13.3525,13.4569,752631
2015-06-15,13.4284,13.4711,13.3145,13.3335,644196
2015-06-16,13.3335,13.381,13.2766,13.2766,544674
2015-06-17,13.2766,13.4094,13.1722,13.2386,744493
2015-06-18,13.324,13.5898,13.324,13.5043,1145005
2015-06-19,13.4474,13.9124,13.4474,13.8365,1702100
2015-06-22,13.8934,14.0453,13.8839,13.9314,806334
2015-06-23,13.9314,14.0453,13.9124,13.9124,1188782
2015-06-24,13.8934,14.0073,13.6989,13.7321,1724884
2015-06-25,13.7416,13.7985,13.5992,13.6087,1389482
2015-06-26,13.6752,13.9883,13.5423,13.8745,8440593
2015-06-29,13.7985,13.865,13.3003,13.3145,1247586
2015-06-30,13.3715,13.5708,13.2007,13.5138,1557164
2015-07-01,13.6182,13.6657,13.4949,13.5708,1063618
2015-07-02,13.6277,13.9029,13.4759,13.4854,1097810
2015-07-06,13.3335,13.3667,13.0868,13.1247,2606787
2015-07-07,13.1247,13.343,12.9397,13.3145,1439567
2015-07-08,13.2291,13.2766,13.0678,13.1058,1055554
2015-07-09,13.2102,13.3051,13.0393,13.0488,1022941
2015-07-10,13.1437,13.2529,13.0583,13.1247,425901
2015-07-13,13.2007,13.362,13.1912,13.2861,1106386
2015-07-14,13.2481,13.324,13.2007,13.3051,471954
2015-07-15,13.3051,13.3905,13.2386,13.381,822920
2015-07-16,13.4474,13.5613,13.4189,13.5613,619502
2015-07-17,13.6182,13.6847,13.5043,13.6182,893014
2015-07-20,13.6657,13.7463,13.5803,13.7369,571599
