date,open,high,low,close,volume
2015-01-02,14.9885,15.0738,14.6001,14.7706,3023180
2015-01-05,14.638,14.728,14.2874,14.3253,4016885
2015-01-06,14.3064,14.4011,13.9843,14.1264,4337526
2015-01-07,14.2495,14.2495,13.9085,14.0885,2517571
2015-01-08,14.259,14.5764,14.0506,14.529,4637143
2015-01-09,14.4864,14.619,14.439,14.6001,2470356
2015-01-12,14.5811,14.619,14.3253,14.4722,3185210
2015-01-13,14.5432,14.6001,14.2789,14.4295,3781583
2015-01-14,14.3538,14.4106,13.9464,14.3064,4810204
2015-01-15,14.4011,14.5432,14.1643,14.2211,2692407
2015-01-16,14.2022,14.3253,14.1832,14.2685,1621991
2015-01-20,14.3253,14.3348,13.9653,14.1453,2922145
2015-01-21,14.1264,14.2116,13.9843,14.1643,3523654
2015-01-22,14.2211,14.4438,14.06,14.4011,2155913
2015-01-23,14.3917,14.5243,14.2874,14.3822,2011060
2015-01-26,14.3632,14.7233,14.3064,14.7233,1898413
2015-01-27,14.8369,14.8464,14.5338,14.638,2683220
2015-01-28,14.6759,14.6948,14.3443,14.3443,2522854
2015-01-29,14.3348,14.4295,13.9738,14.1453,2693565
2015-01-30,14.0506,14.3111,13.9843,14.1074,3106022
2015-02-02,14.1548,14.3159,13.9369,14.1548,3397502
2015-02-03,14.259,14.8654,14.2495,14.7896,3703166
2015-02-04,14.818,14.8559,14.6096,14.7706,2873674
2015-02-05,14.7612,14.9222,14.619,14.9033,3815188
2015-02-06,15.2538,15.4907,15.1136,15.4054,7022527
2015-02-09,15.377,15.8981,15.377,15.8365,7034530
2015-02-10,15.8791,15.9455,15.4338,15.8886,4231624
2015-02-11,15.8886,15.9834,15.7891,15.8791,3838347
2015-02-12,15.6138,16.097,15.6138,15.9549,2443284
2015-02-13,16.0307,16.1539,15.936,16.0023,3057352
2015-02-17,16.0023,16.2107,15.9265,16.2107,2517116
2015-02-18,16.1349,16.1823,15.9928,16.0686,3488554
2015-02-19,16.0781,16.1539,15.9644,16.1444,1644476
2015-02-20,16.1065,16.296,15.9265,16.2392,2040578
2015-02-23,16.2202,16.4192,16.1179,16.4097,2130481
2015-02-24,16.2771,16.5139,16.2439,16.3765,2492551
2015-02-25,16.3339,16.6276,16.3339,16.5234,2380721
2015-02-26,16.5518,16.5992,16.3339,16.4144,2004512
2015-02-27,16.4097,16.5044,16.3102,16.3671,2543071
2015-03-02,16.4192,16.5992,16.3339,16.5234,2466129
2015-03-03,16.476,16.5139,16.2865,16.3055,2903021
2015-03-04,16.2581,16.315,16.0544,16.1918,2869906
2015-03-05,16.315,16.315,16.1444,16.1965,2192557
2015-03-06,16.1065,16.315,15.8791,15.9455,2489381
2015-03-09,16.0402,16.0876,15.7654,15.8033,3202702
2015-03-10,15.6896,15.7939,15.3675,15.377,5368297
2015-03-11,15.3675,15.6044,15.3391,15.5381,2529424
2015-03-12,15.6517,15.936,15.6044,15.8697,2149419
2015-03-13,15.7939,15.8886,15.576,15.8223,2763045
2015-03-16,15.9265,16.0307,15.8128,16.0307,2049781
2015-03-17,15.8981,15.9739,15.7512,15.8697,1460766
2015-03-18,15.7181,16.0686,15.6991,16.0023,2186056
2015-03-19,15.936,15.9455,15.6423,15.8128,2566481
2015-03-20,15.8791,16.0876,15.8791,15.9549,3670519
2015-03-23,15.936,16.097,15.936,15.9928,2144311
2015-03-24,15.9549,16.0023,15.8412,15.8933,2552932
2015-03-25,15.9928,15.9928,15.557,15.557,1884364
2015-03-26,15.4623,15.4623,15.2633,15.3296,3618554
2015-03-27,15.2633,15.3959,15.2443,15.3012,2421537
2015-03-30,15.3675,15.5854,15.3107,15.3675,2204951
2015-03-31,15.3107,15.377,15.1401,15.1686,2785342
2015-04-01,15.1875,15.2822,15.0406,15.2633,2808249
2015-04-02,15.2443,15.377,15.1686,15.3296,1719968
2015-04-06,15.197,15.5238,15.1875,15.3959,1196246
2015-04-07,15.3296,15.4812,15.2728,15.2728,1261359
2015-04-08,15.3107,15.4149,15.1686,15.2159,1756675
2015-04-09,15.1875,15.2633,15.0075,15.1022,1926271
2015-04-10,15.1022,15.178,15.0264,15.0833,3884696
2015-04-13,15.0928,15.2538,15.0549,15.2254,1774738
2015-04-14,15.197,15.3391,15.1401,15.1401,1992999
2015-04-15,15.1307,15.2301,15.1022,15.1117,4012015
2015-04-16,15.0359,15.2917,14.8559,15.0549,3488423
2015-04-17,14.8843,14.9601,14.7185,14.7706,3227262
2015-04-20,14.8464,14.9127,14.7517,14.8227,2427244
2015-04-21,14.8369,14.9127,14.6948,14.7043,1906118
2015-04-22,14.7233,14.8133,14.6001,14.7375,4363515
2015-04-23,14.6948,14.8133,14.6238,14.7422,2629226
2015-04-24,14.7138,14.8369,14.619,14.7138,1681511
2015-04-27,14.7706,15.0264,14.7327,14.7517,2900581
2015-04-28,14.7706,15.1543,14.6948,15.1307,3971833
2015-04-29,15.0643,15.1496,14.9412,14.9554,3211045
2015-04-30,14.8938,15.0454,14.8369,14.9506,4275995
2015-05-01,15.0643,15.2349,15.0549,15.2017,2536988
2015-05-04,15.2065,15.3391,15.1022,15.3201,2291390
2015-05-05,15.2822,15.4149,15.0833,15.178,5742343
2015-05-06,14.259,14.5243,14.0411,14.2022,11731367
2015-05-07,14.2211,14.2306,14.0411,14.1832,7108398
2015-05-08,14.2969,14.4201,14.2401,14.3443,3376093
2015-05-11,14.3253,15.0833,14.3253,14.8843,7703007
2015-05-12,14.7801,14.7801,14.4769,14.5432,4116461
2015-05-13,14.5148,14.6854,14.4106,14.458,3045947
2015-05-14,14.5717,14.6285,14.3348,14.5764,3264920
2015-05-15,14.5432,14.7706,14.5053,14.7327,2960490
2015-05-18,14.7422,14.8654,14.5669,14.8512,3539059
2015-05-19,14.8464,14.8748,14.7233,14.8559,2719338
2015-05-20,14.8464,14.9127,14.7801,14.8085,2039435
2015-05-21,14.7612,14.8654,14.7043,14.8085,1579702
2015-05-22,14.8085,14.8322,14.6854,14.7233,2800115
2015-05-26,14.7327,14.8133,14.458,14.5338,2740730
2015-05-27,14.5906,14.7517,14.5053,14.6285,2706216
2015-05-28,14.5622,14.6001,14.458,14.5432,3222229
2015-05-29,14.5053,14.5906,14.349,14.3538,2048590
2015-06-01,14.4011,14.6569,14.2211,14.4248,2371775
2015-06-02,14.3632,14.4674,14.2827,14.3632,1542524
2015-06-03,14.4201,14.4959,14.3064,14.4201,1751373
2015-06-04,14.3727,14.4295,14.1785,14.2116,2167839
2015-06-05,14.2211,14.2685,14.0695,14.2116,1913554
2015-06-08,14.1453,14.1927,14.0411,14.0553,1731615
2015-06-09,14.0316,14.0695,13.7758,13.7948,2793312
2015-06-10,13.8137,13.9937,13.8042,13.88,2368265
2015-06-11,13.8895,13.9274,13.7853,13.8137,2224208
2015-06-12,13.7474,13.8137,13.6147,13.6479,2247812
