date,open,high,low,close,volume
2015-01-02,40.6075,41.1915,40.5821,41.1491,1226391
2015-01-05,41.1068,42.0717,40.8445,41.9955,1816344
2015-01-06,42.0293,42.6388,41.9362,42.5456,1939975
2015-01-07,42.6302,43.6882,42.2748,43.2396,2808156
2015-01-08,42.6302,43.0196,41.8685,42.097,3728411
2015-01-09,41.6231,42.681,41.6231,42.5964,2679808
2015-01-12,42.4864,43.2311,42.4271,43.1888,2301502
2015-01-13,43.1973,43.6035,42.9891,43.0873,1393905
2015-01-14,42.4271,43.7982,42.3002,43.7559,2712121
2015-01-15,43.6797,44.2806,43.6628,44.1875,2881238
2015-01-16,44.0352,44.7207,43.9762,44.6699,3083883
2015-01-20,44.653,44.9577,44.4499,44.6361,2820211
2015-01-21,44.5176,44.8223,44.2383,44.6445,2117414
2015-01-22,44.7376,45.0085,44.6615,44.7799,156756
2015-01-23,44.9831,45.6079,44.9577,45.3131,2373220
2015-01-26,45.4993,46.4049,45.4316,46.3118,3580542
2015-01-27,46.1849,46.6504,46.0156,46.5911,2853014
2015-01-28,46.6419,47.0057,46.4642,46.6334,2645567
2015-01-29,46.5901,46.9978,45.9201,46.8279,3511974
2015-01-30,46.7685,46.9213,45.8852,46.123,9969242
2015-02-02,46.0296,46.0891,44.5264,45.4691,3216875
2015-02-03,45.2228,45.3162,44.6538,45.2653,2366724
2015-02-04,45.0615,45.1209,44.399,44.8576,2482629
2015-02-05,44.8831,45.3502,44.7642,45.3077,1389845
2015-02-06,45.07,45.07,42.8619,43.1761,3576832
2015-02-09,43.0657,43.5922,42.7685,43.4479,2320490
2015-02-10,43.4139,43.8385,43.1578,43.5583,1869341
2015-02-11,43.6942,44.0296,43.2016,43.6092,1668328
2015-02-12,43.6092,44.1613,43.1761,43.898,1827107
2015-02-13,43.7791,44.2122,43.329,44.1697,1948240
2015-02-17,44.1613,44.7812,43.8046,43.9744,2672428
2015-02-18,43.9914,44.9086,43.5073,44.7133,1971024
2015-02-19,43.9659,44.7982,43.5243,43.6432,1800402
2015-02-20,43.9387,44.2801,43.4054,44.1358,2037926
2015-02-23,44.2462,44.6198,43.9404,44.5179,1839053
2015-02-24,44.2632,44.2801,43.1082,43.2016,2745514
2015-02-25,43.6772,44.0169,43.0827,43.3969,2287788
2015-02-26,43.3961,43.5836,42.1004,42.4584,2686316
2015-02-27,42.6289,42.8846,41.9929,42.6715,2345712
2015-03-02,42.8079,43.7115,42.7397,43.1745,1692222
2015-03-03,42.9187,43.2682,42.6545,43.0892,1155114
2015-03-04,42.9869,43.3279,42.8675,42.9102,1069188
2015-03-05,43.0722,43.6262,43.0466,43.3023,1238982
2015-03-06,42.4329,42.4329,41.1287,41.5378,3348238
2015-03-23,45.6464,46.0982,45.4419,45.5697,1319789
2015-03-24,45.4589,45.5015,44.7685,44.8196,1318417
2015-03-25,44.9134,45.1265,43.9416,44.1036,1231498
2015-03-26,43.899,44.3337,43.541,43.6859,1376375
2015-03-27,43.7711,43.9246,43.2597,43.5239,1506270
2015-03-30,44.4903,44.5502,43.9,44.1737,3718072
2015-03-31,44.4818,44.7641,43.9684,44.1481,2029690
2015-04-01,44.1652,44.4304,43.6946,44.0454,1685202
2015-04-02,43.977,44.6785,43.977,44.5331,1406939
2015-04-06,44.3791,45.055,43.2583,43.2583,39928586
2015-04-07,43.4807,44.0112,43.3096,43.3353,5817395
2015-04-08,43.4807,43.6518,43.1043,43.2583,2408171
2015-04-09,43.2754,43.4807,42.0433,42.2316,3267979
2015-04-10,42.608,42.916,42.2401,42.3599,1528171
2015-04-13,42.2829,42.5396,42.0177,42.0262,1452463
2015-04-14,42.1802,42.8818,42.1802,42.7278,2149555
2015-04-15,42.6679,42.8047,42.1973,42.223,1729948
2015-04-16,42.1802,42.454,41.9321,42.2401,949870
2015-04-17,42.377,42.5909,41.838,42.146,1248445
2015-04-20,42.223,42.377,41.9835,42.0091,1340001
2015-04-21,42.0262,42.4968,42.0262,42.2316,1496273
2015-04-22,42.2145,42.6508,42.1802,42.3685,1196278
2015-04-23,42.2743,42.4455,42.0947,42.2572,962239
2015-04-24,42.3,42.5481,42.146,42.2401,885259
2015-04-27,42.1973,42.4027,41.8637,42.1203,1236533
2015-04-28,41.9407,42.1546,41.761,41.9492,1282917
2015-04-29,41.6654,42.0003,40.712,41.0727,2306570
2015-04-30,41.0727,41.0727,39.7586,40.3427,3139896
2015-05-01,40.2654,40.8322,40.2052,40.3684,1799488
2015-05-04,40.6003,40.9782,40.3684,40.5144,1964566
2015-05-05,40.3856,40.4457,39.4666,39.5696,2080780
2015-05-06,39.5525,39.8187,39.0543,39.4408,2704170
2015-05-07,39.5095,40.2353,39.3463,39.9476,2168589
2015-05-08,40.4028,41.1071,40.3512,40.669,1869218
