date,open,high,low,close,volume
2015-01-02,70.112,70.1659,67.9727,68.2513,1188949
2015-01-05,68.1434,68.3409,66.7861,67.0288,1635546
2015-01-06,67.1637,67.2446,65.7794,66.5884,2210220
2015-01-07,67.1457,67.1457,66.2288,66.8131,1577931
2015-01-08,67.3614,68.0266,67.3075,67.8648,1173767
2015-01-09,68.0176,68.0446,67.1277,67.2715,825725
2015-01-12,67.5232,67.5861,66.5794,66.876,830914
2015-01-13,67.4513,68.0715,66.067,66.903,1168682
2015-01-14,66.2288,67.1816,65.8693,67.1277,1304041
2015-01-15,66.4176,66.93,65.6626,65.7524,1812829
2015-01-16,65.1682,66.1839,65.1682,66.139,1918722
2015-01-20,66.1569,66.4356,65.5277,66.2828,1438886
2015-01-21,66.0221,67.1277,65.9322,67.0828,1292755
2015-01-22,67.4423,68.0536,66.8311,67.8109,1299481
2015-01-23,67.8828,68.0221,66.7682,66.8401,1130167
2015-01-26,66.9479,67.2787,66.2558,67.0468,748861
2015-01-27,66.4985,66.9659,65.9142,66.3187,1118405
2015-01-28,66.8221,66.921,65.6266,65.9412,1734993
2015-01-29,65.9053,66.8859,65.2401,66.6873,1081411
2015-01-30,66.0221,66.4176,65.312,65.4378,1361613
2015-02-02,65.7435,66.094,64.7008,65.7524,1737811
2015-02-03,66.2378,66.7592,65.9322,66.7322,1042212
2015-02-04,66.7142,67.294,66.4446,66.5884,1062151
2015-02-05,66.6423,67.8288,66.3951,67.6311,1572401
2015-02-06,67.5502,67.9097,67.0738,67.2985,1114040
2015-02-09,66.7142,68.2783,66.7142,68.1434,2551857
2015-02-10,68.1165,68.1434,64.9524,67.5861,4407758
2015-02-11,67.2895,68.2154,66.8491,67.9816,2693044
2015-02-12,68.3322,69.1322,68.0985,68.7367,1506575
2015-02-13,68.8895,69.7884,68.7637,69.7165,1814541
2015-02-17,69.5816,69.7884,69.2131,69.3929,1318900
2015-02-18,69.4648,69.8243,69.3839,69.5097,1020777
2015-02-19,69.6535,70.0401,69.4917,70.0221,888791
2015-02-20,69.9322,70.085,69.285,70.058,1257593
