date,open,high,low,close,volume
2015-01-02,42.3496,42.5093,41.3619,41.7005,15070165
2015-01-05,41.6534,41.7383,41.1063,41.1157,18375801
2015-01-06,41.5591,41.6722,40.5498,40.6913,19229461
2015-01-07,40.8705,41.0497,40.5687,40.7007,13502164
2015-01-08,41.1535,41.4459,40.9177,40.946,17516877
2015-01-09,41.4836,41.5968,40.8045,40.9271,15957540
2015-01-12,40.8045,41.2855,40.4272,40.8139,16055720
2015-01-13,41.1912,41.4553,40.1536,40.4932,12878161
2015-01-14,40.0499,40.7196,40.0499,40.6158,12707442
2015-01-15,41.012,41.1629,40.1536,40.2102,13431005
2015-01-16,40.0782,41.144,39.8518,41.0403,17786705
2015-01-20,41.0874,41.5308,40.7762,41.4081,16308441
2015-01-21,41.2101,41.4364,40.7573,41.0214,15876559
2015-01-22,41.4553,42.757,40.729,41.5496,17969124
2015-01-23,41.4836,42.0118,41.427,41.6817,14150264
2015-01-26,41.6628,41.7005,41.0686,41.4081,12059503
2015-01-27,40.5687,41.3798,40.1631,40.9365,14984938
2015-01-28,41.4459,41.4836,40.248,40.2668,15132525
2015-01-29,40.3894,40.5781,39.9178,40.4272,12805069
2015-01-30,39.7009,40.1065,39.4462,39.5122,22590037
2015-02-02,39.8141,40.2857,39.201,40.2574,16889510
2015-02-03,40.5026,40.6913,40.1206,40.5969,12657079
2015-02-04,40.5309,40.7101,39.9178,40.0121,12912026
2015-02-05,40.0876,40.7856,40.0876,40.7101,9630270
2015-02-06,40.8045,41.0025,40.446,40.5404,9522111
2015-02-09,40.2102,41.1535,40.2102,40.9365,12705939
2015-02-10,41.3044,41.5591,41.0874,41.493,12714760
2015-02-11,41.4647,41.5025,40.6394,40.8988,12836944
2015-02-12,41.012,41.5591,40.946,41.3987,12519731
2015-02-13,41.3138,41.7194,41.3138,41.4364,10155871
2015-02-17,41.1912,41.4081,41.0686,41.3515,10119007
2015-02-18,41.2289,41.6062,41.1723,41.5968,8661050
2015-02-19,41.6251,41.8515,41.5025,41.6062,8465711
2015-02-20,41.5591,41.5874,40.9931,41.2855,14731155
2015-02-23,40.9931,41.3893,40.8452,41.2949,10995463
2015-02-24,41.3044,41.4647,40.9177,41.3893,10522544
2015-02-25,41.3421,41.5874,40.9177,41.2478,11785439
2015-02-26,41.3138,41.6439,41.2289,41.3987,8519272
2015-02-27,41.2855,41.6062,41.2006,41.3327,9549531
2015-03-02,41.3232,41.5402,41.012,41.5308,11091035
2015-03-03,41.3421,41.3893,40.7196,40.9177,10058739
2015-03-04,40.7479,41.1818,40.3894,41.1346,14697648
2015-03-05,41.1818,41.3987,40.7997,41.3138,10983546
2015-03-06,41.1346,41.1346,39.899,39.9744,15086633
2015-03-09,39.8518,40.3611,39.7953,40.2668,11474174
2015-03-10,39.8424,40.1348,39.4038,39.4462,13960716
2015-03-11,39.55,39.7669,39.0595,39.1161,11108839
2015-03-12,39.1066,39.3896,38.918,39.2576,13716747
2015-03-13,39.1821,40.0593,39.1538,39.9744,18405393
2015-03-16,40.3894,41.0591,40.314,40.946,17423196
2015-03-17,40.663,40.8799,40.4272,40.4366,21508988
2015-03-18,41.7854,42.3844,40.8894,41.6251,37900346
2015-03-19,41.5025,41.9646,41.5025,41.6534,15729627
2015-03-20,41.6251,42.191,41.5591,41.8892,20724698
2015-03-23,41.8232,42.0873,41.6534,41.7383,10749232
2015-03-24,41.8137,41.9741,41.2289,41.2289,14913405
2015-03-25,41.2006,41.2666,40.4932,40.4932,17490993
2015-03-26,40.3517,40.7762,40.0499,40.5498,14065618
2015-03-27,40.4932,40.6724,40.0121,40.2197,18030789
2015-03-30,40.7762,41.1535,40.6677,40.9742,12730145
2015-03-31,40.8516,41.0969,40.6818,40.7007,13264196
2015-04-01,40.5498,40.6724,40.2951,40.5026,12050921
2015-04-02,40.6919,40.8055,40.2092,40.3417,11183925
2015-04-06,40.0199,40.796,39.9536,40.6635,9766515
2015-04-07,40.6919,41.1557,40.6446,40.6635,8075569
2015-04-08,40.5594,41.0232,40.5594,40.8055,6947138
2015-04-09,40.673,40.9948,40.4553,40.8907,9399527
2015-04-10,40.7771,41.5438,40.7771,41.1841,12542826
2015-04-13,41.222,41.4492,40.7298,40.7771,10943399
2015-04-14,40.7393,40.7582,40.2376,40.4458,10510451
2015-04-15,40.6541,41.8278,40.5405,41.6385,18188736
2015-04-16,41.3545,41.6101,40.938,41.1368,11960843
2015-04-17,40.7582,41.08,40.5689,40.7014,12473535
2015-04-20,40.9948,41.4681,40.938,41.0043,10426440
2015-04-21,41.1841,41.5249,41.08,41.0989,9312916
2015-04-22,41.1841,41.4113,41.0232,41.222,7343916
2015-04-23,41.1841,41.2977,40.6872,41.0705,11310989
2015-04-24,41.0895,41.2504,40.4648,40.7771,17767086
2015-04-27,40.796,41.6006,40.7676,41.2788,12916013
2015-04-28,41.3734,42.1969,41.1273,42.1212,18287732
2015-04-29,42.0266,42.4998,41.345,42.3389,36608698
2015-04-30,41.6953,42.036,41.1794,41.2882,20196267
2015-05-01,41.1179,42.0076,41.1179,41.9982,11941981
2015-05-04,42.1685,42.4525,41.8751,42.2064,9168246
2015-05-05,42.0928,42.2348,41.5438,41.5722,11410737
2015-05-06,41.8372,41.8751,40.7014,40.9475,12732068
2015-05-07,40.8623,41.3261,40.7203,41.1557,8787086
2015-05-08,41.487,41.8751,41.3545,41.6574,9582856
2015-05-11,41.6195,41.8372,41.2693,41.4965,7429355
2015-05-12,41.3166,41.3545,40.9664,41.2409,8515835
2015-05-13,41.4208,41.7142,41.2882,41.4492,7451216
2015-05-14,41.7521,42.0266,41.6479,42.0076,7293021
2015-05-15,42.036,42.0644,41.5911,41.7899,9369535
2015-05-18,41.5911,42.036,41.5296,41.8751,6070949
2015-05-19,42.0455,42.0833,41.7994,41.9508,8639951
2015-05-20,41.8562,42.2159,41.7332,41.9224,9055667
2015-05-21,41.8562,42.0739,41.6006,41.913,8036392
2015-05-22,41.8372,41.9035,41.5344,41.5817,7484345
2015-05-26,41.4018,41.487,40.8434,41.0138,10440443
2015-05-27,41.2125,41.8846,41.0895,41.7805,11096773
2015-05-28,41.7237,41.8846,41.3072,41.5154,7273163
2015-05-29,41.4492,41.4965,41.0421,41.1652,10358719
