date,open,high,low,close,volume
2015-01-02,68.128,69.0562,67.5022,68.673,3634610
2015-01-05,67.5916,67.5916,65.4884,66.127,6104730
2015-01-06,65.6246,66.6124,64.7646,65.565,6038092
2015-01-07,66.3654,66.6549,64.7135,65.5735,5475349
2015-01-08,66.2547,67.0637,65.9738,66.1526,6734730
2015-01-09,66.5443,66.5868,64.7731,66.0248,5203863
2015-01-12,64.986,65.1478,63.5385,63.8195,7127751
2015-01-13,63.8535,64.777,63.2234,63.8365,7084487
2015-01-14,62.8573,64.5262,62.2825,64.2708,7109842
2015-01-15,65.2244,65.4543,63.8091,64.705,7271531
2015-01-16,65.1137,66.6379,65.0541,66.4676,6564058
2015-01-20,66.2037,66.425,64.6454,66.425,5610811
2015-01-21,66.7827,67.7363,66.5357,67.4724,4491715
2015-01-22,68.1195,68.1195,66.1781,67.1488,5221583
2015-01-23,67.0126,68.0173,66.5528,67.1403,4870102
2015-01-26,67.1658,68.4175,66.672,68.392,3871352
2015-01-27,68.0514,68.5367,67.2851,67.6171,4468033
2015-01-28,67.3447,67.6171,64.952,65.1393,6174824
2015-01-29,66.6635,66.7656,64.3304,66.6805,6297638
2015-01-30,66.2633,69.2733,65.8384,68.1195,9218097
2015-02-02,69.6352,69.9758,66.8934,68.2558,7964109
2015-02-03,69.2179,70.0694,68.6304,69.9502,7136836
2015-02-04,68.9455,69.5415,67.9492,68.8433,6871349
2015-02-05,69.7033,70.5888,69.3542,69.9247,5246950
2015-02-06,70.6655,70.8869,69.516,69.6096,4681576
2015-02-09,70.0269,70.8613,69.0221,69.1924,6582524
2015-02-10,69.1626,69.4053,67.6597,69.235,5630777
2015-02-11,68.0429,68.7411,67.3191,68.1025,4827822
2015-02-12,68.9114,70.0183,68.5964,69.8566,6010482
2015-02-13,70.8102,71.3041,70.2908,70.7677,4523048
2015-02-17,70.2653,70.7421,69.8651,70.2738,4490839
2015-02-18,69.252,70.2312,69.1839,69.2861,5191226
2015-02-19,67.3276,69.2861,67.2765,68.6389,4521458
2015-02-20,68.8177,69.0647,67.9066,68.2047,3783058
2015-02-23,67.5831,68.5964,67.3532,67.9492,3162337
2015-02-24,68.5282,68.6049,67.549,67.9066,2710934
2015-02-25,68.0429,68.5623,67.7619,68.2983,2892413
2015-02-26,67.5575,67.7874,66.2888,66.689,4696394
2015-02-27,66.953,67.1318,66.144,66.3143,5123759
2015-03-02,66.2973,66.2973,65.267,66.1951,4456110
2015-03-03,66.2462,67.0977,65.9652,66.425,4275251
2015-03-04,66.3143,66.7401,65.7609,66.6975,3216799
2015-03-05,66.5272,66.5868,65.7183,65.9823,3614559
2015-03-06,65.6557,66.0597,64.0399,64.2633,5085374
2015-03-09,64.2805,65.1314,64.1086,64.2891,3399917
2015-03-10,63.4898,64.0485,63.2148,63.4468,4199367
2015-03-11,63.2749,64.1774,63.2234,63.825,3457784
2015-03-12,64.2118,64.504,63.7992,64.1,4268762
2015-03-13,63.4296,63.5672,62.2264,62.6045,6199662
2015-03-16,62.2092,62.8882,61.9685,62.8366,5442558
2015-03-17,62.7335,62.9483,62.033,62.192,3941507
2015-03-18,61.9341,64.1172,61.6677,63.6101,4181639
2015-03-19,62.5788,62.8538,61.6247,61.7708,5466362
2015-03-20,62.2779,63.507,62.1232,62.5014,13407501
2015-03-23,62.8366,63.4039,62.6045,62.6217,3767487
2015-03-24,62.6561,62.9483,62.235,62.2693,2861855
2015-03-25,62.7249,63.8035,62.4928,63.3609,4783441
2015-03-26,64.1258,64.2032,62.8452,63.3695,4952509
2015-03-27,62.7764,63.2835,62.3553,62.5014,3598985
2015-03-30,63.1202,63.8767,63.0429,63.5843,3907040
2015-03-31,62.7421,63.3609,62.4756,62.7421,4892869
2015-04-01,63.7906,64.1,63.146,63.8078,4429167
2015-04-02,63.2921,64.2633,63.0429,64.0743,5277579
2015-04-06,64.418,66.1886,64.0313,65.7588,6997452
2015-04-07,65.8276,66.2831,65.3377,66.0167,4482065
2015-04-08,66.1972,66.3605,65.733,65.8362,5089682
2015-04-09,65.8706,67.0824,65.8362,66.8933,4100857
2015-04-10,67.1426,67.4864,66.7043,67.4262,3338221
2015-04-13,67.77,67.9333,66.7773,66.816,2654992
2015-04-14,67.3403,68.3948,67.2371,68.1568,4573449
2015-04-15,68.9217,70.5289,68.535,70.0562,6766474
2015-04-16,69.764,70.2539,69.0592,69.9359,5510780
2015-04-17,69.4804,69.721,68.5092,69.2139,6579346
2015-04-20,69.2913,69.9961,68.9819,69.0764,3881136
2015-04-21,69.0764,69.1624,68.0966,68.2857,2982318
2015-04-22,68.4834,68.7069,67.6841,68.406,3466230
2015-04-23,68.6295,69.403,68.449,68.7928,3425361
2015-04-24,68.492,68.7584,68.0708,68.5607,3432011
2015-04-27,68.8787,69.1366,68.2513,68.2685,4671104
2015-04-28,68.088,68.6037,67.7356,68.5006,2747615
2015-04-29,68.3373,68.9991,68.1568,68.853,3929699
2015-04-30,69.1022,69.3085,68.2427,68.8444,3855225
2015-05-01,68.724,69.2741,68.4576,69.1882,3351709
2015-05-04,69.2655,69.3515,68.2513,68.7842,2778351
2015-05-05,69.2913,69.6867,67.4606,67.5723,4876624
2015-05-06,70.4688,70.4946,67.8817,68.2599,6801009
2015-05-07,67.5637,67.8646,66.3261,66.7043,6703303
2015-05-08,67.3317,67.3661,65.9393,66.9535,6213059
2015-05-11,67.0996,67.1899,65.8448,65.9049,4985753
2015-05-12,65.9393,66.1542,65.3291,65.9049,4101038
2015-05-13,66.2315,66.4636,65.0541,65.4666,3524789
2015-05-14,65.5612,66.3347,65.4838,65.5697,2457982
2015-05-15,65.4064,66.2788,64.9767,66.0425,2724745
2015-05-18,65.6815,66.4894,65.5354,66.3863,3209162
2015-05-19,65.7588,65.9995,65.1572,65.183,5170806
2015-05-20,65.5182,66.2144,65.1572,65.8534,3627559
2015-05-21,66.1198,66.5496,65.7588,66.137,3460102
2015-05-22,65.5955,66.4292,65.1916,66.1886,3740877
2015-05-26,65.6041,66.18,65.3377,65.9393,5200648
2015-05-27,65.862,66.5753,65.415,66.0253,4090261
2015-05-28,65.8963,67.0738,65.5835,66.8074,4787805
2015-05-29,67.0051,67.3317,66.1972,67.2028,6049098
2015-06-01,67.8044,68.1998,66.963,67.8044,5066495
2015-06-02,67.9935,68.6639,67.0566,68.2771,5438433
2015-06-03,67.6067,67.9075,67.3145,67.3575,4171026
2015-06-04,66.9019,67.2801,66.3863,66.4378,4749181
2015-06-05,66.1112,68.3803,66.094,67.9763,5369633
2015-06-08,67.69,67.8205,66.8917,67.0131,4815541
2015-06-09,67.5338,67.8375,67.1607,67.2301,4066939
2015-06-10,68.1672,68.4882,67.8375,68.4015,4643648
2015-06-11,68.3668,68.8961,68.1498,68.4535,3355602
2015-06-12,68.1585,68.2106,67.1173,67.4904,3671322
2015-06-15,67.0218,67.7681,66.909,67.204,3037094
