date,open,high,low,close,volume
2015-01-02,41.033,41.387,40.555,40.9268,2003348
2015-01-05,41.0772,41.5463,40.7409,40.9976,4600462
2015-01-06,40.9887,41.2719,40.4931,40.7055,3249074
2015-01-07,41.0949,41.4844,40.7143,41.449,2262307
2015-01-08,41.7056,42.1482,41.4889,42.0951,1826470
2015-01-09,41.8118,42.0862,41.5375,41.7233,1942104
2015-01-12,41.8296,41.9889,39.8912,41.6702,1992546
2015-01-13,42.042,42.5288,41.3693,41.6702,2104787
2015-01-14,41.3605,41.7455,41.0684,41.7233,2452526
2015-01-15,41.7145,41.9535,41.4313,41.6702,2277145
2015-01-16,41.6083,41.8915,41.4755,41.865,2511315
2015-01-20,42.2986,42.3074,41.6525,42.0774,1577905
2015-01-21,42.0243,42.1393,41.6348,41.9092,1799529
2015-01-22,42.042,42.5199,41.6171,42.4491,1832955
2015-01-23,42.458,42.9094,42.2986,42.8164,2061125
2015-01-26,42.7589,42.8386,42.2278,42.6394,1531784
2015-01-27,42.2898,42.4757,41.8296,42.188,1740525
2015-01-28,42.4403,42.5376,41.4268,41.4888,2472182
2015-01-29,41.52,41.6182,40.9579,41.3862,2919127
2015-01-30,41.181,41.2702,40.3332,40.3868,3166034
2015-02-02,40.5474,41.0649,39.7265,41.0114,3180818
2015-02-03,41.4308,41.8591,41.1631,41.8591,2921179
2015-02-04,41.7699,42.1982,41.761,42.0019,2252855
2015-02-05,42.0911,42.3767,41.7699,42.3767,2387842
2015-02-06,42.4213,42.8764,42.3856,42.5908,2277482
2015-02-09,42.5194,42.7158,42.1714,42.3321,1967672
2015-02-10,42.3767,42.8318,42.2785,42.7693,1426123
2015-02-11,42.7604,43.0459,42.6801,42.9701,1088321
2015-02-12,43.0102,43.2155,42.9121,43.1932,1306838
2015-02-13,43.2422,43.5813,43.068,43.5099,1261101
2015-02-17,43.5099,43.5813,43.0013,43.5099,2100465
2015-02-18,43.5724,43.7152,43.3761,43.6884,1341105
2015-02-19,43.6259,43.9293,43.4207,43.9249,1135927
2015-02-20,43.8579,44.2863,43.6884,44.2193,2147052
2015-02-23,44.2952,44.3398,44.0007,44.197,1140855
2015-02-24,44.197,44.5896,43.9293,44.5852,2023285
2015-02-25,44.6164,44.7842,44.4023,44.545,1744713
2015-02-26,44.545,44.5896,44.2773,44.5629,1822207
2015-02-27,44.6164,44.6343,44.3309,44.4692,2040010
2015-03-02,44.5807,44.9823,44.4379,44.9733,1342116
2015-03-03,44.6253,44.9733,43.5992,44.0186,4771386
2015-03-04,43.9026,44.0007,43.4385,43.5367,2123815
2015-03-05,43.501,43.8936,43.4028,43.8847,1766079
2015-03-06,43.7062,43.9561,42.9031,43.6795,2084534
2015-03-09,43.6884,44.081,43.6572,43.9739,1476707
2015-03-10,43.5724,44.0007,43.3315,43.7241,2671119
2015-03-11,43.733,43.8758,43.5545,43.7152,2113214
2015-03-12,43.9472,44.8663,43.9026,44.8484,2371648
2015-03-13,44.6789,44.8306,44.139,44.545,1816684
2015-03-16,44.8573,45.5534,44.6878,45.5132,1959885
2015-03-17,45.3481,45.5444,45.2054,45.5177,1558503
2015-03-18,45.5087,46.0263,44.9421,45.7764,2413854
2015-03-19,45.8121,45.9549,45.5266,45.7229,1258485
2015-03-20,46.0441,46.1334,45.7854,46.062,2278262
2015-03-23,46.0977,46.1512,45.7407,45.7407,1717518
2015-03-24,45.7854,45.9728,45.598,45.7764,2528067
2015-03-25,45.3392,45.4641,43.8847,43.9026,3855582
2015-03-26,43.6259,44.0141,43.3225,43.733,2489295
2015-03-27,43.617,44.3041,43.505,44.2149,2184841
2015-03-30,44.3666,44.7323,44.3219,44.6253,1352506
2015-03-31,44.5361,44.67,44.2684,44.2729,1798879
2015-04-01,43.9204,44.2149,43.4484,44.1658,2334593
2015-04-02,44.4469,44.4469,43.8222,43.9472,1808790
2015-04-06,44.2506,44.3219,43.8044,43.9115,2222658
2015-04-07,43.8847,44.081,43.8401,43.849,1914800
2015-04-08,43.8401,44.2149,43.6527,44.0275,2128888
2015-04-09,44.0899,44.1435,43.5367,44.0721,1141650
2015-04-10,44.2595,44.2684,43.9115,43.9739,1374899
2015-04-13,44.0632,44.2416,43.733,43.7776,1217724
2015-04-14,43.4921,43.8847,43.4832,43.6349,929149
2015-04-15,43.6884,43.8757,43.5456,43.7062,1102246
2015-04-16,43.5456,43.8936,43.3761,43.7598,1198798
2015-04-17,43.4742,43.7152,42.8318,43.0816,2139123
2015-04-20,43.3047,43.7865,43.1262,43.7062,1397695
2015-04-21,44.3933,44.4379,43.7509,43.7776,1509415
2015-04-22,43.9472,44.1078,43.5367,43.9739,1246949
2015-04-23,43.8133,44.3576,43.733,44.1836,1105369
2015-04-24,44.1792,44.1792,43.3494,43.9293,1320910
2015-04-27,44.0275,44.0587,43.6349,43.9739,1673230
2015-04-28,43.849,44.0224,43.5278,43.965,1302638
2015-04-29,43.7062,43.8312,43.3939,43.5769,1376253
2015-04-30,43.4207,43.6793,43.0013,43.1798,1728512
2015-05-01,43.2868,43.7152,43.2155,43.5902,1837192
2015-05-04,43.6795,44.2059,43.6081,44.0721,3355527
2015-05-05,44.0364,44.0364,43.4208,43.8044,2230098
2015-05-06,43.7955,44.0096,43.385,43.7241,2037481
