date,open,high,low,close,volume
2015-01-02,85.0346,85.4018,84.2445,84.5957,3554777
2015-01-05,84.6046,85.142,83.9507,83.9597,6440954
2015-01-06,84.2732,84.7568,83.252,83.3237,6194995
2015-01-07,85.2137,86.1991,84.5867,85.7601,6526279
2015-01-08,86.6559,87.7039,86.6022,87.3188,7131624
2015-01-09,87.3815,87.489,86.5215,86.7276,4061535
2015-01-12,86.844,87.1934,86.1632,86.3693,4192739
2015-01-13,86.5932,87.3277,85.8318,86.3066,5373499
2015-01-14,85.5093,86.7096,85.5093,86.5932,5127849
2015-01-15,87.0142,87.1754,86.3334,86.5932,4424008
2015-01-16,86.5842,87.274,86.2976,87.1486,4404358
2015-01-20,88.0802,88.0802,86.7365,87.3456,7029455
2015-01-21,86.9067,87.9816,86.5305,87.2471,5031061
2015-01-22,87.3188,88.6803,86.9246,88.5907,7620426
2015-01-23,88.107,88.6714,87.8741,88.2593,4857695
2015-01-26,87.9548,88.6355,87.489,88.4026,4298681
2015-01-27,87.471,87.8294,85.3194,86.638,7365306
2015-01-28,87.0769,87.5785,85.6885,85.7422,6280100
2015-01-29,85.7422,86.423,84.9808,86.0199,4600274
2015-01-30,85.1958,85.3929,83.8074,84.0045,7741531
2015-02-02,84.0761,85.4914,83.8432,85.3929,6889501
2015-02-03,86.011,86.4947,85.6168,86.1722,5090350
2015-02-04,86.0199,87.1264,86.0199,86.5305,5064710
2015-02-05,87.0948,87.0948,86.3603,86.5395,4466206
2015-02-06,86.6022,86.9425,86.3103,86.629,4629236
2015-02-09,86.5126,86.8082,85.6258,85.9662,4217118
2015-02-10,86.6469,87.8741,86.3334,87.7756,6797404
2015-02-11,89.6209,90.2569,88.8595,89.9344,9736400
2015-02-12,89.6209,90.024,89.0207,89.8179,9062289
2015-02-13,89.7104,89.7104,88.6266,88.7968,5642975
2015-02-17,88.1877,88.4206,87.7846,88.107,5877815
2015-02-18,87.9995,89.1192,87.9279,88.9759,3472486
2015-02-19,88.9491,89.2177,88.2593,88.4295,4186264
2015-02-20,87.9816,88.743,87.6323,88.7341,3946209
2015-02-23,88.8236,89.1058,88.4474,89.0834,3075845
2015-02-24,89.0834,89.5492,88.8057,89.1999,3389854
2015-02-25,89.2894,89.4148,88.5998,89.1282,3366098
2015-02-26,88.8147,89.0028,88.6624,88.743,5721960
2015-02-27,88.8774,89.0118,88.6535,88.6624,6461717
2015-03-02,88.5907,88.9491,88.4385,88.6803,3613572
2015-03-03,88.5191,88.6355,87.8921,88.1429,4148507
2015-03-04,88.1204,88.2329,87.5793,87.7957,3885236
2015-03-05,88.1023,88.2196,87.6605,87.6785,3537435
2015-03-06,87.4711,87.6064,86.5152,86.7226,6466070
2015-03-09,86.5693,87.0202,86.5424,86.6054,4810515
2015-03-10,86.0102,86.2086,85.1536,85.1536,5390258
2015-03-11,85.1806,85.3339,84.2698,84.4322,4637261
2015-03-12,84.7297,86.3529,84.6215,86.3078,4454966
2015-03-13,85.5684,86.1996,84.7117,85.0544,4703849
2015-03-16,85.2708,86.1455,85.1987,86.0734,4687405
2015-03-17,85.6135,85.9291,84.8199,84.883,4507415
2015-03-18,84.7568,85.7127,83.1787,85.3429,7692072
2015-03-19,85.1536,85.2888,84.4953,84.856,4386405
2015-03-20,84.9462,86.0959,84.856,85.9742,8810365
2015-03-23,86.0914,86.6775,85.9742,86.4341,4739420
2015-03-24,87.2096,87.6154,86.398,86.4431,7118581
2015-03-25,86.9571,86.9661,85.875,85.902,4965558
2015-03-26,85.893,86.5513,85.4782,86.2357,5077708
2015-03-27,85.9201,86.7136,85.8299,86.5242,4245575
2015-03-30,86.8218,87.178,86.1635,87.0383,5021247
2015-03-31,86.7677,87.1014,86.2267,86.2267,4397584
2015-04-01,85.8119,85.9201,84.9191,85.7487,4241245
2015-04-02,85.4692,86.5017,85.4692,86.2898,3586201
2015-04-06,86.1455,87.5523,86.1455,87.0022,4861823
2015-04-07,87.1735,87.3539,86.7407,86.7587,3376583
2015-04-08,86.6595,87.1104,86.2898,86.5964,3879114
2015-04-09,86.416,87.1374,86.2447,86.885,3488127
2015-04-10,86.8218,87.0383,86.7046,86.7497,2704870
2015-04-13,86.5784,86.8218,86.1004,86.1455,3772868
2015-04-14,86.2718,87.2907,86.0193,87.0112,4501659
2015-04-15,87.2366,87.7416,87.0202,87.1374,3508685
2015-04-16,87.0473,87.3944,86.7587,86.9751,3699019
2015-04-17,86.4251,86.6775,85.9922,86.398,4991649
2015-04-20,86.8038,87.417,86.7858,87.0202,4468687
2015-04-21,87.6514,87.9761,87.0563,87.2727,4184255
2015-04-22,87.6965,88.0482,87.1825,87.7236,5293609
2015-04-23,87.1735,87.8679,86.0734,86.3259,7827702
2015-04-24,86.3078,86.3078,85.2257,85.8209,5381728
2015-04-27,85.8209,85.911,85.1806,85.2077,5348543
2015-04-28,85.4331,85.4602,84.7838,85.1445,5065914
2015-04-29,84.9642,85.1896,84.094,85.1085,4963553
2015-04-30,84.9101,85.9651,84.5494,85.7758,6714433
2015-05-01,85.8119,86.2267,85.4511,86.1726,4622320
2015-05-04,86.0734,86.7948,85.902,86.5242,3729350
2015-05-05,86.5874,86.7226,85.884,86.0463,3502784
2015-05-06,86.4972,86.5423,85.6225,86.1004,3376393
2015-05-07,85.8028,86.2718,85.6225,85.8028,3157394
2015-05-08,86.4882,87.1194,86.1635,87.0653,5231561
2015-05-11,86.8128,87.5594,86.6775,86.885,3070285
2015-05-12,86.5693,86.912,85.6676,86.7497,4230685
2015-05-13,86.8128,87.435,86.7226,86.9391,3739761
2015-05-14,87.3268,88.3729,87.2366,88.3729,4018487
2015-05-15,88.2196,88.7696,88.1474,88.5712,3809492
2015-05-18,88.3819,88.6704,88.0753,88.4179,3328277
