date,open,high,low,close,volume
2015-01-02,79.7718,79.9123,78.9639,79.4205,7255494
2015-01-05,79.2361,79.9123,78.9024,79.0429,8626143
2015-01-06,79.3063,79.5259,78.3843,78.6828,7791195
2015-01-07,78.9814,79.359,78.65,79.0956,5986899
2015-01-08,79.4556,80.1099,79.1483,80.0001,6831617
2015-01-09,80.0703,80.0703,79.1395,79.2537,4873097
2015-01-12,79.4512,79.5786,78.5994,78.9639,5250893
2015-01-13,79.7191,80.3513,78.8321,79.2976,6730752
2015-01-14,78.797,79.1746,78.5346,79.0253,6418158
2015-01-15,79.4644,79.4732,78.4545,78.9112,6768180
2015-01-16,78.9902,80.2108,78.92,80.1318,8815713
2015-01-20,80.1318,80.606,79.4732,80.0791,9874638
2015-01-21,79.9497,80.6483,79.2687,80.2415,6974533
2015-01-22,80.5157,81.0905,79.4809,81.0286,7211231
2015-01-23,80.6306,80.6483,79.5517,79.6667,6745741
2015-01-26,79.5517,79.5517,78.4816,79.2245,9371693
2015-01-27,77.0311,77.1284,76.076,76.4917,14417363
2015-01-28,76.6155,76.8631,75.1828,75.3066,14033420
2015-01-29,75.8637,76.1556,75.3066,75.7665,12054601
2015-01-30,75.2535,75.3725,74.5106,74.546,14685250
2015-02-02,74.8025,75.2977,74.0065,75.28,10278739
2015-02-03,76.0141,76.0583,75.28,76.0141,10747897
2015-02-04,75.961,76.4828,75.6603,75.8726,9212785
2015-02-05,76.2706,76.7481,76.1467,76.6774,6531298
2015-02-06,76.5536,76.5978,75.3066,75.7134,8429773
2015-02-09,75.4481,75.5542,74.8113,75.2181,8811512
2015-02-10,75.4658,75.678,75.0147,75.5188,7059632
2015-02-11,76.0141,76.2352,75.3021,75.7399,7184577
2015-02-12,76.1114,76.1874,75.5365,76.0848,6074566
2015-02-13,76.0848,76.191,75.6161,75.9699,6272049
2015-02-17,76.1114,76.1114,75.1739,75.6073,10310422
2015-02-18,75.846,76.4032,75.6338,76.2882,8132286
2015-02-19,76.1556,76.3236,75.2181,75.3596,7271618
2015-02-20,75.1297,75.2181,74.4575,75.0589,9581338
2015-02-23,75.1385,75.6161,74.8644,75.5188,7919155
2015-02-24,75.6249,75.8284,75.1828,75.6161,6502170
2015-02-25,75.793,75.877,75.3861,75.5807,5975834
2015-02-26,75.5454,75.846,75.0766,75.3243,7964477
2015-02-27,75.1916,75.51,74.7936,75.2889,7685024
2015-03-02,75.1916,75.5365,75.0324,75.5365,7235172
2015-03-03,75.4834,75.563,74.7671,75.3154,6095591
2015-03-04,75.2093,75.3862,74.4752,74.599,7369986
2015-03-05,74.8378,74.9617,74.3691,74.8467,5914196
2015-03-06,74.5902,74.6167,72.8479,73.1044,11338662
2015-03-09,73.2194,73.5908,73.1221,73.4847,7326705
2015-03-10,72.9364,73.299,72.1139,72.1139,9681416
2015-03-11,72.105,72.3261,71.4692,71.9812,10066594
2015-03-12,72.1581,72.6224,72.0874,72.6003,6951122
2015-03-13,72.503,72.7683,71.769,72.3704,7492548
2015-03-16,72.5915,74.2453,72.5119,73.9004,15618256
2015-03-17,73.7235,73.7323,72.901,73.2724,7509338
2015-03-18,73.2813,74.3337,72.5384,74.0684,12607899
2015-03-19,73.8119,74.0684,73.5112,73.7412,9257503
2015-03-20,74.2807,74.9882,74.0861,74.944,22580280
2015-03-23,74.6167,75.2181,74.6079,75.0501,9891106
2015-03-24,75.0766,75.2712,74.1745,74.2188,7478791
2015-03-25,74.6167,74.6167,73.2813,73.414,8482161
2015-03-26,73.0337,73.0602,72.4765,72.6534,7311649
2015-03-27,72.5915,72.9983,72.512,72.7949,6441403
2015-03-30,73.0779,73.3609,72.6534,73.1575,6416848
2015-03-31,73.1929,73.3432,72.4676,72.4676,8649658
2015-04-01,72.9098,72.9187,72.0346,72.8037,7395287
2015-04-02,72.6711,73.0425,72.4455,72.901,6169838
2015-04-06,72.45,73.6041,72.0874,73.4405,6856344
2015-04-07,73.3432,73.6616,72.8126,72.8656,6330163
2015-04-08,72.786,73.5643,72.7595,73.2017,6523404
2015-04-09,73.0779,73.3609,72.5296,73.3078,6184986
2015-04-10,73.2282,73.9623,73.1531,73.7146,7001674
2015-04-13,73.4051,74.2453,73.352,73.7854,8290458
2015-04-14,73.75,74.1834,73.4493,73.9357,6792597
2015-04-15,74.1569,74.4664,73.8296,73.8562,7006392
2015-04-16,73.9004,74.3514,73.7146,73.8473,7615906
2015-04-17,73.4051,73.5997,72.5472,72.9894,9533805
2015-04-20,73.4847,74.2718,73.2282,73.2901,7415988
2015-04-21,73.75,74.1126,73.3167,73.4759,7696424
2015-04-22,73.5997,73.7058,73.0513,73.4847,6753101
2015-04-23,72.5824,73.1931,72.1233,72.1678,14569488
2015-04-24,72.2481,72.6849,72.1233,72.2124,8785471
2015-04-27,72.1322,72.3907,71.7399,71.8558,9192250
2015-04-28,71.9717,72.052,71.4903,71.6953,8395450
2015-04-29,71.3209,71.5973,71.0713,71.1872,11858459
2015-04-30,71.2763,71.4546,70.4918,70.8841,9409334
2015-05-01,71.1069,71.6062,70.9911,71.5794,8192966
2015-05-04,71.7488,72.1813,71.5839,71.6329,7203759
2015-05-05,71.7667,71.9004,71.1248,71.3833,6589434
2015-05-06,71.624,71.838,70.893,71.6775,7335742
2015-05-07,71.6508,71.8112,71.3209,71.4992,7224338
2015-05-08,72.1144,72.3996,72.052,72.1768,6929376
2015-05-11,72.1678,72.2035,71.5527,71.5616,5237754
2015-05-12,71.3477,71.5794,70.7503,71.2763,6305837
2015-05-13,71.4636,71.8469,70.9197,71.0535,6459854
2015-05-14,71.419,71.9361,71.4011,71.8291,5634158
2015-05-15,72.0609,72.3194,71.9717,72.257,7454848
2015-05-18,72.1857,72.3283,71.7667,71.9806,5590781
2015-05-19,71.9895,72.1678,71.6151,72.0609,5729453
2015-05-20,72.15,72.2124,71.7221,71.7488,5486969
2015-05-21,71.4725,71.838,71.1783,71.6864,6055727
2015-05-22,71.5349,71.6775,71.2496,71.2763,6003623
2015-05-26,71.2942,71.3789,70.3759,70.5542,6698256
2015-05-27,70.6255,71.2674,70.5096,70.7771,8094560
2015-05-28,70.8127,70.8306,70.4472,70.7236,5803445
2015-05-29,70.5899,70.6434,69.7073,69.8856,12551704
2015-06-01,70.1174,70.4918,69.7786,70.2957,7588036
2015-06-02,69.948,70.1798,69.6894,70.0193,7380764
2015-06-03,70.3492,70.367,69.7786,70.0371,5985813
2015-06-04,69.9034,70.2868,69.5914,69.6716,7714574
2015-06-05,69.5735,69.6449,68.9762,69.0297,9439700
2015-06-08,69.0743,69.5231,68.7355,69.2793,10916201
2015-06-09,69.5111,70.7236,69.3774,70.3402,11528875
2015-06-10,70.6344,71.1337,70.4383,70.9108,9483534
2015-06-11,71.2585,71.2585,70.6434,70.7949,7633332
2015-06-12,70.581,70.7147,70.046,70.3135,6508632
2015-06-15,69.8321,69.9435,69.4755,69.6449,7527947
2015-06-16,70.9643,70.9643,70.0148,70.5185,8285671
2015-06-17,70.6077,71.4903,70.572,71.3922,9305776
2015-06-18,71.6151,72.4086,71.5884,72.052,10712462
2015-06-19,71.9539,72.3907,71.7488,71.8023,15598811
2015-06-22,72.1411,72.3729,71.6151,71.7221,6907940
2015-06-23,71.6151,71.7221,70.9821,71.1337,7190628
2015-06-24,71.1426,71.1872,70.8752,70.8841,8843732
2015-06-25,71.0624,71.2318,70.7771,70.7771,5855728
2015-06-26,70.9108,71.0891,70.679,70.7325,7703191
2015-06-29,70.3848,70.7593,69.7697,69.8232,7966240
2015-06-30,70.3581,70.4383,69.6538,69.7519,8451427
2015-07-01,69.8856,71.1114,69.6449,71.0713,8868020
2015-07-02,71.3298,71.6329,71.1159,71.2585,6602521
2015-07-06,70.9732,71.517,70.8752,71.3655,6601218
2015-07-07,71.3744,72.9524,71.3744,72.8543,11690399
2015-07-08,72.3996,72.8276,72.1144,72.2035,6724685
2015-07-09,72.8811,73.1039,71.7845,71.9093,10419811
2015-07-10,72.4175,72.5333,71.9985,72.1678,6892498
2015-07-13,72.676,73.1396,72.5155,73.0237,7332927
2015-07-14,73.1396,73.514,73.0861,73.1396,6119504
2015-07-15,73.0237,73.3892,72.9613,73.2377,6673662
2015-07-16,73.5051,73.5943,73.1931,73.3714,6623418
2015-07-17,73.0059,73.4427,72.7473,73.3179,5827266
2015-07-20,73.1842,73.416,73.1039,73.2733,5012932
2015-07-21,73.1128,73.2198,72.5423,72.7741,7512386
2015-07-22,72.8306,73.0733,72.5071,72.6509,6106378
2015-07-23,72.6509,72.7048,72.0307,72.534,5380856
