date,open,high,low,close,volume
2015-01-02,43.1312,43.2783,42.778,43.2489,725602
2015-01-05,42.9448,43.0625,42.2189,42.2287,1426802
2015-01-06,40.9633,42.16,40.9045,41.8461,1226166
2015-01-07,42.16,42.2778,41.8363,42.1012,1132289
2015-01-08,42.5916,43.4352,42.4445,43.1606,1909473
2015-01-09,43.2292,43.2783,42.4347,42.7192,585307
2015-01-12,42.8859,42.9055,42.1993,42.6113,564489
2015-01-13,42.9938,43.2391,42.16,42.5622,538865
2015-01-14,42.0906,42.3657,41.6976,42.1987,604432
2015-01-15,42.2773,42.3657,41.5306,42.0513,993196
2015-01-16,41.8548,42.6703,41.5257,42.6113,953123
2015-01-20,42.9454,43.1615,41.8744,42.2773,909521
2015-01-21,42.2183,42.8815,42.0513,42.631,752277
2015-01-22,43.1222,43.1714,42.4148,43.0731,1101962
2015-01-23,43.1026,43.7903,42.8963,43.5152,868881
2015-01-26,43.4268,43.7019,43.0436,43.6626,914815
2015-01-27,43.1222,43.584,42.9257,43.1714,1187277
2015-01-28,43.4956,44.0851,43.1222,43.7117,1259039
2015-01-29,43.4759,44.1244,43.2303,44.0753,1382883
2015-01-30,44.7827,46.4136,44.6648,44.9104,3565875
2015-02-02,44.989,45.1167,43.6331,44.7925,2056128
2015-02-03,45.2052,46.0108,44.8809,46.0108,1375689
2015-02-04,45.7455,45.8831,45.0676,45.1855,977295
2015-02-05,45.2641,45.8782,45.2641,45.775,952083
2015-02-06,45.775,45.8929,45.0283,45.1757,664441
2015-02-09,45.0872,45.1659,44.5469,44.6844,713994
2015-02-10,44.8809,45.1167,44.5665,45.0676,772855
2015-02-11,44.93,45.3722,44.8613,45.1265,607656
2015-02-12,45.2346,45.6276,45.0774,45.5883,308126
2015-02-13,45.6473,45.7603,45.3427,45.4901,509798
2015-02-17,45.382,45.6178,45.0479,45.5097,591929
2015-02-18,45.5589,45.7947,45.2052,45.5589,372800
2015-02-19,45.3918,45.549,45.1069,45.1265,445282
2015-02-20,45.1167,45.7848,44.762,45.7554,600914
2015-02-23,45.7947,46.0992,45.5393,45.942,539017
2015-02-24,45.942,46.4235,45.7259,46.3547,539290
2015-02-25,46.3743,46.6347,45.7161,46.1385,698430
2015-02-26,46.1778,46.2564,45.7554,46.1778,328870
2015-02-27,46.1484,46.2859,45.9617,46.1778,390953
2015-03-02,46.2859,46.5414,46.0206,46.3252,352864
2015-03-03,46.0894,46.3056,45.8241,46.0796,398730
2015-03-04,45.8045,45.8143,45.3918,45.6866,729190
2015-03-05,45.8438,46.5217,45.7455,46.4529,342383
2015-03-06,46.2073,46.2921,45.6571,45.7554,723930
2015-03-09,45.6964,45.775,45.267,45.6375,608841
2015-03-10,45.0872,45.5785,44.9693,45.4213,707907
2015-03-11,45.5392,46.1091,45.2936,45.9322,487276
2015-03-12,46.0108,46.4431,46.001,46.4136,382256
2015-03-13,46.3547,46.6684,46.001,46.62,1334233
2015-03-16,46.9344,47.4698,46.62,47.4551,863439
2015-03-17,47.3077,47.799,46.8558,47.6811,717681
2015-03-18,47.6221,48.4376,47.2881,48.4278,875304
2015-03-19,48.1428,49.0862,47.9267,48.978,1129037
2015-03-20,49.4791,49.5184,48.9878,49.3317,1399462
2015-03-23,49.2138,49.6756,49.1843,49.6068,754900
2015-03-24,49.4987,49.8229,49.3415,49.6264,1619737
2015-03-25,49.5773,49.9408,49.3759,49.6166,3252850
2015-03-26,49.3415,49.6657,49.0959,49.6264,2238482
2015-03-27,49.6756,50.2798,49.5577,50.1963,941678
2015-03-30,50.4321,50.6974,50.2749,50.5696,631732
2015-03-31,50.2454,50.5598,49.99,50.2454,870392
2015-04-01,50.0882,50.1884,49.1843,49.7149,1123668
2015-04-02,49.7935,50.0882,49.4496,49.8622,761640
2015-04-06,49.5282,50.2749,49.4006,49.99,1026741
2015-04-07,50.098,50.383,49.5773,49.6657,702664
2015-04-08,49.764,50.3142,49.54,50.3142,818953
2015-04-09,50.1963,50.3928,49.8524,50.3535,583778
2015-04-10,50.3535,50.8644,50.3535,50.6384,566210
2015-04-13,50.6679,50.943,50.6482,50.6482,523144
2015-04-14,50.5598,50.5991,50.1766,50.2749,759188
2015-04-15,50.4126,50.6291,50.3536,50.5307,650217
2015-04-16,50.3339,50.6684,50.2749,50.5996,579423
2015-04-17,50.2159,50.2159,49.7928,50.1667,556744
2015-04-20,50.5602,50.8849,50.267,50.6783,340989
2015-04-21,50.9537,50.9833,50.57,50.875,522513
2015-04-22,50.5897,51.121,50.5602,50.8554,728270
2015-04-23,50.6979,50.8849,50.5012,50.7373,369590
2015-04-24,50.7373,50.9833,50.5602,50.816,1502156
2015-04-27,50.9537,51.426,50.4913,50.7078,1141501
2015-04-28,50.8652,50.9636,50.4028,50.9242,819172
2015-04-29,50.5799,51.0521,50.4126,50.9242,689866
2015-04-30,50.6979,51.0915,50.1863,50.4323,2052113
2015-05-01,50.6291,52.6558,50.3733,51.7015,2652922
2015-05-04,51.0325,51.7802,50.8357,51.2194,1299286
2015-05-05,50.8455,50.8652,50.2552,50.3831,1145409
2015-05-06,50.4126,50.5356,49.3697,49.4878,995305
2015-05-07,49.537,49.8223,49.2812,49.6354,1154456
2015-05-08,50.1863,50.4126,49.8223,49.9305,915788
2015-05-11,49.8617,50.5159,49.8223,50.2946,826711
2015-05-12,50.1765,50.2552,49.4288,50.1765,837748
2015-05-13,50.3634,50.7275,50.2946,50.4421,604320
2015-05-14,50.6094,51.1013,50.6094,50.9439,841604
2015-05-15,50.9636,51.3866,50.9636,51.3178,1665493
2015-05-18,51.18,51.5736,51.1604,51.5047,563618
2015-05-19,51.5047,52.0655,51.4358,51.9573,636886
2015-05-20,52.095,52.8034,52.0557,52.7148,738579
2015-05-21,52.7739,52.8034,52.3902,52.5279,393960
2015-05-22,52.4984,52.6853,52.2819,52.5279,529592
2015-05-26,52.4197,52.5673,51.8294,51.8884,409126
2015-05-27,52.0163,52.646,51.8097,52.5968,380211
2015-05-28,52.5377,52.7247,51.9622,52.2328,485685
2015-05-29,52.1737,52.3115,51.6327,51.8786,326282
2015-06-01,52.0655,52.0753,51.5145,51.7211,429830
2015-06-02,51.4949,51.9278,51.2686,51.7605,355986
2015-06-03,51.8982,52.0163,51.5441,51.9966,428762
2015-06-04,51.9376,52.0065,51.485,51.6031,236392
2015-06-05,51.4457,51.5834,51.1033,51.5342,337699
2015-06-08,51.4653,51.6621,51.1604,51.2096,333315
2015-06-09,51.121,51.303,50.8652,50.9046,590932
2015-06-10,50.9931,51.9032,50.9931,51.7507,472053
2015-06-11,51.9671,52.0065,51.672,51.8884,336319
2015-06-12,51.6326,51.8294,51.18,51.2194,455479
2015-06-15,51.0029,51.2096,50.6684,51.1997,471125
2015-06-16,51.2194,51.6916,51.0718,51.6228,287632
2015-06-17,51.7015,52.2721,51.6129,52.2131,489519
2015-06-18,52.3902,53.4921,52.3784,53.01,729710
2015-06-19,52.9608,53.3347,52.8919,53.0297,840189
2015-06-22,53.2166,53.2683,53.0297,53.0985,251909
2015-06-23,53.0395,53.2855,52.6755,52.8919,842238
2015-06-24,52.7936,53.1281,52.5377,52.6558,460234
2015-06-25,52.7345,53.2166,52.3311,53.1379,648620
2015-06-26,53.2658,53.5708,53.0395,53.4134,512337
2015-06-29,53.0395,53.256,51.8982,51.977,442524
2015-06-30,52.764,53.0592,51.7802,51.79,836907
2015-07-01,52.1836,52.2623,51.5736,51.6424,1039202
2015-07-02,51.8097,51.9868,51.2391,51.3965,786451
2015-07-06,51.0915,51.5145,50.9144,51.367,1242914
2015-07-07,51.6424,51.6424,50.693,51.3374,1044048
2015-07-08,51.0325,51.0866,50.0781,50.1667,621015
2015-07-09,50.7275,50.9341,50.1765,50.1962,628372
2015-07-10,50.757,50.875,50.4618,50.6979,633265
2015-07-13,51.0423,51.3768,50.8436,51.1899,735085
2015-07-14,51.2981,52.4886,51.0325,52.1442,1442621
2015-07-15,52.3511,52.6368,51.6812,51.7502,535264
2015-07-16,52.0457,52.0457,51.3167,51.5728,904146
2015-07-17,51.5236,51.9472,51.4349,51.5039,1007172
2015-07-20,51.5728,51.8684,51.4054,51.4743,1110794
2015-07-21,51.4645,51.5778,50.8734,51.1197,630599
2015-07-22,51.0803,51.3462,50.6687,51.1295,710642
2015-07-23,51.1394,51.297,50.7749,50.8635,637401
2015-07-24,50.6862,50.9029,50.0951,50.1345,734667
2015-07-27,50.036,50.105,49.4252,49.6813,589414
2015-07-28,50.0064,50.1542,49.5779,49.9473,1528193
2015-07-29,49.9966,50.3168,49.839,49.9966,956807
2015-07-30,49.8094,50.7749,49.4547,50.6566,1085996
2015-07-31,50.9325,52.4299,50.5483,52.1344,915047
2015-08-03,52.1738,52.3807,51.5137,51.7206,963754
2015-08-04,51.76,52.3511,51.6812,52.1344,732297
2015-08-05,52.4348,52.9225,52.0457,52.0654,641242
2015-08-06,52.2033,52.2033,50.7453,50.8537,398593
2015-08-07,50.7946,50.7946,49.8636,50.4399,531917
2015-08-10,50.7256,51.1,50.5286,50.8241,451522
2015-08-11,50.4596,50.6566,49.6715,49.9473,613933
2015-08-12,49.5927,49.5927,48.3218,49.3365,1037982
2015-08-13,49.6025,49.8981,49.238,49.5828,788446
2015-08-14,49.7799,49.8882,49.3956,49.77,593208
2015-08-17,49.6321,49.7404,49.371,49.5828,866084
2015-08-18,49.5533,50.0261,49.4744,49.7897,444673
2015-08-19,49.5139,49.5139,48.8834,49.0705,526266
2015-08-20,48.7848,48.8932,48.3514,48.4105,841720
2015-08-21,48.1346,48.1938,46.9919,47.0017,1145914
2015-08-24,44.9132,46.6766,44.4108,45.2678,1295060
2015-08-25,46.4599,46.5091,45.2875,45.3368,1442576
2015-08-26,46.2333,47.4056,45.6816,47.3268,1169921
2015-08-27,47.5337,48.7848,47.514,48.706,900131
2015-08-28,48.4991,48.8242,48.1051,48.7454,694800
2015-08-31,48.4794,48.6371,47.6913,47.9573,1241174
2015-09-01,47.0313,47.1889,45.5412,45.7309,1372617
2015-09-02,46.2628,46.8539,45.8786,46.8539,665987
2015-09-03,46.913,47.7012,46.8796,47.2382,843138
2015-09-04,46.5485,47.041,46.3515,46.6471,636945
2015-09-08,47.5238,47.5337,46.8786,47.514,543633
2015-09-09,47.7997,47.9312,46.519,46.6471,448130
2015-09-10,46.3909,47.0214,46.3417,46.7456,667948
2015-09-11,46.5879,47.2776,46.3811,47.2283,330138
2015-09-14,47.2283,47.3071,46.6766,47.051,392320
2015-09-15,47.2086,47.8588,46.9229,47.6913,440783
2015-09-16,47.7307,48.1938,47.4844,47.9081,482427
2015-09-17,47.9081,48.9326,47.8785,48.3021,482570
2015-09-18,47.7997,47.9179,46.5781,46.6668,1193385
2015-09-21,46.9426,47.0904,45.9772,46.1446,640127
2015-09-22,45.5831,45.8392,45.2875,45.79,813858
2015-09-23,45.7703,46.0855,45.6028,45.8294,475278
2015-09-24,45.4156,45.4452,44.8836,45.2481,691017
2015-09-25,45.6028,45.79,44.7753,45.0708,993040
2015-09-28,44.8344,44.9033,43.4749,43.7901,1115367
2015-09-29,43.7901,44.8048,43.7113,44.6176,1227432
2015-09-30,45.1102,45.5338,44.5487,45.2777,681650
2015-10-01,45.2284,45.4058,44.3911,44.7556,764947
2015-10-02,44.1152,45.7506,44.0463,45.7407,516780
2015-10-05,46.0363,46.3909,45.6619,46.1052,546408
2015-10-06,45.8589,46.184,45.5831,46.0461,822693
2015-10-07,46.2727,47.1593,46.1742,46.8244,849654
2015-10-08,46.6471,47.2776,46.4303,47.1692,437034
2015-10-09,47.1495,47.5632,47.1002,47.4746,340396
2015-10-12,47.3465,47.5534,47.0017,47.4943,383468
2015-10-13,47.2382,47.7012,46.7948,46.8835,463716
2015-10-14,46.9822,47.1894,46.4099,46.5283,384508
2015-10-15,46.5185,47.6136,46.4889,47.6037,399675
2015-10-16,47.7123,47.9589,47.3768,47.9392,459303
2015-10-19,47.8701,48.245,47.6531,48.2253,476000
2015-10-20,48.1266,48.4522,47.9096,48.3141,565507
2015-10-21,48.5706,48.5903,47.9194,48.1464,551500
2015-10-22,48.3239,48.7778,48.0576,48.3338,791020
2015-10-23,48.6594,49.7151,48.4325,49.646,523622
2015-10-26,49.5769,49.6361,49.0739,49.202,436071
2015-10-27,49.0244,49.5276,48.8863,49.3993,795246
2015-10-28,49.3993,50.3169,49.2316,50.307,340501
2015-10-29,50.4057,50.6227,49.9321,50.4649,592035
2015-10-30,50.5339,51.2739,50.4451,50.9483,727213
