date,open,high,low,close,volume
2015-01-02,147.0349,151.2305,146.5167,149.3769,2136637
2015-01-05,146.0982,146.5367,138.9627,139.3513,2266843
2015-01-06,139.0025,141.9574,137.0492,138.9826,2171521
2015-01-07,140.896,142.082,136.6406,137.4578,2398375
2015-01-08,138.8829,144.7528,138.1255,140.9259,2491167
2015-01-09,141.0854,144.0751,139.5805,142.0321,1593288
2015-01-12,139.0025,139.0823,133.4915,134.4681,2511039
2015-01-13,134.7671,139.9293,134.5777,137.418,3051215
2015-01-14,135.5245,141.9324,134.1392,141.7431,3205560
2015-01-15,144.5933,147.1047,140.6867,140.8263,3074520
2015-01-16,142.3909,150.224,141.3943,149.4566,4083755
2015-01-20,146.2975,147.7923,143.816,146.8755,2182606
2015-01-21,148.6992,153.7867,147.8422,152.4165,1482215
2015-01-22,153.6821,153.9612,147.4934,151.9381,1714332
2015-01-23,151.8584,155.5258,151.41,152.3367,1789571
2015-01-26,152.3866,154.9478,150.2341,154.4993,1476402
2015-01-27,153.3034,156.0739,151.8384,154.589,1444560
2015-01-28,153.8216,153.8216,143.5469,144.0552,2467360
2015-01-29,146.4968,146.4968,141.2249,145.7593,1840209
2015-01-30,145.0717,151.2903,143.816,150.0147,2411958
2015-02-02,152.9745,157.9076,152.536,156.5821,2690648
2015-02-03,159.6018,162.2725,157.2399,161.0667,3476108
2015-02-04,158.6251,160.3093,154.8282,156.9708,2271191
2015-02-05,159.4324,161.6448,156.612,158.0471,2170217
2015-02-06,159.5021,159.7114,153.7519,156.1138,2540891
2015-02-09,157.4492,159.1184,153.0642,153.5924,3540206
2015-02-10,153.4828,154.3697,149.2673,152.5958,3120339
2015-02-11,143.1981,150.7123,142.7497,146.4669,5715641
2015-02-12,148.9185,151.4597,147.304,147.6329,3686560
2015-02-13,151.1209,157.6734,149.4865,157.3097,3421525
2015-02-17,154.6986,158.1767,154.3598,157.1203,1670353
2015-02-18,154.8481,160.708,154.8481,156.4127,2011825
2015-02-19,150.8319,160.2794,150.6824,159.6117,2347048
2015-02-20,159.3028,160.0801,157.3146,158.2165,1973280
2015-02-23,158.0073,158.0073,153.1539,155.6653,1928080
2015-02-24,156.4925,157.5887,154.3996,156.8313,1655945
2015-02-25,156.4925,160.8674,155.2467,159.8011,1333991
2015-02-26,158.8543,159.8808,154.4694,155.4959,1543720
2015-02-27,155.5158,155.9643,151.3999,151.9979,1533103
2015-03-02,151.4099,154.9179,150.0745,154.2203,1138872
2015-03-03,154.7086,160.9472,154.4794,158.954,2612160
2015-03-04,158.4557,162.8008,156.1536,162.452,3339429
2015-03-05,161.4554,162.2427,159.821,159.8908,2467934
2015-03-06,157.4591,159.9207,154.9777,155.6354,1951012
2015-03-09,155.6653,156.5423,152.4762,152.6855,1204896
2015-03-10,151.4298,154.7385,151.0113,151.4597,2149524
2015-03-11,151.5893,154.4196,150.812,152.6158,1566586
2015-03-12,154.0309,154.878,152.1176,152.7453,1840257
2015-03-13,150.5529,154.4395,150.1841,154.1106,2402862
2015-03-16,153.6123,156.5821,151.3601,156.4626,1887842
2015-03-17,155.5656,157.6286,153.8216,155.9842,1791937
2015-03-18,154.5491,160.2994,152.2869,157.7083,2825309
2015-03-19,154.9677,158.6251,154.2402,158.1966,1543139
2015-03-20,160.6681,163.9757,159.5021,163.0001,2700394
2015-03-23,162.8705,164.2458,158.4457,158.4657,1398148
2015-03-24,158.7746,159.3526,155.466,157.4591,1726472
2015-03-25,159.2829,162.7609,158.5155,161.4953,1619670
2015-03-26,164.3355,166.7273,163.1795,163.4486,2620084
2015-03-27,161.5646,164.565,160.8869,163.0897,1476463
2015-03-30,165.6017,166.5288,163.1196,165.9705,1337878
2015-03-31,163.5283,165.7712,162.8904,162.99,1686633
2015-04-01,164.4155,168.5692,164.3956,166.3493,1931331
2015-04-02,166.4988,171.7222,165.6316,170.3964,2524564
2015-04-06,170.9347,173.666,170.9347,173.028,1845808
2015-04-07,172.7589,174.7725,171.2238,171.3135,1349245
2015-04-08,172.6193,173.9451,169.5541,169.908,1929551
2015-04-09,170.8948,175.6472,170.8649,174.0348,1793740
2015-04-10,174.1245,174.7725,171.772,171.9714,1370580
2015-04-13,174.1046,175.2808,170.7054,171.453,908008
2015-04-14,172.5296,176.2876,172.0511,175.5699,1049427
2015-04-15,177.5536,179.9858,174.8522,179.3678,2061519
2015-04-16,178.1915,181.3913,176.9754,179.6569,1479704
2015-04-17,177.723,179.308,176.0883,177.3642,1512638
2015-04-20,178.0321,179.7765,176.2378,176.6465,768200
2015-04-21,175.1812,176.4867,171.2537,173.0181,1283309
2015-04-22,174.2342,175.1911,171.7421,172.3801,1391202
2015-04-23,173.6261,175.5145,173.4567,174.603,1355816
2015-04-24,174.284,175.6098,172.5296,173.5464,1378308
2015-04-27,174.5631,175.3606,170.0974,170.8649,1297119
2015-04-28,170.8749,172.729,170.0575,171.6325,1408569
2015-04-29,171.1739,175.3008,170.3466,174.274,1678884
2015-04-30,174.6827,175.0715,170.9048,172.2306,1457874
2015-05-01,172.4399,173.8454,169.2301,171.0144,1345878
2015-05-04,171.8219,173.038,161.9833,167.7947,5439822
2015-05-05,169.27,171.3434,161.2954,162.5315,4019511
2015-05-06,161.0761,163.2492,157.7468,159.3915,4335829
2015-05-07,159.6806,160.2189,154.5769,159.0626,3653028
2015-05-08,159.8002,160.1641,155.5637,158.5542,3813344
2015-05-11,158.2352,158.2352,152.3839,152.5035,2874299
2015-05-12,152.5135,154.9856,151.5465,154.0486,1971820
2015-05-13,155.9625,155.9924,150.4899,151.407,1696164
2015-05-14,151.3572,154.1582,149.5529,152.7527,2989307
2015-05-15,152.2643,154.866,150.7292,154.1782,1997385
2015-05-18,154.2479,157.5773,153.6299,157.1786,2071431
2015-05-19,155.1152,155.7033,151.9552,152.4836,1898807
2015-05-20,153.301,153.4704,150.2607,151.5366,1698901
2015-05-21,152.7527,155.8329,152.663,155.5039,1740669
2015-05-22,154.2479,155.6485,153.4006,154.3775,1322949
2015-05-26,152.7627,154.3675,151.7359,152.7128,1984044
2015-05-27,152.2044,153.2312,149.5629,151.0481,1376541
2015-05-28,150.7491,151.1309,146.9113,148.2172,2027411
2015-05-29,148.5262,149.832,147.3499,147.3599,1490398
2015-06-01,147.4696,149.523,147.1306,149.2937,1703386
2015-06-02,150.0613,154.3775,147.629,153.0019,2395797
2015-06-03,152.5135,153.7396,150.0214,150.4401,2094194
2015-06-04,149.0944,150.2208,147.8184,148.2172,1261989
2015-06-05,147.1406,153.0218,147.1406,151.0282,1706742
2015-06-08,150.2706,152.3639,148.0477,148.4664,1425295
2015-06-09,150.2208,151.6462,148.277,148.2969,1116232
2015-06-10,149.9417,150.8687,148.6458,150.3205,1495354
2015-06-11,150.5896,151.088,149.1542,149.3336,1097566
2015-06-12,148.2371,148.3866,146.4927,147.1207,1325418
2015-06-15,145.8746,148.9249,145.6952,147.021,1660805
2015-06-16,147.1805,149.0246,147.1805,148.8252,883613
2015-06-17,150.0214,150.3105,144.808,145.0074,1891382
2015-06-18,145.9145,145.9145,142.1465,142.9839,3105119
2015-06-19,142.8742,144.3196,141.5443,142.1764,2147449
2015-06-22,142.9938,142.9938,140.7311,141.4089,2029139
2015-06-23,140.9304,142.944,138.9966,142.0469,2122438
2015-06-24,141.8774,143.8511,140.9504,141.5086,1793930
2015-06-25,141.389,143.1831,141.389,141.7877,1918934
