date,open,high,low,close,volume
2015-01-02,77.0532,78.1868,76.0869,77.0718,1358449
2015-01-05,77.0904,77.5736,75.1485,75.9197,1850560
2015-01-06,75.706,76.964,74.526,76.1427,2600530
2015-01-07,76.3564,77.8616,76.152,77.2948,2434712
2015-01-08,77.9917,78.7248,77.9266,78.5213,2719587
2015-01-09,76.9882,78.6792,76.2077,77.9731,2535672
2015-01-12,77.9359,78.3633,76.5516,77.3598,1477169
2015-01-13,77.6572,78.5399,76.7466,77.3691,2114884
2015-01-14,76.6723,76.6723,75.2693,76.1334,1890700
2015-01-15,76.4214,76.9232,75.4272,75.7246,1222924
2015-01-16,75.7896,77.1462,75.325,77.109,1386976
2015-01-20,77.8987,77.8987,75.9894,77.1183,2346099
2015-01-21,76.9232,78.027,76.6444,77.3134,1871468
2015-01-22,77.3877,79.4969,76.9139,79.0973,1961380
2015-01-23,79.3482,79.4225,78.354,78.5213,1348354
2015-01-26,78.2054,78.8372,77.5085,78.7443,1877916
2015-01-27,78.2983,79.4318,77.62,78.7071,1628164
2015-01-28,79.1159,79.2088,75.7809,76.0033,2464281
2015-01-29,71.2647,75.0184,69.6945,71.8129,8256363
2015-01-30,70.9488,71.5435,69.425,70.1962,4085691
2015-02-02,69.5923,69.9453,67.6318,69.4436,3314330
2015-02-03,69.9268,70.0568,69.2299,69.6852,3013311
2015-02-04,69.6201,69.806,68.6538,69.072,2326092
2015-02-05,69.6852,70.8373,69.5375,70.6236,2454547
2015-02-06,70.3727,71.5407,70.0383,70.2798,1781314
2015-02-09,69.425,70.382,68.3751,68.5238,2169948
2015-02-10,68.8675,70.6608,68.8583,70.4471,2384780
2015-02-11,70.2891,72.1567,70.2891,70.9488,3058734
2015-02-12,71.2647,71.4413,70.8001,71.3112,1719492
2015-02-13,70.6489,71.0957,69.5296,70.481,3293721
2015-02-17,70.1545,71.0034,69.0259,69.2684,3116839
2015-02-18,69.6975,70.8728,69.5762,70.4997,2158387
2015-02-19,71.0967,72.5704,71.0967,71.7962,2524474
2015-02-20,71.6936,71.6936,70.481,71.05,1570255
2015-02-23,71.5257,71.703,71.1424,71.647,1504438
2015-02-24,71.4418,71.7589,70.5556,71.7309,2088257
2015-02-25,71.4138,73.0368,71.3672,72.3746,2120663
2015-02-26,72.7383,73.0835,71.0687,71.6377,2309662
2015-02-27,71.7403,72.2906,70.9567,71.2832,1682771
2015-03-02,71.2552,73.8763,71.2552,73.6991,2149514
2015-03-03,73.5685,74.8185,73.4752,74.3054,2863288
2015-03-04,73.9696,75.0423,73.1488,74.9863,2218236
2015-03-05,75.63,76.3389,75.5087,76.0404,2273329
2015-03-06,75.2289,75.4994,73.7271,74.2308,2146214
