date,open,high,low,close,volume
2015-01-02,156.6136,157.4499,154.0401,155.1614,274908
2015-01-05,154.3158,154.8121,153.2083,154.325,334214
2015-01-06,154.7018,155.7496,154.132,155.2992,396061
2015-01-07,155.7496,157.1007,154.4261,156.347,296706
2015-01-08,157.9462,160.9241,157.0915,160.8046,348210
2015-01-09,160.9333,161.5767,157.4775,157.7165,305484
2015-01-12,158.2955,158.8194,155.3176,155.9794,233100
2015-01-13,157.551,158.7045,153.746,155.382,279886
2015-01-14,154.9224,155.2441,152.1376,153.4794,223597
2015-01-15,153.8563,155.382,152.7901,154.3618,232707
2015-01-16,154.2515,157.1282,154.2515,156.8893,259467
2015-01-20,158.0106,158.0106,153.746,155.4831,447108
2015-01-21,155.3176,156.4114,154.3434,155.8231,229708
2015-01-22,156.9352,159.6649,155.6393,159.2146,239475
2015-01-23,158.8561,160.3267,158.1301,158.7642,180573
2015-01-26,158.3598,160.8644,156.54,160.6759,286060
2015-01-27,159.1686,161.6134,158.5253,160.6116,219624
2015-01-28,160.9884,161.6272,158.6172,158.6723,233291
2015-01-29,158.5712,159.4811,156.5952,159.3249,218302
2015-01-30,157.6521,159.4811,156.7698,157.5143,274087
2015-02-02,157.5326,159.7936,156.6319,159.5087,311244
2015-02-03,160.1337,162.2108,158.8378,161.8983,484930
2015-02-04,161.5859,164.4075,160.9517,163.5895,484298
2015-02-05,164.5913,167.3118,162.9277,167.1188,318685
2015-02-06,169.3338,169.6757,166.889,167.8449,391036
2015-02-09,166.7787,167.3899,165.9791,166.6684,255725
2015-02-10,167.4772,167.9735,166.4479,167.1831,271637
2015-02-11,167.6519,168.093,166.4754,167.2842,233930
2015-02-12,167.7805,168.8651,166.8523,167.3669,246662
2015-02-13,167.1188,168.3596,165.6299,166.742,315665
2015-02-17,166.4295,167.56,163.9203,164.3339,399618
2015-02-18,164.3339,165.2071,162.9645,165.1887,331295
2015-02-19,165.3817,165.3909,163.8744,164.4902,175605
2015-02-20,163.856,164.6556,161.8156,164.4718,244797
2015-02-23,164.7291,164.7291,162.3119,163.3137,378265
2015-02-24,163.1667,165.8413,163.0196,165.1152,321555
2015-02-25,165.0508,165.5104,163.231,163.3321,268316
2015-02-26,162.6796,164.2512,162.6796,163.7181,197770
2015-02-27,163.0472,164.481,162.3211,163.0748,252639
2015-03-02,163.8009,165.4185,163.2035,165.3174,225075
2015-03-03,164.8946,165.4277,163.2126,164.1042,176557
2015-03-04,163.8009,164.0812,162.9645,163.6722,256580
2015-03-05,164.0214,165.2622,163.1961,163.8928,199062
2015-03-06,162.9829,164.2236,162.5325,163.6722,214512
2015-03-09,164.4022,164.5039,161.4546,163.7646,346277
2015-03-10,162.3971,163.0716,160.0316,160.6969,342108
2015-03-11,161.0111,162.6743,160.6876,162.5819,302651
2015-03-12,162.97,165.1876,162.5172,165.0398,214694
2015-03-13,165.2154,165.2154,162.6835,163.894,214717
2015-03-16,164.0511,165.1137,164.0326,164.2082,321951
2015-03-17,162.9423,164.4115,162.5634,163.8663,292171
2015-03-18,163.6538,164.6609,162.2585,164.1065,438293
2015-03-19,163.9864,164.5039,161.6486,162.7205,347819
2015-03-20,163.5891,163.9679,162.5106,163.6353,497360
2015-03-23,163.9125,165.8899,163.9125,164.892,257157
2015-03-24,164.1897,164.8365,162.7575,163.2564,288165
2015-03-25,162.9977,164.2913,161.6948,161.8242,260336
2015-03-26,161.6024,162.1568,160.9649,161.1959,344373
2015-03-27,161.0295,162.24,159.7267,160.4104,278640
2015-03-30,161.3345,163.3766,161.3345,163.0901,319823
2015-03-31,162.7205,163.0809,160.2903,160.7801,473511
2015-04-01,160.8263,161.8981,159.3755,159.9484,447279
2015-04-02,160.2441,160.9926,159.6158,160.6876,284586
2015-04-06,160.4844,163.4135,160.0907,163.3026,305197
2015-04-07,163.3211,164.4022,162.6373,162.7575,280101
2015-04-08,162.7205,165.6774,161.972,165.6035,333286
2015-04-09,165.5573,166.4905,164.9474,166.3334,252014
2015-04-10,166.1856,166.971,165.3817,166.2872,397566
2015-04-13,166.3242,166.934,165.4297,166.7954,223750
2015-04-14,167.3314,169.4566,166.0008,169.4197,450896
2015-04-15,169.1332,170.2236,168.7821,169.549,385835
2015-04-16,169.3273,170.0388,168.0105,169.8355,250143
2015-04-17,168.9207,169.3273,166.5737,167.239,357582
2015-04-20,168.8191,168.8884,167.2759,167.7934,261013
2015-04-21,167.9782,169.0353,165.2431,166.2872,262679
