date,open,high,low,close,volume
2015-01-02,9.7661,9.7936,9.5001,9.6377,9557701
2015-01-05,9.5918,9.6285,9.2732,9.3076,12598126
2015-01-06,9.2709,9.2801,8.9591,8.9958,22149386
2015-01-07,9.1058,9.1333,8.9362,9.0508,14461928
2015-01-08,9.1425,9.2067,9.0875,9.1884,14101121
2015-01-09,9.1884,9.1975,8.8858,8.9224,14962743
2015-01-12,8.9408,8.9775,8.7024,8.7482,17224174
2015-01-13,8.8124,8.9041,8.5465,8.6107,18948796
2015-01-14,8.4731,8.5373,8.3264,8.3997,24601134
2015-01-15,8.3172,8.4181,8.1613,8.2439,24860422
2015-01-16,8.2347,8.3952,8.1613,8.3172,41123525
2015-01-20,8.1246,8.3172,7.8771,8.0146,49735424
2015-01-21,8.0696,8.1155,7.9504,7.9871,26963081
2015-01-22,8.0421,8.519,8.0329,8.4273,31189948
2015-01-23,8.3997,8.4914,8.2484,8.2622,22071976
2015-01-26,8.253,8.3722,8.2255,8.3264,21049715
2015-01-27,8.2255,8.3264,8.143,8.2255,19222261
2015-01-28,8.308,8.3172,8.0054,8.0146,21154466
2015-01-29,7.9963,8.143,7.9688,8.1155,21703450
2015-01-30,7.9688,8.1613,7.9412,7.9779,19817589
2015-02-02,8.0513,8.2163,7.9779,8.1888,21380814
2015-02-03,8.2072,8.3814,8.2072,8.3539,18652284
2015-02-04,8.3172,8.4181,8.2897,8.2897,17204527
2015-02-05,8.3356,8.4731,8.3356,8.4364,14320454
2015-02-06,8.7024,8.9041,8.6565,8.7665,33160333
2015-02-09,8.6382,8.6657,8.5373,8.5831,18081428
2015-02-10,8.629,8.684,8.496,8.574,13432773
2015-02-11,8.5373,8.6198,8.4914,8.5465,16271736
2015-02-12,8.629,8.7941,8.574,8.7482,16265427
2015-02-13,8.7665,8.8582,8.6748,8.7299,10904217
2015-02-17,8.7024,8.8766,8.6565,8.8766,13311011
2015-02-18,8.8491,8.8582,8.6932,8.7207,11056476
2015-02-19,8.6932,8.7665,8.5831,8.739,10257917
2015-02-20,8.7115,8.8674,8.629,8.8582,10207440
2015-02-23,8.7941,8.8307,8.6932,8.7757,11831892
2015-02-24,8.7665,8.9223,8.7665,8.8674,12723567
2015-02-25,8.8766,8.8766,8.7849,8.8216,7689693
2015-02-26,8.8124,8.8674,8.7482,8.8216,10429803
2015-02-27,8.7941,8.8582,8.7757,8.8124,8081219
2015-03-02,8.7849,8.9041,8.7482,8.8949,7853946
2015-03-03,8.8216,8.872,8.7574,8.8216,11552569
2015-03-04,8.7665,8.7849,8.7115,8.7574,7859654
2015-03-05,8.7574,8.9041,8.6657,8.8949,10092280
2015-03-06,8.9224,9.1517,8.8766,8.9499,20008124
2015-03-09,8.9087,9.0416,8.9041,8.9499,11022206
2015-03-10,8.8399,8.8582,8.7574,8.7574,16660502
2015-03-11,8.785,8.8403,8.7574,8.7943,10318553
2015-03-12,9.0985,9.1814,9.0247,9.1169,32861873
2015-03-13,9.0892,9.1814,9.0431,9.1353,20272531
2015-03-16,9.1353,9.1906,8.9971,9.1077,13490475
2015-03-17,9.0708,9.1353,8.9602,9.1169,19052442
2015-03-18,9.1077,9.1999,8.8035,8.9325,30471390
2015-03-19,8.9233,8.9417,8.5454,8.7574,38704271
2015-03-20,8.7943,8.8864,8.7297,8.8864,26440146
2015-03-23,8.868,8.9141,8.7297,8.8035,14963439
