date,open,high,low,close,volume
2015-01-02,54.9345,55.2774,53.6488,54.4297,373222
2015-01-05,54.0392,54.0392,52.6583,52.8964,722186
2015-01-06,52.8678,52.8773,51.163,51.5059,456916
2015-01-07,51.7916,51.9821,51.4488,51.963,512620
2015-01-08,52.6202,53.0297,52.2969,53.0011,476669
2015-01-09,53.0297,53.0297,51.8297,52.0297,314648
2015-01-12,52.2202,52.2583,50.8762,51.3249,417672
2015-01-13,51.9344,52.4583,50.5065,51.0678,656869
2015-01-14,50.0296,50.6201,49.4106,50.3344,652392
2015-01-15,50.3915,50.6487,49.4677,49.4772,625384
2015-01-16,49.2201,50.1725,48.5439,50.1439,476703
2015-01-20,50.0582,50.3439,48.9058,49.7153,626784
2015-01-21,49.5344,50.1725,49.0487,49.8296,925802
2015-01-22,50.3344,52.1344,49.2868,51.8201,1094630
2015-01-23,51.8201,51.8487,50.0487,50.1058,945363
2015-01-26,50.0773,51.4106,49.8487,51.3535,649255
2015-01-27,50.4868,51.3916,50.1249,51.0201,618594
2015-01-28,51.4011,51.4439,49.782,49.8011,625556
2015-01-29,50.2106,50.8963,49.982,50.7439,595096
2015-01-30,50.0487,50.7154,49.763,50.1154,732312
2015-02-02,50.5725,50.8106,49.4868,50.7249,583027
2015-02-03,51.0963,52.0487,51.0963,52.0297,563382
2015-02-04,51.8106,52.363,51.7154,51.9725,529309
2015-02-05,52.3344,52.8392,52.0773,52.5916,291419
2015-02-06,53.0678,54.2392,52.9535,53.6583,708426
2015-02-09,53.3345,53.4964,52.7249,52.8583,420853
2015-02-10,53.4964,53.6107,53.0773,53.5345,289065
2015-02-11,53.3916,54.0488,53.2678,53.7726,250067
2015-02-12,54.0488,54.6774,53.6822,54.6774,588384
2015-02-13,54.6012,54.9059,54.1154,54.3345,611215
2015-02-17,54.4012,54.925,53.763,54.2773,536561
2015-02-18,54.2202,54.2583,53.1821,53.563,438156
2015-02-19,53.3154,53.7916,53.1583,53.4583,548657
2015-02-20,53.1821,53.9154,52.7059,53.9059,483198
2015-02-23,53.7154,53.8107,53.2202,53.8107,772698
2015-02-24,54.0107,55.1821,53.9631,54.9345,747510
2015-02-25,54.7631,55.0107,54.4583,54.5535,626370
2015-02-26,54.4488,54.7726,53.9726,54.4012,708235
2015-02-27,54.4678,54.925,54.3274,54.4107,687883
2015-03-02,54.4773,55.5059,54.2488,55.3917,705673
2015-03-03,55.2488,55.4678,54.8297,55.1821,401364
2015-03-04,55.0012,55.2393,54.6678,55.0774,462042
2015-03-05,55.1059,55.325,54.825,55.2869,368329
2015-03-06,55.4488,56.646,55.3536,55.9821,844970
2015-03-09,56.0012,56.3917,55.7917,55.9536,471234
2015-03-10,55.2107,55.6202,54.9065,55.1345,472985
2015-03-11,55.125,56.1441,54.9726,55.9631,632233
2015-03-12,56.4393,56.925,55.9821,56.8107,498070
2015-03-13,56.5536,56.6203,55.4876,55.925,824158
2015-03-16,56.3441,56.6488,56.0488,56.3345,742363
2015-03-17,55.9536,56.1298,55.6488,56.0393,974476
2015-03-18,55.9631,56.2679,55.2393,55.4393,870781
2015-03-19,55.1631,55.325,54.3821,54.6869,867964
2015-03-20,54.8869,55.6202,54.7535,55.4583,1088625
2015-03-23,55.4583,55.5917,54.9821,54.9821,524035
2015-03-24,54.9916,55.125,54.506,54.6869,522243
2015-03-25,54.9345,54.9631,53.6964,53.8107,592848
2015-03-26,53.5535,54.125,53.1726,53.9821,486663
2015-03-27,54.0297,54.2488,53.5916,54.2107,411670
2015-03-30,54.6597,55.2903,54.1915,54.8795,575025
2015-03-31,54.4686,54.6884,53.924,54.2489,599586
2015-04-01,54.182,54.2202,53.561,53.9431,561435
2015-04-02,54.0005,54.5164,53.7556,54.4591,351889
2015-04-06,53.8763,54.6024,53.4559,54.4686,373572
2015-04-07,54.4304,54.803,54.1056,54.1151,460409
2015-04-08,54.2298,54.8221,54.1486,54.4877,426589
2015-04-09,54.4017,54.7075,54.1677,54.2202,768886
2015-04-10,54.2298,54.4782,52.5387,53.3986,1462500
2015-04-13,53.3508,53.7998,53.3412,53.4177,608276
2015-04-14,53.303,54.3062,52.8826,54.0578,1422674
2015-04-15,54.1724,55.0323,53.9336,54.3731,714074
2015-04-16,54.6119,55.1852,54.1247,54.7839,707112
2015-04-17,54.3158,54.5164,53.7521,53.8954,437709
2015-04-20,54.2011,54.4877,54.0387,54.0673,249144
2015-04-21,54.2202,54.5737,53.8667,54.2489,570351
2015-04-22,54.4113,54.631,53.7712,54.4591,996078
2015-04-23,54.3253,55.1947,53.8285,54.9941,959410
2015-04-24,55.0323,55.2425,54.5164,54.5164,506717
2015-04-27,54.5546,55.0992,54.2775,54.3731,546199
2015-04-28,54.2393,54.8317,53.924,54.6693,604023
2015-04-29,54.3826,55.0705,54.3826,54.8412,617265
2015-04-30,54.8126,55.0228,53.9049,54.01,862903
2015-05-01,54.3349,54.7075,54.1342,54.2489,557188
2015-05-04,54.3253,55.2043,54.2107,55.0514,389465
2015-05-05,55.0705,55.5387,54.7075,54.8508,477051
2015-05-06,54.9177,55.147,54.3731,54.889,584609
2015-05-07,54.6597,55.5196,54.631,55.2425,719383
2015-05-08,55.6151,55.6247,55.2043,55.3763,384829
2015-05-11,55.2425,56.2075,55.2234,55.7011,514325
2015-05-12,55.3858,55.5005,54.7839,54.9654,604031
2015-05-13,55.0992,55.3132,54.803,55.1661,417648
2015-05-14,55.3667,55.7489,55.0228,55.7298,458613
2015-05-15,55.7489,55.8716,54.9368,55.3476,520074
2015-05-18,55.3285,56.2839,55.1374,56.2266,536491
2015-05-19,56.4846,56.4846,55.8683,55.8922,626726
2015-05-20,56.026,56.2075,55.3189,56.1311,415866
2015-05-21,55.7967,56.1693,55.51,56.0546,363793
2015-05-22,56.026,56.3986,55.8635,55.94,439113
2015-05-26,55.7011,55.7011,55.147,55.5291,643383
2015-05-27,55.6533,56.0642,55.2903,55.9209,421745
2015-05-28,55.7298,56.1215,55.5196,56.1215,350590
2015-05-29,55.9877,56.1119,55.2234,55.5291,574859
2015-06-01,55.768,55.9113,54.9989,55.4909,608608
2015-06-02,55.4814,55.7776,55.0132,55.6342,320592
2015-06-03,56.0546,56.8667,55.7584,56.7234,490658
2015-06-04,56.3604,56.4941,56.0546,56.389,514782
2015-06-05,56.7425,57.3636,56.303,56.9241,614865
2015-06-08,57.0292,57.3252,56.6088,56.7139,655331
2015-06-09,56.8954,57.182,56.3795,56.6661,602746
2015-06-10,56.9623,57.7457,56.8763,57.6788,612938
2015-06-11,57.7171,57.9464,57.5069,57.7553,472269
2015-06-12,57.5642,57.9081,57.354,57.6788,444482
2015-06-15,57.0769,57.4686,56.6374,57.3827,473339
2015-06-16,57.2107,57.698,57.1151,57.6024,437449
2015-06-17,57.6215,57.803,57.0674,57.0865,541597
2015-06-18,57.182,57.6884,56.9527,57.5737,591049
2015-06-19,57.6215,57.6884,57.2298,57.4591,1310769
2015-06-22,58.0419,58.3572,57.7075,58.319,750665
2015-06-23,58.5578,58.7202,58.2521,58.5578,779745
2015-06-24,58.2999,58.6725,57.7942,57.9655,559349
2015-06-25,58.0419,58.5865,57.9368,58.061,472764
2015-06-26,58.4432,58.5769,58.061,58.3572,614891
2015-06-29,57.6481,57.9547,56.7569,56.8623,907036
2015-06-30,57.4948,57.8206,56.8432,57.0923,928412
2015-07-01,57.8589,58.0793,57.3415,57.5044,648784
2015-07-02,57.4948,57.6002,56.7473,57.236,560483
2015-07-06,56.412,57.0157,56.2778,56.709,734944
2015-07-07,56.6611,56.9773,54.9938,56.1628,917029
2015-07-08,55.5304,55.6837,54.5434,54.6488,872507
2015-07-09,55.5304,55.7316,55.1567,55.2429,577652
2015-07-10,55.952,56.2538,55.54,56.2011,751859
2015-07-13,56.6898,57.1211,56.5844,57.1115,537994
2015-07-14,56.9773,57.4948,56.6639,57.3223,556161
