date,open,high,low,close,volume
2015-01-02,172.4396,173.084,168.2068,169.7738,504270
2015-01-05,166.6955,167.3631,163.9463,164.9338,1765039
2015-01-06,165.0821,165.5031,160.6407,161.7163,1490128
2015-01-07,162.8846,165.8795,162.727,165.7683,620386
2015-01-08,164.7669,166.5008,164.2013,165.5735,793597
2015-01-09,164.2754,164.498,161.5958,163.1813,749223
2015-01-12,161.9388,163.1906,160.6222,161.7256,1003248
2015-01-13,163.0793,164.6092,159.6672,161.0023,923372
2015-01-14,159.2963,160.8261,157.3676,159.7599,774513
2015-01-15,160.2513,160.2513,157.0802,157.1266,532479
2015-01-16,157.2286,157.924,155.3463,157.6736,1250084
2015-01-20,158.4154,158.5081,155.6059,155.9768,1083189
2015-01-21,155.3649,158.5545,155.0793,157.1822,744342
2015-01-22,157.8405,159.5652,156.9689,158.3969,1208441
2015-01-23,158.0723,159.0459,156.3848,156.4868,956239
2015-01-26,155.9583,157.2842,154.4131,156.9689,1030718
2015-01-27,156.2179,156.3755,152.5183,155.3092,1303739
2015-01-28,156.4219,156.8299,154.0204,154.1038,922767
2015-01-29,154.9569,158.1187,154.6416,157.6551,764202
2015-01-30,155.5967,157.5067,153.9184,154.7436,959543
2015-02-02,154.3264,156.1808,152.0732,155.5874,1068051
2015-02-03,156.5053,158.8048,155.9026,158.3969,1181492
2015-02-04,140.4737,142.1149,129.0783,129.5418,10498571
2015-02-05,128.0397,132.7778,126.5654,131.4519,4375060
2015-02-06,131.8877,131.8877,128.3271,128.7629,2437839
2015-02-09,128.4662,128.596,125.2673,126.1853,1949722
2015-02-10,127.0661,127.4834,125.0633,125.2766,1805151
2015-02-11,125.6289,126.3614,124.5626,125.3322,1852115
2015-02-12,125.4713,126.2873,124.4885,125.9164,1341561
2015-02-13,126.0091,127.1681,125.0541,125.36,1364659
2015-02-17,125.3693,126.788,123.7791,126.4171,1206404
2015-02-18,126.38,127.1588,126.1065,126.4913,1025650
2015-02-19,126.1482,127.4926,125.8162,127.0012,1175061
2015-02-20,126.7972,130.2511,126.5098,129.1616,1518032
2015-02-23,129.5974,129.8227,128.2344,128.5775,1094013
2015-02-24,128.2993,128.9483,127.8324,128.0397,720664
2015-02-25,128.049,128.8927,127.8728,128.3642,983743
2015-02-26,128.355,128.902,127.2238,127.4741,758265
2015-02-27,127.4741,127.9377,126.1204,127.4092,813939
2015-03-02,127.8172,128.5033,126.9549,128.0119,775550
2015-03-03,128.392,128.392,125.7773,126.0369,901388
2015-03-04,125.9071,126.1389,124.6554,125.119,1138820
2015-03-05,125.1653,125.7866,124.3772,124.5163,634526
2015-03-06,124.3865,124.9892,121.9293,122.328,1125378
2015-03-09,122.1982,123.3293,121.6326,123.1903,975500
2015-03-10,122.4022,122.4022,120.0749,120.965,1165002
2015-03-11,121.0021,121.7624,118.0257,118.3688,1248371
2015-03-12,118.8046,121.1412,118.3132,120.9836,1049534
2015-03-13,120.2882,121.0299,119.5464,120.5478,752530
2015-03-16,120.6405,121.0948,119.6113,120.2603,864419
2015-03-17,119.6298,120.7518,119.3424,119.704,779791
2015-03-18,119.5649,123.0049,119.4481,122.6711,1020466
2015-03-19,122.4857,123.7281,122.0128,122.9864,890751
2015-03-20,123.2645,124.1361,122.8566,123.4871,1187555
2015-03-23,123.4685,124.5765,123.4268,124.1268,538735
2015-03-24,123.8301,124.3586,123.5056,123.997,647882
2015-03-25,124.1925,125.0831,123.6527,123.6527,982567
2015-03-26,122.7313,123.5038,122.1543,122.8244,567090
2015-03-27,122.5824,123.7734,121.2608,122.1263,561984
2015-03-30,123.5596,123.8947,122.7778,123.1036,457292
2015-03-31,122.3404,123.6806,122.0426,122.3869,623291
2015-04-01,122.4521,123.5596,121.0188,123.5038,1026852
2015-04-02,123.6992,125.4675,123.2897,125.3373,1398034
2015-04-06,124.4903,128.4551,124.4903,128.269,1807792
2015-04-07,129.423,130.7539,129.3672,129.544,1541969
2015-04-08,130.1955,130.9121,128.9949,129.7767,919783
2015-04-09,129.6743,131.303,129.5626,130.5399,880823
2015-04-10,130.2234,130.4282,127.6314,128.5482,917649
2015-04-13,128.1387,128.4365,127.3196,127.999,662521
2015-04-14,127.8222,128.4272,127.2545,127.5895,506059
2015-04-15,128.4365,128.7808,127.9525,128.0363,629025
2015-04-16,128.2317,128.5947,127.1521,127.8036,686857
2015-04-17,126.724,127.2731,124.2111,124.5089,782219
2015-04-20,125.7281,128.0735,125.4862,127.4592,710834
2015-04-21,127.6361,128.2876,125.2256,126.5285,759782
2015-04-22,127.1614,127.1614,125.9515,126.9381,615702
2015-04-23,127.422,129.0694,126.8934,127.8501,585191
2015-04-24,127.785,128.7343,126.603,127.0125,475152
2015-04-27,126.7612,127.4499,125.9329,126.2959,453987
2015-04-28,125.4024,126.724,124.3455,125.5141,523618
2015-04-29,125.1325,125.3652,123.6992,124.7788,855429
2015-04-30,124.723,125.2163,123.1129,124.1646,834370
2015-05-01,124.8161,127.18,124.6578,126.6868,738257
2015-05-04,126.6775,127.3755,125.9887,126.5285,685993
2015-05-05,125.8957,126.7333,125.0767,126.0167,621959
2015-05-06,125.9329,126.1004,124.4345,124.6578,602698
2015-05-07,124.9277,125.3652,123.9505,124.7881,621788
2015-05-08,125.6444,126.4634,124.9371,125.0767,746743
2015-05-11,124.9464,126.1842,124.6765,125.3093,1062682
2015-05-12,124.3879,125.3931,123.2059,123.9691,1824490
2015-05-13,120.5255,125.4393,119.3901,120.2277,3250781
2015-05-14,121.2329,123.5503,118.9154,122.5638,1625787
2015-05-15,122.6382,124.8068,122.3683,123.8854,919891
2015-05-18,124.1273,125.0022,123.1501,123.3456,753755
2015-05-19,123.1966,123.5596,121.3166,121.6424,894537
2015-05-20,121.9588,123.1873,121.7541,122.2846,1055661
2015-05-21,121.9588,122.6382,121.6517,122.4149,879713
2015-05-22,122.6196,124.1507,122.5638,123.8109,678156
2015-05-26,123.3456,123.4478,119.5204,119.539,1189615
