date,open,high,low,close,volume
2015-01-02,102.9734,103.5713,101.1518,102.1546,712880
2015-01-05,100.885,101.1334,98.5115,98.7231,1339297
2015-01-06,98.6679,99.1462,96.4967,97.5915,1063535
2015-01-07,98.6035,98.9438,97.4443,97.7571,1242094
2015-01-08,98.7507,100.655,98.5943,100.6366,847383
2015-01-09,101.1702,101.1702,97.7111,98.907,1122979
2015-01-12,98.6587,98.6954,96.7635,97.5179,667717
2015-01-13,97.9319,98.5207,94.9971,96.1195,912841
2015-01-14,94.7579,96.6163,94.3899,96.4783,1799095
2015-01-15,96.9935,97.8031,95.9539,96.4139,1280916
2015-01-16,96.1287,96.3863,94.1232,96.3127,1392503
2015-01-20,96.9567,97.5271,95.8803,97.0119,1129853
2015-01-21,96.5703,97.9641,96.5703,97.8767,684550
2015-01-22,99.551,100.2962,97.9503,99.8362,1809124
2015-01-23,99.5878,100.1398,98.1895,98.3091,1079161
2015-01-26,98.0883,98.7323,97.0487,98.6679,1158525
2015-01-27,99.1094,99.597,96.3127,98.6587,3431301
2015-01-28,100.747,102.5042,98.8886,99.873,4327980
2015-01-29,100.0754,101.299,98.2723,101.2162,1738622
2015-01-30,100.3054,100.9034,99.4038,100.2042,1349705
2015-02-02,100.6274,103.1942,100.2318,102.9366,1305454
2015-02-03,104.0037,105.3837,103.2586,105.1813,1484098
2015-02-04,104.6293,104.6293,102.863,103.1298,1373772
2015-02-05,103.1666,104.2061,103.1114,103.9945,823415
2015-02-06,104.0681,105.1077,103.2678,103.6357,952295
2015-02-09,103.0378,105.8989,102.541,105.8253,1134880
2015-02-10,106.2255,106.4141,104.4729,105.7977,908177
2015-02-11,105.5953,106.5705,104.6385,106.1013,1169143
2015-02-12,107.267,108.294,106.6943,108.1367,1115027
2015-02-13,108.294,109.395,108.257,109.0804,999063
2015-02-17,109.0804,109.3487,108.2755,109.0064,774128
2015-02-18,108.9416,110.0611,108.3588,109.5893,1161415
2015-02-19,109.0897,109.654,108.257,109.0157,733442
2015-02-20,108.8214,109.4505,107.193,109.358,792540
2015-02-23,108.6178,109.0804,107.4706,108.9046,977990
2015-02-24,108.0534,109.6633,108.0534,109.5615,697348
2015-02-25,109.432,109.469,108.1275,108.7844,531761
2015-02-26,109.0249,109.469,108.0164,108.6271,828658
2015-02-27,108.7844,109.0064,107.6371,108.2848,1202884
2015-03-02,107.6556,108.9694,106.7489,108.9231,819139
2015-03-03,108.1922,108.9139,107.6926,108.368,607221
2015-03-04,107.6371,107.6371,105.3611,106.2586,1163368
2015-03-05,106.4621,106.7397,105.2224,105.6572,980967
2015-03-06,104.6672,105.7405,103.5755,103.9548,752377
2015-03-09,104.1861,104.4766,103.5848,103.9271,899823
2015-03-10,102.9001,103.7143,102.3913,102.419,863861
2015-03-11,102.382,102.6226,101.4938,101.7529,1459379
2015-03-12,103.1222,105.1483,102.9001,104.769,1091071
2015-03-13,104.1306,104.3804,102.6781,103.1777,1330799
2015-03-16,103.9456,106.1753,103.7328,106.0273,1038353
2015-03-17,104.9911,105.1113,104.1676,104.5655,801054
2015-03-18,104.3249,107.8869,103.6403,107.0357,1143511
2015-03-19,106.3974,106.8414,105.5739,105.9348,741140
2015-03-20,106.9247,107.8684,106.4066,107.4613,1497138
2015-03-23,107.3133,107.6926,106.5916,106.6287,1115537
2015-03-24,106.2308,107.9609,106.1661,107.4428,1171831
2015-03-25,107.3225,107.4243,105.1946,105.2039,1042445
2015-03-26,104.8708,105.3889,104.4452,104.917,1021855
2015-03-27,105.2131,105.2131,104.2324,104.6765,1189547
2015-03-30,105.6664,107.304,105.4722,106.8785,1163326
2015-03-31,106.5269,107.5724,105.2455,107.3133,1378111
2015-04-01,106.3141,106.7582,104.4637,104.7598,1380543
2015-04-02,104.6487,105.3519,104.0566,104.3619,991093
2015-04-06,104.1676,106.9432,103.5224,105.8237,847258
2015-04-07,105.3704,106.129,104.2972,104.3712,666201
2015-04-08,103.631,105.0003,102.0212,103.2054,1257918
2015-04-09,103.1407,103.8623,102.6688,103.3442,1437137
2015-04-10,103.1684,103.2887,101.9287,103.2054,999396
