date,open,high,low,close,volume
2015-01-02,152.7575,153.3913,150.4758,152.7185,256034
2015-01-05,151.4607,151.6752,147.9698,148.2429,450031
2015-01-06,148.3599,148.5744,144.9519,146.1757,425484
2015-01-07,147.7287,148.2366,146.4687,147.6701,421078
2015-01-08,148.471,149.5747,147.4454,148.6663,626559
2015-01-09,149.0375,149.6382,147.4259,147.8459,303723
2015-01-12,148.4222,149.1059,145.4432,145.6971,425741
2015-01-13,146.9473,148.2561,143.646,145.365,401048
2015-01-14,143.4507,144.8962,142.806,144.5934,478277
2015-01-15,144.2906,145.0232,141.9954,142.4837,732609
2015-01-16,141.9172,142.5423,141.2482,142.3567,776302
2015-01-20,143.6655,143.8511,141.9563,142.64,620439
2015-01-21,142.0442,144.3004,142.0442,144.1148,376086
2015-01-22,145.5408,146.9669,143.6655,146.7324,429752
2015-01-23,146.4297,147.7385,146.0292,146.2148,622364
2015-01-26,154.0871,158.0819,150.151,152.0751,780390
2015-01-27,150.3072,154.136,149.6626,153.5206,721753
2015-01-28,154.7318,154.7318,150.3658,150.9616,488683
2015-01-29,150.6002,153.0616,150.4537,152.7881,598825
2015-01-30,151.2547,152.2411,150.317,150.7468,503837
2015-02-02,151.1863,153.6769,150.4049,153.6378,504202
2015-02-03,153.3839,156.0015,153.3839,155.9429,568056
2015-02-04,155.2006,155.9331,154.0188,154.4388,423318
2015-02-05,154.4388,158.7461,154.2043,158.3359,670087
2015-02-06,159.0098,159.1954,156.861,157.3689,343933
2015-02-09,156.9001,159.1954,156.9001,158.1308,459194
2015-02-10,159.254,159.6642,158.5117,159.5763,390473
2015-02-11,159.6154,160.3967,159.0244,159.5763,317173
2015-02-12,160.0256,161.2856,159.713,161.2269,394894
2015-02-13,162.4088,163.5808,161.6372,162.3599,518531
2015-02-17,161.7348,164.3817,161.4516,163.9129,586270
2015-02-18,164.0008,164.6845,163.6101,164.2548,321875
2015-02-19,163.2195,164.118,163.0729,163.5027,292016
2015-02-20,163.2878,164.7138,161.6079,164.3817,268826
2015-02-23,164.2938,164.9482,163.8153,164.4892,368338
2015-02-24,164.118,164.1962,163.0046,163.9618,237644
2015-02-25,163.7957,164.4013,163.2683,164.118,411688
2015-02-26,164.4794,165.3878,163.8084,164.6455,304916
2015-02-27,164.4892,165.6906,163.5906,163.6687,348389
2015-03-02,163.6687,164.7627,163.112,164.6259,307494
2015-03-03,163.7371,164.7822,162.9753,163.4539,361969
2015-03-04,162.985,163.1267,161.4028,162.9069,359892
2015-03-05,163.0143,164.8701,162.4185,164.6845,332751
2015-03-06,163.2488,164.0008,161.6469,162.1451,351639
2015-03-09,161.979,164.6064,161.8032,164.1864,460226
2015-03-10,162.7018,163.8055,161.7544,161.7544,321156
2015-03-11,161.7544,162.6432,161.2269,162.106,410816
2015-03-12,162.1353,164.9092,161.9595,164.6748,300666
2015-03-13,164.3231,164.6162,162.0572,163.0339,243398
