date,open,high,low,close,volume
2015-01-02,36.8738,37.3132,36.8005,37.1485,2346735
2015-01-05,37.002,37.1485,36.8051,36.9379,2240487
2015-01-06,36.947,37.2309,36.7181,37.0661,2525505
2015-01-07,37.2126,37.3133,36.7181,36.9379,1593827
2015-01-08,37.1576,37.3682,37.1576,37.2767,1156223
2015-01-09,37.2126,37.2492,36.9379,37.0111,965529
2015-01-12,37.0478,37.1119,36.7364,36.7639,1705828
2015-01-13,37.0752,37.2858,36.4068,36.6906,1787941
2015-01-14,36.4617,36.7639,36.3198,36.6632,1158513
2015-01-15,36.8555,36.9562,36.6449,36.6632,1280733
2015-01-16,36.6998,36.8921,36.5808,36.7822,1828248
2015-01-20,36.9012,37.1393,36.6815,37.1119,1131521
2015-01-21,36.9928,37.2767,36.947,37.0844,717496
2015-01-22,37.2492,37.4873,37.0661,37.3774,1223262
2015-01-23,37.3041,37.6155,37.1393,37.5514,1144067
2015-01-26,37.5331,37.7986,37.3499,37.7986,1078541
2015-01-27,37.5331,38.1191,37.5331,37.9176,1331524
2015-01-28,37.9726,38.2198,37.4049,37.5422,1434598
2015-01-29,37.5605,37.6613,37.0844,37.1943,1465273
2015-01-30,36.8738,37.0294,36.2969,36.3335,2989504
2015-02-02,36.4434,36.5991,36.1138,36.5808,1407205
2015-02-03,36.6357,37.1851,36.5899,37.1668,2022664
2015-02-04,37.1485,37.4049,36.947,37.1302,1125097
2015-02-05,37.2767,37.5422,37.2034,37.4415,1041531
2015-02-06,37.4507,37.5331,37.121,37.2034,1049789
2015-02-09,37.0661,37.4507,37.0661,37.2309,871825
2015-02-10,37.3133,37.5697,37.1485,37.3225,846937
2015-02-11,37.3316,37.5605,37.1851,37.2309,1235052
2015-02-12,37.2492,37.7299,37.24,37.5514,1460265
2015-02-13,37.5422,37.6338,35.6651,36.0222,4738378
2015-02-17,35.9398,36.5716,35.9032,36.4984,2473133
2015-02-18,36.5716,37.4964,36.4343,37.414,2106408
2015-02-19,37.4507,37.5422,36.9928,37.1576,979810
2015-02-20,37.0935,37.24,36.8097,37.2217,1159839
2015-02-23,37.2217,37.4415,37.1622,37.3866,864368
2015-02-24,37.3041,37.4415,37.1851,37.2309,1282969
2015-02-25,37.0752,37.5422,37.0752,37.469,930238
2015-02-26,37.469,37.5331,37.2217,37.469,993764
2015-02-27,37.4964,37.5422,37.1576,37.469,1146662
2015-03-02,37.5422,38.0092,37.4873,37.9268,909880
2015-03-03,37.9268,38.3938,37.9085,38.0916,1505058
2015-03-04,37.9451,38.0733,37.8444,37.9085,844527
2015-03-05,37.9634,38.0184,37.6887,37.8352,762442
2015-03-06,37.7711,37.8581,37.3637,37.4415,1549066
2015-03-09,37.4415,37.707,37.3957,37.5331,1017333
2015-03-10,37.3591,37.4049,36.8646,36.8738,1530359
2015-03-11,36.8372,36.9379,36.7273,36.7364,1674602
2015-03-12,36.828,37.1576,36.828,37.0203,2597682
2015-03-13,37.1119,37.3911,36.9379,37.3408,1813997
2015-03-16,37.3408,38.0184,37.3316,38.0092,1733516
2015-03-17,37.9634,38.1008,37.8993,38.0184,1205890
2015-03-18,37.9909,38.5037,37.9176,38.3755,1422570
2015-03-19,38.2747,38.4579,38.1374,38.1374,1517504
2015-03-20,38.2747,38.3572,37.9176,38.2747,4498654
2015-03-23,38.2747,38.4396,38.0825,38.0825,1629217
2015-03-24,38.0733,38.1466,37.7803,37.8078,1258997
2015-03-25,37.9085,37.9451,37.1485,37.1485,1521460
2015-03-26,37.002,37.1028,36.7639,36.9012,1977815
2015-03-27,36.9012,37.0111,36.7181,36.7822,1263359
2015-03-30,36.8929,37.3816,36.8283,37.1879,1338519
2015-03-31,37.151,37.5014,37.0035,37.4,1317674
2015-04-01,37.2709,37.3355,36.856,36.9113,1389735
2015-04-02,36.8375,37.0358,36.6669,36.9943,1547724
2015-04-06,36.9482,37.5383,36.8467,37.4184,1781706
2015-04-07,37.4,37.4462,37.294,37.3078,817160
2015-04-08,37.3723,37.732,37.2617,37.3355,1017280
2015-04-09,37.2801,37.5568,37.1603,37.5475,1132699
2015-04-10,37.6213,38.0731,37.5844,37.8242,1890198
2015-04-13,37.6951,37.8518,37.2801,37.3723,1111049
2015-04-14,37.2986,37.3723,36.939,37.0865,982818
2015-04-15,37.2156,37.3631,37.1142,37.1695,931584
2015-04-16,37.1418,37.1418,36.8191,37.0404,1167411
2015-04-17,36.8283,36.9297,36.2382,36.2935,2177591
2015-04-20,36.441,36.8375,36.4134,36.69,2531374
