date,open,high,low,close,volume
2015-01-02,53.0747,53.0835,52.2982,53.0573,607690
2015-01-05,52.9526,53.1445,52.3852,52.5687,1065883
2015-01-06,52.7432,53.607,52.621,52.813,1461100
2015-01-07,52.9526,53.9647,52.512,53.7728,1102852
2015-01-08,53.956,54.4097,53.8687,53.9298,978917
2015-01-09,53.9385,54.1959,53.0747,53.2493,656008
2015-01-12,53.4325,53.4761,52.8304,53.1707,565339
2015-01-13,53.5983,54.3748,53.1794,53.5634,718396
2015-01-14,53.4063,54.1916,53.0835,54.1218,605111
2015-01-15,54.1218,54.4271,53.8077,54.2265,707699
2015-01-16,54.305,54.6714,53.9124,54.6365,939745
2015-01-20,54.907,55.0772,54.3922,54.9419,809353
2015-01-21,54.907,55.448,54.2439,55.3607,697032
2015-01-22,55.5963,55.7446,54.9943,55.448,552974
2015-01-23,55.509,55.8231,55.2298,55.6137,537227
2015-01-26,55.3607,55.5352,54.8634,55.509,831687
2015-01-27,55.3782,56.2769,55.3782,56.1983,978131
2015-01-28,56.1373,57.1494,55.8406,56.0238,1051732
2015-01-29,56.0936,57.2104,55.9104,57.0272,1014479
2015-01-30,56.7131,57.0359,55.5963,55.6399,1306695
2015-02-02,55.605,55.8406,54.811,55.2996,1398724
2015-02-03,55.2037,55.8406,55.0292,55.6312,954460
2015-02-04,55.4654,55.8755,55.1339,55.2473,1206549
2015-02-05,55.4392,55.797,55.0466,55.7185,614787
2015-02-06,55.3956,55.6399,52.3942,52.7606,1491120
2015-02-09,52.7432,53.0311,52.1848,52.4727,1066888
2015-02-10,52.4291,53.5634,52.4116,53.4587,850894
2015-02-11,53.1969,53.2929,51.7529,51.8707,1192650
2015-02-12,51.9056,52.1412,51.3821,51.5042,1026859
2015-02-13,51.2425,51.4519,49.9337,50.431,1166589
2015-02-17,50.3438,51.1116,49.8465,50.431,1392391
2015-02-18,50.5008,51.923,50.4049,51.8445,1332393
2015-02-19,51.8271,51.8271,50.2653,50.8411,1220737
2015-02-20,51.0854,51.1814,49.8465,50.8673,1320791
2015-02-23,51.1727,51.5479,50.6666,51.3559,1274238
2015-02-24,51.3036,51.8271,51.1116,51.7311,1100122
2015-02-25,51.6613,52.0885,50.5096,50.6492,1217927
2015-02-26,50.7975,50.8191,49.6458,49.7505,1185283
2015-02-27,49.8465,49.8465,49.3055,49.6894,938794
2015-03-02,49.5673,49.733,48.1451,48.4766,1223480
2015-03-03,48.433,48.7209,47.988,48.6424,1116113
2015-03-04,48.4592,48.5726,47.8222,48.1451,1295248
2015-03-05,48.2847,48.7732,48.1974,48.5202,818339
2015-03-06,48.0664,48.0664,46.7183,46.9298,1103805
2015-03-09,46.9738,47.5466,46.9474,47.1941,918350
2015-03-10,47.0531,47.6082,46.7888,46.9474,847131
2015-03-11,46.9562,47.106,46.0046,46.0222,1694711
2015-03-12,46.2689,47.3351,46.2689,47.0003,1332773
2015-03-13,46.8152,46.8152,45.846,46.3306,818729
2015-03-16,46.6037,47.8021,46.6037,47.2822,1584166
2015-03-17,47.2029,47.6523,47.0663,47.5113,1044274
2015-03-18,47.4849,49.3882,47.4056,48.8947,1714647
2015-03-19,48.7185,49.3882,48.4982,48.648,1040807
2015-03-20,48.8859,49.419,48.7009,49.3177,1744641
2015-03-23,49.1679,49.7582,49.1414,49.3089,942439
2015-03-24,49.1943,49.5556,48.7009,48.8066,970829
2015-03-25,48.8507,49.2118,48.2427,48.2427,1206730
2015-03-26,48.0664,48.4189,47.6259,47.855,753798
2015-03-27,47.9695,48.6039,47.7757,48.1369,757225
2015-03-30,48.322,48.6744,48.0224,48.4718,639734
2015-03-31,48.3748,49.0886,48.2427,48.4541,1044107
2015-04-01,48.3748,49.1064,47.7757,49.0533,1193591
2015-04-02,49.0181,49.0621,48.5246,48.648,838572
2015-04-06,48.8683,49.5732,48.7009,49.256,507541
2015-04-07,49.1767,49.2031,48.507,48.5775,583559
2015-04-08,48.5951,48.6832,48.1546,48.3572,842301
2015-04-09,48.2867,48.3308,47.7933,48.1986,789340
2015-04-10,48.3396,48.9564,48.1986,48.5951,1082991
