date,open,high,low,close,volume
2015-01-02,76.6139,77.8696,76.4423,77.3908,5500806
2015-01-05,76.2435,76.2435,74.6117,75.295,10039424
2015-01-06,74.9246,75.304,72.865,73.8225,9758355
2015-01-07,74.5723,74.6717,72.7475,73.8135,7951588
2015-01-08,74.5181,75.2408,74.0213,74.7078,7911582
2015-01-09,75.2318,75.3131,72.7882,73.3709,7652441
2015-01-12,71.4828,71.4828,69.3148,70.5072,13257136
2015-01-13,70.462,71.3654,69.5858,70.2633,11936635
2015-01-14,68.6463,70.9679,68.294,70.8144,12226689
2015-01-15,71.1305,71.5099,69.0392,69.2244,10918870
2015-01-16,69.9923,73.6419,69.9833,73.4702,17587516
2015-01-20,72.612,73.1179,71.2751,72.7024,10948629
2015-01-21,72.6482,74.6536,71.9074,74.2652,9178837
2015-01-22,74.9246,75.0872,72.9101,74.2019,9039967
2015-01-23,74.0122,75.1595,73.7141,74.0755,8032758
2015-01-26,74.1297,75.9725,73.669,75.5931,7060483
2015-01-27,74.7259,76.7856,74.7259,76.379,7332821
2015-01-28,76.0629,76.099,72.7475,72.9463,10041695
2015-01-29,73.3167,74.1297,71.8351,73.9851,9037345
2015-01-30,73.4793,75.7196,72.9643,74.4278,9947239
2015-02-02,75.8732,76.5597,74.5272,76.4603,9426758
2015-02-03,77.6799,79.5679,77.5715,78.6645,15913280
2015-02-04,77.4631,77.5715,75.557,76.379,12071655
2015-02-05,77.3637,78.0864,76.7043,77.6166,7749709
2015-02-06,78.4297,78.9717,77.5082,77.8335,8577766
2015-02-09,78.2878,78.9329,77.7153,77.9788,7614593
2015-02-10,77.9425,78.2332,76.3524,77.4336,7217563
2015-02-11,76.2342,77.5336,75.8708,76.9884,6630782
2015-02-12,78.2878,79.4145,77.6699,78.106,6561113
2015-02-13,79.3872,80.4412,79.0147,80.3049,7562882
2015-02-17,80.3504,80.8683,79.3054,80.7683,7958252
2015-02-18,80.0687,80.2595,79.369,79.7234,7182074
2015-02-19,77.4518,79.578,77.3428,79.0328,6764812
2015-02-20,78.7512,79.2691,77.4609,78.0333,8123238
2015-02-23,77.0429,78.315,76.6795,77.7244,6033775
2015-02-24,78.6785,78.8057,76.8067,77.5154,8430675
2015-02-25,77.5881,77.8153,76.8249,77.4246,5596996
2015-02-26,76.7613,76.8885,75.6618,76.2252,8485350
2015-02-27,76.2978,77.0157,76.2978,76.4705,7835972
2015-03-02,76.0434,77.1065,75.5619,76.8885,7725642
2015-03-03,77.1065,77.6881,76.2978,77.152,6774754
2015-03-04,77.2883,77.4972,76.107,77.361,8229910
2015-03-05,76.634,77.3064,76.2524,77.0702,5798210
2015-03-06,76.3433,76.7613,75.3256,75.5164,9674460
2015-03-09,75.2984,75.7708,74.5533,74.835,6296376
2015-03-10,73.89,74.9167,73.8173,73.8809,8140606
2015-03-11,73.999,74.4352,73.7264,73.8445,6157002
2015-03-12,74.0172,74.1807,73.3902,73.5447,7630157
2015-03-13,72.9087,73.5038,72.3907,73.0722,8836742
2015-03-16,72.6088,73.9627,72.3907,73.8355,8265526
2015-03-17,73.0086,73.681,72.6815,73.1176,7954608
2015-03-18,72.7451,75.1075,72.1363,74.5533,11542067
2015-03-19,73.3539,74.417,73.2448,73.6083,8425601
2015-03-20,74.1535,75.58,74.0899,74.844,14383826
2015-03-23,74.9531,75.9344,74.5078,74.5078,8932120
2015-03-24,74.417,74.9712,74.1989,74.3715,6446113
2015-03-25,75.0985,76.4341,74.7986,75.68,8243059
2015-03-26,76.3251,76.8703,75.2011,75.5619,8150506
2015-03-27,75.4256,75.8435,74.7986,75.6982,5729134
2015-03-30,76.2161,76.9884,75.789,76.7613,6537864
2015-03-31,76.0707,76.5614,75.7345,75.8163,7304727
2015-04-01,76.3251,77.052,75.9617,76.5795,7808393
2015-04-02,76.4069,77.6245,76.2252,76.6795,6039614
2015-04-06,77.1974,79.0874,77.0611,78.0606,8092454
2015-04-07,78.2696,79.0419,77.4609,78.3877,7175690
2015-04-08,78.6512,79.1237,77.47,78.2514,8739177
2015-04-09,78.4877,80.8047,78.3786,80.3685,9207274
2015-04-10,80.6684,81.2045,80.1414,80.9682,7315717
2015-04-13,80.8501,81.1409,79.7416,79.9778,7936899
