date,open,high,low,close,volume
2015-01-02,107.6707,109.1813,107.4774,109.0824,384927
2015-01-05,108.7317,110.1433,108.2372,109.6758,611536
2015-01-06,109.6758,111.0425,109.5859,110.521,664652
2015-01-07,111.0245,111.9506,109.8287,111.7977,600705
2015-01-08,111.7977,113.0925,111.6449,112.3462,587300
2015-01-09,112.1844,113.0835,111.528,112.571,322791
2015-01-12,113.4521,115.1425,112.3372,114.8368,796808
2015-01-13,115.2954,115.5831,113.7399,114.5671,574875
2015-01-14,113.9826,115.4932,113.1914,115.2414,576452
2015-01-15,115.3493,115.7269,114.63,115.3673,605453
2015-01-16,115.1605,115.4482,114.4322,115.0886,711520
2015-01-20,115.1245,115.547,114.4861,114.8638,1043916
2015-01-21,114.8638,115.2414,114.1625,114.8368,569771
2015-01-22,115.0886,115.9877,114.0995,115.664,1021068
2015-01-23,114.9627,115.9283,114.5695,115.5471,530684
2015-01-26,115.5741,117.3903,115.0976,117.3903,524629
2015-01-27,116.689,117.5612,116.5002,117.1655,461071
2015-01-28,117.3993,118.3614,116.4912,116.9048,866107
2015-01-29,117.1386,117.5791,114.9897,116.5362,733434
2015-01-30,115.3493,115.8618,113.2723,113.2903,926092
2015-02-02,113.587,114.0815,111.0874,113.5061,763381
2015-02-03,112.589,114.7469,112.2024,114.7379,554465
2015-02-04,114.1445,115.0706,113.4342,114.5401,357109
2015-02-05,114.5761,116.3653,114.3917,116.3294,438525
2015-02-06,115.9697,115.9787,114.0636,114.7109,1506280
2015-02-09,114.4412,115.5831,113.7848,113.8208,775804
2015-02-10,114.3333,114.7829,113.3083,114.5581,508769
2015-02-11,114.7918,115.192,113.2903,114.603,391542
2015-02-12,114.0096,116.4373,113.5421,116.2035,499736
2015-02-13,116.2934,116.7789,115.0211,115.619,376738
2015-02-17,115.3313,117.0846,114.9717,115.4572,400827
2015-02-18,115.682,117.0577,114.8188,116.8239,510451
2015-02-19,116.3114,116.6351,114.0815,114.3423,406727
2015-02-20,113.9557,115.8528,113.632,115.664,477682
2015-02-23,116.1945,116.8419,114.8548,116.662,536561
2015-02-24,116.4193,116.4193,113.1195,114.0815,721240
2015-02-25,114.0006,115.7179,113.7668,114.2973,390801
2015-02-26,114.4772,114.4772,112.8407,113.0745,425140
2015-02-27,113.3532,114.1984,112.2293,114.1265,630514
2015-03-02,114.3782,116.0776,113.9826,114.9897,405927
2015-03-03,114.7649,115.682,114.1355,115.1875,326404
2015-03-04,114.8098,115.5831,113.9557,114.5131,376987
2015-03-05,114.9537,116.3114,114.5131,115.0076,384784
2015-03-06,113.7668,113.7668,110.6918,111.0784,668956
2015-03-09,111.9236,112.6969,111.3572,112.544,630416
2015-03-10,112.2293,112.9846,111.3572,111.6988,1200400
2015-03-11,112.0405,112.2382,111.2493,111.492,663254
2015-03-12,112.3462,114.5491,112.1844,114.5041,689371
2015-03-13,114.5491,114.8008,113.551,114.5671,580509
2015-03-16,115.3583,116.3383,114.8099,115.4392,1444652
2015-03-17,115.1335,116.2754,114.594,116.1136,1081336
2015-03-18,115.7719,117.6151,114.2344,117.4263,996171
2015-03-19,117.0037,118.2535,116.743,117.2645,1289768
2015-03-20,117.6691,122.1108,117.6601,120.4833,16474471
2015-03-23,119.746,121.4634,119.4673,119.9618,1072966
2015-03-24,119.6741,120.5013,118.0017,118.3524,1044264
2015-03-25,118.5322,118.775,115.7269,116.2394,693739
2015-03-26,116.0147,116.1136,114.0636,115.3403,858898
2015-03-27,115.4939,116.1262,114.8886,115.3945,576442
2015-03-30,115.8552,117.2193,115.1957,117.0296,601833
2015-03-31,116.6772,117.3819,115.7649,115.9726,897696
2015-04-01,116.2165,116.2888,114.726,115.5842,594149
2015-04-02,115.3764,117.5174,115.3764,117.3277,514622
2015-04-06,117.7342,119.2337,116.9754,118.9176,563967
2015-04-07,118.7008,118.8543,116.9212,116.9663,617453
2015-04-08,116.9392,117.8426,116.9392,117.4451,470175
2015-04-09,117.1831,117.4541,114.726,114.8163,587707
2015-04-10,115.81,116.4785,114.997,115.4939,378646
2015-04-13,115.0602,115.8733,115.0602,115.2138,492355
2015-04-14,115.3584,116.605,115.3584,115.9184,492503
2015-04-15,115.9817,117.3367,114.5273,114.6086,517524
2015-04-16,114.2743,115.8191,114.0304,115.3945,321619
2015-04-17,115.2228,115.4577,113.4613,114.4369,549858
2015-04-20,114.5002,115.4306,114.1822,114.7531,560407
2015-04-21,115.1144,116.2436,115.1144,115.7378,555708
2015-04-22,115.7107,116.9663,115.2861,116.0901,828374
2015-04-23,116.0901,116.9302,113.9401,115.0422,794391
2015-04-24,115.0241,116.6953,114.4821,116.3701,829256
2015-04-27,116.7495,117.6529,116.1352,116.6682,581773
2015-04-28,116.081,116.081,114.8705,115.4035,503861
2015-04-29,114.5182,115.2138,111.7991,112.0701,645860
2015-04-30,111.6636,112.0864,109.8298,110.5344,799000
2015-05-01,110.9138,112.296,110.6835,110.8596,671334
2015-05-04,111.2662,112.3321,111.2391,111.6998,529107
2015-05-05,111.1849,111.7178,108.2399,108.5742,667159
2015-05-06,108.4025,108.9897,107.1017,107.7973,600537
2015-05-07,107.9599,109.9653,107.4901,109.4504,547016
2015-05-08,110.6699,112.8786,110.5615,111.1216,528961
2015-05-11,110.6338,111.6456,109.0078,109.4233,455997
2015-05-12,108.6645,110.3718,108.005,109.7847,487039
2015-05-13,110.2363,111.0223,108.258,108.6464,580163
2015-05-14,109.3149,110.9951,109.062,110.9229,448966
2015-05-15,110.8596,112.6302,110.8596,111.763,1006091
2015-05-18,110.9951,111.7359,109.9834,110.0918,915939
2015-05-19,109.9382,110.0376,108.5832,108.7368,903789
2015-05-20,108.7548,109.6401,108.4025,108.9536,968815
2015-05-21,109.062,109.4323,107.3637,107.7611,681972
2015-05-22,107.7611,108.8181,107.183,107.6889,713568
2015-05-26,107.5805,107.9373,106.921,107.6618,606506
2015-05-27,107.5624,108.9897,107.4721,108.8361,420786
2015-05-28,108.5019,109.4098,107.6166,108.3483,521876
2015-05-29,108.4838,108.8361,106.9843,107.192,980542
2015-06-01,107.3275,109.4594,106.8307,109.3059,731814
2015-06-02,108.6193,108.6645,107.4269,108.1857,436694
2015-06-03,107.996,109.08,106.8668,107.3366,713867
2015-06-04,106.9662,107.4269,106.0628,106.2616,752333
2015-06-05,105.4937,105.6202,104.4458,105.033,737836
2015-06-08,105.033,105.2769,104.22,104.2561,517847
2015-06-09,104.2561,104.5271,103.2805,103.4973,593110
2015-06-10,103.6599,104.8523,102.9734,103.9219,692406
2015-06-11,104.6897,105.1233,104.0755,104.6988,574554
2015-06-12,104.771,105.3311,103.696,103.8315,592012
2015-06-15,103.4702,103.8767,101.9887,103.0998,1411314
2015-06-16,103.154,104.0158,102.9463,103.8767,703091
2015-06-17,103.8948,104.6355,103.1721,104.4549,667448
2015-06-18,104.7891,106.2887,104.0032,105.2679,961016
2015-06-19,104.9517,105.1053,103.8858,104.211,964449
2015-06-22,104.1748,104.9517,103.2082,103.3166,632220
2015-06-23,103.2082,104.482,102.6482,102.8288,798775
2015-06-24,102.9914,103.5063,102.4765,102.5398,549789
2015-06-25,102.1332,102.5849,101.2931,101.3022,743009
2015-06-26,101.3475,102.3284,100.9752,101.4656,1145506
2015-06-29,102.0378,102.2557,99.8671,99.9307,701593
2015-06-30,100.5574,101.0478,99.4039,99.8036,785340
2015-07-01,100.4666,101.6836,99.5226,101.6836,1021425
2015-07-02,102.2921,103.5636,102.2103,102.392,846255
2015-07-06,102.0196,103.4001,100.8571,103.1367,643209
2015-07-07,103.5363,104.8896,102.1467,104.4082,601809
2015-07-08,103.8542,104.6897,103.4727,103.6271,605159
2015-07-09,104.2175,104.4809,103.1095,103.4727,583055
2015-07-10,104.1267,104.9804,103.7452,104.381,366833
2015-07-13,103.5181,105.3891,102.9551,103.7725,730123
2015-07-14,103.727,104.4082,102.283,103.8996,668479
2015-07-15,103.4727,104.0722,103.0368,103.8996,377550
2015-07-16,104.5172,104.9259,104.1993,104.6443,632983
2015-07-17,104.39,104.7533,103.6771,104.0086,377096
2015-07-20,103.8088,104.4354,103.3183,104.1448,450759
2015-07-21,104.0268,104.6398,103.4909,104.0631,549142
2015-07-22,103.9541,104.826,103.5909,104.281,406888
2015-07-23,104.0994,104.6262,101.6472,102.392,792953
2015-07-24,102.392,103.5091,101.838,102.8097,624746
2015-07-27,103.1095,103.6271,102.5554,102.8915,717415
2015-07-28,102.9914,103.6362,102.5464,103.2366,474801
2015-07-29,103.1367,104.1902,102.4374,104.0903,698592
2015-07-30,103.7634,104.3991,103.3638,103.727,582800
2015-07-31,104.0358,105.3437,103.0731,104.5717,819803
2015-08-03,104.5717,105.2438,104.163,105.0439,445850
2015-08-04,104.7806,105.6343,102.7098,104.1902,511829
2015-08-05,104.5081,104.6807,102.8188,103.4001,534296
2015-08-06,103.0186,103.5636,101.7199,103.3638,472863
2015-08-07,103.0913,104.054,102.3556,103.1912,479711
2015-08-10,103.7815,103.9359,102.837,103.2639,570698
2015-08-11,102.7098,104.5898,102.7098,103.9813,509026
2015-08-12,103.1367,104.3446,103.0096,104.1993,444633
2015-08-13,103.5999,105.1711,102.7008,105.0712,682233
2015-08-14,104.7715,105.6706,103.9178,105.2982,668770
2015-08-17,105.4436,106.3154,104.6171,106.2337,520237
2015-08-18,106.0157,106.1611,105.4072,105.9794,407858
2015-08-19,105.3982,105.9322,104.5353,105.4072,405418
2015-08-20,104.2901,104.6534,103.4001,103.5181,861750
2015-08-21,103.1367,103.4273,101.293,101.3384,649964
2015-08-24,97.6329,100.185,95.0354,95.5894,1406745
2015-08-25,97.5149,97.5875,92.5015,92.5379,1106131
2015-08-26,94.1999,95.5622,93.0101,95.3715,1077298
2015-08-27,96.2797,97.4513,94.9809,96.5522,879751
2015-08-28,95.8437,97.0172,95.6122,96.7792,596973
2015-08-31,96.5703,96.752,93.9093,94.0092,785446
2015-09-01,93.5096,93.5096,91.1846,92.0293,716169
2015-09-02,92.9465,93.655,92.1927,93.1827,499019
2015-09-03,93.7004,94.2362,92.8466,93.6913,527390
2015-09-04,92.6741,93.0555,90.7941,91.6841,711753
2015-09-08,92.9465,93.5369,92.1201,93.3643,419948
2015-09-09,94.4451,94.931,92.2926,92.4834,566761
2015-09-10,92.5197,94.9619,92.5197,93.5823,651717
2015-09-11,93.2644,95.426,93.1418,95.4078,523982
2015-09-14,95.7075,95.8709,94.763,95.1081,347096
2015-09-15,95.2625,96.752,94.5541,96.5249,660641
2015-09-16,96.4341,98.4776,95.7803,98.3232,504568
2015-09-17,98.3867,102.2012,97.9281,100.4302,887834
2015-09-18,99.3131,100.7209,99.2041,100.0851,1268607
2015-09-21,100.5301,101.6745,99.7672,100.9116,956917
2015-09-22,99.9035,100.6028,98.9317,99.2223,637792
2015-09-23,99.2768,100.6209,98.859,100.2213,349119
2015-09-24,99.9125,100.5029,98.6683,99.3676,987250
2015-09-25,99.6401,100.4121,98.8772,99.6582,426235
2015-09-28,99.1195,99.5012,97.6949,98.2976,626667
2015-09-29,98.4893,99.9961,98.0145,99.4939,573390
2015-09-30,100.6171,100.6171,98.3113,98.7724,818092
2015-10-01,99.2016,99.3295,97.6675,99.1377,447888
2015-10-02,98.2519,100.1788,97.9232,100.1331,438866
2015-10-05,100.3066,102.1056,100.1788,102.0782,342039
2015-10-06,102.0143,102.9732,101.4755,102.3979,315296
2015-10-07,103.1741,103.9686,102.8179,103.9412,643476
2015-10-08,103.8955,104.3521,103.0919,104.2882,490715
2015-10-09,104.2791,104.3887,103.2517,104.3156,372114
2015-10-12,104.5256,105.1375,103.6672,104.6535,515263
2015-10-13,104.3156,105.0188,103.4846,104.0325,474651
2015-10-14,104.206,104.9731,102.0326,103.9503,672639
