date,open,high,low,close,volume
2015-01-02,41.1536,41.3628,40.8608,41.3042,4646762
2015-01-05,41.3126,41.4046,40.9152,41.1285,7028681
2015-01-06,41.162,41.9819,41.1453,41.6221,9363079
2015-01-07,41.6556,42.1994,41.4966,42.0823,4917043
2015-01-08,42.1743,42.4086,42.0153,42.1157,4533238
2015-01-09,42.099,42.1325,41.5217,41.5803,4121397
2015-01-12,41.7895,41.8313,41.3628,41.5887,4086081
2015-01-13,41.8397,42.2496,41.4297,41.5636,5422122
2015-01-14,41.5803,41.9986,41.3586,41.9902,6205682
2015-01-15,42.1743,42.5633,41.9317,42.5006,5688749
2015-01-16,42.4002,42.9942,42.35,42.9607,5718551
2015-01-20,43.0026,43.2368,42.8101,43.2201,4082241
2015-01-21,43.0611,43.5798,42.8269,43.5129,5409178
2015-01-22,43.5045,43.718,43.2117,43.6133,4674469
2015-01-23,43.6133,43.8978,43.5045,43.697,4192516
2015-01-26,43.5547,43.7304,43.2368,43.697,4232392
2015-01-27,43.5966,44.0985,43.5966,43.8559,3566788
2015-01-28,43.8559,44.475,43.5547,43.6468,5203708
2015-01-29,43.538,44.2659,43.4209,44.1655,4454997
2015-01-30,43.7555,43.9145,42.3667,42.4337,12555003
2015-02-02,42.3751,42.6093,41.9275,42.4839,7073180
2015-02-03,42.4755,42.6261,42.1325,42.5006,8289304
2015-02-04,42.6344,42.785,41.2624,41.3795,10485621
2015-02-05,41.4715,41.7267,41.0365,41.5887,6201862
2015-02-06,41.3544,41.3628,40.0451,40.3003,8954973
2015-02-09,40.3337,40.4341,39.8527,39.9823,6633861
2015-02-10,39.9238,40.8273,39.9238,40.7269,5821769
2015-02-11,40.5094,40.7186,39.8736,40.1162,7656799
2015-02-12,40.2642,40.2896,39.1561,39.3845,11259872
2015-02-13,39.2745,39.3676,38.5217,38.8093,8657630
2015-02-17,38.6486,39.0292,38.251,38.5217,8987114
2015-02-18,38.8093,39.7313,38.6486,39.6214,7461283
2015-02-19,39.5875,39.6467,38.9193,39.0715,4223031
2015-02-20,39.0039,39.0969,38.5733,39.0292,4090200
2015-02-23,39.1477,39.3676,39.0208,39.3084,5160800
2015-02-24,39.2999,39.7652,39.1307,39.6637,5445187
2015-02-25,39.7736,39.799,38.7924,38.8431,5992549
2015-02-26,38.9362,39.0377,38.6401,38.7078,3778243
2015-02-27,38.7078,38.8601,38.5048,38.7332,4177077
2015-03-02,38.7416,38.7416,37.7689,37.955,7012991
2015-03-03,38.1411,38.2256,37.6927,38.1918,5061359
2015-03-04,38.1072,38.1072,37.735,37.9211,3828953
2015-03-05,38.0311,38.2595,37.9127,38.0819,5425385
2015-03-06,37.6589,37.6927,37.1175,37.2952,11523807
2015-03-09,37.3121,37.5828,37.1937,37.2275,6110162
2015-03-10,37.2021,37.6885,37.0414,37.1598,8559279
2015-03-11,37.1429,37.3975,36.8385,36.9822,4848583
2015-03-12,37.1006,37.7012,37.0668,37.6082,6403727
2015-03-13,37.5574,37.5997,37.0076,37.1767,5691877
2015-03-16,37.3205,37.993,37.3205,37.752,4384292
2015-03-17,37.6251,37.8704,37.4474,37.4897,3485141
2015-03-18,37.4897,38.4794,37.3248,38.1834,7082974
2015-03-19,38.0734,38.4202,37.7181,37.7773,4986918
2015-03-20,37.8196,38.2172,37.7689,38.0396,7186404
2015-03-23,38.0988,38.3695,38.0819,38.2087,3767329
2015-03-24,38.1241,38.3441,37.5912,37.6589,4293092
2015-03-25,37.7773,37.9465,37.236,37.2444,4066979
2015-03-26,37.2529,37.4897,36.9653,37.016,5948385
2015-03-27,37.0076,37.532,37.0076,37.2275,5766974
2015-03-30,37.4221,37.6589,37.2783,37.4982,4078118
2015-03-31,37.4474,37.6251,37.1894,37.4559,5798129
2015-04-01,37.5151,37.8069,37.1345,37.7435,5318121
2015-04-02,37.6589,37.8941,37.5997,37.7604,3347886
2015-04-06,37.8958,38.4371,37.8704,37.9973,5505889
2015-04-07,38.0311,38.0649,37.384,37.439,5036413
2015-04-08,37.4559,37.5447,37.1345,37.5066,6025773
2015-04-09,37.3798,37.6335,37.0922,37.6166,6420625
2015-04-10,37.642,37.9465,37.4982,37.7435,3615746
2015-04-13,37.6251,37.7604,37.3205,37.3882,3258687
2015-04-14,37.4474,37.6166,37.3205,37.5151,3474053
2015-04-15,37.5066,37.8535,37.3163,37.3882,3877953
2015-04-16,37.3882,37.4728,37.0499,37.3121,3798646
2015-04-17,37.236,37.5659,37.1937,37.3121,4251197
2015-04-20,37.4305,38.1157,37.3205,37.8619,4797545
2015-04-21,37.9042,38.1664,37.477,37.5743,4762854
2015-04-22,37.7181,37.862,37.4559,37.6251,4343702
2015-04-23,37.6166,37.9803,37.5997,37.8027,4055893
2015-04-24,37.8027,38.2595,37.752,37.955,3485590
2015-04-27,38.048,38.1072,37.4474,37.4897,4099918
2015-04-28,37.4982,37.7858,37.2867,37.7773,4540671
2015-04-29,37.4051,37.8704,37.1852,37.7689,5459955
