date,open,high,low,close,volume
2015-01-02,158.319,160.4109,158.1634,160.2121,1229303
2015-01-05,160.3936,161.405,158.9068,160.869,1266610
2015-01-06,161.8112,166.2112,161.5606,165.3467,2915633
2015-01-07,165.9259,168.5278,164.9318,168.3895,2138387
2015-01-08,168.7353,169.1502,167.1274,168.1475,1640920
2015-01-09,168.5278,170.006,167.8881,169.9195,1574104
2015-01-12,170.1875,170.8445,169.5133,170.0838,1133200
2015-01-13,170.127,171.1816,169.3663,170.1961,1367910
2015-01-14,169.3058,172.0459,168.8304,171.7002,1720929
2015-01-15,172.1584,173.2476,171.2075,172.945,1469035
2015-01-16,173.2476,173.7749,171.4841,173.576,1604573
2015-01-20,174.0083,174.4923,172.0547,172.5647,1872690
2015-01-21,172.0806,173.3599,171.1816,173.0747,1199814
2015-01-22,173.7576,176.7485,172.8153,176.3681,1432510
2015-01-23,176.8781,177.1288,175.0628,175.5729,1245092
2015-01-26,175.1579,177.44,174.7517,177.3449,970247
2015-01-27,176.6707,177.7944,176.0742,176.93,992654
2015-01-28,177.8982,178.339,175.9186,175.9186,1615519
2015-01-29,175.6247,177.2498,175.4173,176.9992,1255606
2015-01-30,175.0196,176.2298,171.4582,171.7262,2183436
2015-02-02,172.0547,172.5171,168.5754,172.3745,1616992
2015-02-03,173.0055,173.0055,170.2912,172.9623,2118976
2015-02-04,172.9623,175.3568,171.5792,174.4664,1716208
2015-02-05,174.7689,175.91,173.6711,175.6679,1055366
2015-02-06,174.3972,174.9159,167.4473,168.6315,2347061
2015-02-09,169.1156,169.8331,167.5078,167.7931,859555
2015-02-10,168.5624,168.9946,166.0901,168.3463,1894886
2015-02-11,169.0603,169.6567,166.3089,167.5366,1281355
2015-02-12,167.9719,169.722,167.0751,169.5392,1238218
2015-02-13,168.7817,169.1561,166.9968,168.1374,1016112
2015-02-17,167.9806,170.3489,167.406,167.8762,1006740
2015-02-18,167.9371,169.4347,166.1,169.1561,934673
2015-02-19,168.3115,168.712,164.8636,165.2641,1168019
2015-02-20,164.8462,167.345,164.733,167.0055,1335336
2015-02-23,167.3363,168.7643,166.901,168.5727,755820
2015-02-24,167.911,168.1809,165.0552,165.4818,1367216
2015-02-25,165.534,167.6063,165.2554,165.8475,875324
