date,open,high,low,close,volume
2015-01-02,100.1216,100.5605,99.1453,100.3993,716845
2015-01-05,100.1127,100.4351,98.0794,98.5631,973028
2015-01-06,98.6168,100.1306,97.5599,97.6405,1183410
2015-01-07,97.9809,99.6111,97.748,99.217,1118462
2015-01-08,99.3782,100.4799,99.3782,100.1037,748368
2015-01-09,100.1216,100.1216,98.5067,99.1991,903912
2015-01-12,99.6379,99.6379,97.9899,98.6616,567389
2015-01-13,99.7096,100.7665,98.7154,99.2528,1108201
2015-01-14,98.8318,99.8887,98.0346,99.835,739739
2015-01-15,100.2022,100.8471,99.5842,100.4441,828694
2015-01-16,100.1216,101.2144,99.6021,101.1696,937222
2015-01-20,101.4025,101.9309,100.6859,101.8145,825828
2015-01-21,101.501,102.746,101.0263,102.5579,866807
2015-01-22,102.8356,103.373,101.922,102.5669,717160
2015-01-23,102.97,103.8119,102.5526,103.0774,553323
2015-01-26,102.7102,103.1581,101.5727,102.5848,550485
2015-01-27,102.1459,103.0954,102.0116,102.5938,620334
2015-01-28,102.6206,104.0896,101.3129,101.5189,712873
2015-01-29,101.4204,103.0595,100.6591,102.952,627258
2015-01-30,102.0832,102.5938,100.1216,100.247,838106
2015-02-02,100.6591,101.4383,99.3155,101.3756,741735
2015-02-03,101.0711,102.128,100.5695,101.9399,1071917
2015-02-04,101.5458,101.8951,100.1395,100.3456,940649
2015-02-05,101.08,101.8862,100.2112,101.5906,745615
2015-02-06,101.1517,101.2502,96.288,96.924,1335303
2015-02-09,96.5567,97.3629,95.9924,96.6284,951132
2015-02-10,96.7717,99.1274,96.7627,98.8676,1290014
2015-02-11,98.0346,98.0615,95.6789,95.9477,1098617
2015-02-12,96.0641,96.4129,95.1684,95.5446,1212826
2015-02-13,95.3207,95.8402,93.7263,94.5504,1082858
2015-02-17,94.5504,95.9477,93.7711,95.1774,1495457
2015-02-18,94.9176,98.3302,94.8191,98.2675,1231561
2015-02-19,98.5183,98.993,97.4256,97.8107,1440608
2015-02-20,97.9451,98.6348,97.1479,98.4735,852764
2015-02-23,98.5094,99.2259,98.3034,99.0199,814901
2015-02-24,98.9124,99.6648,98.4108,98.7691,926122
2015-02-25,98.6079,98.8945,97.1658,97.3091,1178541
