date,open,high,low,close,volume
2015-01-02,38.6906,38.8922,37.8109,38.2416,2570887
2015-01-05,38.0491,38.1224,36.6745,36.8761,4599327
2015-01-06,36.8486,37.0044,35.5474,35.8131,5298674
2015-01-07,36.088,36.2163,35.6482,36.1888,4292217
2015-01-08,36.4729,36.8853,36.4271,36.812,4179145
2015-01-09,36.7753,36.7753,35.5748,35.5748,3369985
2015-01-12,35.474,35.5748,34.9059,35.1991,4122523
2015-01-13,35.5015,35.6665,34.6218,34.8967,4042452
2015-01-14,34.4568,34.6309,33.7054,34.2461,5198845
2015-01-15,34.0811,34.3194,33.4671,33.6412,5936957
2015-01-16,34.576,35.4969,34.1727,34.9975,7589919
2015-01-20,35.1625,35.19,34.5301,34.7409,4909153
2015-01-21,34.6309,35.3274,34.5485,35.2449,5706939
2015-01-22,35.5107,36.6012,35.2358,36.5279,6181320
2015-01-23,36.5004,36.7937,36.1384,36.1522,4406773
2015-01-26,36.0147,36.5691,35.8956,36.4912,3726338
2015-01-27,35.9506,36.2805,35.7765,35.9139,4042178
2015-01-28,36.1247,36.198,34.97,34.97,5782969
2015-01-29,35.135,35.7352,34.8875,35.6482,4295272
2015-01-30,35.2266,35.8773,35.0891,35.2083,7298760
2015-02-02,35.4557,36.0239,35.1075,35.9597,3477584
2015-02-03,36.1888,36.5371,36.1338,36.4088,4479106
2015-02-04,36.3538,36.6012,36.2072,36.2805,3317544
2015-02-05,36.4821,37.0823,36.4638,36.9403,2468643
2015-02-06,37.3985,38.2416,37.3069,37.7192,4782978
2015-02-09,37.3802,37.6093,37.1786,37.2977,2404370
2015-02-10,37.6276,37.6642,37.1694,37.5359,2337992
2015-02-11,37.3985,37.5543,37.1236,37.371,1892435
2015-02-12,37.6276,38.1041,37.4168,38.0858,3066284
2015-02-13,38.2691,38.489,37.9575,38.095,2656501
2015-02-17,37.9117,38.2049,37.6459,38.1866,2476485
2015-02-18,38.1499,38.1499,37.481,37.5451,3112961
2015-02-19,37.4443,37.5726,37.1144,37.2702,3761191
2015-02-20,37.1052,37.6642,36.8395,37.6459,3011147
2015-02-23,37.5176,37.6368,37.2977,37.5634,2113130
2015-02-24,37.6276,38.182,37.5864,37.985,2492006
2015-02-25,38.0218,38.1784,37.8929,38.0402,2586078
2015-02-26,37.9574,38.0633,37.7087,37.9205,2342690
2015-02-27,37.8192,38.0218,37.7087,37.7548,3172124
2015-03-02,37.8192,38.0587,37.5706,38.0034,3404261
2015-03-03,37.9297,38.1599,37.7824,38.1415,2646648
2015-03-04,37.8745,37.9666,37.6577,37.7179,2568261
2015-03-05,37.6903,38.0494,37.3718,37.9574,2951975
2015-03-06,38.1231,39.0348,38.0863,38.602,5537596
2015-03-09,38.5375,38.8506,38.427,38.7585,2638193
2015-03-10,38.3533,38.3533,37.8745,37.8837,2978674
2015-03-11,38.0126,38.2612,37.8837,38.1323,2069747
2015-03-12,38.5375,39.3524,38.5375,39.3386,3476964
2015-03-13,39.2834,39.3386,38.5651,39.0716,2463326
2015-03-16,39.2189,39.4123,39.0532,39.3939,2507805
2015-03-17,39.1453,39.5136,38.9427,39.5136,3256102
2015-03-18,39.311,39.8083,38.7861,39.1821,5916420
2015-03-19,39.09,39.1545,38.4362,38.7953,3494361
2015-03-20,39.0348,39.3663,38.8598,39.2834,3487436
2015-03-23,39.311,39.4215,38.6112,38.6112,3874213
2015-03-24,38.6112,38.7431,38.252,38.2612,3670511
2015-03-25,38.1231,38.1553,37.3312,37.3312,5807421
2015-03-26,37.2943,37.7087,37.0209,37.4785,3323282
2015-03-27,37.4601,37.5522,37.1378,37.3404,2113150
2015-03-30,37.5614,38.0587,37.543,37.8745,2027145
2015-03-31,37.6443,37.9297,37.4785,37.8376,2660147
2015-04-01,37.3036,37.7404,37.2391,37.6074,2784571
2015-04-02,37.6166,38.1692,37.543,38.0955,2887918
2015-04-06,37.7456,38.1139,37.414,37.8284,3118090
2015-04-07,37.8284,38.1599,37.8192,37.9297,1879201
2015-04-08,38.0863,38.2612,37.8376,38.0955,2653741
2015-04-09,37.9666,38.2981,37.8008,38.2244,1780117
2015-04-10,38.1968,38.2981,38.0495,38.2152,1432410
2015-04-13,38.1231,38.602,38.1231,38.5927,2736378
2015-04-14,38.5007,38.5743,38.1692,38.3533,3405116
2015-04-15,38.3902,39.0808,38.3165,38.915,3031901
2015-04-16,38.823,38.9519,38.3902,38.7953,2094102
2015-04-17,38.5191,38.6572,38.0494,38.1323,3227344
2015-04-20,38.5927,38.7309,38.2336,38.4638,4555081
2015-04-21,38.5375,38.7769,37.9758,38.1876,5439781
2015-04-22,38.2152,38.3441,37.7761,38.1415,4236087
2015-04-23,37.9297,38.0034,37.6259,37.6719,4628850
2015-04-24,37.5338,37.5982,37.2023,37.2667,3595618
2015-04-27,37.4509,37.9481,37.3266,37.4141,2779720
2015-04-28,37.4601,37.9067,37.2575,37.8929,2721283
2015-04-29,37.7732,38.5697,37.764,38.3994,3342443
2015-04-30,38.3165,38.5007,37.9942,38.2152,3975812
2015-05-01,38.4454,38.5283,38.0863,38.3809,2722697
2015-05-04,38.427,39.09,38.3544,39.09,3910764
2015-05-05,38.915,39.4675,38.823,38.8322,4905036
2015-05-06,38.9703,39.1176,38.252,38.5559,2228393
2015-05-07,38.4822,38.602,38.1968,38.4362,1895616
2015-05-08,38.6756,39.0255,38.3994,39.0071,1959333
2015-05-11,38.9427,39.4123,38.8322,39.2742,2217001
2015-05-12,39.1268,39.3939,38.7493,39.2834,2437640
2015-05-13,39.2189,39.5965,39.0255,39.5044,1732515
2015-05-14,39.6333,39.7346,39.2834,39.3939,2188151
2015-05-15,39.4491,39.5136,38.5835,38.8137,2082996
2015-05-18,38.8598,39.4675,38.8137,39.3939,1798245
2015-05-19,39.5873,40.2134,39.532,40.1674,3018223
2015-05-20,39.753,39.9372,39.311,39.5688,3481804
2015-05-21,39.4399,39.6978,39.3478,39.5044,1808517
2015-05-22,39.486,39.7438,39.4215,39.5044,1282204
2015-05-26,39.4583,39.4675,39.0762,39.3386,2655354
2015-05-27,39.4868,39.9035,39.3016,39.8109,2753106
2015-05-28,39.7924,39.9128,39.635,39.8294,4520780
2015-05-29,39.8017,39.9406,39.4312,39.5238,3475948
2015-06-01,39.6813,39.7461,38.8478,38.8756,3282790
2015-06-02,38.8756,39.3201,38.7646,39.209,3010402
2015-06-03,39.3294,39.9128,39.3294,39.7739,3008488
2015-06-04,39.5238,39.8202,39.1997,39.3294,2019336
2015-06-05,39.8202,40.2739,39.6535,39.8387,2927022
2015-06-08,39.922,40.3202,39.6442,39.672,3213876
2015-06-09,39.7554,40.311,39.6257,40.1999,2855562
2015-06-10,40.4129,41.024,40.311,40.7555,2985002
2015-06-11,40.7925,40.8877,40.5055,40.6258,2261759
2015-06-12,40.5425,40.6629,40.2091,40.5055,1982408
2015-06-15,40.1628,40.9037,39.8943,40.6721,3333842
2015-06-16,40.5518,41.1537,40.4777,41.024,2738440
2015-06-17,41.1722,41.2833,40.5425,40.6444,3399163
2015-06-18,40.6536,40.8944,40.2091,40.6258,4423495
2015-06-19,40.4869,40.6444,40.311,40.3665,3200370
2015-06-22,40.7925,40.9314,40.6351,40.8944,2380771
2015-06-23,41.237,41.3852,40.9963,41.2093,2899254
2015-06-24,41.0889,41.2926,40.7925,40.8666,3131605
2015-06-25,41.0148,41.1824,40.5448,40.5703,2611181
2015-06-26,40.7555,40.9685,40.5518,40.6258,2752535
2015-06-29,39.8665,40.2369,39.459,39.4775,3605014
2015-06-30,40.0239,40.4314,39.5887,39.8387,3512770
2015-07-01,40.4777,40.6444,40.3017,40.5703,2669880
2015-07-02,40.2276,40.5888,40.061,40.3202,3099465
2015-07-06,39.6998,40.3851,39.6998,40.2832,3935781
2015-07-07,40.2369,40.311,39.1905,39.8757,4312671
2015-07-08,39.422,39.6072,39.1905,39.3016,3234155
2015-07-09,39.8757,40.2138,39.8109,40.0146,3850412
2015-07-10,40.7092,40.8481,40.128,40.6258,3608690
2015-07-13,41.0518,41.2185,40.7463,41.0518,3920937
2015-07-14,40.8018,41.4685,40.6629,41.45,3972484
2015-07-15,41.6075,42.1446,41.3667,41.9131,4019408
2015-07-16,42.0983,42.1631,41.7278,41.9964,4454201
2015-07-17,42.3946,42.4502,41.0194,41.4408,3820033
2015-07-20,41.4593,41.6167,41.2556,41.3574,4193901
2015-07-21,41.4408,41.9686,41.3389,41.4685,3856859
2015-07-22,41.4315,41.8019,41.0889,41.3945,5172879
2015-07-23,41.3389,41.7093,40.8203,41.0611,3594787
2015-07-24,40.9963,41.3482,40.8203,41.0333,3391082
2015-07-27,40.7277,40.9314,40.5147,40.6721,3274676
2015-07-28,41.0055,41.0981,40.5187,40.9222,3143143
2015-07-29,41.0055,41.2556,40.8111,41.1907,2640880
2015-07-30,41.0611,41.4685,41.0333,41.3852,1897177
2015-07-31,41.3389,41.413,41.0055,41.0611,2392968
2015-08-03,41.0703,41.2926,40.473,40.7555,3661360
2015-08-04,40.95,41.3667,40.8296,40.8851,3590327
2015-08-05,41.1537,41.6908,41.0981,41.3389,2270327
2015-08-06,41.413,41.5797,40.9685,41.1352,2075724
2015-08-07,41.163,41.4379,40.4545,40.6258,2656021
2015-08-10,40.8944,41.3945,40.8576,41.3852,2722098
2015-08-11,40.9314,41.0703,40.4962,40.737,2298123
2015-08-12,40.3758,40.4406,39.1905,39.7739,5051189
2015-08-13,39.8109,40.1813,39.6628,40.1628,3239994
2015-08-14,40.1628,40.9129,40.0795,40.8759,3023687
2015-08-17,40.561,41.2185,40.4406,40.8944,2981327
2015-08-18,40.9777,41.1966,40.7833,40.987,2272596
2015-08-19,40.8111,40.9314,40.3851,40.5888,3993195
2015-08-20,40.0702,40.2739,39.246,39.246,3669207
2015-08-21,38.7923,38.9219,37.6903,37.718,6065186
2015-08-24,35.1436,36.7735,34.6991,35.477,8193372
2015-08-25,36.616,36.6716,34.8288,34.8565,6532056
2015-08-26,35.8382,36.1854,35.0047,36.1438,4969665
2015-08-27,36.5444,37.7371,36.5444,37.6998,6257173
2015-08-28,37.4203,37.8582,37.3551,37.7464,4069274
2015-08-31,37.4855,37.7744,37.3365,37.616,3338324
2015-09-01,36.6283,36.8145,35.5824,35.8456,4311045
2015-09-02,36.3953,36.5258,35.6406,36.2928,3932179
2015-09-03,36.4699,37.0569,36.2928,36.6469,4299592
2015-09-04,36.1251,36.3674,35.8968,36.1624,4439639
2015-09-08,36.9544,37.2153,36.6842,37.1967,3396194
2015-09-09,37.6998,37.9048,36.6656,36.7308,4263845
2015-09-10,36.5537,37.178,36.4419,36.9451,3631202
2015-09-11,36.7121,36.8705,36.4512,36.8146,3307492
2015-09-14,36.7587,37.1221,36.5444,36.8985,3823007
2015-09-15,37.0942,37.4669,36.973,37.383,4297676
2015-09-16,37.4389,37.7371,36.8007,37.3271,3507059
2015-09-17,37.2433,37.588,36.209,36.386,4967233
2015-09-18,35.799,35.9481,35.1281,35.212,6034850
2015-09-21,35.5474,35.9015,35.4449,35.7058,4732503
2015-09-22,35.1188,35.3983,34.9697,35.2958,4424852
2015-09-23,35.2865,35.5195,35.0489,35.4076,4102975
2015-09-24,34.9418,35.2027,34.802,35.1467,7858862
2015-09-25,35.7804,36.0785,35.6313,35.9201,5922307
2015-09-28,35.6965,35.8083,34.6669,34.7274,5542847
2015-09-29,34.8206,35.0489,34.5551,35.0163,4323844
2015-09-30,35.5101,35.6592,35.0536,35.6313,4661107
2015-10-01,35.6499,36.0413,35.4263,35.9574,5346046
2015-10-02,34.7927,35.6779,34.2802,35.6779,5334756
2015-10-05,36.0319,36.6656,35.8269,36.5537,4939306
2015-10-06,36.4419,36.8612,36.3301,36.5258,4533835
2015-10-07,36.7867,37.1594,36.5258,36.8519,4261430
2015-10-08,36.6096,37.22,36.5537,37.1314,4152323
2015-10-09,37.1128,37.3923,36.6935,36.7401,3486895
2015-10-12,36.6469,36.9544,36.5165,36.8612,2001586
2015-10-13,36.6283,36.9451,36.5631,36.6283,2491279
2015-10-14,36.5444,36.6469,35.7244,35.8735,3511955
2015-10-15,36.2276,36.824,35.9667,36.824,3493816
2015-10-16,39.1348,39.1348,36.7121,37.2805,8768500
2015-10-19,37.178,37.9188,36.8519,37.1687,6618662
2015-10-20,37.4389,38.0446,37.1221,37.7278,4099633
2015-10-21,37.9794,38.1657,37.4669,37.4855,5247080
2015-10-22,37.6998,38.6083,37.5787,38.0073,4475112
2015-10-23,38.4453,38.9205,38.3032,38.9018,4600291
2015-10-26,38.7714,38.9298,38.38,38.5477,2829951
2015-10-27,38.2123,38.5943,38.0819,38.3428,4356226
2015-10-28,38.3428,39.9547,38.2309,39.6193,6348197
2015-10-29,39.5261,39.9734,39.2559,39.5168,4490011
2015-10-30,39.4516,39.5354,38.4173,38.6875,9212745
2015-11-02,38.9018,39.7963,38.7714,39.6472,3834937
2015-11-03,39.3957,39.815,39.2186,39.6845,4556715
2015-11-04,39.8522,40.0293,39.6472,39.7777,3279654
2015-11-05,39.6752,40.7002,39.6752,40.4299,4919047
2015-11-06,41.6785,42.1537,40.8772,41.0263,6275681
2015-11-09,41.2499,41.2779,40.0759,40.2809,5925761
2015-11-10,40.1411,40.8492,40.0945,40.7654,3676865
2015-11-11,41.1008,41.1101,40.3927,40.4858,2574348
2015-11-12,40.2715,40.3647,39.6752,39.6752,3650722
2015-11-13,39.6286,39.815,38.9857,39.1068,4890133
2015-11-16,39.023,39.8802,38.9018,39.8709,3137309
2015-11-17,40.0665,40.5231,39.7032,40.02,3413936
2015-11-18,40.2249,40.8399,40.0013,40.784,3334783
2015-11-19,40.7747,40.8586,40.197,40.6256,3448113
2015-11-20,40.7654,40.9424,40.3274,40.5138,2193185
2015-11-23,40.5324,40.9145,40.4393,40.4672,2208752
2015-11-24,40.2436,40.5883,40.0665,40.4486,3251895
2015-11-25,40.6172,40.7953,40.308,40.5798,1804760
2015-11-27,40.6735,40.8234,40.4299,40.7765,1012860
2015-11-30,40.7765,41.0998,40.6266,40.6828,2896620
2015-12-01,40.9827,41.4418,40.7672,41.2263,3237921
2015-12-02,41.3293,41.4137,40.5798,40.6266,3366337
2015-12-03,40.7765,40.9733,39.9614,40.027,3378117
2015-12-04,40.2237,41.6667,39.9426,41.5448,5857242
2015-12-07,41.32,41.4699,40.636,41.0576,3887365
2015-12-08,40.6079,40.8702,40.1675,40.4205,3958818
2015-12-09,40.1862,40.5048,39.268,39.6053,5590318
2015-12-10,39.5678,40.5891,39.4086,40.1394,3824718
2015-12-11,39.4554,39.6709,38.8839,39.1556,2929452
2015-12-14,39.3055,39.7459,38.7152,39.343,4662201
2015-12-15,39.8958,40.8515,39.8677,40.5704,3911651
2015-12-16,40.8702,41.4277,40.2331,41.2919,4548871
2015-12-17,41.4511,41.5636,40.4954,40.5142,3309537
2015-12-18,40.2799,40.3643,39.4554,39.5304,10957521
2015-12-21,39.8302,40.0925,39.343,39.774,2392061
2015-12-22,40.0925,40.1769,39.4739,40.1019,2624903
2015-12-23,40.3362,40.636,40.1207,40.6172,2642381
2015-12-24,40.5985,40.8702,40.4299,40.6266,974627
2015-12-28,40.4017,40.4767,39.8677,40.4486,2497440
2015-12-29,40.7765,41.1794,40.6266,41.0482,2581704
2015-12-30,40.9827,40.992,40.5657,40.5798,2020444
2015-12-31,40.2799,40.6922,40.13,40.1394,2288902
2016-01-04,39.2212,39.3898,38.5278,38.9588,4936545
2016-01-05,39.0338,39.3242,38.8464,39.1368,4372338
2016-01-06,38.3404,38.8183,38.0781,38.6028,4812280
2016-01-07,37.722,38.1437,36.9444,36.9912,6482478
2016-01-08,37.6846,37.6939,36.3728,36.4571,4535146
2016-01-11,36.8226,36.9584,35.9418,36.2697,5058248
2016-01-12,36.9725,37.0193,36.1761,36.9069,4401203
2016-01-13,37.188,37.2442,35.5811,35.6982,6758549
2016-01-14,35.9793,36.3353,35.3703,35.8481,5855160
2016-01-15,34.7987,35.211,34.3302,35.0798,5314013
2016-01-19,35.5951,35.6279,34.4614,34.78,5104558
2016-01-20,33.7962,34.6675,33.0526,34.2459,6347679
2016-01-21,34.1991,34.6675,33.6556,33.7868,6400848
2016-01-22,34.3302,34.4427,32.8967,33.0466,9779618
2016-01-25,32.9248,33.0044,31.9035,31.9691,10558091
2016-01-26,32.1471,32.8498,32.0441,32.8124,5525065
2016-01-27,32.6156,33.7774,32.55,33.0747,10959173
2016-01-28,33.2246,34.2646,33.1216,34.0304,7898034
2016-01-29,34.1335,34.2881,33.4682,34.274,6991299
2016-02-01,34.0023,34.1944,33.6275,33.8336,5041919
2016-02-02,33.1309,33.1778,32.0347,32.2033,7322164
2016-02-03,32.55,32.5875,31.1352,32.2877,6761023
2016-02-04,32.2783,33.1028,32.1377,32.6718,4385918
2016-02-05,32.7468,33.1309,32.0159,32.1565,4398270
2016-02-08,31.5943,31.6505,30.1045,30.5449,8374492
2016-02-09,29.889,31.332,29.8141,31.0696,6186380
2016-02-10,31.4163,31.7255,30.7698,30.7698,4996651
2016-02-11,29.7579,30.2826,29.1067,29.3831,6923681
2016-02-12,30.1795,31.4444,30.1139,31.4163,5503606
2016-02-16,32.0066,32.6156,31.5381,32.1284,4770854
2016-02-17,32.5969,32.9154,32.1659,32.2596,4002482
2016-02-18,32.4095,32.6062,31.4912,31.7536,5467780
2016-02-19,31.6599,32.0722,31.435,31.9972,3696481
2016-02-22,32.3533,32.728,32.3064,32.6531,3623753
2016-02-23,32.4751,32.6812,31.4912,31.6974,3718584
2016-02-24,31.1972,31.5936,30.6169,31.5369,4846769
2016-02-25,31.7257,32.1409,31.5747,31.8955,3911659
2016-02-26,32.2541,33.0374,32.0654,32.5938,3897113
2016-02-29,32.4617,32.4617,31.3105,31.3105,6878457
2016-03-01,31.6502,33.0374,31.5653,33.0374,5430778
2016-03-02,33.0845,34.0471,32.9996,33.9621,4839386
2016-03-03,33.8583,34.5,33.8489,34.4906,3436882
2016-03-04,34.8397,35.4248,34.6604,34.9624,3833038
2016-03-07,34.6982,34.8303,34.3773,34.6699,2975062
2016-03-08,34.349,34.3773,33.3488,33.4243,6687807
2016-03-09,33.7734,33.8317,32.8298,33.0751,5976408
2016-03-10,33.4054,33.764,32.9241,33.6602,5811835
2016-03-11,34.0376,34.9435,33.9621,34.9058,3597198
2016-03-14,34.6982,35.0285,34.5661,34.8114,2597970
2016-03-15,34.3396,34.8114,34.2641,34.7642,2270306
2016-03-16,34.6227,35.1511,34.0093,34.3396,3483464
2016-03-17,34.2075,34.7171,33.7357,34.5661,3256796
2016-03-18,34.9152,35.3776,34.7171,35.0945,6853770
2016-03-21,34.9247,35.4437,34.7265,35.019,2382299
2016-03-22,34.802,35.0757,34.5566,34.8869,2585497
2016-03-23,34.868,34.9719,34.5378,34.5661,2761202
2016-03-24,34.132,34.6227,33.7451,34.5378,3311928
2016-03-28,34.5755,34.9341,34.3679,34.7076,2224499
2016-03-29,34.4245,34.4434,33.7357,34.283,3163384
2016-03-30,34.4623,34.8775,34.1792,34.434,2393456
2016-03-31,34.4151,34.4151,33.7923,34.0471,4406652
2016-04-01,33.9527,34.6416,33.4243,34.5566,3786260
2016-04-04,34.5283,34.9247,34.283,34.4434,2864427
2016-04-05,34.0093,34.1933,33.6979,33.7357,3942211
2016-04-06,33.6224,34.2971,33.4373,34.1131,3645671
2016-04-07,33.6319,33.9102,33.1223,33.3582,4804978
2016-04-08,33.7545,34.2452,33.5281,33.6224,2636676
2016-04-11,33.8017,34.4528,33.7734,33.9999,3354697
2016-04-12,34.0754,34.8303,34.0754,34.6793,4813947
2016-04-13,35.1511,36.4109,35.104,36.2835,7032330
2016-04-14,36.1797,37.0951,36.1797,36.51,5047593
2016-04-15,36.5855,36.6516,36.1231,36.3024,3767381
2016-04-18,36.0476,36.6987,35.9344,36.4817,2685307
2016-04-19,36.5949,37.0385,36.51,37.029,2768289
2016-04-20,37.18,37.6235,36.9535,37.5292,3355961
2016-04-21,37.6235,37.9444,37.4725,37.6235,3415694
2016-04-22,38.5106,39.9543,38.4351,39.5958,8225511
2016-04-25,39.5863,39.6429,38.8975,39.6241,4259796
2016-04-26,39.6146,40.3224,39.4165,40.0487,4831112
2016-04-27,40.1997,40.6055,39.6996,40.1714,4908702
2016-04-28,39.7184,40.2186,39.4825,39.6996,3501092
2016-04-29,39.407,39.6429,39.1239,39.3882,5413107
2016-05-02,39.6807,39.8505,39.1617,39.7562,4709777
2016-05-03,39.0956,39.2844,38.7748,39.0956,4402128
2016-05-04,38.5106,39.0013,37.968,38.3501,4572468
2016-05-05,38.218,38.5861,37.8877,38.0859,4795938
2016-05-06,37.8217,38.369,37.6613,38.3407,3038579
2016-05-09,38.1803,38.5766,37.8028,38.0859,3815873
2016-05-10,38.4162,39.2041,38.3218,39.1239,4813338
2016-05-11,38.888,39.558,38.5106,39.0673,4434444
2016-05-12,39.2844,39.6429,38.6332,39.0201,3830463
2016-05-13,38.9163,39.4448,38.1142,38.2746,3034539
2016-05-16,38.3313,38.9446,38.2841,38.7653,3332310
2016-05-17,38.6144,39.2277,38.303,38.7842,4016512
2016-05-18,38.7465,40.4262,38.6049,40.3979,6091639
2016-05-19,40.0865,40.747,39.7279,40.2186,4997292
2016-05-20,40.5017,40.8225,39.9685,40.1525,3909164
2016-05-23,40.1525,40.3979,39.6052,40.0959,3653729
2016-05-24,40.4262,40.8697,40.2469,40.681,3399133
2016-05-25,41.0207,41.8228,41.0207,41.5032,3901063
2016-05-26,41.4747,41.5981,40.9007,41.1236,2719721
2016-05-27,41.1236,41.693,41.0003,41.5791,2572609
2016-05-31,41.8068,41.9112,41.1521,41.5791,4327162
2016-06-01,41.0193,41.7025,40.6587,41.5886,3248089
2016-06-02,41.4747,41.8353,41.1616,41.7879,2133432
2016-06-03,40.9623,41.2185,40.0609,41.1142,4249413
2016-06-06,41.2755,41.9966,41.1901,41.7214,3303488
2016-06-07,41.3514,41.693,41.1331,41.1806,2945399
2016-06-08,41.1142,41.4652,41.1142,41.266,1952868
2016-06-09,40.9529,40.9529,40.2697,40.7726,3329506
2016-06-10,40.1558,40.4025,39.9186,40.3076,2964038
2016-06-13,39.985,40.4927,39.7098,39.7478,3502313
2016-06-14,39.6624,39.9755,38.4763,38.6661,4118766
2016-06-15,38.9413,39.6577,38.723,38.9128,2983930
2016-06-16,38.5522,38.7895,38.0825,38.6661,3847396
2016-06-17,38.7135,39.2639,38.6092,39.15,4342646
2016-06-20,39.8996,40.3361,39.4347,39.5106,4138357
2016-06-21,39.6529,39.7051,39.1216,39.5391,2760739
2016-06-22,39.6055,40.1843,39.5011,39.558,1990557
2016-06-23,40.1273,41.0098,40.1273,41.0003,2960074
2016-06-24,38.315,39.5201,37.945,38.4668,8642603
2016-06-27,37.8216,37.8406,35.7816,35.9049,7606787
2016-06-28,36.664,37.2238,36.3414,37.1954,4385917
2016-06-29,37.6413,38.0683,37.2523,37.9924,3831869
2016-06-30,38.3435,38.9982,37.945,38.9792,4592556
2016-07-01,38.6471,39.0551,38.4431,38.6281,3266892
2016-07-05,38.0968,38.2486,37.2238,37.48,4210161
2016-07-06,37.072,38.2676,36.7685,38.1252,5226759
2016-07-07,38.1347,38.9508,38.0873,38.6187,3487492
2016-07-08,39.3683,39.7383,39.1073,39.3208,4554252
2016-07-11,39.6624,40.0419,39.6434,39.7288,4486791
2016-07-12,40.2317,40.858,40.2317,40.4879,6395602
2016-07-13,40.4025,40.6208,40.0989,40.5543,5120411
2016-07-14,41.6455,41.8258,41.228,41.6171,4680569
2016-07-15,41.7404,41.9302,41.1331,41.2755,5892418
2016-07-18,41.1521,41.4273,41.0762,41.1711,2706641
2016-07-19,40.8295,41.3039,40.7441,41.0572,2080215
2016-07-20,41.228,41.2755,40.7536,41.0572,2252579
2016-07-21,40.9434,41.4273,40.9339,40.9623,2971961
2016-07-22,40.0894,40.5069,39.6529,40.2317,5897092
2016-07-25,40.0609,40.2554,39.8712,40.1368,3530820
2016-07-26,40.1368,40.4073,40.0231,40.3835,3400407
2016-07-27,40.431,40.6208,40.0419,40.1843,3250253
2016-07-28,40.0609,40.412,39.8332,40.2887,2739087
2016-07-29,40.2033,40.5733,39.9565,40.1273,3110940
2016-08-01,40.2507,40.412,39.6719,39.7383,2344229
2016-08-02,39.6814,39.7573,38.9697,39.2544,3709361
2016-08-03,39.3967,39.9471,39.3777,39.8996,2370757
2016-08-04,39.8806,40.1179,39.6719,39.8047,2314602
2016-08-05,40.2792,40.9244,40.2127,40.7061,4873294
2016-08-08,40.801,41.0643,40.3266,40.4594,3156429
2016-08-09,40.5164,40.5923,40.2697,40.4025,2383709
2016-08-10,40.3266,40.4784,39.7098,39.7668,1673563
2016-08-11,39.966,40.1653,39.6624,39.8901,2260923
2016-08-12,39.5485,39.7193,39.3398,39.7004,2058809
2016-08-15,39.8806,40.0562,39.8047,39.9471,3561315
2016-08-16,39.6909,40.0609,39.6244,39.9565,3281618
2016-08-17,39.9091,40.3646,39.8522,40.3171,4173997
2016-08-18,40.3646,40.7536,40.2602,40.6587,3390769
2016-08-19,40.5733,40.7061,40.3456,40.6682,2533970
2016-08-22,40.5354,40.7726,40.412,40.6872,2031661
