date,open,high,low,close,volume
2015-01-02,73.6203,73.7039,72.217,72.8118,1421473
2015-01-05,72.3192,72.7095,71.3527,71.6037,3265100
2015-01-06,71.3713,71.52,69.2525,69.5592,3254766
2015-01-07,70.4141,70.5628,69.7171,70.2097,2158230
2015-01-08,70.981,71.836,70.8323,71.6966,1590052
2015-01-09,71.9196,71.9196,70.4885,70.6558,2081694
2015-01-12,70.7208,70.8881,69.4755,70.0424,1809532
2015-01-13,70.8509,71.3527,69.299,69.8751,2266255
2015-01-14,67.589,69.299,67.5802,68.1652,3231469
2015-01-15,67.97,68.7878,67.6076,67.6355,2370097
2015-01-16,67.2359,68.4904,66.7666,68.4533,2160174
2015-01-20,68.8993,69.0174,67.6169,68.0258,2194920
2015-01-21,68.9272,69.7171,68.7414,69.4569,3808521
2015-01-22,70.0889,71.8639,69.6428,71.6408,4103768
2015-01-23,69.9774,69.9774,67.0779,67.2823,4844267
2015-01-26,66.4367,68.1373,65.8977,68.1001,5507981
2015-01-27,66.9385,67.7656,66.6783,67.4124,3500630
2015-01-28,67.8121,68.1373,66.2043,66.2415,5427503
2015-01-29,66.1579,66.8456,65.6189,66.7248,2667907
2015-01-30,65.907,67.1894,65.5166,66.4553,6286341
2015-02-02,66.6597,67.8864,66.4645,67.8213,2609021
2015-02-03,68.3139,69.4291,68.1838,69.3454,3586377
2015-02-04,69.1967,69.2618,68.3882,68.5555,2922831
2015-02-05,68.9923,69.8473,68.5927,69.4105,2024651
2015-02-06,70.0052,71.4643,69.9309,70.7394,3313539
2015-02-09,70.2097,70.9345,69.9866,70.7766,2728772
2015-02-10,71.2691,71.901,70.8881,71.8081,2231322
2015-02-11,71.6315,71.901,71.2226,71.5479,1756020
2015-02-12,71.8174,72.2635,71.6501,71.9196,4828539
2015-02-13,71.7895,72.2542,71.2412,71.4921,2537196
2015-02-17,69.9959,71.9475,69.7543,71.8081,3007934
2015-02-18,71.6966,71.9103,70.6929,70.8602,2122864
2015-02-19,70.5349,71.4782,70.4699,71.1297,2082086
2015-02-20,70.8695,72.1984,70.5628,72.1427,2418978
2015-02-23,71.8917,72.0683,71.0554,71.6501,1790346
2015-02-24,71.5944,73.3043,71.5944,72.6817,2882276
2015-02-25,72.2356,72.3099,70.9345,71.4735,4417640
2015-02-26,70.4978,70.9067,69.2525,69.522,5054574
2015-02-27,69.4291,69.8194,69.1503,69.1874,3095013
2015-03-02,69.1131,70.2376,69.1131,70.2283,3576367
2015-03-03,69.7729,70.456,69.6242,70.0424,2137010
2015-03-04,69.7264,70.0471,69.3919,69.8194,2426390
2015-03-05,69.8101,69.8101,69.127,69.3919,2365322
2015-03-06,66.9292,70.4885,66.7248,67.6634,6013480
2015-03-09,67.8864,68.7228,67.589,68.3696,2678822
2015-03-10,67.4961,67.6355,66.2973,66.2973,3022482
2015-03-11,66.4367,67.5565,66.3363,67.3009,3838433
2015-03-12,68.1001,68.983,67.4682,68.4626,3745096
2015-03-13,68.3046,68.3325,67.4868,68.2209,2741364
2015-03-16,68.602,69.745,68.4254,69.6056,2648656
2015-03-17,69.5592,70.3816,69.364,70.219,2200199
2015-03-18,70.061,70.6929,69.6428,69.8194,2847625
2015-03-19,69.6893,70.1353,69.2711,69.5406,3063610
2015-03-20,69.8751,71.1576,69.68,70.8509,3356545
2015-03-23,70.7301,70.9857,70.2283,70.2283,1757941
2015-03-24,69.9402,70.2097,69.4476,69.4662,1854026
2015-03-25,69.4569,69.4569,68.0908,68.0908,2493836
2015-03-26,67.9143,69.0295,67.5333,68.444,2727823
2015-03-27,68.1931,68.509,68.0072,68.2767,1917627
2015-03-30,68.0621,69.3218,68.0621,68.9392,1847208
2015-03-31,68.6219,68.8646,68.2114,68.6126,2597416
2015-04-01,68.3607,68.8272,67.7075,68.538,2480805
2015-04-02,68.4073,69.2565,68.3607,69.0232,1920633
2015-04-06,68.5193,69.751,68.2114,69.6577,1634557
2015-04-07,69.6017,70.3482,69.3498,70.1709,2329591
2015-04-08,70.2176,70.8894,70.0496,70.7121,1934063
2015-04-09,70.4882,71.216,70.2829,71.1227,1799944
2015-04-10,71.0294,71.258,70.6468,71.244,1699264
2015-04-13,71.2067,72.0278,71.188,71.524,1793075
2015-04-14,71.2627,71.6173,70.7308,71.2813,1584895
2015-04-15,71.384,71.5893,71.1927,71.412,1910697
2015-04-16,71.1134,71.5333,70.9081,71.328,1177356
2015-04-17,70.8241,70.9827,70.1803,70.6188,2238212
2015-04-20,70.9827,71.356,70.7681,71.1787,1148089
2015-04-21,71.7572,72.1492,71.1787,71.5426,2514634
2015-04-22,71.5613,72.933,71.3093,72.7184,3248400
2015-04-23,72.625,73.2969,72.2611,72.961,2804057
2015-04-24,72.5224,72.5224,70.9641,71.2534,4179514
2015-04-27,71.552,72.5317,71.4027,71.7852,3793337
2015-04-28,71.1694,72.4058,71.1694,72.2985,1890603
2015-04-29,72.1305,72.8957,71.9905,72.4571,1587869
2015-04-30,72.3918,72.961,71.6173,71.9625,2143363
2015-05-01,72.6344,72.7464,72.1212,72.4571,1185715
2015-05-04,72.6904,73.5395,72.4664,73.4742,1654509
2015-05-05,73.1103,73.8194,72.9984,73.4835,3029259
2015-05-06,74.23,74.2673,72.2331,72.793,2650202
2015-05-07,72.9143,73.2829,72.6297,72.9423,1816245
2015-05-08,73.5208,73.6841,73.2036,73.4835,1360999
2015-05-11,73.2969,73.8194,72.8023,72.8023,2279053
2015-05-12,72.2985,72.6064,71.8972,72.5597,2210906
2015-05-13,72.4757,72.877,72.1025,72.7837,1465980
2015-05-14,73.017,73.0823,70.9174,72.5224,3376965
2015-05-15,72.6904,72.9423,72.3078,72.6437,1963113
2015-05-18,72.2145,73.4929,71.8599,73.4275,2278548
2015-05-19,73.4369,73.9687,73.3995,73.8194,2036512
2015-05-20,73.7355,74.0527,73.1943,73.6701,1538579
2015-05-21,73.3902,73.8381,73.2782,73.6235,1412102
2015-05-22,73.4089,73.7821,73.2782,73.3622,1470404
2015-05-26,73.1569,73.2689,72.2891,72.4198,2567923
2015-05-27,72.6904,73.4369,72.4384,73.2222,1799329
2015-05-28,73.1103,73.9081,72.877,73.8288,2051194
2015-05-29,73.6795,73.6888,72.6624,72.7184,2597918
2015-06-01,72.9983,73.1663,72.0698,72.2611,2016625
2015-06-02,71.9719,72.2238,71.384,71.9905,2261132
2015-06-03,72.4291,73.6422,72.3544,73.1103,2016607
2015-06-04,72.737,73.1756,72.0372,72.1585,1648179
2015-06-05,72.9983,73.5675,72.6624,73.2689,2639133
2015-06-08,73.2316,73.9128,73.0636,73.5208,2375117
2015-06-09,73.4835,73.9221,72.9236,73.8568,1964310
2015-06-10,74.23,75.7697,73.9781,75.2845,2756134
2015-06-11,75.3404,75.7323,75.0885,75.4338,1260191
2015-06-12,75.3311,75.7044,74.7806,75.2471,1999860
2015-06-15,74.6033,74.8459,73.8941,74.482,1541775
2015-06-16,74.1834,74.8739,74.1554,74.5006,1752806
2015-06-17,74.7339,74.9859,73.9034,74.174,1980068
2015-06-18,74.482,74.9672,73.8941,74.5659,1763551
2015-06-19,73.8754,74.5006,73.4929,73.6701,3133033
2015-06-22,74.5939,74.6406,74.0294,74.202,1955807
2015-06-23,74.5286,74.8459,74.328,74.5566,1727561
2015-06-24,74.2114,74.7619,74.1087,74.426,2429637
2015-06-25,74.5659,74.6313,73.3995,73.3995,1823606
2015-06-26,73.7168,73.9314,73.3995,73.6981,2453358
2015-06-29,72.8172,73.1452,71.4677,71.4958,2330288
2015-06-30,72.5642,72.8453,71.4115,72.1612,2507349
2015-07-01,73.0328,73.1546,72.2456,72.5642,1408430
2015-07-02,72.2737,72.5454,71.5989,72.1706,1396019
2015-07-06,71.2897,71.8426,71.0741,71.8051,1273397
2015-07-07,71.6645,71.9363,69.9214,71.8145,1929943
2015-07-08,71.1116,71.1912,69.8183,69.912,1398283
2015-07-09,70.9616,71.4865,70.1557,70.24,2543136
2015-07-10,71.1491,71.5427,70.8867,71.1959,2047502
2015-07-13,72.18,72.4424,71.7771,72.3674,1741329
2015-07-14,72.03,72.7422,72.03,72.6673,1531695
2015-07-15,72.9578,73.1921,72.5829,73.089,1288156
2015-07-16,73.3795,74.4572,73.3795,74.3167,2401812
2015-07-17,74.1855,74.4807,73.9512,74.3916,1447485
2015-07-20,74.551,75.0195,74.0449,74.7853,1961576
2015-07-21,74.6447,75.713,74.3542,74.9258,1938173
2015-07-22,74.5416,75.938,74.5416,75.7412,2157872
2015-07-23,75.8068,76.1535,74.4854,74.7009,2070054
2015-07-24,72.9109,72.9109,70.3993,70.643,5198477
2015-07-27,69.912,70.2681,69.003,70.1276,3448796
2015-07-28,70.5024,71.3927,70.0901,71.3834,2740450
2015-07-29,71.4958,71.6926,71.1584,71.6177,1879711
2015-07-30,71.6458,72.3112,71.5708,72.3018,1232699
2015-07-31,72.3018,72.4705,71.6083,71.7489,1928868
2015-08-03,71.7863,72.3674,71.2897,72.3393,2011015
2015-08-04,72.4611,73.2671,72.1237,73.2389,2140003
2015-08-05,73.9231,74.3729,73.0984,73.1921,1668440
2015-08-06,73.0984,74.0355,72.9953,73.4264,2680266
2015-08-07,73.2671,73.9043,72.6017,73.5763,1448940
2015-08-10,74.3073,74.7814,74.0449,74.5322,2062464
2015-08-11,73.5107,74.0355,73.1171,73.5013,2038571
2015-08-12,72.6766,72.8078,71.046,72.358,2943110
2015-08-13,72.1893,73.0468,72.1893,72.6766,1915063
2015-08-14,72.433,73.5754,72.433,73.5388,1496177
2015-08-17,72.4986,73.3045,72.283,73.2202,2034371
2015-08-18,72.9203,73.67,72.7704,73.4545,1415099
2015-08-19,73.0234,73.7075,72.6673,73.0515,2289718
2015-08-20,72.1237,72.18,71.0554,71.1491,2820795
2015-08-21,70.4837,70.718,69.1154,69.2373,4060152
2015-08-24,64.5983,67.6816,62.8459,65.095,4985774
2015-08-25,67.035,67.541,63.7643,63.8111,4179494
2015-08-26,65.5355,66.3883,64.4578,66.3227,3644194
2015-08-27,67.288,68.6843,67.0724,68.3563,3134864
