date,open,high,low,close,volume
2015-01-02,53.1432,53.5737,52.2106,52.6251,2397288
2015-01-05,52.4976,53.0077,51.9635,52.3461,2269690
2015-01-06,52.5294,52.5374,50.7041,50.9033,3425771
2015-01-07,51.1026,51.6526,50.3613,51.2302,1886459
2015-01-08,51.8121,52.7447,51.4215,52.1548,3472521
2015-01-09,52.4099,53.3824,52.1867,52.9639,2545932
2015-01-12,52.8084,52.9679,51.6207,51.8439,2133077
2015-01-13,52.3621,53.3345,51.1186,51.6128,2144094
2015-01-14,51.1903,51.5968,50.7041,51.4852,1926975
2015-01-15,51.5012,51.7802,49.5009,49.6439,3552234
2015-01-16,49.7077,50.6403,49.2294,50.5446,2500286
2015-01-20,50.72,50.999,49.6917,50.3135,1778126
2015-01-21,49.9867,50.736,49.7396,50.449,1724004
2015-01-22,50.3374,51.3816,49.6758,50.9671,3563261
2015-01-23,51.1345,51.3497,50.5925,50.999,2594249
2015-01-26,46.9656,48.0178,45.0518,47.0772,15325550
2015-01-27,47.0294,47.0294,45.0366,45.487,8078021
2015-01-28,46.2961,46.8461,45.8178,45.8576,7678240
2015-01-29,45.5468,47.0055,45.4352,46.7903,5045957
2015-01-30,46.4475,46.7823,44.8852,44.9888,5504545
2015-02-02,45.0446,46.1845,44.5464,46.0729,5027870
2015-02-03,46.1606,47.3323,46.1207,47.2287,4239014
2015-02-04,47.0135,48.1932,47.0135,47.7707,4049131
2015-02-05,47.9222,48.3845,47.6591,48.1533,2189466
2015-02-06,48.2981,49.2633,48.097,48.2096,4216359
2015-02-09,47.8718,48.8611,47.4536,48.5796,3563914
2015-02-10,48.6118,49.1909,47.8638,48.4187,3419197
2015-02-11,48.475,49.1587,48.2016,48.9013,3024752
2015-02-12,49.3356,49.6332,48.9496,49.1909,1830038
2015-02-13,49.7298,50.3571,49.4563,49.7338,2566191
2015-02-17,49.5689,49.7056,48.8933,49.1828,2318293
2015-02-18,49.1104,49.3598,48.6118,49.207,2173743
2015-02-19,49.0059,49.5126,49.0059,49.4322,1291282
2015-02-20,49.408,50.0273,48.9576,50.0113,1746926
2015-02-23,50.1239,50.2123,49.6252,49.8584,1555459
2015-02-24,49.6493,49.7619,48.2579,48.8209,3580870
2015-02-25,48.2981,48.4429,47.8799,48.274,3269699
2015-02-26,48.3705,48.9576,48.3624,48.8048,2406039
2015-02-27,48.6681,49.207,48.3946,49.1587,2752338
2015-03-02,49.2311,50.9845,49.0783,49.5126,4083604
2015-03-03,48.4992,48.6547,46.4965,47.3088,6556271
2015-03-04,47.0354,47.0414,46.03,46.7136,4209545
2015-03-05,46.7458,47.2525,46.1667,46.9992,3474465
2015-03-06,46.7378,47.0434,45.6439,45.7646,3771724
2015-03-09,45.7887,46.5447,45.7002,45.8289,3283423
2015-03-10,45.5796,45.6841,43.5688,43.7619,6728398
2015-03-11,43.7458,44.0192,43.0299,43.7216,4559568
2015-03-12,42.475,44.341,42.2659,43.8624,5734434
2015-03-13,43.6251,43.9468,42.483,43.2391,4054648
2015-03-16,44.0755,44.2203,43.408,44.1077,4261713
2015-03-17,43.8021,43.9066,43.1506,43.1627,3299182
2015-03-18,43.9549,44.8396,43.3436,44.4777,4951949
2015-03-19,44.4777,44.9442,44.4777,44.8034,2471163
2015-03-20,45.1694,45.6037,44.7994,45.4509,4848739
2015-03-23,45.4509,45.9415,44.727,44.92,2651627
2015-03-24,44.6707,45.138,44.4415,44.4978,2842351
2015-03-25,44.5983,44.904,42.9817,43.1184,4358270
2015-03-26,42.2257,43.6412,41.92,43.0501,4253925
2015-03-27,43.223,43.3597,42.29,42.4348,2938036
2015-03-30,42.8128,42.9093,42.2498,42.6921,2209431
2015-03-31,42.3704,42.3704,41.6144,41.8476,3776822
2015-04-01,41.8637,42.0849,41.0594,41.6546,3640921
2015-04-02,41.4777,42.66,41.2786,42.1854,3695871
2015-04-06,41.8637,42.6278,41.8235,42.4187,2444939
2015-04-07,42.6037,43.5125,42.5795,43.231,3338936
2015-04-08,43.3034,43.6734,42.6841,42.8771,4025892
2015-04-09,42.5313,44.0836,42.5313,43.9871,3384013
2015-04-10,43.8986,45.0327,43.8825,44.7029,3725765
2015-04-13,44.6868,45.1855,44.5099,44.5662,1938744
2015-04-14,45.0166,45.2016,44.4214,44.8557,2710605
2015-04-15,45.2579,45.8772,45.2418,45.5796,3736967
2015-04-16,45.1211,45.4831,44.5983,45.0085,4461663
2015-04-17,45.1694,47.1077,45.0889,46.1908,9537530
2015-04-20,46.6493,47.8396,46.416,47.5622,4910500
2015-04-21,47.9442,47.9442,46.5849,46.9791,3509829
2015-04-22,46.7297,47.0193,46.5126,46.8343,2271266
2015-04-23,47.2123,47.7673,46.8182,47.2525,2750245
2015-04-24,47.4214,47.4777,46.5689,46.9228,2455528
2015-04-27,46.9308,47.0434,46.408,46.5809,2214774
2015-04-28,46.6734,47.5099,46.2632,47.4536,3685895
2015-04-29,46.9585,47.5916,46.0087,47.2182,3996556
2015-04-30,46.8692,47.9569,46.8667,47.6647,3902566
2015-05-01,47.8757,48.7767,47.7702,48.4033,3432463
2015-05-04,48.3465,48.59,47.6768,48.0624,2074529
2015-05-05,47.6322,47.8757,46.5039,46.8367,4170449
2015-05-06,46.9828,47.0396,45.1599,45.6922,3500329
2015-05-07,45.8302,46.3091,45.5298,45.8058,2291155
2015-05-08,46.1873,46.6419,45.9276,46.4592,2413513
2015-05-11,46.5607,46.65,46.0087,46.0737,1761251
2015-05-12,45.6678,45.96,45.1271,45.5866,1586349
2015-05-13,46.0818,46.5364,45.8545,45.9357,1653699
2015-05-14,46.2441,46.7149,46.0575,46.6175,1518464
2015-05-15,46.8123,46.9828,46.1467,46.1792,2299902
2015-05-18,46.0087,46.4308,45.9113,46.1873,1789087
2015-05-19,46.1873,46.2523,44.1255,44.7668,6521731
2015-05-20,44.6207,44.9941,44.1986,44.3203,3153521
2015-05-21,44.1823,45.1402,44.0768,44.9454,2886103
2015-05-22,44.986,45.4649,44.8074,45.2863,1745075
2015-05-26,45.0347,45.1889,44.1336,44.3122,2748297
2015-05-27,44.4421,45.2701,44.3447,44.921,2282227
2015-05-28,45.1483,46.2198,45.1483,45.753,3727655
2015-05-29,45.7571,45.7814,44.8561,45.1645,2710977
2015-06-01,45.2457,45.3188,44.6126,44.8074,2414645
2015-06-02,44.8804,45.2619,44.6044,44.8804,2611339
2015-06-03,45.0671,45.5542,44.9373,45.1848,1805386
2015-06-04,45.1564,45.1727,44.0768,44.2716,3307696
