date,open,high,low,close,volume
2015-01-02,95.1232,95.2677,93.0224,93.9571,1994624
2015-01-05,93.8415,96.6072,93.0802,96.1928,2422343
2015-01-06,98.496,101.5219,95.6146,96.8096,3282471
2015-01-07,97.3878,100.0089,97.195,99.3055,2156500
2015-01-08,104.4032,105.2705,102.7168,103.7287,3615220
2015-01-09,103.0445,103.825,102.5819,103.4396,1559723
2015-01-12,103.4878,104.5767,102.659,103.083,1250208
2015-01-13,103.7094,104.6249,101.4697,102.4374,1623296
2015-01-14,101.9555,104.5478,101.387,104.49,2006706
2015-01-15,105.3862,105.4054,103.7865,104.249,1056383
2015-01-16,104.2394,107.6701,104.2298,107.5448,2052184
2015-01-20,107.9302,107.9302,106.504,106.9666,1289900
2015-01-21,106.7546,107.2075,105.9162,106.5137,2221451
2015-01-22,107.1497,107.4484,105.6126,107.352,2453882
2015-01-23,106.9666,107.1689,106.1378,106.5907,861006
2015-01-26,106.3884,107.7953,105.9066,107.6604,921695
2015-01-27,106.6486,107.699,106.1764,107.246,707032
2015-01-28,107.4002,108.3061,106.186,106.2824,772902
2015-01-29,106.7642,107.805,106.1475,107.7182,1170066
2015-01-30,106.9088,107.4388,106.0029,106.4366,1058238
2015-02-02,106.4366,107.3135,105.4922,107.2557,844712
2015-02-03,107.6122,107.7375,106.2342,107.2749,1039336
2015-02-04,107.0822,108.9999,106.7257,107.9881,1355591
2015-02-05,108.4121,108.8554,107.9302,108.5663,810803
2015-02-06,108.2482,109.4586,107.4484,108.8072,1124877
2015-02-09,108.0362,108.5084,107.4388,107.7953,946783
2015-02-10,108.2964,109.607,108.1808,109.2794,870140
2015-02-11,109.3276,110.0407,107.9977,109.4046,826344
2015-02-12,109.4432,110.2912,108.7879,109.3854,967445
2015-02-13,109.183,109.3565,108.123,108.9228,683001
2015-02-17,108.9132,110.1948,108.4217,109.9828,731545
2015-02-18,109.5877,110.6391,109.1734,110.5129,640506
2015-02-19,110.4936,110.8309,110.0888,110.6092,583660
