date,open,high,low,close,volume
2015-01-02,70.1732,70.4783,68.7621,69.9062,2852390
2015-01-05,69.6964,69.9825,68.6953,68.7716,2924525
2015-01-06,68.8383,69.1721,65.5108,66.5787,4755862
2015-01-07,68.1423,68.5428,67.0363,67.6752,2896229
2015-01-08,68.6477,71.2601,68.4093,70.7452,3773010
2015-01-09,71.2601,71.2792,69.1339,70.6308,2865436
2015-01-12,70.6976,70.7929,68.2711,68.9528,2739044
2015-01-13,70.5545,71.3173,68.743,69.4485,3039598
2015-01-14,68.047,69.2865,67.3128,68.2663,3062237
2015-01-15,68.6667,69.563,67.5131,68.0041,2734652
2015-01-16,67.7514,70.5545,67.7228,70.4115,3080719
2015-01-20,71.1743,72.3661,71.0027,72.0419,3621439
2015-01-21,72.08,73.739,71.527,73.7009,3158254
2015-01-22,74.1776,75.7222,72.0514,75.6364,6670132
2015-01-23,74.7592,78.9257,74.6162,77.0951,7677459
2015-01-26,77.0951,78.6588,75.9415,78.6397,3533830
2015-01-27,77.4574,78.6588,77.3335,77.7244,3332553
2015-01-28,79.6122,80.0413,77.8484,78.02,4507284
2015-01-29,78.3918,80.6133,77.61,80.2701,4108249
2015-01-30,80.0889,80.9947,79.0878,79.1832,3505662
2015-02-02,79.2022,79.8315,76.4182,78.2011,4119001
2015-02-03,78.2011,79.1656,77.0838,78.564,2789965
2015-02-04,77.7618,79.1179,77.7141,78.5927,2420170
2015-02-05,78.8791,78.8791,76.8928,77.7332,3303044
2015-02-06,77.7141,79.2993,77.0552,77.7714,2928754
2015-02-09,76.9979,77.2271,73.7224,75.5177,5478454
2015-02-10,76.5109,78.077,75.3076,77.9624,3230211
2015-02-11,78.3635,79.0033,77.5422,78.65,2444915
2015-02-12,79.3375,79.4999,77.7905,78.7073,2251329
2015-02-13,79.2038,79.242,77.1984,78.1629,2637773
2015-02-17,78.0006,79.242,77.7809,79.0128,1866990
2015-02-18,79.137,79.2325,78.2202,78.8362,1651907
2015-02-19,78.755,79.5763,78.4876,79.3136,1745593
2015-02-20,79.0797,80.5981,79.0797,80.5026,2346006
2015-02-23,81.066,82.2119,80.3593,82.1308,3430063
2015-02-24,82.126,84.2937,81.0755,84.2078,3797214
2015-02-25,84.2746,84.924,83.3483,83.7781,3104877
2015-02-26,84.4656,85.6488,83.3865,84.5898,3980996
2015-02-27,84.9335,85.3537,83.3865,83.7972,2193527
2015-03-02,84.2651,87.1013,84.1505,87.0249,3456635
2015-03-03,86.8626,87.1108,84.6184,84.7426,4561110
2015-03-04,84.5325,86.1368,83.7017,86.0938,2872007
2015-03-05,86.471,87.7029,86.2132,87.426,3004539
2015-03-06,87.3496,87.6838,85.7739,86.662,3406889
2015-03-09,86.853,88.2652,86.5665,87.9655,2618306
2015-03-10,88.5815,88.8011,86.0795,87.0917,5344368
2015-03-11,87.9798,89.1449,87.6934,88.0467,40723116
2015-03-12,88.104,88.9635,87.5501,88.677,3997980
2015-03-13,88.4191,89.269,87.9894,88.7343,3659191
2015-03-16,89.0303,92.4968,89.0303,92.4204,4697585
2015-03-17,92.1625,93.0602,90.8543,92.9265,3404141
2015-03-18,92.4681,93.2989,91.0549,92.7451,3710833
2015-03-19,93.0602,95.2852,92.8692,95.0847,4131618
2015-03-20,95.629,97.5962,95.2566,97.453,4122700
2015-03-23,97.644,98.1406,97.0997,97.1761,3600442
2015-03-24,97.3479,98.0832,95.8391,96.8896,3644486
