date,open,high,low,close,volume
2015-01-02,90.1329,90.8468,88.6386,89.4572,1524254
2015-01-05,86.4401,89.1907,86.4401,88.0771,1825503
2015-01-06,88.2484,88.9432,87.1539,87.9534,1854966
2015-01-07,88.5815,89.9235,88.4673,89.619,1145421
2015-01-08,90.447,91.3702,90.447,91.1418,1368804
2015-01-09,90.8468,91.1704,89.8855,90.0378,760893
2015-01-12,90.3233,90.3233,89.3287,89.4857,772490
2015-01-13,90.0949,90.8848,88.829,89.6761,1126163
2015-01-14,88.7814,88.8718,87.2562,88.7529,1986337
2015-01-15,89.0479,89.0479,87.0302,87.0873,1491201
2015-01-16,86.6875,88.0866,86.4115,87.9914,1435498
2015-01-20,88.5625,88.7243,86.3258,87.2491,1894362
2015-01-21,86.9445,87.9724,86.7351,87.6678,1156584
2015-01-22,87.9914,88.8671,87.3253,88.8671,1277401
2015-01-23,88.7433,89.1907,88.1342,88.2294,961450
2015-01-26,87.9629,88.2103,87.3538,88.0866,1082771
2015-01-27,87.3062,88.4959,86.935,87.8772,1510792
2015-01-28,88.6291,90.4661,88.039,88.277,1944134
2015-01-29,88.1247,89.2002,87.0397,89.1621,1300821
2015-01-30,88.1437,88.6577,86.5543,86.659,1303037
2015-02-02,86.9445,87.3442,85.4978,87.3347,1248592
2015-02-03,87.7059,88.315,86.9921,88.2675,1045803
2015-02-04,88.572,89.0003,87.8011,88.0105,1557673
2015-02-05,88.6006,89.3953,88.4294,89.1526,1259996
2015-02-06,89.086,89.4572,87.9629,88.2389,1182323
2015-02-09,87.6298,88.4293,87.0492,87.468,793946
2015-02-10,88.039,88.6862,87.6964,88.572,662551
2015-02-11,88.4388,89.0098,87.8963,88.4768,838762
2015-02-12,88.9432,89.1812,88.4102,88.8671,967084
2015-02-13,88.7529,89.9902,88.5911,89.9521,1175110
2015-02-17,90.2757,90.6088,89.3905,90.4851,1340528
2015-02-18,90.5232,90.7135,89.895,90.6564,1008244
2015-02-19,90.5136,90.7896,89.7617,89.9997,839061
2015-02-20,89.4286,90.7325,89.2287,90.6564,1115702
2015-02-23,90.6564,91.1799,90.4661,90.9895,875880
2015-02-24,90.7897,91.0847,90.0949,90.3043,1093826
2015-02-25,90.1139,90.3328,89.7332,90.0092,990426
2015-02-26,90.0473,90.2852,89.4857,89.8474,998217
2015-02-27,89.895,90.6564,89.7998,90.1805,1340035
2015-03-02,90.2567,91.5416,90.2567,91.3798,1081359
2015-03-03,91.0942,91.2084,87.7868,87.9819,2993627
2015-03-04,87.8963,88.5435,87.1348,87.9153,1587800
2015-03-05,87.8963,88.6386,87.8867,88.5054,1543540
2015-03-06,88.039,88.039,85.4797,85.7262,2129944
2015-03-09,86.0118,86.7541,86.0022,86.6304,1021798
2015-03-10,85.7738,86.4781,85.5073,85.9451,1538862
2015-03-11,86.0022,86.5733,85.7691,86.0974,1107286
2015-03-12,86.1831,87.6012,86.0974,87.5156,892088
2015-03-13,87.4013,87.9439,86.3354,86.8874,1254442
2015-03-16,87.4109,88.553,87.4109,88.3055,1177059
2015-03-17,87.6488,87.9819,87.2681,87.4584,1036303
2015-03-18,87.1539,89.3049,86.8969,88.6196,1382206
2015-03-19,88.534,89.2383,88.3622,89.0574,945515
2015-03-20,89.5048,89.8474,88.9337,89.1336,2101931
2015-03-23,88.9813,89.638,88.6577,89.1907,918810
2015-03-24,89.0574,89.7808,88.8576,88.9147,961115
2015-03-25,89.0098,89.6951,87.763,87.8392,1190188
2015-03-26,87.468,87.7773,86.8874,87.1158,1049713
2015-03-27,87.1874,88.5918,87.1874,88.4294,1229695
2015-03-30,88.9644,89.6714,88.6683,89.3752,1016592
2015-03-31,88.7256,89.4039,88.1333,88.1333,1199545
2015-04-01,88.3339,88.4485,86.5856,87.111,2006155
2015-04-02,86.1939,87.7702,86.1652,87.0537,1043153
2015-04-06,86.4136,88.0664,86.3276,87.6651,1152611
2015-04-07,87.8371,88.267,87.3785,87.3976,1038870
2015-04-08,87.5887,88.2192,87.3307,87.9135,1093376
2015-04-09,87.6938,88.9549,87.5218,88.9167,1380151
2015-04-10,88.7734,89.8625,88.7734,89.5568,1102708
2015-04-13,89.1937,89.7765,88.802,88.9453,1334885
2015-04-14,88.7543,89.1173,87.7989,88.4103,1478116
2015-04-15,88.4485,88.8211,87.99,88.1715,752132
2015-04-16,88.0377,88.2708,87.6842,88.0664,877039
2015-04-17,87.4549,88.6492,87.1015,88.3721,2042376
2015-04-20,88.8498,89.3657,88.5919,89.1842,1345311
2015-04-21,89.8052,90.579,89.5472,90.4835,1959478
2015-04-22,90.7605,92.9579,90.7605,92.1458,2463636
2015-04-23,92.1458,93.0725,91.907,92.8433,1620228
2015-04-24,92.4516,92.8242,92.1649,92.5758,1284524
2015-04-27,93.0917,93.0917,90.2829,90.4071,1841082
2015-04-28,90.3975,91.1522,89.3752,90.8561,1619112
2015-04-29,90.7128,90.7128,89.0218,90.1109,1259970
2015-04-30,89.423,89.7956,87.6795,88.1237,1923519
2015-05-01,88.6683,89.2797,88.353,89.2319,1275719
2015-05-04,89.4708,89.9484,89.2893,89.4517,1044971
2015-05-05,89.0504,89.3752,88.3434,88.7543,1028689
2015-05-06,89.2033,89.2988,88.0186,88.4294,984850
2015-05-07,88.2479,89.1173,88.2479,88.4772,801515
2015-05-08,89.5854,90.5695,89.3179,90.3402,1258527
2015-05-11,90.3688,90.6459,89.9962,90.1491,741510
2015-05-12,89.7861,89.9389,88.888,88.9262,1098264
2015-05-13,88.9931,89.6236,88.5727,88.7638,821373
2015-05-14,89.4803,91.0854,89.1746,91.0089,1319703
2015-05-15,90.9803,91.4102,90.7605,91.2478,1260927
2015-05-18,91.4197,92.5662,91.2678,92.2796,995748
2015-05-19,92.1745,92.6331,91.8688,92.3656,1025994
2015-05-20,92.356,93.2159,92.356,92.4611,983818
2015-05-21,92.3369,92.5184,91.8401,92.0981,744305
2015-05-22,91.8974,92.3942,91.5153,92.1363,1268718
2015-05-26,92.0694,92.0694,91.0472,91.2669,1164382
2015-05-27,91.7159,92.4707,91.287,92.2796,889481
2015-05-28,92.1554,92.614,91.5535,91.9452,862552
2015-05-29,91.8592,92.7859,91.458,91.8401,1330016
2015-06-01,92.356,92.5184,91.1809,91.8306,831414
2015-06-02,91.4771,92.3235,90.8933,91.821,776937
2015-06-03,92.1458,92.1458,91.3433,91.7541,604992
2015-06-04,91.4962,91.6873,90.5027,90.7988,968026
2015-06-05,90.7988,91.1236,90.2733,90.9516,782969
2015-06-08,90.7223,91.2019,90.3784,90.3975,610650
2015-06-09,90.2542,90.5121,89.7574,89.958,757143
2015-06-10,90.2829,91.821,89.958,91.7255,1194562
2015-06-11,91.8306,92.528,91.5917,92.2318,798484
2015-06-12,91.821,92.1793,91.2669,91.4006,629206
2015-06-15,90.8083,90.923,89.7096,90.4453,1187631
2015-06-16,90.3497,91.0567,90.1587,90.9134,720320
2015-06-17,91.0854,91.2334,90.3497,90.8561,686146
2015-06-18,91.1522,92.9866,91.114,92.8146,1081593
2015-06-19,92.7286,92.9579,92.3942,92.5566,1135424
2015-06-22,93.149,93.5311,92.891,93.0534,604707
2015-06-23,92.9579,93.3076,92.1745,92.3082,957861
2015-06-24,92.1076,92.9292,91.8401,92.4038,1393475
2015-06-25,92.5662,92.8394,91.993,92.1458,859998
2015-06-26,92.5054,93.9052,92.3424,93.33,1492833
2015-06-29,92.678,93.3156,91.3548,91.4315,1153382
2015-06-30,92.3328,92.5054,91.4219,91.6329,980763
2015-07-01,92.2657,92.4574,91.5082,92.1123,782998
2015-07-02,92.2849,92.3232,91.3261,91.815,641291
2015-07-06,91.0097,92.0931,90.8658,92.0356,852177
2015-07-07,92.4095,92.9944,91.1343,92.9081,1012483
2015-07-08,92.4766,92.5437,91.4699,91.4891,907020
2015-07-09,92.7643,92.8793,91.7,91.7192,949314
2015-07-10,92.7163,92.9177,91.863,92.3999,1193616
2015-07-13,93.004,93.6655,92.9177,93.608,745516
2015-07-14,93.7422,94.4374,93.4354,94.2121,783873
2015-07-15,94.2312,94.2504,93.4258,93.493,1064742
2015-07-16,94.2408,94.2792,93.3875,94.1258,1110168
2015-07-17,93.8381,94.1929,93.445,94.1641,867349
2015-07-20,94.2216,94.5956,94.0107,94.3271,625411
2015-07-21,94.4038,95.1517,94.1737,94.9791,1220892
2015-07-22,94.8161,95.1229,94.0299,94.4805,1349092
2015-07-23,94.8832,94.8832,93.9676,94.2025,1612813
2015-07-24,95.9283,99.706,95.7174,96.8104,3012425
2015-07-27,96.6858,97.0214,95.5831,95.8996,2173004
2015-07-28,96.4269,97.5583,95.8612,97.424,1113880
2015-07-29,97.8555,98.0855,97.1939,97.7788,1222804
2015-07-30,97.6254,97.8172,97.1364,97.6446,674129
2015-07-31,97.7213,98.565,97.4049,98.0569,1242849
2015-08-03,98.0952,98.4691,96.7721,97.3282,971741
2015-08-04,97.6158,98.2007,97.0981,97.2994,913601
2015-08-05,98.0281,99.102,97.798,98.8718,1440650
2015-08-06,98.728,99.217,96.8679,97.146,1159620
2015-08-07,97.146,97.2227,95.7653,96.7816,1092794
2015-08-10,97.5295,98.2774,97.3473,97.9802,722514
2015-08-11,97.1268,97.75,96.6474,97.6254,1115750
2015-08-12,97.6829,99.054,96.7912,98.8814,1959858
2015-08-13,98.6609,99.5622,97.9993,98.728,1533854
2015-08-14,98.5842,99.4663,98.4308,99.3704,831299
2015-08-17,99.0157,99.9457,98.3733,99.8498,786715
2015-08-18,99.6485,100.1471,99.4567,100.0128,685358
2015-08-19,99.6005,100.9963,98.7088,100.2238,1163591
2015-08-20,99.2841,99.6389,98.2774,98.2966,1027028
2015-08-21,97.424,97.5918,95.2476,95.2763,1783590
2015-08-24,91.2206,93.5697,88.0278,91.6712,2560771
2015-08-25,94.2983,94.3751,91.4603,91.5562,2489429
2015-08-26,93.7614,94.7682,91.7192,94.7394,2182670
2015-08-27,95.9763,97.1268,95.3626,96.9159,2286657
2015-08-28,96.1968,96.6474,95.0079,95.5831,2478309
2015-08-31,95.3818,96.216,94.3463,94.586,1811975
2015-09-01,92.515,93.1286,90.9329,91.5274,2028667
2015-09-02,92.678,93.0327,91.6712,92.9081,1430662
2015-09-03,93.4834,93.8381,92.4191,92.6971,1661418
2015-09-04,91.7671,92.2944,90.6261,91.4124,1444039
2015-09-08,92.8506,94.5668,92.8506,94.5093,1893087
2015-09-09,95.3434,95.4202,93.0807,93.282,1611863
2015-09-10,93.2628,94.8161,92.956,94.2504,1735708
2015-09-11,93.7998,95.6503,93.5601,95.5448,2049109
2015-09-14,95.5448,95.8324,94.3079,94.6915,1159026
2015-09-15,94.9024,95.9954,94.6915,95.7366,945832
2015-09-16,95.564,96.6954,95.4585,96.4557,1218320
2015-09-17,96.4461,98.0089,96.053,96.4173,1683876
