date,open,high,low,close,volume
2015-01-02,36.1516,36.3783,35.9793,36.1334,2560511
2015-01-05,35.8886,36.0156,35.6257,35.7798,3087352
2015-01-06,35.9612,36.1606,35.4262,35.5894,3045645
2015-01-07,35.8523,36.6593,35.8161,36.6321,3817482
2015-01-08,36.7228,37.3122,36.7228,37.2941,8426175
2015-01-09,37.0855,37.5842,37.0402,37.4029,4395543
2015-01-12,37.4029,37.5207,36.9586,37.0583,2643339
2015-01-13,37.2306,37.5434,36.6503,36.9495,3112444
2015-01-14,36.7863,36.8118,36.2876,36.5143,4778118
2015-01-15,36.6503,36.8135,36.4327,36.5052,3347884
2015-01-16,36.4055,36.7591,36.2468,36.2876,6454141
2015-01-20,36.3511,36.5732,35.7435,35.8705,6785675
2015-01-21,35.8161,36.6321,35.7707,36.5324,5527906
2015-01-22,36.7772,37.0946,36.5143,36.8951,4210558
2015-01-23,36.9404,37.3938,36.7863,37.158,3496988
2015-01-26,37.0855,37.2397,36.9132,37.1127,2546191
2015-01-27,36.7863,37.0674,36.5415,36.9042,2969789
2015-01-28,37.0674,37.2578,36.2785,36.3601,3069092
2015-01-29,36.206,36.3783,35.9521,36.1788,4653313
2015-01-30,35.9612,36.0972,35.4897,35.5169,5121942
2015-02-02,35.671,35.8705,34.4741,34.8459,9498573
2015-02-03,35.1179,35.943,35.0816,35.8523,7456886
2015-02-04,35.8161,36.4961,35.8161,36.1425,4728672
2015-02-05,36.1878,36.4689,36.0609,36.1516,3796456
2015-02-06,36.0518,36.5505,35.9974,36.4961,5046363
2015-02-09,36.5777,36.7047,36.2649,36.3601,4322031
2015-02-10,36.478,36.6503,36.0382,36.0881,5000998
2015-02-11,36.0972,36.2332,35.0635,35.2902,11706743
2015-02-12,35.2992,36.07,35.2902,35.9612,6681610
2015-02-13,35.8433,35.9385,35.7073,35.8523,2609238
2015-02-17,35.6891,35.9566,35.4443,35.8795,2842938
2015-02-18,35.9158,36.3873,35.8161,36.1878,5376670
2015-02-19,36.1062,36.1289,34.9003,34.9637,9784397
