date,open,high,low,close,volume
2015-01-02,98.5818,99.7375,96.7883,97.5371,641735
2015-01-05,95.9377,96.7236,95.2073,95.9192,1421261
2015-01-06,95.9377,95.9562,93.1641,94.4585,1080897
2015-01-07,95.91,97.2968,95.2351,97.2413,939981
2015-01-08,97.7036,98.4802,96.4554,97.2043,1001033
2015-01-09,97.0287,97.0379,94.967,95.6419,1086810
2015-01-12,85.7032,86.6571,80.8957,82.2918,9995384
2015-01-13,82.9389,83.5584,79.0467,79.7863,5277526
2015-01-14,79.0282,80.2578,78.7231,80.1931,2400527
2015-01-15,80.378,80.868,79.1761,79.2316,1821313
2015-01-16,79.324,81.7925,79.2316,81.7278,2211609
2015-01-20,83.1146,83.7063,82.1901,83.1516,2359261
2015-01-21,83.0868,84.2037,82.717,83.1885,1262551
2015-01-22,83.4382,84.2536,83.0776,84.1038,1029487
2015-01-23,84.261,84.5014,83.6046,84.2055,1141855
2015-01-26,83.8819,84.5661,83.6693,84.1778,1183726
2015-01-27,83.3919,83.9929,83.1608,83.4751,1184119
2015-01-28,83.8357,84.0299,81.9127,81.9959,1074644
2015-01-29,82.0052,82.6338,80.9974,82.3842,948557
2015-01-30,81.5521,81.7001,79.6199,80.1006,1859848
2015-02-02,80.0821,80.6923,79.1381,80.5444,1541918
2015-02-03,81.6169,83.2718,81.432,83.207,1064780
2015-02-04,82.6338,82.7263,81.5244,81.7463,1190484
2015-02-05,81.9774,82.717,81.2101,81.3395,1440507
2015-02-06,81.7093,81.9404,79.6846,80.0821,1493971
2015-02-09,80.0821,81.1823,80.0821,81.0159,927560
2015-02-10,81.3857,82.9759,81.1731,82.9019,1061824
2015-02-11,82.9204,83.1285,80.9235,81.0714,1197022
2015-02-12,81.3487,81.8203,80.7293,81.4504,1181476
2015-02-13,81.8942,83.3735,81.7001,82.3287,1087298
2015-02-17,82.5229,83.0776,82.1716,82.6061,738672
2015-02-18,82.1716,83.1978,82.0976,82.5599,875051
2015-02-19,82.5969,82.8372,81.737,81.9589,1122915
2015-02-20,81.9127,83.6046,81.8295,83.3919,1604673
2015-02-23,83.4104,83.808,82.4397,83.1978,857970
2015-02-24,83.3365,83.5768,82.2455,82.7633,618371
2015-02-25,82.8372,83.1978,82.7078,82.9852,1038037
2015-02-26,83.0776,83.3365,81.8249,82.0052,1264963
2015-02-27,82.1531,82.5784,81.358,81.5614,1026878
2015-03-02,81.774,83.9744,81.3672,83.7618,1045280
2015-03-03,82.791,83.2348,81.5891,82.227,1208275
2015-03-04,82.6616,82.6616,79.9065,80.2393,2700494
2015-03-05,80.4335,80.8125,79.9712,80.415,1985673
2015-03-06,80.2208,80.8865,78.492,78.7416,3302778
2015-03-09,78.8525,79.0448,77.401,78.039,3736325
2015-03-10,77.4288,78.039,76.5042,77.1422,2020319
2015-03-11,78.3071,78.9542,77.0127,77.8448,2024040
2015-03-12,78.492,80.4335,78.4642,79.7863,1813412
2015-03-13,79.7031,79.887,78.3625,79.3148,1283424
2015-03-16,79.7123,80.304,78.9357,79.2963,1814657
2015-03-17,79.2131,79.3148,78.1961,78.5659,1996548
2015-03-18,78.6495,79.4389,77.888,79.3553,2896008
2015-03-19,79.3553,80.493,78.6774,80.2097,2552192
2015-03-20,77.238,79.7082,76.8479,77.0151,7938724
2015-03-23,76.7922,82.2342,76.7458,81.482,5050401
2015-03-24,81.482,82.355,81.0362,81.7699,1901167
2015-03-25,81.7978,83.0608,81.6726,81.7792,2297991
2015-03-26,81.5656,81.6585,79.9961,80.1354,1643011
