date,open,high,low,close,volume
2015-01-02,52.8075,52.8947,51.9938,52.4685,617927
2015-01-05,52.0616,52.1827,51.3786,51.5288,503556
2015-01-06,51.4513,51.5094,50.7247,50.8313,669221
2015-01-07,50.2112,51.4028,50.2064,50.8894,1254423
2015-01-08,51.3641,52.0228,51.2285,51.6741,1059553
2015-01-09,51.7322,51.8833,50.9088,50.9281,537784
2015-01-12,51.0444,51.0831,50.3469,50.4728,347670
2015-01-13,50.8119,51.2285,49.8431,50.1919,673140
2015-01-14,49.5525,50.0853,49.2619,49.7075,591934
2015-01-15,49.7075,50.1241,49.3103,49.4072,505552
2015-01-16,49.3006,50.25,49.1747,50.2306,614486
2015-01-20,50.5309,50.6133,49.5137,49.7559,650156
2015-01-21,49.5912,50.1337,49.349,49.8237,468291
2015-01-22,50.095,50.8313,49.6397,50.6375,640068
2015-01-23,50.6181,50.7247,50.1241,50.1434,494191
2015-01-26,50.1047,50.3081,49.8334,50.2112,711185
2015-01-27,49.3394,50.0175,49.3394,49.7172,480284
2015-01-28,49.9109,50.1531,48.7484,48.7484,653988
2015-01-29,48.8259,49.3394,48.6322,49.2619,667071
2015-01-30,48.8162,49.4459,48.419,48.5062,827968
2015-02-02,48.4868,49.5815,48.2737,49.4653,901827
2015-02-03,49.3684,49.7462,48.2156,49.3975,1225852
2015-02-04,49.32,50.5697,49.2328,50.3081,1398465
2015-02-05,49.9109,50.9281,49.8722,50.8797,685037
2015-02-06,51.0638,51.616,50.9088,51.3544,737521
2015-02-09,50.996,51.4028,50.9184,51.2769,717997
2015-02-10,51.7032,51.7032,50.996,51.3544,654153
2015-02-11,51.5385,51.955,51.3641,51.771,470743
2015-02-12,51.8485,52.1682,51.5966,52.0228,521648
2015-02-13,51.9453,52.4297,51.8582,52.3619,521785
2015-02-17,52.2166,52.6332,52.0132,52.2941,773889
2015-02-18,52.1197,52.1682,51.955,52.0519,644195
2015-02-19,51.9647,52.3038,51.6935,52.1488,490621
2015-02-20,51.926,52.5557,51.3253,52.4879,901476
2015-02-23,52.4394,52.4394,51.8097,52.0519,613540
2015-02-24,51.9938,52.6622,51.9938,52.1778,932313
2015-02-25,52.1003,52.1585,51.7225,51.9357,487908
2015-02-26,51.8775,52.0519,51.6353,51.8,594539
2015-02-27,51.7807,52.0132,51.5288,51.5869,688393
2015-03-02,51.5869,52.3232,51.4706,52.3038,673559
2015-03-03,52.0228,52.3813,51.8388,52.2747,1005123
2015-03-04,51.9744,52.2495,51.461,51.7322,548856
2015-03-05,51.8678,52.0325,51.5481,51.9841,451682
2015-03-06,51.8678,52.8269,51.8678,52.11,700669
2015-03-09,52.081,52.4879,51.926,52.391,677188
2015-03-10,51.7903,52.1197,51.5481,51.6547,992905
2015-03-11,51.7516,51.955,51.5869,51.7419,556116
2015-03-12,52.0325,52.5169,51.8,52.4879,393237
2015-03-13,52.3232,52.4491,51.461,51.8969,624880
2015-03-16,52.0519,52.6332,51.926,52.6235,518959
2015-03-17,52.4782,52.8657,52.265,52.7397,523703
2015-03-18,52.4782,53.6504,52.4782,53.5147,1190671
2015-03-19,53.5535,53.7085,52.7785,53.1854,829709
2015-03-20,53.2919,54.0185,53.2919,53.9216,1366735
2015-03-23,53.9991,54.4351,53.7763,53.786,686251
2015-03-24,53.6698,53.8538,53.4663,53.6407,677527
2015-03-25,53.6407,53.7085,52.9141,52.9625,827585
2015-03-26,52.885,53.2726,52.6816,53.0497,895170
2015-03-27,52.9819,53.1176,52.6622,52.9625,638198
2015-03-30,53.1466,53.5341,53.0207,53.4954,559984
2015-03-31,53.1798,53.4323,52.869,53.3351,717945
2015-04-01,53.2672,53.4517,52.9661,53.3934,577675
2015-04-02,53.3643,53.7042,53.3012,53.5197,525358
2015-04-06,52.9758,53.7624,52.937,53.5779,520566
2015-04-07,53.5779,53.7139,53.3157,53.4711,641281
2015-04-08,53.5876,53.9955,53.5197,53.9761,450862
2015-04-09,53.9761,54.3646,53.8498,54.316,500609
2015-04-10,54.2772,54.3646,54.0344,54.248,533331
2015-04-13,54.1412,54.418,54.1023,54.2189,311212
2015-04-14,54.248,54.6433,54.1121,54.384,619895
2015-04-15,54.452,55.0832,54.3548,54.7821,548020
2015-04-16,54.685,55.1997,54.5588,55.0444,656448
2015-04-17,54.6073,54.9375,54.3548,54.8598,808767
2015-04-20,55.1803,55.2386,54.8598,55.0249,521863
