date,open,high,low,close,volume
2015-01-02,97.5694,97.9824,96.3301,96.7891,1272314
2015-01-05,96.4862,96.6055,95.3479,95.6233,1728836
2015-01-06,95.5315,96.1006,94.586,94.7696,2352040
2015-01-07,95.8161,96.4311,95.146,96.3852,1558424
2015-01-08,97.1609,98.4414,96.9911,98.3863,1942587
2015-01-09,98.4598,98.6112,97.1287,97.1471,1416644
2015-01-12,97.3582,97.5547,96.3393,96.5688,1547179
2015-01-13,97.2664,98.4322,96.0731,96.7157,2091775
2015-01-14,95.1368,96.376,94.5401,95.2561,2142927
2015-01-15,95.504,96.0364,94.9257,95.66,1547910
2015-01-16,95.8711,97.9365,95.6233,97.7989,2137319
2015-01-20,98.1385,98.469,96.3209,97.1563,2226808
2015-01-21,96.8166,97.3399,96.0088,96.3944,2517782
2015-01-22,97.7621,99.3594,96.6055,99.2951,3486830
2015-01-23,99.1299,99.2676,98.1569,98.2211,1885308
2015-01-26,98.1385,98.4414,97.6795,98.2854,1806378
2015-01-27,97.9182,97.9733,97.0369,97.3491,1681857
2015-01-28,97.7621,98.2027,95.9354,95.9997,2262711
2015-01-29,96.2842,96.4495,95.0174,95.9629,2797371
2015-01-30,94.3198,95.5682,93.8884,94.3841,3675425
2015-02-02,94.4942,96.0364,93.5763,95.9997,2060555
2015-02-03,96.22,97.3858,95.9446,97.3399,2478450
2015-02-04,96.9911,98.5516,96.9177,97.9733,2308157
2015-02-05,97.7254,98.6617,97.7254,98.5975,1705660
2015-02-06,98.5975,99.2033,98.1385,98.4047,2482478
2015-02-09,96.7799,97.45,96.5321,97.092,2206901
2015-02-10,97.4317,98.0059,97.294,97.7805,2065462
2015-02-11,97.8356,99.0656,97.5877,98.9279,1865653
2015-02-12,98.9371,99.2859,98.7341,99.1758,2151893
2015-02-13,98.9188,99.5062,98.8545,99.1391,2232455
2015-02-17,99.5338,99.6256,99.0932,99.1391,3307936
2015-02-18,98.6617,99.2309,98.5516,99.1207,1829849
2015-02-19,99.0473,99.4053,98.7976,99.1299,2156522
2015-02-20,98.7627,99.2125,97.9916,98.9738,2177377
2015-02-23,98.7902,98.7994,97.9824,98.2945,1817261
2015-02-24,98.1844,99.0656,98.1844,98.726,1530292
2015-02-25,98.726,98.9096,98.1064,98.1385,2028867
2015-02-26,98.0467,99.1757,97.9916,98.9738,2673100
