date,open,high,low,close,volume
2015-01-02,33.2716,33.5826,32.9121,33.2036,1006884
2015-01-05,33.0384,33.1063,32.6108,32.9121,910594
2015-01-06,32.9898,33.0384,32.125,32.3971,769179
2015-01-07,32.6108,32.7372,32.2999,32.7372,660603
2015-01-08,32.9412,33.6992,32.9412,33.5437,855227
2015-01-09,33.5631,33.5631,32.8343,32.8926,667226
2015-01-12,32.9607,32.9898,32.4068,32.708,781282
2015-01-13,32.9218,33.4951,32.5039,32.9121,746979
2015-01-14,32.5817,32.776,32.2416,32.6789,686781
2015-01-15,32.7469,32.776,32.2124,32.329,431773
2015-01-16,32.2513,33.1841,32.1833,33.1647,731860
2015-01-20,33.2133,33.2862,32.6691,33.223,633085
2015-01-21,33.0384,33.2619,32.7129,33.1356,648721
2015-01-22,33.2522,33.738,32.8732,33.6506,444651
2015-01-23,33.6409,33.9858,33.5242,33.8741,561202
2015-01-26,33.7769,33.9324,33.3688,33.8741,652283
2015-01-27,33.4659,33.6311,33.0481,33.2522,832588
2015-01-28,34.2628,35.8467,33.6506,35.3899,2799456
2015-01-29,35.5357,35.9487,35.0887,35.662,1573482
2015-01-30,35.5843,35.5843,34.3308,34.3696,1402841
2015-02-02,34.5348,34.8555,33.9421,34.8361,1010289
2015-02-03,35.0207,35.5649,34.9964,35.5357,744628
2015-02-04,35.4288,35.6523,34.8944,35.1179,1162265
2015-02-05,35.215,35.5843,35.0596,35.5649,537507
2015-02-06,35.5746,35.7106,35.3219,35.4482,534851
2015-02-09,35.3025,35.3997,34.8555,35.0498,950762
2015-02-10,35.215,35.5114,34.943,35.458,497985
2015-02-11,35.4385,35.6037,35.1567,35.4871,608764
2015-02-12,35.6232,35.9244,35.5649,35.8758,492019
2015-02-13,35.8272,36.0604,35.7203,36.041,539592
2015-02-17,35.9535,36.2013,35.6717,36.0799,481285
2015-02-18,35.973,36.2936,35.8661,36.2062,461535
2015-02-19,36.0896,36.4686,35.8758,36.4588,580854
2015-02-20,36.4394,37.0224,36.1479,36.9544,597838
2015-02-23,36.9738,37.0321,36.5852,36.8281,714846
2015-02-24,36.7503,37.1099,36.3908,36.9641,745865
2015-02-25,37.003,37.3237,36.8378,37.2459,653068
2015-02-26,37.2848,37.3625,36.9253,37.3139,765663
2015-02-27,37.2556,37.518,36.9933,37.1196,1223957
2015-03-02,37.1002,37.6735,37.003,37.6346,880813
2015-03-03,37.4889,37.5472,37.0127,37.0904,713142
2015-03-04,36.9155,37.1682,36.6435,37.0419,762834
2015-03-05,37.1585,37.1585,36.7989,37.003,742547
2015-03-06,36.8378,36.9933,36.3034,36.4297,726424
2015-03-09,36.3908,36.867,36.2742,36.7601,563493
2015-03-10,36.4297,36.6046,36.0896,36.0993,856493
2015-03-11,36.2548,36.556,36.1868,36.3519,750686
2015-03-12,36.5463,37.1682,36.5463,36.9641,994331
2015-03-13,36.9641,37.1925,36.5171,36.8281,795876
2015-03-16,37.0419,37.3528,36.8864,37.2945,676569
2015-03-17,37.3043,37.5917,37.0412,37.4699,605503
2015-03-18,37.4212,38.2396,37.1094,38.0155,871569
2015-03-19,37.9278,38.0447,37.5284,37.7232,676992
2015-03-20,37.8401,37.8986,37.4796,37.5089,1171797
2015-03-23,37.5186,38.1226,37.4416,37.9278,684589
2015-03-24,37.8401,37.9278,37.6258,37.7622,544944
2015-03-25,37.7817,37.7914,37.0802,37.0802,686018
2015-03-26,36.9828,37.1386,36.7489,36.9048,888741
2015-03-27,36.8269,37.0997,36.7295,36.7782,693629
2015-03-30,36.8853,37.4431,36.8853,37.4017,846849
2015-03-31,37.1874,37.4894,37.1386,37.1679,660443
2015-04-01,37.0802,37.1289,36.632,36.9828,854346
2015-04-02,37.0217,37.314,37.012,37.1581,439332
2015-04-06,36.8951,37.353,36.7879,37.1679,705311
2015-04-07,37.1679,37.3725,36.9925,37.1971,614980
