date,open,high,low,close,volume
2015-01-02,48.7433,49.2166,48.2437,48.6705,4026075
2015-01-05,48.4066,48.6796,47.8697,47.9106,5599324
2015-01-06,48.1336,48.2519,47.0688,47.1234,5468393
2015-01-07,47.3327,48.1154,47.1325,47.9698,4577116
2015-01-08,48.352,49.0983,48.2428,48.7524,6295206
2015-01-09,48.6705,49.1256,48.3156,48.7797,3913678
2015-01-12,48.9072,48.9163,48.1427,48.3429,4282486
2015-01-13,48.7524,49.3986,47.7423,48.0426,5013889
2015-01-14,47.8242,48.5158,47.5421,47.9698,5191399
2015-01-15,48.1518,48.4521,47.5056,47.674,5796431
2015-01-16,47.7605,48.6159,47.4328,48.4931,4988703
2015-01-20,48.6796,49.2757,48.4066,48.9663,7213420
2015-01-21,48.5067,49.5715,48.4157,49.3986,5468947
2015-01-22,49.435,50.0356,48.5431,50.0265,5484241
2015-01-23,50.0174,50.3178,49.6352,50.1084,4856477
2015-01-26,49.7808,50.3269,49.4705,50.0993,6136967
2015-01-27,49.6261,50.4725,49.3349,49.8991,8532688
2015-01-28,50.1372,50.596,49.3131,49.3909,7393716
2015-01-29,49.194,50.238,48.9101,50.064,5044895
2015-01-30,49.4321,49.9999,48.8552,48.9468,12515792
2015-02-02,48.9925,49.2306,47.9943,48.9834,8385568
2015-02-03,49.1848,49.89,49.0933,49.8533,6017439
2015-02-04,49.4596,50.2746,49.4596,50.0136,7963038
2015-02-05,50.0365,50.6775,49.89,50.65,5059986
2015-02-06,50.6317,50.7782,49.6977,49.7801,7715910
2015-02-09,49.7343,50.1464,49.4779,49.6977,5146442
2015-02-10,50.1372,51.1583,49.9724,51.1171,5654434
2015-02-11,50.9522,51.4925,50.824,51.2819,4956119
2015-02-12,51.7306,52.6555,51.5566,52.6006,7069485
2015-02-13,52.7471,53.0951,52.39,53.0814,5330856
2015-02-17,52.8112,53.5347,52.7013,53.2966,7962558
2015-02-18,52.9303,53.2416,52.7471,53.0585,3276471
2015-02-19,53.0127,53.2874,52.8753,53.15,2422256
2015-02-20,53.15,53.6079,52.738,53.5896,3630299
2015-02-23,53.5347,53.5621,53.0311,53.3607,3053362
2015-02-24,53.1958,54.0383,53.1134,53.9925,4426348
