date,open,high,low,close,volume
2015-01-02,27.1781,27.5639,27.0203,27.5025,1072102
2015-01-05,27.4061,27.8795,27.3272,27.7918,1784660
2015-01-06,27.897,28.1644,27.7042,27.9496,2513872
2015-01-07,28.0373,28.1864,27.748,28.1425,3551482
2015-01-08,28.1867,28.2398,27.9392,28.1956,2929245
2015-01-09,28.2309,28.5049,28.116,28.2928,2110822
2015-01-12,28.3812,28.6552,28.337,28.6198,1383480
2015-01-13,28.6552,28.6552,28.2663,28.3635,2107113
2015-01-14,28.1956,28.7215,28.1779,28.6375,1961293
2015-01-15,28.8143,28.9822,28.6728,28.9468,2023558
2015-01-16,28.938,29.3181,28.8054,29.2739,1308841
2015-01-20,29.4418,29.5479,28.8761,28.9999,1610654
2015-01-21,28.9822,29.0176,28.8054,28.9468,1571772
2015-01-22,29.0087,29.7247,28.9645,29.7247,1501237
2015-01-23,29.7512,29.8749,29.6451,29.7512,1629805
2015-01-26,29.7423,30.1445,29.6451,30.0959,3210310
2015-01-27,29.9898,30.3964,29.9898,30.3876,2001273
2015-01-28,30.4936,30.8295,30.255,30.2727,2855104
2015-01-29,30.2727,30.3699,29.8307,30.0252,1557884
2015-01-30,29.9368,30.0782,29.3976,29.3976,2192066
2015-02-02,29.3888,29.4948,28.717,29.4153,2076197
2015-02-03,29.4241,29.5125,28.611,29.5037,2366213
2015-02-04,29.4153,29.5655,28.9999,29.3181,1846696
2015-02-05,29.4595,29.5921,29.2739,29.5921,1597156
2015-02-06,29.5302,29.5479,28.4696,28.6375,1951619
2015-02-09,28.6375,28.8319,28.4077,28.4165,1746951
2015-02-10,28.4254,28.5933,28.1779,28.5579,1620709
2015-02-11,28.5314,28.7789,28.2663,28.443,1474956
2015-02-12,28.5138,28.9292,28.4077,28.8761,1688814
2015-02-13,28.885,28.885,28.4121,28.6817,1294402
2015-02-17,28.6817,28.9203,28.5579,28.6552,1843012
2015-02-18,28.6817,28.9248,28.4519,28.8761,2233213
2015-02-19,28.7877,28.7966,28.0453,28.1337,1567639
2015-02-20,28.0807,28.4872,28.0099,28.4519,1382562
2015-02-23,28.5049,28.7833,28.5049,28.7789,1489798
2015-02-24,28.7259,28.7259,27.7978,27.9481,1787264
2015-02-25,27.9834,28.5182,27.9569,28.1072,1714216
2015-02-26,28.116,28.1425,27.7625,27.8332,1445951
2015-02-27,27.8597,28.2751,27.7625,28.2309,2075287
2015-03-02,28.2132,28.7524,28.116,28.5845,1657176
2015-03-03,28.4696,28.5845,28.2574,28.4784,1616054
2015-03-04,28.4872,28.5845,28.3414,28.4607,1726182
2015-03-05,28.3458,28.7701,28.3458,28.5049,2052361
2015-03-06,27.9304,27.9657,27.7536,27.9304,2832741
2015-03-09,28.0365,28.2398,27.9039,28.1867,2289281
2015-03-10,28.116,28.2574,27.9834,28.0718,3910218
2015-03-11,28.0807,28.2972,27.9834,28.2398,1736753
2015-03-12,28.3812,28.9999,28.337,28.9468,2967016
2015-03-13,29.0176,29.2208,28.8143,29.1678,2525524
2015-03-16,29.486,29.8926,29.3181,29.7777,2074534
2015-03-17,29.707,29.8396,29.539,29.7423,1851559
2015-03-18,29.7335,30.4494,29.6186,30.3522,2102682
2015-03-19,30.2285,30.5997,30.1931,30.2727,1997325
2015-03-20,30.4936,31.1212,30.3699,31.077,3960531
2015-03-23,31.077,31.3731,30.9532,31.13,1339687
2015-03-24,31.0681,31.1654,30.7058,30.7146,1593670
2015-03-25,30.7941,30.8383,29.9633,29.9987,1180991
2015-03-26,29.981,30.1489,29.7423,29.8484,1121159
2015-03-27,29.8661,30.1843,29.7865,29.9721,2101487
2015-03-30,30.1312,30.4318,29.8793,30.4052,1646112
2015-03-31,30.3522,30.6174,30.0694,30.0782,1956933
2015-04-01,30.0782,30.1754,29.6274,29.813,1449221
2015-04-02,29.7954,30.1975,29.707,30.034,1313483
2015-04-06,30.1401,30.3699,30.087,30.2019,1874549
2015-04-07,30.1666,30.2108,29.7158,29.7335,1205126
2015-04-08,29.7512,30.0075,29.6981,29.9456,1159012
2015-04-09,29.8307,29.9545,28.9557,29.0883,1161736
2015-04-10,29.2562,29.4948,29.0971,29.159,1178121
2015-04-13,29.1148,29.265,28.9468,28.9468,1409763
2015-04-14,29.0783,29.4795,29.0427,29.1675,1285172
2015-04-15,29.212,29.3903,28.8376,28.8466,1151085
2015-04-16,28.7931,29.1852,28.6861,29.0516,861764
2015-04-17,28.9268,29.1318,28.7574,29.0427,1089371
2015-04-20,29.1051,29.1853,28.8911,29.0248,969937
2015-04-21,29.1586,29.4082,29.1095,29.1764,796573
2015-04-22,29.2031,29.7736,29.1764,29.5864,1251414
2015-04-23,29.5597,29.7826,29.4706,29.7202,1064293
2015-04-24,29.6934,30.05,29.6043,29.8717,1580861
2015-04-27,29.9787,30.1302,29.8227,29.9965,2112002
2015-04-28,30.1391,30.3174,29.9074,30.1748,2073358
2015-04-29,29.836,30.1302,29.4438,29.8004,2494875
2015-04-30,29.7291,29.836,28.9669,29.212,3450859
2015-05-01,29.2566,29.7915,29.196,29.3725,1777135
2015-05-04,29.6667,30.0232,29.524,29.5954,1494066
2015-05-05,29.533,29.5864,28.6371,28.7752,1658468
2015-05-06,28.8109,29.0159,28.6326,28.7663,1834582
2015-05-07,28.8733,29.533,28.8109,29.426,1565056
2015-05-08,29.845,30.2728,29.8004,29.9074,1516455
2015-05-11,29.8182,29.9787,29.1764,29.2566,1576054
2015-05-12,29.0694,29.5597,28.802,29.4616,867928
2015-05-13,29.5864,29.845,28.9446,29.007,1267039
2015-05-14,29.1318,29.533,29.114,29.4973,1201622
2015-05-15,29.6043,29.8672,29.4706,29.738,1064003
2015-05-18,29.6043,29.7112,29.426,29.4973,1022896
2015-05-19,29.3814,29.5508,29.2388,29.3547,1915163
2015-05-20,29.2388,29.6667,29.2388,29.426,1277358
2015-05-21,29.524,29.533,29.1441,29.2566,912477
2015-05-22,29.1764,29.4973,29.0605,29.3279,732903
2015-05-26,29.3101,29.3101,28.9669,29.0694,1049874
2015-05-27,29.1675,29.6132,29.0159,29.5864,1127224
2015-05-28,29.5864,29.631,29.3636,29.524,1502351
2015-05-29,29.4171,29.4527,28.9535,29.0248,4267545
2015-06-01,29.0872,29.5954,28.9268,29.524,2151047
2015-06-02,29.3903,29.5062,28.9268,28.9803,1510304
2015-06-03,28.9535,29.1496,28.2493,28.3206,1674642
2015-06-04,28.3117,28.4722,28.0978,28.276,1047925
2015-06-05,27.9195,28.4632,27.6788,28.2671,1852741
2015-06-08,28.3117,28.441,28.0978,28.285,862492
2015-06-09,28.2315,28.4454,28.1245,28.1869,1100330
2015-06-10,28.1602,28.6326,28.0175,28.4543,1371696
2015-06-11,28.6326,28.8822,28.5702,28.8822,1664008
2015-06-12,29.0427,29.1853,28.8376,29.0159,2297262
2015-06-15,28.9357,29.1621,28.744,29.0516,2233976
2015-06-16,29.0872,29.4483,28.9803,29.2299,2392990
2015-06-17,29.2834,29.4884,28.9179,29.426,1476404
2015-06-18,29.4527,30.0767,29.4527,29.9876,1505765
2015-06-19,29.9163,29.9698,29.6132,29.6578,2294866
2015-06-22,29.7291,29.9386,29.3368,29.3547,2692445
2015-06-23,29.2834,29.3992,29.0159,29.0694,2562910
2015-06-24,29.114,29.4215,28.9803,29.0159,2198674
2015-06-25,29.0694,29.2299,28.8555,28.8555,1657207
2015-06-26,28.8555,29.2388,28.7396,29.0516,2831180
2015-06-29,29.0338,29.3903,28.6594,28.6772,2103017
2015-06-30,28.9803,29.0872,28.537,28.5524,2747747
2015-07-01,28.6415,29.1229,28.5078,29.1229,2473042
2015-07-02,29.319,29.6578,29.1942,29.2923,1898298
2015-07-06,29.1675,29.4349,29.1051,29.3814,1591928
2015-07-07,29.5062,29.8851,29.4884,29.7558,3817277
2015-07-08,29.7176,29.8884,29.6187,29.7536,2125074
2015-07-09,29.8704,29.8974,29.5423,29.6547,1767833
2015-07-10,29.7805,30.0232,29.6187,29.6906,1739509
2015-07-13,29.9333,30.167,29.5828,29.6816,1299268
2015-07-14,29.7715,30.2884,29.4929,29.9064,921661
2015-07-15,30.0322,30.0457,29.7356,29.9603,1393638
2015-07-16,30.0772,30.5536,30.0142,30.1221,869728
2015-07-17,30.1311,30.1311,29.8389,29.9693,710355
2015-07-20,29.8704,30.176,29.8434,30.176,1377569
2015-07-21,30.239,30.4547,30.0142,30.0322,1142949
2015-07-22,30.0232,30.3288,30.0232,30.2569,1112852
2015-07-23,30.23,30.239,29.8075,30.0322,1673911
2015-07-24,30.1581,30.221,29.9693,30.0861,1163149
2015-07-27,30.1311,30.4097,30.0142,30.0592,1960713
2015-07-28,30.0861,30.3918,29.7266,30.0052,2400385
2015-07-29,30.0052,30.0052,29.6727,29.9963,1287342
2015-07-30,29.9154,30.0592,29.7895,30.0412,1171320
2015-07-31,30.4277,30.6165,30.2839,30.3918,2038041
2015-08-03,30.4637,30.7603,30.3558,30.7603,1589396
2015-08-04,30.7244,31.03,30.5715,30.6525,1481237
2015-08-05,30.6704,30.7154,30.239,30.5176,1406340
2015-08-06,30.4906,30.6974,30.1401,30.6704,1512291
2015-08-07,30.6255,30.9266,30.3558,30.8772,1398919
2015-08-10,30.9671,31.003,30.6345,30.8772,1216673
2015-08-11,30.8232,31.2727,30.5715,31.2637,1731512
2015-08-12,31.1558,31.3536,30.994,31.3446,1758113
2015-08-13,31.2457,31.4075,30.9491,31.3086,1341491
2015-08-14,31.2277,31.2907,30.6974,31.2907,1595536
2015-08-17,31.2997,31.857,31.1199,31.857,1767331
2015-08-18,31.7581,32.0727,31.7131,32.0637,2791238
2015-08-19,31.5064,31.7671,31.4165,31.5334,3240684
2015-08-20,31.2727,31.5918,30.8772,31.3626,2305357
2015-08-21,31.1199,31.2547,30.4547,30.4547,2139805
2015-08-24,26.9939,30.1041,26.9939,28.8367,3430335
2015-08-25,29.1872,29.3185,27.9558,27.9917,2690514
2015-08-26,28.4412,28.8277,28.0726,28.7558,2592589
2015-08-27,28.9356,29.5918,28.6749,29.4569,2005627
2015-08-28,29.394,29.5918,29.1243,29.4929,1352450
2015-08-31,29.4479,29.6547,29.0344,29.0344,3637696
2015-09-01,28.4322,28.8816,28.1176,28.3333,1744643
2015-09-02,28.567,28.7378,28.2344,28.549,1315202
2015-09-03,28.6389,28.8547,28.5041,28.567,898585
2015-09-04,28.3243,28.3513,27.794,28.0097,948000
2015-09-08,28.54,28.54,28.0906,28.4142,1195356
2015-09-09,28.7288,29.6547,28.0007,28.0367,1137340
2015-09-10,27.9917,28.54,27.9108,28.1985,1089382
2015-09-11,28.1805,29.0254,28.0816,29.0165,1356890
2015-09-14,29.0974,29.1243,28.7827,28.9176,1032519
2015-09-15,29.0075,29.6187,28.7827,29.5198,1887216
2015-09-16,29.4749,29.9693,28.7917,29.8884,1254408
2015-09-17,29.8884,30.6614,29.6637,30.1401,1948891
2015-09-18,29.7356,30.8772,29.7176,30.2929,2649713
2015-09-21,30.3738,30.7603,30.3288,30.5985,1762771
2015-09-22,30.4367,30.5895,30.221,30.3019,1593340
2015-09-23,30.3918,30.6435,30.221,30.4817,1298042
2015-09-24,30.4367,30.6435,29.9154,30.221,1693366
2015-09-25,30.2749,30.6974,30.1221,30.3738,1687691
2015-09-28,30.3019,30.3648,29.7311,30.0861,1637369
2015-09-29,30.1491,30.9131,29.9873,30.7423,2264400
2015-09-30,31.0839,31.1379,30.6974,30.994,2706663
2015-10-01,31.1019,31.2637,30.7918,31.1738,1661905
2015-10-02,30.8952,31.5154,30.8862,31.4884,1828187
2015-10-05,31.7851,31.8345,31.4255,31.7221,1455703
2015-10-06,31.6682,31.9019,31.3311,31.4345,1332853
2015-10-07,31.5862,31.8309,31.3869,31.8128,2357265
2015-10-08,31.8128,32.0982,31.0154,31.9306,2258900
2015-10-09,31.9034,32.0937,31.7086,32.0755,1513327
2015-10-12,32.1299,32.5105,32.0484,32.4652,1549016
2015-10-13,32.3383,32.4652,31.9849,32.0937,1045574
2015-10-14,32.1661,32.1843,31.6044,31.6678,1162481
2015-10-15,31.7947,32.592,31.7947,32.2296,1341130
2015-10-16,32.3021,32.5286,32.1752,32.4198,1538090
2015-10-19,32.3836,32.9907,32.3021,32.9907,1016657
2015-10-20,32.9544,33.5253,32.4923,32.6011,1691180
2015-10-21,32.746,32.9635,32.3474,32.6464,1280498
2015-10-22,32.7823,32.9001,32.293,32.4108,2771541
2015-10-23,32.4289,33.7065,32.0574,32.2296,1817365
2015-10-26,32.3021,32.3745,31.9577,32.3111,1815082
2015-10-27,32.6554,32.9816,31.8853,32.0846,2059765
2015-10-28,32.2296,33.0451,31.3688,31.9668,2099860
2015-10-29,31.849,32.0212,31.55,31.8671,1357963
2015-10-30,31.9215,32.0393,31.0879,31.2238,2186116
2015-11-02,31.4413,32.0846,31.0335,32.0665,1671901
2015-11-03,31.9759,31.9759,31.4141,31.6587,1436981
2015-11-04,31.7312,31.8037,31.5092,31.704,997184
2015-11-05,31.6497,31.9849,31.4866,31.9577,862342
2015-11-06,31.6769,32.1661,30.6258,30.8795,1376292
2015-11-09,30.4899,30.7436,30.064,30.5986,1492213
2015-11-10,30.4718,31.0607,30.4174,30.9792,1495776
2015-11-11,30.9792,31.4594,30.9157,31.3235,1136321
2015-11-12,31.251,31.4956,31.0517,31.251,1590205
2015-11-13,31.3054,31.4775,30.7617,31.2872,1378078
2015-11-16,31.3054,31.8037,30.8886,31.7675,1270071
2015-11-17,31.6678,32.2341,31.6406,32.1661,1331090
