date,open,high,low,close,volume
2015-01-02,95.7168,96.773,94.3107,95.0378,3070081
2015-01-05,94.5852,94.7266,93.1188,93.4724,4684055
2015-01-06,94.1419,94.4343,92.85,93.2838,3468294
2015-01-07,93.3215,94.5852,93.2838,94.2362,3225790
2015-01-08,95.7828,99.0009,94.9812,98.7345,5346136
2015-01-09,98.4704,98.6685,97.037,97.8103,3397568
2015-01-12,97.914,98.0744,96.1034,96.707,3051543
2015-01-13,98.0178,99.5832,96.0374,97.1973,3856451
2015-01-14,95.8205,97.584,95.415,97.4425,4725606
2015-01-15,97.6594,98.6307,97.2539,98.5081,5888889
2015-01-16,98.5459,99.9604,97.7443,99.7435,6045454
2015-01-20,100.149,100.3187,98.5411,99.6021,6526776
2015-01-21,100.4508,103.2138,99.6021,103.0912,8293677
2015-01-22,103.4967,107.6177,103.1007,107.3631,8055198
2015-01-23,107.1651,107.8063,105.6185,105.6185,5255967
2015-01-26,105.6185,105.6185,104.4492,105.2508,4203420
2015-01-27,104.6284,104.9113,103.657,103.7419,4718269
2015-01-28,104.27,104.5623,102.2708,102.2802,6633549
2015-01-29,101.9879,103.3364,100.6582,103.1572,4912269
2015-01-30,102.4311,103.1572,100.0924,100.1962,5397460
2015-02-02,100.6488,101.224,99.0834,101.1769,4657062
2015-02-03,101.2335,101.8464,100.4508,101.6673,4192622
2015-02-04,100.7431,102.5443,100.6677,101.771,4768858
2015-02-05,102.1482,103.5533,102.1482,102.6197,3297724
2015-02-06,102.4028,103.1667,101.0826,101.4692,3661416
2015-02-09,100.8374,101.1297,100.2244,100.4225,3909714
2015-02-10,101.1486,103.2233,101.026,102.7612,5437375
2015-02-11,102.5348,103.7891,102.2048,103.591,3798477
2015-02-12,104.3926,104.468,102.6292,103.5816,3378023
2015-02-13,103.4402,103.5815,102.4877,103.2044,3727640
2015-02-17,103.1101,103.5062,102.3368,103.5062,3430589
2015-02-18,102.7895,103.94,102.7423,103.5156,2958730
2015-02-19,103.2987,104.072,103.2044,103.7608,2674820
2015-02-20,103.6948,106.3918,103.2044,106.2032,4647067
2015-02-23,106.5521,109.8527,106.4201,109.7678,7059978
2015-02-24,109.6358,109.9376,108.7494,108.8531,3582753
2015-02-25,109.2209,109.2209,107.2405,107.5517,3845920
2015-02-26,107.8912,108.0893,106.9105,107.1839,3126809
2015-02-27,107.2877,107.7403,106.9482,107.1557,4016356
2015-03-02,107.2877,108.3061,107.2688,107.8818,2952183
2015-03-03,107.4574,107.9667,105.958,106.4295,3163749
2015-03-04,105.8543,107.4716,105.2885,107.3348,3180942
2015-03-05,107.5706,109.1266,107.5706,108.2496,2941428
2015-03-06,108.5985,108.5985,106.1928,106.4484,3196855
2015-03-09,106.5333,108.4099,106.439,108.3533,3942031
2015-03-10,107.7498,107.8912,106.0523,106.0523,3957926
2015-03-11,106.8235,107.4764,106.5775,106.6532,2593672
2015-03-12,107.2209,108.8578,107.0601,108.6969,3258580
2015-03-13,108.2806,109.1795,107.4196,109.047,3066826
2015-03-16,109.7567,112.3019,109.5863,112.141,4692162
2015-03-17,111.7247,111.772,110.6237,111.2705,3303518
2015-03-18,111.1097,114.0334,110.4474,113.5035,5533519
2015-03-19,113.5414,114.5822,113.3711,114.2605,4032485
