date,open,high,low,close,volume
2015-01-02,32.2461,32.3195,31.6494,31.8881,1209039
2015-01-05,31.5668,31.7045,30.7407,30.8784,1373871
2015-01-06,30.8233,30.8968,30.1349,30.2175,2418843
2015-01-07,30.4562,30.9518,30.1532,30.5021,1669500
2015-01-08,30.7866,31.1629,30.6581,30.9977,2104251
2015-01-09,30.9794,30.9794,30.2909,30.3001,1755622
2015-01-12,30.3001,30.4745,29.8044,29.9697,1915528
2015-01-13,30.1808,30.4103,29.373,29.6209,1557999
2015-01-14,29.1619,29.4281,28.9233,29.2721,1504498
2015-01-15,29.3088,29.5199,28.758,28.7764,1649185
2015-01-16,28.7305,29.1711,28.7305,29.1435,1110193
2015-01-20,29.2629,29.5382,28.7121,28.9049,1539295
2015-01-21,28.8223,29.1344,28.5653,29.0609,1220871
2015-01-22,29.1803,29.9054,28.8774,29.8687,1680261
2015-01-23,29.7769,29.8871,29.4465,29.4832,1339488
2015-01-26,29.3822,29.7402,29.1894,29.63,1197593
2015-01-27,29.2078,29.318,28.9783,29.2262,1682735
2015-01-28,29.4338,29.5353,28.6264,28.6495,2298248
2015-01-29,28.6772,29.1293,28.5664,29.0001,1774712
2015-01-30,28.6126,29.1523,28.345,28.6587,2911294
2015-02-02,28.7233,29.526,28.6218,29.4891,1968403
2015-02-03,29.8582,30.3934,29.7659,30.3564,2070073
2015-02-04,30.4026,30.7163,29.7752,29.8951,3879333
2015-02-05,29.849,30.4303,29.7659,30.3472,2631167
2015-02-06,30.624,31.4406,30.5963,30.9654,2205190
2015-02-09,30.6978,30.9654,30.5594,30.8455,1439828
2015-02-10,31.1038,31.1592,30.7348,30.9654,1420231
2015-02-11,30.9562,31.5006,30.8824,31.3899,2072527
2015-02-12,31.4452,31.6482,31.2976,31.6021,1822407
2015-02-13,31.639,32.1326,31.5006,32.0727,1772826
2015-02-17,31.8789,32.1926,31.6805,31.8512,2188759
2015-02-18,31.7589,31.8235,31.2238,31.2699,1422462
2015-02-19,31.15,31.4914,30.9839,31.3899,1100527
2015-02-20,31.1961,31.4452,30.6517,31.3622,1538049
2015-02-23,31.2515,31.2976,30.7901,30.9654,1023988
2015-02-24,30.9654,31.5928,30.8455,31.4452,1772309
2015-02-25,31.4544,31.5375,31.1131,31.2607,1154069
2015-02-26,31.1592,31.316,30.7901,31.0116,1725912
2015-02-27,31.0208,31.3714,30.947,30.9654,1229357
2015-03-02,31.0116,31.4083,30.8178,31.2422,1602674
2015-03-03,30.9562,31.2422,30.8178,31.0854,1517111
2015-03-04,30.9101,31.0208,30.6794,30.8824,1291241
2015-03-05,30.9931,31.1592,30.8178,30.9562,1163963
2015-03-06,31.0485,31.9804,31.0485,31.3345,2785421
2015-03-09,31.2884,31.3253,31.0023,31.0669,1849150
2015-03-10,30.6702,30.7624,30.2365,30.2365,1873284
2015-03-11,30.3564,30.4764,30.1811,30.4026,2097844
2015-03-12,30.5318,30.9101,30.4856,30.8916,1333575
2015-03-13,30.9101,31.316,30.3472,30.6978,2994108
2015-03-16,30.8362,31.3622,30.6978,31.2976,1896099
2015-03-17,31.1038,31.3714,31.0023,31.1961,1086809
2015-03-18,31.1223,31.7313,30.9193,31.1592,1843330
2015-03-19,31.1223,31.1592,30.5133,30.8455,933804
2015-03-20,31.0577,31.5467,30.9285,31.3899,1908856
2015-03-23,31.4268,31.8051,31.2976,31.2976,1098360
2015-03-24,31.2699,31.3622,30.7901,30.7901,1469181
2015-03-25,30.827,30.9285,30.6609,30.6978,1552793
2015-03-26,30.6425,30.8547,30.5133,30.7717,1272927
2015-03-27,30.7071,30.7717,30.4395,30.624,993604
2015-03-30,30.7717,31.1684,30.7624,31.0392,1106494
2015-03-31,30.9101,31.3114,30.8362,31.1223,1651360
2015-04-01,31.0761,31.0761,30.7348,30.7993,798700
2015-04-02,30.8086,31.15,30.6794,31.0669,1010792
2015-04-06,30.6886,31.1315,30.5963,30.947,1115135
