date,open,high,low,close,volume
2015-01-02,109.9816,110.7794,107.8999,108.7711,3084363
2015-01-05,108.4959,108.4959,104.9745,105.0937,4608447
2015-01-06,104.8002,104.8094,102.3977,102.9203,6323925
2015-01-07,103.7731,104.3601,102.5717,103.4889,4008375
2015-01-08,104.5435,107.3726,104.0941,107.368,4851031
2015-01-09,107.368,107.7256,105.323,105.4422,3002874
2015-01-12,104.8461,104.9561,103.4338,104.516,3273000
2015-01-13,105.4605,106.5151,101.5447,102.5535,5471847
2015-01-14,101.343,102.691,100.4534,102.1225,6226626
2015-01-15,102.8469,103.5072,101.2146,101.6089,5656110
2015-01-16,101.7098,102.7461,100.7561,102.6177,8549567
2015-01-20,103.1954,104.9286,102.8469,104.4976,5448752
2015-01-21,105.0478,106.4418,104.3417,104.9103,4783608
2015-01-22,107.5239,110.8711,107.3129,109.8899,6430746
2015-01-23,110.9628,112.0541,109.4405,110.1283,5124092
2015-01-26,110.5134,111.7606,109.7248,111.2654,3550765
2015-01-27,109.2754,111.5314,108.9086,110.8344,3841791
2015-01-28,111.5864,111.9624,109.2112,109.2663,4577675
2015-01-29,109.4864,110.3539,107.8219,110.1283,3479456
2015-01-30,109.3121,109.9724,107.4138,107.4872,4419094
2015-02-02,108.3309,109.1837,107.0195,109.1379,3259594
2015-02-03,110.2108,111.8798,109.8623,111.6873,3602274
2015-02-04,110.651,111.2929,109.9724,110.4493,3088143
2015-02-05,111.3205,112.8978,110.9903,112.6593,3365058
2015-02-06,112.7969,113.0904,111.2654,111.7056,2973696
2015-02-09,111.4488,111.889,109.0829,109.5414,4231179
2015-02-10,109.844,111.0545,108.9086,110.8436,4028859
2015-02-11,110.9628,112.5218,110.585,112.0082,3384644
2015-02-12,112.5401,113.6589,112.2375,113.558,4134314
2015-02-13,113.4755,114.1908,112.1091,112.4301,3369853
2015-02-17,111.8432,112.3888,111.4855,112.3751,3524123
2015-02-18,112.2467,113.3655,111.8983,113.1179,2099942
2015-02-19,112.6593,113.5489,111.7331,111.8432,2600707
2015-02-20,111.6047,113.4388,110.4493,113.4021,3731768
2015-02-23,113.5214,113.6222,112.4301,113.4847,2743419
2015-02-24,112.7327,113.127,111.9991,112.5126,3720302
2015-02-25,112.8443,113.4245,112.2547,112.7706,2495264
2015-02-26,112.5955,112.987,111.1769,111.2414,3108099
2015-02-27,111.6007,111.831,110.7163,110.7808,2775550
2015-03-02,110.7808,111.4624,110.5874,111.2322,3066342
2015-03-03,110.6242,110.8914,108.5885,109.1227,3825978
2015-03-04,108.3765,108.9569,107.4093,108.8924,3923843
2015-03-05,108.9937,109.1964,108.091,109.0029,3345666
2015-03-06,108.1186,108.9292,106.9395,107.2711,3326062
2015-03-09,107.2066,108.5746,107.0408,107.9344,2605119
2015-03-10,106.7829,107.6304,105.7051,105.7051,3990203
2015-03-11,105.8709,106.6447,105.2722,105.2814,4271506
