date,open,high,low,close,volume
2015-01-02,105.2274,105.6844,104.0028,105.136,3143341
2015-01-05,104.6882,105.5199,103.1254,103.3813,4765317
2015-01-06,102.6045,103.3082,100.7401,101.9191,5772347
2015-01-07,102.6776,103.5824,102.376,103.0249,3102192
2015-01-08,104.1124,105.0995,103.5458,104.7796,3899898
2015-01-09,105.0355,105.2183,103.6189,104.2038,3825098
2015-01-12,104.606,104.871,103.2929,104.5968,5016167
2015-01-13,105.5838,106.7765,103.7286,104.4963,4196389
2015-01-14,103.427,104.3408,102.9244,103.7469,3508767
2015-01-15,104.3409,104.8161,103.3265,103.7469,3170579
2015-01-16,103.4453,106.3241,103.4179,106.1505,5773180
2015-01-20,106.5389,107.5944,105.922,107.4117,5466007
2015-01-21,107.2563,109.0247,107.1101,108.7825,7177606
2015-01-22,109.4497,110.2859,108.5358,110.0803,6562889
2015-01-23,110.0071,110.5372,109.605,109.6507,4298407
2015-01-26,109.5136,109.5959,108.0971,108.5266,5693891
2015-01-27,106.4703,109.998,105.1086,108.9013,7328147
2015-01-28,109.1024,109.1024,106.7354,106.8542,4341133
2015-01-29,106.8176,106.9547,104.6151,106.4246,6328643
2015-01-30,105.1177,106.2236,104.7613,104.8984,4623061
2015-02-02,105.2548,106.6531,104.2312,106.5434,3516946
2015-02-03,107.4573,109.2303,106.3972,108.6546,4491456
2015-02-04,108.5266,108.7551,107.3385,107.6493,3208352
2015-02-05,108.0788,109.998,107.7681,109.7695,4687311
2015-02-06,109.669,110.6012,109.1024,109.4954,2829579
2015-02-09,109.1572,109.6096,108.6728,109.0475,2560723
2015-02-10,109.5685,109.8701,108.6847,109.1207,2559971
2015-02-11,108.8909,109.3963,108.3948,109.0563,2707605
2015-02-12,109.4974,110.2232,109.1758,109.8833,2896974
2015-02-13,109.6536,111.528,109.6536,111.4085,3802107
2015-02-17,111.1788,112.0058,110.7837,111.4729,3241224
2015-02-18,111.4729,112.7041,111.188,112.0885,3475166
2015-02-19,111.7118,113.0165,111.7118,112.9338,3407031
2015-02-20,113.0073,114.3488,112.0977,114.0364,4062205
2015-02-23,113.5954,114.0823,113.0808,113.6781,2737285
2015-02-24,113.4024,114.0639,113.0073,113.7424,2455405
2015-02-25,113.7975,114.2385,112.9706,113.3565,2872904
