date,open,high,low,close,volume
2015-01-02,64.2118,65.0334,63.9949,64.6117,8394080
2015-01-05,64.2387,64.2411,63.1111,63.1854,12751200
2015-01-06,63.3366,63.578,62.1334,62.7783,11070492
2015-01-07,63.0075,63.6657,62.7661,63.6194,9346840
2015-01-08,64.168,64.636,64.029,64.4727,10443656
2015-01-09,64.2679,64.4771,63.3318,63.517,10523504
2015-01-12,63.6413,63.8754,63.1781,63.3927,6425516
2015-01-13,63.8803,64.8043,63.1708,63.578,10283952
2015-01-14,62.5686,63.0465,61.9543,62.3053,12225292
2015-01-15,62.5857,62.771,61.5252,61.7129,10584704
2015-01-16,61.413,62.1932,61.3155,62.1566,11137144
2015-01-20,62.4662,63.3122,61.9884,62.6174,14933704
2015-01-21,62.4516,63.2976,62.0469,62.7247,9784004
2015-01-22,62.2785,63.144,61.7714,62.8027,11565944
2015-01-23,63.027,63.5463,62.9441,62.9709,6166604
2015-01-26,62.6418,62.7271,61.8762,62.5418,8552504
2015-01-27,61.8738,61.8738,60.6036,61.1912,11027748
2015-01-28,61.5666,61.6836,60.0477,60.0624,11430860
2015-01-29,60.3476,60.6572,59.7723,60.4622,15668440
2015-01-30,63.4853,64.2699,62.1469,62.1469,22151504
2015-02-02,62.4882,62.4882,60.8767,62.2517,13667040
2015-02-03,62.5857,63.4975,62.1054,63.3366,15075516
2015-02-04,63.2878,65.0286,63.1684,64.58,22170932
2015-02-05,65.1553,66.2646,64.8262,66.2646,16565612
2015-02-06,66.2524,66.4231,64.8603,65.1968,11241908
2015-02-09,65.1943,65.4211,64.6751,64.7189,7834464
2015-02-10,65.0334,65.3065,64.272,64.4971,9396996
2015-02-11,64.6313,64.9532,64.4532,64.8776,8795424
2015-02-12,65.2752,66.0776,65.1386,66.0776,11641792
2015-02-13,66.5264,66.5264,65.5581,65.7654,8477504
2015-02-17,66.2167,66.3411,65.824,66.0679,6811388
2015-02-18,66.0679,66.0996,65.4044,65.641,6429320
2015-02-19,65.8728,65.8728,65.3679,65.6362,5654804
2015-02-20,65.6215,66.5874,65.1386,66.5874,9034712
2015-02-23,66.5777,66.6655,65.9167,66.5899,6654672
2015-02-24,66.785,66.785,66.1411,66.4581,9049176
2015-02-25,66.163,66.8874,66.163,66.5899,6842864
2015-02-26,66.6362,66.9533,66.3484,66.7703,13459712
2015-02-27,66.7021,66.8777,66.1752,66.1752,7965388
2015-03-02,67.4923,67.8777,66.9386,67.8777,11653460
2015-03-03,67.9655,67.9655,66.7094,67.1484,8807124
2015-03-04,67.1118,67.1118,66.4045,66.7703,8021344
2015-03-05,67.0752,67.1094,66.7703,66.863,6756076
2015-03-06,66.685,66.9484,65.6728,65.6947,11590692
2015-03-09,65.9825,66.3947,65.6313,66.202,8903900
2015-03-10,65.7679,65.8215,64.6849,64.6849,11125520
2015-03-11,64.7898,65.2166,64.1605,64.5752,12105228
2015-03-12,64.9776,65.8557,64.9532,65.7532,9530808
2015-03-13,65.5727,65.5727,64.5142,64.6435,12583356
2015-03-16,65.0971,65.8679,65.0337,65.6167,9849580
2015-03-17,65.3825,65.4557,64.4264,64.5142,14290636
2015-03-18,64.4142,65.363,63.1751,65.2874,50657992
2015-03-19,65.202,65.5532,64.1483,65.1825,15407485
2015-03-20,65.6118,66.0508,65.1532,65.7679,15372026
2015-03-23,66.3728,66.5484,65.4362,65.4459,8128038
2015-03-24,65.4654,66.0411,65.2118,65.4654,6534817
2015-03-25,65.4654,65.7874,64.1288,64.1288,13054254
2015-03-26,63.6605,64.6849,63.4361,63.9922,9487207
2015-03-27,63.9239,64.2069,63.5629,63.9434,6521105
2015-03-30,64.4117,64.7044,63.9044,64.0605,11237071
2015-03-31,63.8751,64.5922,63.7971,63.8166,7400471
2015-04-01,63.8556,63.9234,62.88,63.5922,7632997
2015-04-02,63.4068,64.0215,63.2312,63.6995,5083011
2015-04-06,63.1532,64.041,62.8414,63.6117,8351174
2015-04-07,63.7873,64.5776,63.719,64.1971,6660777
2015-04-08,64.2849,65.2118,64.1971,64.88,6604178
2015-04-09,64.9483,65.1922,64.1581,64.8215,5408457
2015-04-10,65.0654,65.0654,64.3239,64.7239,4628805
2015-04-13,64.6069,65.1727,63.9142,64.0117,5059770
2015-04-14,63.9239,64.3337,63.2995,63.9337,5621787
2015-04-15,64.002,64.3044,63.7093,64.08,5347147
2015-04-16,63.9337,64.402,63.7581,64.0507,4121327
2015-04-17,63.5141,63.9044,62.7824,62.9483,11212862
2015-04-20,63.4166,63.6215,63.0068,63.1434,5948900
2015-04-21,63.4459,64.2264,63.4068,63.7581,9619744
2015-04-22,64.2166,68.2753,64.1873,66.3533,20912410
2015-04-23,66.5386,66.558,65.8752,66.0703,7193418
2015-04-24,66.4703,66.5191,65.6703,65.8362,6219940
2015-04-27,66.724,66.9386,65.2997,65.4654,7122407
2015-04-28,65.6703,65.8557,64.7922,65.1435,6297484
2015-04-29,65.2313,66.7923,65.1532,65.6996,9812432
2015-04-30,65.5435,65.8557,63.8264,64.441,11780629
2015-05-01,63.6312,65.0361,63.5629,64.1678,10142798
2015-05-04,64.441,64.5288,63.8751,63.9825,7426362
2015-05-05,64.1678,64.7727,64.002,64.3532,8099808
2015-05-06,64.5386,65.0264,63.641,64.0703,7084552
2015-05-07,63.9825,65.1532,63.941,64.9581,6660325
2015-05-08,65.5045,68.4508,65.3776,67.7777,18359045
2015-05-11,67.6118,68.0021,67.1143,67.3387,10998489
2015-05-12,66.8801,67.3191,66.3142,67.0167,7438183
2015-05-13,67.1926,67.3197,66.6453,67.0949,5130304
