date,open,high,low,close,volume
2015-01-02,68.3369,68.7514,67.3816,67.9494,1976737
2015-01-05,67.4087,67.6633,65.8857,66.0569,3142907
2015-01-06,66.2011,66.2011,64.597,64.7502,3568991
2015-01-07,65.2008,65.2368,63.867,64.2545,3639112
2015-01-08,64.633,65.4351,64.4978,65.1467,3710929
2015-01-09,65.3089,65.4982,64.1734,64.588,2906662
2015-01-12,64.7322,65.5703,64.1554,65.2458,2981735
2015-01-13,65.8676,66.8409,65.0205,65.4531,3169162
2015-01-14,64.2365,64.2365,60.5957,61.1004,9048200
2015-01-15,61.3707,61.5059,59.2349,59.9108,8232368
2015-01-16,60.2082,61.7222,60.1541,61.3437,5164188
2015-01-20,61.1725,61.1725,58.3878,59.8027,5429378
2015-01-21,59.8027,60.8751,59.6445,60.812,3366266
2015-01-22,61.1725,61.9385,60.848,61.8303,2811154
2015-01-23,61.551,61.9475,61.0058,61.1004,2173152
2015-01-26,60.812,61.1004,60.3615,60.812,2311828
2015-01-27,59.9919,60.848,59.5684,60.5056,2718168
2015-01-28,60.6318,61.0914,59.6134,59.9288,4338859
2015-01-29,60.2352,61.0733,58.523,60.821,5472614
2015-01-30,59.9288,59.9739,57.8561,58.0544,5959176
2015-02-02,58.0994,58.7032,56.8738,58.6942,5749516
2015-02-03,58.9285,60.3163,58.7933,60.1722,5533931
2015-02-04,60.2713,60.5416,59.0727,59.5503,4305214
2015-02-05,59.7035,59.8297,58.9375,59.7035,4114161
2015-02-06,59.6405,60.9832,59.4512,60.4425,5345322
2015-02-09,60.1631,61.7853,60.1631,61.4969,3667462
2015-02-10,62.0286,62.1548,60.6453,61.4068,2523168
2015-02-11,61.0012,61.1364,60.0865,60.5191,3625611
2015-02-12,60.83,61.3167,59.7846,61.0193,2569261
2015-02-13,61.2265,62.335,61.0643,62.1638,3087071
2015-02-17,62.0646,62.6955,61.578,62.4882,2215012
2015-02-18,62.4882,62.6684,61.2896,61.3617,2702695
2015-02-19,61.4248,62.6369,61.0733,62.4567,2845171
2015-02-20,62.4522,62.8757,61.6321,62.8216,2313667
2015-02-23,62.5783,63.4074,62.299,63.3714,4257712
2015-02-24,63.4164,63.9842,63.083,63.9211,4536303
2015-02-25,63.84,64.2275,62.9289,63.3984,3806588
2015-02-26,63.2092,63.5696,62.0917,62.7315,3787282
2015-02-27,63.2722,63.8039,62.7135,63.0289,4442975
2015-03-02,63.083,63.831,62.9658,63.7589,3070908
2015-03-03,63.6507,64.7861,63.5336,64.4167,3358323
2015-03-04,64.4167,64.4258,63.1911,63.858,3452138
2015-03-05,64.1734,64.1734,63.056,63.3894,2495584
2015-03-06,63.056,63.9752,63.0289,63.3714,2702909
2015-03-09,63.2993,64.8763,63.0785,64.2365,3659148
2015-03-10,63.8129,64.0112,62.9208,62.9478,3907238
2015-03-11,62.8753,63.1832,62.3502,62.5856,2317649
2015-03-12,62.7486,63.4005,62.151,63.1198,2911949
2015-03-13,62.8663,63.3281,61.3542,61.6892,4093986
