date,open,high,low,close,volume
2015-01-02,43.8745,44.6803,43.4495,44.5741,5897048
2015-01-05,44.1313,44.1313,42.5818,42.7411,7732696
2015-01-06,42.6969,43.3433,41.8734,42.2187,8586789
2015-01-07,42.5641,43.3433,41.7583,41.8911,8825816
2015-01-08,42.5818,44.3793,42.2896,44.2907,8941712
2015-01-09,44.2641,44.5386,42.8297,43.0776,8475059
2015-01-12,42.7766,42.8828,41.6166,41.9442,6898660
2015-01-13,42.7234,42.9714,40.315,40.6869,10932808
2015-01-14,40.2619,40.3238,38.7212,39.7217,13608548
2015-01-15,40.1113,40.129,38.4732,39.0222,11217161
2015-01-16,39.5801,40.4921,39.4915,40.1999,9632950
2015-01-20,39.9785,41.2004,39.7749,41.1827,8528091
2015-01-21,41.3687,41.9354,41.0056,41.7849,6944373
2015-01-22,42.5021,42.6526,41.4927,42.5021,9023296
2015-01-23,42.5729,45.0699,42.2719,44.4147,11629549
2015-01-26,44.3084,45.7871,44.3084,45.3267,9803161
2015-01-27,44.9814,45.6897,44.7157,45.3621,6593372
2015-01-28,45.6366,46.3184,45.247,45.61,12498686
2015-01-29,46.8231,47.1065,45.3178,46.1148,11391471
2015-01-30,45.8226,47.7263,45.6012,46.8231,10200535
2015-02-02,47.2836,48.2044,46.8585,48.2044,9905795
2015-02-03,48.4258,48.5861,47.3765,48.1513,10521146
2015-02-04,47.8148,48.4347,47.3013,48.0716,7770524
2015-02-05,48.3992,48.8951,47.8237,48.7091,6612236
2015-02-06,48.9659,49.1076,48.169,48.5763,7786218
2015-02-09,48.6923,48.9063,48.166,48.5674,5036268
2015-02-10,48.5406,49.5396,48.2641,49.5218,7759704
2015-02-11,49.4326,49.941,48.9688,49.3791,6647321
2015-02-12,49.6288,50.9043,49.3077,50.4405,10149258
2015-02-13,51.5733,52.5991,51.1898,52.269,13179674
2015-02-17,52.2601,52.9648,51.8855,52.385,8450125
2015-02-18,52.8577,53.0094,52.1638,52.8667,6655660
2015-02-19,52.8042,54.1243,52.6169,53.6783,7449200
2015-02-20,53.7229,54.1868,53.054,54.16,6927874
2015-02-23,54.0797,56.1134,53.9995,55.7477,9827221
2015-02-24,55.6585,55.8726,54.3384,54.9449,6310430
2015-02-25,54.6595,55.0076,54.2314,54.6506,5407489
2015-02-26,54.7398,56.0153,54.7219,55.275,7633470
2015-02-27,55.275,55.9618,54.8914,55.0252,8224906
2015-03-02,54.5257,54.606,51.9123,52.3315,13063654
2015-03-03,52.715,53.6873,52.6927,53.5891,6377736
2015-03-04,53.1699,53.1699,52.0817,52.6972,7102051
2015-03-05,53.0094,53.9103,52.8711,53.4821,6580399
2015-03-06,52.7685,53.7765,52.162,52.3939,5741031
2015-03-09,52.2334,53.2404,52.2244,52.269,6148257
2015-03-10,51.9569,52.0104,51.0471,51.5287,6435446
2015-03-11,50.2175,51.5733,50.2175,51.502,10911146
2015-03-12,51.8587,52.8756,51.4306,51.5376,7140062
2015-03-13,51.6982,52.385,51.5198,52.2066,5127070
2015-03-16,52.055,53.2502,51.7606,53.2145,5317151
