date,open,high,low,close,volume
2015-01-02,64.6381,66.118,64.4336,65.2125,981300
2015-01-05,64.5407,64.6381,63.1047,63.4113,897194
2015-01-06,63.3042,64.385,62.5838,63.2653,691594
2015-01-07,63.5769,64.5797,63.3432,64.4628,532368
2015-01-08,65.0957,66.8287,65.047,66.4782,1383252
2015-01-09,66.595,66.7654,65.8259,66.488,845684
2015-01-12,66.2835,66.6389,65.5046,66.449,1132865
2015-01-13,67.1987,67.2668,64.5699,65.5825,972536
2015-01-14,64.5991,66.0985,63.645,65.9525,808563
2015-01-15,66.3419,66.4782,64.2,64.4726,1019308
2015-01-16,64.5115,65.563,64.4239,65.1249,1486754
2015-01-20,65.417,65.6799,64.3752,65.2223,1025789
2015-01-21,64.9496,66.2445,64.5991,66.1861,857059
2015-01-22,66.9358,68.1528,65.9642,68.0749,1793642
2015-01-23,68.0263,68.5131,67.3545,67.8997,1110258
2015-01-26,67.9873,68.7078,67.2279,68.6591,826862
2015-01-27,67.5784,68.5715,67.1159,68.3768,1172939
2015-01-28,69.0486,69.0778,68.1431,68.182,1372562
2015-01-29,68.1431,69.6717,67.6952,69.4575,1328662
2015-01-30,68.8149,69.8567,68.0068,68.6494,1148173
2015-02-02,69.292,69.993,68.2502,69.5548,1308217
2015-02-03,70.1001,70.1001,69.3114,69.9248,1256401
2015-02-04,69.3698,70.9958,69.2043,69.584,1541622
2015-02-05,71.4339,73.3714,71.1808,72.057,2129899
2015-02-06,72.5633,74.9535,72.3394,73.2448,2654895
2015-02-09,73.2253,74.7831,73.1728,74.16,1602985
2015-02-10,74.8805,76.0878,74.7929,75.7081,1778146
2015-02-11,75.4744,77.2123,75.4452,75.9417,1740882
2015-02-12,76.4091,77.7721,76.1988,77.3145,1256087
2015-02-13,77.5579,77.8792,76.9153,77.7624,1095841
2015-02-17,77.7916,78.7555,77.5677,78.6289,910621
2015-02-18,78.5121,79.0573,78.2102,78.9307,576235
2015-02-19,78.8431,80.0698,78.551,79.1157,850451
2015-02-20,79.106,79.2617,77.8111,78.8431,998603
2015-02-23,78.8723,79.0475,77.7721,78.1031,1051856
2015-02-24,78.2492,78.9599,77.9571,78.5997,966552
2015-02-25,78.7459,80.5104,78.5022,80.3056,1801569
2015-02-26,80.91,81.3877,80.1594,80.3154,1291863
2015-02-27,80.3154,81.0952,80.1399,80.91,852652
2015-03-02,81.4169,82.4064,80.6762,82.3723,1186554
2015-03-03,81.9823,82.6647,81.3487,82.6355,1344692
2015-03-04,82.1578,82.8499,81.8849,82.4697,1835416
2015-03-05,82.6062,83.2106,82.3235,82.8304,1161341
2015-03-06,82.3918,83.6395,82.2163,82.616,1669683
2015-03-09,82.9279,82.9279,82.0018,82.226,1791859
2015-03-10,81.5242,81.6704,80.3349,80.3544,1082347
2015-03-11,80.5006,81.3243,80.1984,81.144,887079
2015-03-12,81.6217,83.1521,81.5242,82.9572,1141615
2015-03-13,82.7817,82.8109,81.7386,82.4795,914134
2015-03-16,82.4892,83.2106,82.4892,82.9669,716796
2015-03-17,82.4307,83.4446,82.3918,82.9572,727460
2015-03-18,82.4892,84.0782,81.8849,83.6103,761649
2015-03-19,83.4153,83.7175,81.8459,82.0798,930054
2015-03-20,82.4892,83.1034,81.8946,81.9336,1257873
2015-03-23,81.9336,83.0936,81.8264,82.187,1084806
2015-03-24,82.3528,83.3568,82.0798,82.9961,1431783
2015-03-25,83.3276,83.854,81.8264,81.8264,1116946
2015-03-26,81.3584,82.1968,80.9295,81.8946,738420
2015-03-27,81.6801,82.4941,81.6801,82.0506,565465
2015-03-30,82.4502,83.4836,82.3723,83.2399,601411
2015-03-31,82.8597,83.3178,82.1773,82.1773,847423
2015-04-01,82.2358,82.3333,81.3584,82.0993,1149944
2015-04-02,81.8849,82.8694,81.5573,82.187,870809
2015-04-06,81.9433,82.9084,81.9336,82.343,601642
2015-04-07,82.3723,82.6841,81.027,81.1342,1109527
2015-04-08,80.8808,81.1342,79.672,81.105,1469863
2015-04-09,80.7443,81.5047,80.2374,80.7053,767422
2015-04-10,80.9978,81.5534,80.4616,81.2415,786508
2015-04-13,80.91,81.4657,80.0424,80.9393,855403
2015-04-14,82.1383,82.2455,80.4421,81.1537,1092560
2015-04-15,81.3974,82.6062,81.0661,81.6996,829786
2015-04-16,81.5924,81.6314,80.2861,80.6663,1148228
2015-04-17,79.9547,80.5201,79.2431,79.867,1000071
2015-04-20,80.1887,80.3934,79.477,79.711,651816
2015-04-21,79.828,80.0717,79.1554,79.3211,625657
2015-04-22,79.4088,79.6038,78.551,78.8727,807090
2015-04-23,78.8434,80.5201,78.629,80.2569,1050939
2015-04-24,80.3739,81.3877,80.0522,81.3682,1105980
2015-04-27,81.8459,81.9141,80.832,81.027,689397
2015-04-28,80.6956,81.0465,79.7597,80.9978,867640
2015-04-29,80.3544,81.2805,79.7208,80.9783,723968
2015-04-30,80.988,84.0587,80.988,83.3666,1937474
2015-05-01,83.9515,86.3398,83.5323,86.1058,1859639
2015-05-04,86.0181,87.3136,85.7549,85.8816,1862285
2015-05-05,83.3861,85.3162,82.5867,83.3471,1773405
2015-05-06,84.3024,85.7841,83.0156,85.1505,997298
2015-05-07,84.7606,87.6655,84.6533,87.2464,1422511
2015-05-08,87.7338,88.8061,87.416,88.1919,947107
2015-05-11,87.8605,89.4787,87.7143,88.9913,977835
2015-05-12,88.3674,88.8938,87.88,87.958,1042517
2015-05-13,88.2894,89.2252,87.8507,88.5819,1094891
2015-05-14,89.2642,90.512,88.4941,90.3853,1105949
2015-05-15,90.4828,90.7265,89.1375,89.6737,860862
2015-05-18,89.2447,90.2098,89.2447,89.8589,897863
2015-05-19,89.8784,90.4048,89.5762,90.0148,849649
2015-05-20,90.0636,90.0636,89.2935,89.6249,515079
2015-05-21,89.6445,90.0153,89.137,89.6347,545969
2015-05-22,89.8787,90.474,89.3224,89.3712,583363
2015-05-26,88.9126,89.381,87.7513,88.1026,1147702
2015-05-27,88.4539,88.9906,87.9367,88.7759,1059771
2015-05-28,88.2977,88.5905,87.6244,88.3173,513894
2015-05-29,88.4149,88.8247,87.3024,87.761,1290703
2015-06-01,87.8293,87.9581,86.991,87.4097,940771
2015-06-02,87.1852,88.5417,87.1852,88.0245,688392
2015-06-03,88.4344,88.5612,86.5021,86.9901,1236494
2015-06-04,86.2582,86.829,85.5262,86.4826,1242082
2015-06-05,86.2094,87.7708,86.0044,86.9706,657067
2015-06-08,86.7949,87.2926,86.3655,86.4143,755115
2015-06-09,86.5216,86.9413,85.8385,85.9556,866661
2015-06-10,86.6192,87.8293,86.1898,87.4585,897131
2015-06-11,87.6342,88.0706,87.0681,87.3024,563082
2015-06-12,86.9608,87.2828,86.307,86.7461,642762
2015-06-15,86.2191,86.2777,85.4189,85.6629,726192
2015-06-16,85.4091,85.8288,84.7895,85.6726,931611
2015-06-17,85.8288,86.0142,84.5504,85.3603,616946
2015-06-18,85.7409,86.873,85.4091,86.7363,647917
2015-06-19,86.6485,87.5073,86.6485,87.1365,870313
2015-06-22,87.5854,87.9757,87.0193,87.6732,431738
2015-06-23,87.5073,88.0105,86.7559,87.0193,380116
2015-06-24,87.0877,87.1706,85.1066,85.6238,600354
2015-06-25,85.9068,85.9068,84.2966,84.4918,624918
2015-06-26,84.7943,85.2628,84.0527,84.3942,814524
2015-06-29,83.7111,84.3454,82.0911,82.1204,644972
2015-06-30,82.7938,82.9499,81.8862,81.9057,714045
2015-07-01,82.6962,83.6526,82.2766,83.2622,924216
2015-07-02,83.7013,83.8965,82.7157,83.311,528542
2015-07-06,82.4034,84.3064,82.0716,83.7794,710466
2015-07-07,83.7209,84.3845,82.1204,84.3649,1156094
2015-07-08,83.8087,85.5458,83.0573,83.3305,883415
2015-07-09,84.3942,84.9114,83.7111,83.8477,891647
2015-07-10,84.9895,88.4344,84.8919,88.1806,1149328
2015-07-13,88.4441,88.8052,87.8781,88.249,732682
2015-07-14,88.005,88.3465,87.6634,87.8196,749988
2015-07-15,87.7317,87.8001,86.3753,86.8827,624093
2015-07-16,87.3024,88.8247,86.8144,88.5124,1117837
2015-07-17,88.4149,89.5371,88.2977,89.459,651846
2015-07-20,89.5664,91.85,88.9321,91.7621,1223222
2015-07-21,91.606,91.8012,90.5032,91.2449,764484
2015-07-22,91.0985,92.9332,90.6408,91.6255,1065503
2015-07-23,91.85,91.9475,89.3029,89.6737,1004444
2015-07-24,89.6249,89.7713,86.8339,87.6244,1104962
2015-07-27,87.2438,87.761,85.8288,86.1118,1122810
2015-07-28,86.4826,87.4683,85.5653,86.9998,891824
2015-07-29,86.8925,89.2736,86.8925,88.9223,844608
2015-07-30,88.5515,89.3419,88.0147,89.2931,624459
2015-07-31,89.1077,89.9372,88.6393,88.8247,661630
2015-08-03,88.8735,88.8735,87.3365,87.4975,1208646
2015-08-04,88.0147,94.8947,88.0147,93.7334,2840736
2015-08-05,94.641,95.6364,93.6944,95.0801,1482548
2015-08-06,95.3924,95.3924,92.1915,93.0015,1276826
2015-08-07,92.5233,93.1479,91.4303,92.2306,893687
2015-08-10,93.265,94.4653,92.9234,93.6651,1180628
2015-08-11,93.1967,94.4556,92.5233,93.9091,1262188
2015-08-12,93.4406,94.9934,92.8551,94.9142,1157268
2015-08-13,95.2168,95.3924,93.87,94.5532,517331
2015-08-14,94.5434,95.8316,94.4263,95.4119,658284
2015-08-17,96.2414,96.6513,94.924,96.4268,857442
2015-08-18,96.4073,97.0124,95.9731,96.6611,713018
2015-08-19,96.017,96.4749,93.9188,94.4653,698885
2015-08-20,93.587,94.0554,90.9229,91.1376,1268205
2015-08-21,90.3658,90.9031,88.705,89.5452,1316682
2015-08-24,85.0513,89.7943,84.5922,86.3018,2603624
2015-08-25,89.1447,89.1447,83.9474,84.0256,1686483
2015-08-26,85.9696,86.0869,83.1463,85.4128,1773736
2015-08-27,86.3995,89.9555,86.0966,89.4963,2617448
2015-08-28,89.0763,90.4537,88.4608,90.2877,1412678
2015-08-31,89.8773,93.1305,89.5354,91.46,1464957
2015-09-01,89.0958,90.8543,88.9004,89.7992,1516557
2015-09-02,90.4537,93.4041,89.9946,93.3943,1350090
2015-09-03,94.2931,96.9112,93.0621,95.1821,2390556
2015-09-04,94.0,94.2833,91.8605,93.111,1319681
2015-09-08,94.5666,96.2958,93.873,96.2371,863300
2015-09-09,97.1164,98.6697,96.1981,96.3641,1376465
2015-09-10,96.3935,97.4192,95.6315,95.9831,1276192
2015-09-11,95.6217,96.8917,95.3188,96.8428,700874
2015-09-14,96.8526,97.6342,96.1004,97.5365,1124224
2015-09-15,98.0445,98.1715,97.3606,97.7807,1096873
2015-09-16,97.7123,99.3731,97.556,98.9432,900923
2015-09-17,98.9432,100.2816,98.1812,98.8651,822484
2015-09-18,97.8686,98.8358,96.1004,96.667,1910400
2015-09-21,97.4192,98.1422,96.8233,97.5267,819384
2015-09-22,95.9245,96.4716,94.0781,95.016,1157672
2015-09-23,95.2407,95.2407,89.8773,91.5479,2306830
