date,open,high,low,close,volume
2015-01-02,106.219,107.2331,105.6267,107.1254,586176
2015-01-05,106.569,107.7805,106.4523,107.3946,729527
2015-01-06,107.5562,108.7228,107.4216,108.2651,1180919
2015-01-07,109.01,110.6882,108.0049,110.5536,928530
2015-01-08,110.7959,111.433,109.9792,110.9305,642265
2015-01-09,110.9305,111.7202,110.2726,110.9215,655790
2015-01-12,111.092,111.8997,111.0292,111.6484,616641
2015-01-13,112.1061,112.6715,110.7869,111.4151,704277
2015-01-14,110.9843,112.1151,110.401,111.8907,921282
2015-01-15,112.3035,113.6317,111.792,113.0753,1468121
2015-01-16,103.6075,103.8588,101.2293,102.5485,1430879
2015-01-20,103.096,103.6524,101.2204,101.7139,1103132
2015-01-21,100.8793,101.6063,99.8473,100.8793,876987
2015-01-22,100.9691,103.0239,100.9691,102.9165,823666
2015-01-23,103.0691,103.1319,102.2703,102.5755,580209
2015-01-26,102.4498,102.9883,101.9652,102.9793,651700
2015-01-27,102.4319,103.1139,102.1178,102.5485,630588
2015-01-28,102.746,103.1947,101.4716,101.4806,894149
2015-01-29,101.4896,101.8325,100.7857,101.5618,720754
2015-01-30,101.0655,101.7423,99.6035,99.6667,1279640
2015-02-02,99.7208,100.3976,98.2498,100.2172,995222
2015-02-03,99.9735,101.1016,99.3237,101.0835,747437
2015-02-04,101.0294,101.1647,100.0457,100.6954,622034
2015-02-05,101.0384,102.9516,100.6233,102.8523,870674
2015-02-06,102.374,102.4101,100.9752,101.652,1737989
2015-02-09,101.4625,102.2657,101.3272,101.3813,804289
2015-02-10,101.5167,102.4282,101.0745,101.986,1163063
2015-02-11,102.5094,102.7169,100.9211,101.6881,545192
2015-02-12,101.7964,102.8325,101.2189,102.6086,523870
2015-02-13,102.5004,102.7439,101.4264,101.9408,556669
2015-02-17,101.8506,102.8072,101.4535,101.8686,760681
2015-02-18,101.9047,103.0147,101.1286,102.8433,654230
2015-02-19,102.4282,102.4552,99.9013,100.4067,923829
2015-02-20,100.0998,101.7062,99.8787,101.5167,1009032
2015-02-23,101.9047,102.2386,101.0113,102.1213,542796
2015-02-24,101.6791,102.2386,99.6396,100.2172,832325
2015-02-25,100.172,101.0925,99.4681,99.6757,906224
2015-02-26,99.4681,99.6215,98.5296,98.7101,646296
2015-02-27,98.8815,99.775,98.2859,99.3057,837546
2015-03-02,99.5674,100.912,99.2786,100.154,564766
2015-03-03,99.9103,100.4969,98.9808,99.8652,575015
2015-03-04,99.6847,99.8381,97.8798,98.0783,800150
2015-03-05,98.692,99.4591,98.313,98.5205,1028198
2015-03-06,96.9864,96.9864,94.3332,94.4595,1297285
2015-03-09,95.1003,95.741,94.6671,95.019,870995
2015-03-10,94.9288,95.362,94.252,94.27,969180
2015-03-11,94.0354,94.9107,93.9541,94.3783,931303
2015-03-12,94.8385,96.12,94.7844,95.8764,908234
2015-03-13,95.8944,95.9756,94.8837,95.4432,808481
2015-03-16,95.741,96.7337,95.362,96.2554,832408
2015-03-17,96.0117,96.7608,95.7049,96.463,754455
2015-03-18,96.3276,98.8093,95.8312,98.2679,669030
2015-03-19,97.8979,98.9718,97.517,98.4123,762058
2015-03-20,98.674,102.5635,98.1235,102.374,1682991
2015-03-23,102.2928,102.8974,101.616,102.2296,1147800
2015-03-24,101.8867,102.1349,101.3272,101.4896,840538
2015-03-25,101.652,102.0311,99.4952,99.5945,804767
2015-03-26,99.2696,99.9374,98.6379,99.5132,804477
2015-03-27,99.4049,100.1991,99.1658,100.1179,896262
2015-03-30,100.5511,101.643,99.7298,101.3903,719772
2015-03-31,101.1377,101.643,100.6233,101.0745,1693692
2015-04-01,101.0294,101.0294,99.1613,99.5403,1035166
2015-04-02,99.2786,101.0294,99.1703,100.3615,470206
2015-04-06,100.4789,102.0852,100.4157,101.634,616037
2015-04-07,101.5528,101.5528,99.3779,99.3779,715381
2015-04-08,99.3688,99.9284,98.8499,99.0349,609985
2015-04-09,98.9357,98.9718,96.2554,96.6886,1215014
2015-04-10,97.2661,98.0964,96.6073,96.9413,763634
2015-04-13,97.0135,97.1488,96.7066,96.7788,698138
2015-04-14,96.7969,98.313,96.7517,97.7444,701552
2015-04-15,97.6632,98.1325,96.9503,97.0044,579688
2015-04-16,96.6615,97.7986,96.3005,97.1488,389103
2015-04-17,96.842,97.6091,95.9305,96.5532,489795
2015-04-20,96.6886,97.23,96.12,96.3727,367372
2015-04-21,96.5893,97.3383,96.3456,96.5622,477522
2015-04-22,96.5442,97.2892,96.102,96.6705,364302
