date,open,high,low,close,volume
2015-01-02,59.508,61.0311,59.508,60.6834,1987891
2015-01-05,60.1619,61.1718,59.9798,60.9897,2795428
2015-01-06,61.2297,62.6287,61.2297,62.3472,4307246
2015-01-07,62.4052,63.4937,61.9168,63.2743,2984293
2015-01-08,63.622,63.622,62.3472,62.968,3676131
2015-01-09,62.968,63.415,62.1568,62.9598,2180217
2015-01-12,63.2826,63.7875,62.9515,63.6882,1803380
2015-01-13,63.7379,64.3587,63.3571,63.9282,2668244
2015-01-14,63.8206,64.5656,63.5392,64.2511,2636425
2015-01-15,64.4001,64.665,63.6303,64.3256,4257087
2015-01-16,64.3504,64.905,64.1517,64.5656,8465687
2015-01-20,64.9397,66.2511,64.865,65.4128,4469545
2015-01-21,65.2634,65.2966,64.6658,65.0227,3032274
2015-01-22,65.2883,66.4503,65.28,66.4503,3156399
2015-01-23,66.7408,66.9649,66.276,66.7574,4701749
2015-01-26,66.7408,66.94,66.0934,66.94,3254444
2015-01-27,66.6578,67.1973,66.5084,67.0313,2983484
2015-01-28,67.0728,68.0024,66.9483,67.023,2439017
2015-01-29,66.857,67.326,66.4503,67.189,2689106
2015-01-30,66.9151,67.2056,66.2428,66.2428,3140507
2015-02-02,66.1266,66.4005,64.7986,66.2262,4142427
2015-02-03,66.2926,66.4088,64.9812,66.1764,2772639
2015-02-04,65.9523,65.9523,64.865,65.2136,4092927
2015-02-05,65.2717,65.9606,64.8152,65.8776,3153682
2015-02-06,65.7033,65.7116,62.7402,63.0888,4240597
2015-02-09,63.1801,63.4374,62.6406,62.873,2697222
2015-02-10,62.9394,63.8773,62.3169,63.6366,3681705
2015-02-11,63.8275,64.3794,63.0805,63.4872,2590931
2015-02-12,63.4872,64.1014,63.0888,63.9271,1912426
2015-02-13,64.1761,64.1761,63.0889,63.5868,1772330
2015-02-17,63.7113,64.6409,63.2963,63.4872,2685447
2015-02-18,63.9437,64.6243,62.7568,64.616,3487277
2015-02-19,64.2591,64.4168,63.2714,63.3627,2301575
2015-02-20,63.3046,64.5745,63.2714,64.2674,3379247
2015-02-23,64.3504,65.0227,63.8939,64.3919,2451758
2015-02-24,62.9809,63.3876,61.2794,61.8687,5925935
2015-02-25,61.8936,62.6489,61.6446,61.7774,2736455
2015-02-26,61.7276,62.0679,60.9806,61.2379,2560486
2015-02-27,61.5782,61.8645,60.7233,61.8106,1955263
2015-03-02,61.8687,62.9228,61.7774,61.9849,3011949
2015-03-03,61.7276,62.126,61.047,61.8604,2050069
2015-03-04,61.8849,62.1149,60.8978,61.0902,3107757
2015-03-05,61.5085,61.8514,60.9145,60.9815,2744042
2015-03-06,59.6598,60.3875,58.0871,58.4803,3645071
2015-03-09,58.8149,58.932,58.3541,58.5556,3226880
2015-03-10,58.4301,58.6727,58.1373,58.1373,5143562
2015-03-11,58.2043,58.5556,57.7316,57.8195,3064306
2015-03-12,58.2043,58.9362,58.1373,58.8651,2417379
2015-03-13,58.7898,59.1053,58.2628,58.6476,1750299
2015-03-16,58.9571,59.6598,58.9571,59.1411,1868952
2015-03-17,59.1328,59.3921,58.7564,58.7982,2089763
2015-03-18,58.7982,60.2202,58.3967,59.8104,3948940
2015-03-19,59.5678,60.5799,59.5343,60.1115,2782399
2015-03-20,60.5465,61.9602,60.1031,61.6758,5576383
2015-03-23,61.7594,62.713,61.5754,61.9518,2275993
2015-03-24,61.7929,62.2111,61.383,61.383,2754134
2015-03-25,61.3914,61.6758,60.2202,60.2286,2834663
2015-03-26,59.8856,60.5632,59.7351,59.9442,3023451
2015-03-27,60.0446,60.6385,59.9693,60.4963,2091276
2015-03-30,60.5883,61.6758,60.5799,61.6088,1958189
2015-03-31,61.8682,61.9016,60.9665,61.0818,1878552
2015-04-01,61.1571,61.4415,60.5799,61.0902,1488797
2015-04-02,60.9815,61.5252,60.8894,61.2575,1353070
2015-04-06,62.9138,64.7081,62.6879,64.3275,4659880
2015-04-07,64.1686,64.202,62.5583,62.713,4043651
2015-04-08,62.7967,63.1062,62.4788,62.8218,2091189
2015-04-09,62.6628,62.6796,61.726,62.002,2819827
2015-04-10,62.5374,62.9473,61.6758,61.9434,2069728
2015-04-13,61.91,62.002,61.3412,61.3412,1577244
2015-04-14,61.5085,62.0689,61.4834,61.7761,1336951
2015-04-15,61.7761,61.9434,61.1822,61.2073,2164356
2015-04-16,60.9564,61.6838,60.5465,61.3077,1994662
2015-04-17,60.9145,61.3663,60.6971,60.9898,2038592
2015-04-20,61.0233,61.5085,60.7723,61.1906,1698973
2015-04-21,61.1906,61.6339,60.8644,60.8894,1531222
2015-04-22,60.856,61.2492,60.6636,60.8225,1532262
2015-04-23,60.6552,61.3579,60.6552,61.1153,1626551
2015-04-24,61.9518,61.9518,60.6556,60.9145,2039879
2015-04-27,61.1153,61.7343,60.3541,60.4963,1620444
2015-04-28,60.3792,60.8476,59.9107,60.7472,1645388
2015-04-29,60.2286,60.6385,58.9822,59.2834,2565107
2015-04-30,58.9738,59.024,57.3259,57.6354,2751207
2015-05-01,57.6103,58.5221,57.6103,58.0035,2121726
2015-05-04,58.0704,58.2294,57.4179,57.5351,1892878
2015-05-05,57.4263,57.5267,56.4979,56.6651,3123066
2015-05-06,56.8909,56.8909,55.7617,56.1297,3024351
2015-05-07,56.3388,57.5267,56.1381,57.2674,2756642
2015-05-08,57.9366,58.8986,57.786,57.8195,2294404
2015-05-11,57.5434,58.0202,56.7487,56.7989,1955291
2015-05-12,56.4309,57.3845,55.6278,56.9411,2760438
2015-05-13,57.1419,57.5518,56.0252,56.1214,1908124
2015-05-14,56.5145,57.075,56.3807,57.0499,1562286
2015-05-15,57.3176,58.129,57.1837,58.0537,3301982
2015-05-18,57.8362,58.1206,57.6605,57.878,1476436
2015-05-19,57.5685,58.2628,57.5685,57.8947,1233939
2015-05-20,57.878,58.3214,57.6103,57.6271,1202801
2015-05-21,57.7358,57.7776,56.8073,57.1503,1400497
2015-05-22,56.8909,57.5601,56.4309,57.1168,1302144
2015-05-26,57.0833,57.1249,56.4643,56.6484,1218460
2015-05-27,56.8491,57.1837,56.6316,56.7404,1718415
2015-05-28,56.8407,56.8407,55.9959,56.1548,3830836
2015-05-29,56.1715,56.6149,55.3434,55.6445,3205839
2015-06-01,55.7031,56.4309,55.6696,56.1632,2184155
2015-06-02,56.1214,56.3137,55.5693,55.7951,2520133
2015-06-03,55.8374,55.8713,54.7708,54.8555,2583289
2015-06-04,54.8216,55.1856,54.2967,54.957,2542249
2015-06-05,54.2629,54.5232,53.1539,53.8058,4843958
2015-06-08,53.8396,54.3983,53.5433,54.1359,2419656
2015-06-09,54.0174,54.0343,53.4756,53.5264,1658032
2015-06-10,53.4841,54.483,53.4841,53.9327,1557317
2015-06-11,54.2206,54.4582,54.069,54.2375,2213354
2015-06-12,54.2375,54.4491,53.92,54.1528,1437133
2015-06-15,54.2121,54.5052,53.8058,53.8058,1576912
2015-06-16,53.8227,54.5846,53.7296,54.3306,2072195
2015-06-17,54.3052,54.7073,53.7465,54.5168,1781505
2015-06-18,54.6692,55.5665,54.627,55.1263,2046303
